sample_id	species	bioproject	tissue	condition	replicate	layout	r1	r2	salmon_index	canary	analysis_group	co2	water	dehydration_stage	design_cell
SRR33083344	triticum_aestivum	PRJNA1249400	Leaf	Alana_elevated-CO2+drought_biol_rep1	1	paired	data/fastq/SRR33083344_1.fastq.gz	data/fastq/SRR33083344_2.fastq.gz	results/rnaseq/triticum_aestivum/index	true	wheat_prjna1249400	elevated	drought		elevated:drought
SRR33083345	triticum_aestivum	PRJNA1249400	Leaf	Alana_elevated-CO2+drought_biol_rep2	2	paired	data/fastq/SRR33083345_1.fastq.gz	data/fastq/SRR33083345_2.fastq.gz	results/rnaseq/triticum_aestivum/index	false	wheat_prjna1249400	elevated	drought		elevated:drought
SRR33083338	triticum_aestivum	PRJNA1249400	Leaf	Alana_elevated-CO2+drought_biol_rep3	3	paired	data/fastq/SRR33083338_1.fastq.gz	data/fastq/SRR33083338_2.fastq.gz	results/rnaseq/triticum_aestivum/index	false	wheat_prjna1249400	elevated	drought		elevated:drought
SRR33083351	triticum_aestivum	PRJNA1249400	Leaf	Alana_elevated-CO2_biol_rep1	1	paired	data/fastq/SRR33083351_1.fastq.gz	data/fastq/SRR33083351_2.fastq.gz	results/rnaseq/triticum_aestivum/index	false	wheat_prjna1249400	elevated	well_watered		elevated:well_watered
SRR33083339	triticum_aestivum	PRJNA1249400	Leaf	Alana_elevated-CO2_biol_rep2	2	paired	data/fastq/SRR33083339_1.fastq.gz	data/fastq/SRR33083339_2.fastq.gz	results/rnaseq/triticum_aestivum/index	false	wheat_prjna1249400	elevated	well_watered		elevated:well_watered
SRR33083340	triticum_aestivum	PRJNA1249400	Leaf	Alana_elevated-CO2_biol_rep3	3	paired	data/fastq/SRR33083340_1.fastq.gz	data/fastq/SRR33083340_2.fastq.gz	results/rnaseq/triticum_aestivum/index	false	wheat_prjna1249400	elevated	well_watered		elevated:well_watered
SRR33083352	triticum_aestivum	PRJNA1249400	Leaf	Alana_drought_biol_rep1	1	paired	data/fastq/SRR33083352_1.fastq.gz	data/fastq/SRR33083352_2.fastq.gz	results/rnaseq/triticum_aestivum/index	false	wheat_prjna1249400	ambient	drought		ambient:drought
SRR33083346	triticum_aestivum	PRJNA1249400	Leaf	Alana_drought_biol_rep2	2	paired	data/fastq/SRR33083346_1.fastq.gz	data/fastq/SRR33083346_2.fastq.gz	results/rnaseq/triticum_aestivum/index	false	wheat_prjna1249400	ambient	drought		ambient:drought
SRR33083347	triticum_aestivum	PRJNA1249400	Leaf	Alana_drought_biol_rep3	3	paired	data/fastq/SRR33083347_1.fastq.gz	data/fastq/SRR33083347_2.fastq.gz	results/rnaseq/triticum_aestivum/index	false	wheat_prjna1249400	ambient	drought		ambient:drought
SRR33083355	triticum_aestivum	PRJNA1249400	Leaf	Alana_control_biol_rep1	1	paired	data/fastq/SRR33083355_1.fastq.gz	data/fastq/SRR33083355_2.fastq.gz	results/rnaseq/triticum_aestivum/index	false	wheat_prjna1249400	ambient	well_watered		ambient:well_watered
SRR33083354	triticum_aestivum	PRJNA1249400	Leaf	Alana_control_biol_rep2	2	paired	data/fastq/SRR33083354_1.fastq.gz	data/fastq/SRR33083354_2.fastq.gz	results/rnaseq/triticum_aestivum/index	false	wheat_prjna1249400	ambient	well_watered		ambient:well_watered
SRR33083353	triticum_aestivum	PRJNA1249400	Leaf	Alana_control_biol_rep3	3	paired	data/fastq/SRR33083353_1.fastq.gz	data/fastq/SRR33083353_2.fastq.gz	results/rnaseq/triticum_aestivum/index	false	wheat_prjna1249400	ambient	well_watered		ambient:well_watered
SRR26553585	glycine_max	PRJNA1033144		Elevated CO2 concentration + Drought stress 1	1	paired	data/fastq/SRR26553585_1.fastq.gz	data/fastq/SRR26553585_2.fastq.gz	results/rnaseq/glycine_max/index	false	soybean_prjna1033144	elevated	drought		drought
SRR26553586	glycine_max	PRJNA1033144		Elevated CO2 concentration + Controlled water treatment 3	3	paired	data/fastq/SRR26553586_1.fastq.gz	data/fastq/SRR26553586_2.fastq.gz	results/rnaseq/glycine_max/index	false	soybean_prjna1033144	elevated	well_watered		well_watered
SRR26553587	glycine_max	PRJNA1033144		Elevated CO2 concentration + Controlled water treatment 2	2	paired	data/fastq/SRR26553587_1.fastq.gz	data/fastq/SRR26553587_2.fastq.gz	results/rnaseq/glycine_max/index	true	soybean_prjna1033144	elevated	well_watered		well_watered
SRR26553588	glycine_max	PRJNA1033144		Elevated CO2 concentration + Controlled water treatment 1	1	paired	data/fastq/SRR26553588_1.fastq.gz	data/fastq/SRR26553588_2.fastq.gz	results/rnaseq/glycine_max/index	false	soybean_prjna1033144	elevated	well_watered		well_watered
SRR26553594	glycine_max	PRJNA1033144		Elevated CO2 concentration + Drought stress 2	2	paired	data/fastq/SRR26553594_1.fastq.gz	data/fastq/SRR26553594_2.fastq.gz	results/rnaseq/glycine_max/index	false	soybean_prjna1033144	elevated	drought		drought
SRR26553593	glycine_max	PRJNA1033144		Elevated CO2 concentration + Drought stress 3	3	paired	data/fastq/SRR26553593_1.fastq.gz	data/fastq/SRR26553593_2.fastq.gz	results/rnaseq/glycine_max/index	false	soybean_prjna1033144	elevated	drought		drought
SRR17385284	triticum_aestivum	PRJNA793265	Leaf	Elevated CO2. Rep1	1	paired	data/fastq/SRR17385284_1.fastq.gz	data/fastq/SRR17385284_2.fastq.gz	results/rnaseq/triticum_aestivum/index	false	wheat_prjna793265	elevated	well_watered		well_watered
SRR17385295	triticum_aestivum	PRJNA793265	Leaf	Elevated CO2 and drought Rep3	3	paired	data/fastq/SRR17385295_1.fastq.gz	data/fastq/SRR17385295_2.fastq.gz	results/rnaseq/triticum_aestivum/index	false	wheat_prjna793265	elevated	drought		drought
SRR17385296	triticum_aestivum	PRJNA793265	Leaf	Elevated CO2 and drought Rep2	2	paired	data/fastq/SRR17385296_1.fastq.gz	data/fastq/SRR17385296_2.fastq.gz	results/rnaseq/triticum_aestivum/index	false	wheat_prjna793265	elevated	drought		drought
SRR17385300	triticum_aestivum	PRJNA793265	Leaf	Elevated CO2 and drought Rep1	1	paired	data/fastq/SRR17385300_1.fastq.gz	data/fastq/SRR17385300_2.fastq.gz	results/rnaseq/triticum_aestivum/index	false	wheat_prjna793265	elevated	drought		drought
SRR17385302	triticum_aestivum	PRJNA793265	Leaf	Elevated CO2. Rep2	2	paired	data/fastq/SRR17385302_1.fastq.gz	data/fastq/SRR17385302_2.fastq.gz	results/rnaseq/triticum_aestivum/index	false	wheat_prjna793265	elevated	well_watered		well_watered
SRR17385301	triticum_aestivum	PRJNA793265	Leaf	Elevated CO2. Rep3	3	paired	data/fastq/SRR17385301_1.fastq.gz	data/fastq/SRR17385301_2.fastq.gz	results/rnaseq/triticum_aestivum/index	false	wheat_prjna793265	elevated	well_watered		well_watered
SRR2545903	glycine_max	PRJNA295411	Root	Elevated CO2, air-drying 50min, rep2	2	paired	data/fastq/SRR2545903_1.fastq.gz	data/fastq/SRR2545903_2.fastq.gz	results/rnaseq/glycine_max/index	false	soybean_prjna295411	elevated	air_drying		elevated:air_drying
SRR2545902	glycine_max	PRJNA295411	Root	Elevated CO2, air-drying 50min, rep1	1	paired	data/fastq/SRR2545902_1.fastq.gz	data/fastq/SRR2545902_2.fastq.gz	results/rnaseq/glycine_max/index	false	soybean_prjna295411	elevated	air_drying		elevated:air_drying
SRR2545899	glycine_max	PRJNA295411	Root	Elevated CO2, well-watered, rep2	2	paired	data/fastq/SRR2545899_1.fastq.gz	data/fastq/SRR2545899_2.fastq.gz	results/rnaseq/glycine_max/index	false	soybean_prjna295411	elevated	well_watered		elevated:well_watered
SRR2545898	glycine_max	PRJNA295411	Root	Elevated CO2, well-watered, rep1	1	paired	data/fastq/SRR2545898_1.fastq.gz	data/fastq/SRR2545898_2.fastq.gz	results/rnaseq/glycine_max/index	false	soybean_prjna295411	elevated	well_watered		elevated:well_watered
SRR2545901	glycine_max	PRJNA295411	Root	Ambient CO2, air-drying 50min, rep2	2	paired	data/fastq/SRR2545901_1.fastq.gz	data/fastq/SRR2545901_2.fastq.gz	results/rnaseq/glycine_max/index	false	soybean_prjna295411	ambient	air_drying		ambient:air_drying
SRR2545900	glycine_max	PRJNA295411	Root	Ambient CO2, air-drying 50min, rep1	1	paired	data/fastq/SRR2545900_1.fastq.gz	data/fastq/SRR2545900_2.fastq.gz	results/rnaseq/glycine_max/index	false	soybean_prjna295411	ambient	air_drying		ambient:air_drying
