Estudo n.,Bioproject,SRA,Species,Name,Tissue,Condition,Seq. Platform,Layout,Abstract
1,PRJNA1249400,SRR33083344,Triticum aestivum,GSM8904978,Leaf,Alana_elevated-CO2+drought_biol_rep1,NovaSeq 6000,Paired,"Climate change is anticipated to exacerbate environmental stressors such as drought, elevated temperatures, and increased CO2 levels, posing a significant threat to crop productivity. We investigated the morpho-physiological acclimation and transcriptional responses of hexaploid wheat (Triticum aestivum L.) under both single and combined stress conditions. Wheat plants were subjected to drought (D), elevated temperature (eT), and elevated CO2 (eC) individually, as well as in double (eT+D, eC+D, eC+eT) and triple (eC+eT+D) stress combinations. Our findings reveal that the eT+D combination resulted in the most severe reductions in growth and yield, while elevated CO2 cccccpartially mitigated these effects by enhancing biomass production and water-use efficiency. Transcriptomic analyses identified key regulatory networks, including specific protein-coding genes, transcription factor (TF) families, and potential marker genes associated with stress adaptation. Overall, this study provides new insights into the complex genetic and physiological mechanisms underlying wheat resilience to multifactorial environmental stress. These findings highlight valuable molecular targets for breeding strategies aimed at improving wheat tolerance to climate change-induced stress conditions Overall design: RNAseq data from winter bread wheat Alana. Plants were grown under different regimes: D - drought, T - elevated temperature (up to 31°C), C - elevated CO2 concentration (700 ppm) and their mutual combinations: C+T, T+D, C+D, C+T+D. Samples were collected from the 3rd and 4th leaf on the main tiller at the stage GS61."
1,PRJNA1249400,SRR33083345,Triticum aestivum,GSM8904979,Leaf,Alana_elevated-CO2+drought_biol_rep2,NovaSeq 6000,Paired,
1,PRJNA1249400,SRR33083338,Triticum aestivum,GSM8904980,Leaf,Alana_elevated-CO2+drought_biol_rep3,NovaSeq 6000,Paired,
1,PRJNA1249400,SRR33083351,Triticum aestivum,GSM8904972,Leaf,Alana_elevated-CO2_biol_rep1,NovaSeq 6000,Paired,
1,PRJNA1249400,SRR33083339,Triticum aestivum,GSM8904973,Leaf,Alana_elevated-CO2_biol_rep2,NovaSeq 6000,Paired,
1,PRJNA1249400,SRR33083340,Triticum aestivum,GSM8904974,Leaf,Alana_elevated-CO2_biol_rep3,NovaSeq 6000,Paired,
1,PRJNA1249400,SRR33083352,Triticum aestivum,GSM8904966,Leaf,Alana_drought_biol_rep1,NovaSeq 6000,Paired,
1,PRJNA1249400,SRR33083346,Triticum aestivum,GSM8904967,Leaf,Alana_drought_biol_rep2,NovaSeq 6000,Paired,
1,PRJNA1249400,SRR33083347,Triticum aestivum,GSM8904968,Leaf,Alana_drought_biol_rep3,NovaSeq 6000,Paired,
1,PRJNA1249400,SRR33083355,Triticum aestivum,GSM8904963,Leaf,Alana_control_biol_rep1,NovaSeq 6000,Paired,
1,PRJNA1249400,SRR33083354,Triticum aestivum,GSM8904964,Leaf,Alana_control_biol_rep2,NovaSeq 6000,Paired,
1,PRJNA1249400,SRR33083353,Triticum aestivum,GSM8904965,Leaf,Alana_control_biol_rep3,NovaSeq 6000,Paired,
2,PRJNA1033144,SRR26553585,Glycine max,EC-D-1,,Elevated CO2 concentration + Drought stress 1,NovaSeq 6000,Paired,Elevating CO2 in soybeans under drought conditions and analyzing its metabolic changes at the transcriptional level
2,PRJNA1033144,SRR26553586,Glycine max,EC-C-3,,Elevated CO2 concentration + Controlled water treatment 3,NovaSeq 6000,Paired,
2,PRJNA1033144,SRR26553587,Glycine max,EC-C-2,,Elevated CO2 concentration + Controlled water treatment 2,NovaSeq 6000,Paired,
2,PRJNA1033144,SRR26553588,Glycine max,EC-C-1,,Elevated CO2 concentration + Controlled water treatment 1,NovaSeq 6000,Paired,
2,PRJNA1033144,SRR26553594,Glycine max,EC-D-2,,Elevated CO2 concentration + Drought stress 2,NovaSeq 6000,Paired,
2,PRJNA1033144,SRR26553593,Glycine max,EC-D-3,,Elevated CO2 concentration + Drought stress 3,NovaSeq 6000,Paired,
3,PRJNA793265,SRR17385284,Triticum aestivum,eC_R1,Leaf,Elevated CO2. Rep1,NovaSeq 6000,Paired,"Global climate change poses a remarkable threat to agriculture and food security. This is a serious concern, because such changes may affect food availability for the growing world population. Therefore, we aim to address this question by establishing a strong backbone of gene expression datasets in the frame of the proposed project. Our objective was to grow wheat crops under a predicted environment and to examine and understand the transcriptional response. Our research applies various novel approaches and high throughput climate simulation and advanced phonemics approach aimed to assess the impact of future climate on wheat. It is expected that it will enhance our understanding of the adaptive response of this economically important crop under future climate."
3,PRJNA793265,SRR17385295,Triticum aestivum,eC+D_R3,Leaf,Elevated CO2 and drought Rep3,NovaSeq 6000,Paired,
3,PRJNA793265,SRR17385296,Triticum aestivum,eC+D_R2,Leaf,Elevated CO2 and drought Rep2,NovaSeq 6000,Paired,
3,PRJNA793265,SRR17385300,Triticum aestivum,eC+D_R1,Leaf,Elevated CO2 and drought Rep1,NovaSeq 6000,Paired,
3,PRJNA793265,SRR17385302,Triticum aestivum,eC_R2,Leaf,Elevated CO2. Rep2,NovaSeq 6000,Paired,
3,PRJNA793265,SRR17385301,Triticum aestivum,eC_R3,Leaf,Elevated CO2. Rep3,NovaSeq 6000,Paired,
4,PRJNA295411,SRR2545903,Glycine max,E[CO2]-T50_2,Root,"Elevated CO2, air-drying 50min, rep2",Illumina HiSeq 2000,Paired,We evaluated the Individual and combinatory effect of elevated [CO2] and drought on root molecular responses in soybean.
4,PRJNA295411,SRR2545902,Glycine max,E[CO2]-T50_1,Root,"Elevated CO2, air-drying 50min, rep1",Illumina HiSeq 2000,Paired,
4,PRJNA295411,SRR2545899,Glycine max,E[CO2]-T0_2,Root,"Elevated CO2, well-watered, rep2",Illumina HiSeq 2000,Paired,
4,PRJNA295411,SRR2545898,Glycine max,E[CO2]-T0_1,Root,"Elevated CO2, well-watered, rep1",Illumina HiSeq 2000,Paired,
4,PRJNA295411,SRR2545901,Glycine max,A[CO2]-T50_2,Root,"Ambient CO2, air-drying 50min, rep2",Illumina HiSeq 2000,Paired,
4,PRJNA295411,SRR2545900,Glycine max,A[CO2]-T50_1,Root,"Ambient CO2, air-drying 50min, rep1",Illumina HiSeq 2000,Paired,
4,PRJNA295411,SRR2545897,Glycine max,A[CO2]-T0_2,Root,"Ambient CO2, well-watered, rep2",Illumina HiSeq 2000,Paired,
