sample_id_1	sample_id_2	spearman_correlation
SRR39669458	SRR39669458	1
SRR39669459	SRR39669458	0.969543063841455
SRR39669468	SRR39669458	0.963118232619839
SRR39669469	SRR39669458	0.882420369779585
SRR39669470	SRR39669458	0.880263413632738
SRR39669471	SRR39669458	0.90075954436782
SRR39669472	SRR39669458	0.79937617496257
SRR39669473	SRR39669458	0.813352989972657
SRR39669474	SRR39669458	0.845358545115686
SRR39669475	SRR39669458	0.953701731109944
SRR39669460	SRR39669458	0.9579616302623
SRR39669461	SRR39669458	0.963374946939413
SRR39669462	SRR39669458	0.936112215924384
SRR39669463	SRR39669458	0.936312845611408
SRR39669464	SRR39669458	0.936465072742287
SRR39669465	SRR39669458	0.828737197082413
SRR39669466	SRR39669458	0.806405095783051
SRR39669467	SRR39669458	0.843247111854803
SRR39669458	SRR39669459	0.969543063841455
SRR39669459	SRR39669459	1
SRR39669468	SRR39669459	0.966997487603565
SRR39669469	SRR39669459	0.905651707697909
SRR39669470	SRR39669459	0.905163466408605
SRR39669471	SRR39669459	0.929294851517014
SRR39669472	SRR39669459	0.842659519177152
SRR39669473	SRR39669459	0.856645949284085
SRR39669474	SRR39669459	0.880234537364413
SRR39669475	SRR39669459	0.983395461526069
SRR39669460	SRR39669459	0.983974384620715
SRR39669461	SRR39669459	0.974595652212744
SRR39669462	SRR39669459	0.950685392532154
SRR39669463	SRR39669459	0.948044349102634
SRR39669464	SRR39669459	0.950571306056936
SRR39669465	SRR39669459	0.87091416211385
SRR39669466	SRR39669459	0.852068575428537
SRR39669467	SRR39669459	0.882569193531285
SRR39669458	SRR39669468	0.963118232619839
SRR39669459	SRR39669468	0.966997487603565
SRR39669468	SRR39669468	1
SRR39669469	SRR39669468	0.925261505981292
SRR39669470	SRR39669468	0.924728850751914
SRR39669471	SRR39669468	0.929299491701196
SRR39669472	SRR39669468	0.84410003414902
SRR39669473	SRR39669468	0.86034186563609
SRR39669474	SRR39669468	0.87700465911566
SRR39669475	SRR39669468	0.960637422878698
SRR39669460	SRR39669468	0.964506857383627
SRR39669461	SRR39669468	0.96544923258093
SRR39669462	SRR39669468	0.941311638652827
SRR39669463	SRR39669468	0.939271685662818
SRR39669464	SRR39669468	0.9410336448806
SRR39669465	SRR39669468	0.869229289781249
SRR39669466	SRR39669468	0.856873815536401
SRR39669467	SRR39669468	0.881861974543373
SRR39669458	SRR39669469	0.882420369779585
SRR39669459	SRR39669469	0.905651707697909
SRR39669468	SRR39669469	0.925261505981292
SRR39669469	SRR39669469	1
SRR39669470	SRR39669469	0.996427678037479
SRR39669471	SRR39669469	0.970266143387367
SRR39669472	SRR39669469	0.906373653889272
SRR39669473	SRR39669469	0.922892672996129
SRR39669474	SRR39669469	0.925049112420523
SRR39669475	SRR39669469	0.929821963857222
SRR39669460	SRR39669469	0.927614007802488
SRR39669461	SRR39669469	0.920953315344754
SRR39669462	SRR39669469	0.953571292074775
SRR39669463	SRR39669469	0.953644929011324
SRR39669464	SRR39669469	0.953887213999089
SRR39669465	SRR39669469	0.924843803602291
SRR39669466	SRR39669469	0.915221092475446
SRR39669467	SRR39669469	0.925609612779523
SRR39669458	SRR39669470	0.880263413632738
SRR39669459	SRR39669470	0.905163466408605
SRR39669468	SRR39669470	0.924728850751914
SRR39669469	SRR39669470	0.996427678037479
SRR39669470	SRR39669470	1
SRR39669471	SRR39669470	0.96988651277726
SRR39669472	SRR39669470	0.905924644913489
SRR39669473	SRR39669470	0.923221602708684
SRR39669474	SRR39669470	0.924285885359015
SRR39669475	SRR39669470	0.929398264302443
SRR39669460	SRR39669470	0.927423697696602
SRR39669461	SRR39669470	0.920296776330039
SRR39669462	SRR39669470	0.952074959882337
SRR39669463	SRR39669470	0.952071599147497
SRR39669464	SRR39669470	0.952290541774878
SRR39669465	SRR39669470	0.924466412461817
SRR39669466	SRR39669470	0.916412021321196
SRR39669467	SRR39669470	0.924067267106763
SRR39669458	SRR39669471	0.90075954436782
SRR39669459	SRR39669471	0.929294851517014
SRR39669468	SRR39669471	0.929299491701196
SRR39669469	SRR39669471	0.970266143387367
SRR39669470	SRR39669471	0.96988651277726
SRR39669471	SRR39669471	1
SRR39669472	SRR39669471	0.925553791447595
SRR39669473	SRR39669471	0.929432098414845
SRR39669474	SRR39669471	0.936050239086285
SRR39669475	SRR39669471	0.943910850642776
SRR39669460	SRR39669471	0.946472375054759
SRR39669461	SRR39669471	0.938562509070118
SRR39669462	SRR39669471	0.979194550340065
SRR39669463	SRR39669471	0.977953055303834
SRR39669464	SRR39669471	0.979353352204437
SRR39669465	SRR39669471	0.936917678423472
SRR39669466	SRR39669471	0.924902116151792
SRR39669467	SRR39669471	0.936057267047781
SRR39669458	SRR39669472	0.79937617496257
SRR39669459	SRR39669472	0.842659519177152
SRR39669468	SRR39669472	0.84410003414902
SRR39669469	SRR39669472	0.906373653889272
SRR39669470	SRR39669472	0.905924644913489
SRR39669471	SRR39669472	0.925553791447595
SRR39669472	SRR39669472	1
SRR39669473	SRR39669472	0.978173171058872
SRR39669474	SRR39669472	0.968671397615384
SRR39669475	SRR39669472	0.860214405745252
SRR39669460	SRR39669472	0.862488217016433
SRR39669461	SRR39669472	0.855182587443708
SRR39669462	SRR39669472	0.88963073050421
SRR39669463	SRR39669472	0.886997828789971
SRR39669464	SRR39669472	0.889212350739129
SRR39669465	SRR39669472	0.975150393057092
SRR39669466	SRR39669472	0.972946485434879
SRR39669467	SRR39669472	0.955890145295058
SRR39669458	SRR39669473	0.813352989972657
SRR39669459	SRR39669473	0.856645949284085
SRR39669468	SRR39669473	0.86034186563609
SRR39669469	SRR39669473	0.922892672996129
SRR39669470	SRR39669473	0.923221602708684
SRR39669471	SRR39669473	0.929432098414845
SRR39669472	SRR39669473	0.978173171058872
SRR39669473	SRR39669473	1
SRR39669474	SRR39669473	0.979419081743505
SRR39669475	SRR39669473	0.874096416992509
SRR39669460	SRR39669473	0.874613247833892
SRR39669461	SRR39669473	0.86720692009673
SRR39669462	SRR39669473	0.895843866045048
SRR39669463	SRR39669473	0.89398607020439
SRR39669464	SRR39669473	0.895914536286992
SRR39669465	SRR39669473	0.980653666006163
SRR39669466	SRR39669473	0.983095820683507
SRR39669467	SRR39669473	0.968627850451865
SRR39669458	SRR39669474	0.845358545115686
