sample_id_1	sample_id_2	euclidean_distance
SRR39669458	SRR39669458	0
SRR39669459	SRR39669458	111.344732949904
SRR39669468	SRR39669458	121.065328212515
SRR39669469	SRR39669458	219.559369111867
SRR39669470	SRR39669458	221.517767653361
SRR39669471	SRR39669458	201.384298029907
SRR39669472	SRR39669458	317.219178567841
SRR39669473	SRR39669458	297.294619857303
SRR39669474	SRR39669458	270.253774631243
SRR39669475	SRR39669458	137.261713709469
SRR39669460	SRR39669458	129.288455584779
SRR39669461	SRR39669458	121.830064243951
SRR39669462	SRR39669458	160.236955961231
SRR39669463	SRR39669458	159.965525052335
SRR39669464	SRR39669458	159.877196666002
SRR39669465	SRR39669458	282.846678052842
SRR39669466	SRR39669458	302.131861965546
SRR39669467	SRR39669458	265.446478546738
SRR39669458	SRR39669459	111.344732949904
SRR39669459	SRR39669459	0
SRR39669468	SRR39669459	112.316164832359
SRR39669469	SRR39669459	195.988526701467
SRR39669470	SRR39669459	196.179392280175
SRR39669471	SRR39669459	170.217579038964
SRR39669472	SRR39669459	282.831639144935
SRR39669473	SRR39669459	261.615717408908
SRR39669474	SRR39669459	240.511940424765
SRR39669475	SRR39669459	82.6536551484986
SRR39669460	SRR39669459	80.3560521185486
SRR39669461	SRR39669459	99.9107015101307
SRR39669462	SRR39669459	139.814019434297
SRR39669463	SRR39669459	142.871236184445
SRR39669464	SRR39669459	139.756255873151
SRR39669465	SRR39669459	246.529213476295
SRR39669466	SRR39669459	265.263783557259
SRR39669467	SRR39669459	230.613437368458
SRR39669458	SRR39669468	121.065328212515
SRR39669459	SRR39669468	112.316164832359
SRR39669468	SRR39669468	0
SRR39669469	SRR39669468	176.194281115654
SRR39669470	SRR39669468	176.541814273643
SRR39669471	SRR39669468	171.55183486202
SRR39669472	SRR39669468	283.573968299816
SRR39669473	SRR39669468	260.350214548233
SRR39669474	SRR39669468	243.24037917856
SRR39669475	SRR39669468	122.950615077484
SRR39669460	SRR39669468	116.963465040538
SRR39669461	SRR39669468	117.351021574169
SRR39669462	SRR39669468	152.329116943241
SRR39669463	SRR39669468	154.083788773303
SRR39669464	SRR39669468	152.441089314577
SRR39669465	SRR39669468	249.25336958814
SRR39669466	SRR39669468	262.953091318405
SRR39669467	SRR39669468	232.664609613169
SRR39669458	SRR39669469	219.559369111867
SRR39669459	SRR39669469	195.988526701467
SRR39669468	SRR39669469	176.194281115654
SRR39669469	SRR39669469	0
SRR39669470	SRR39669469	44.6383761391768
SRR39669471	SRR39669469	116.282087496171
SRR39669472	SRR39669469	221.699409930387
SRR39669473	SRR39669469	195.573198331933
SRR39669474	SRR39669469	190.060713514883
SRR39669475	SRR39669469	169.872454815519
SRR39669460	SRR39669469	172.39546312575
SRR39669461	SRR39669469	182.233894759195
SRR39669462	SRR39669469	141.722011640986
SRR39669463	SRR39669469	141.153393161648
SRR39669464	SRR39669469	141.237671448242
SRR39669465	SRR39669469	189.688533993677
SRR39669466	SRR39669469	204.158727527793
SRR39669467	SRR39669469	186.381253476514
SRR39669458	SRR39669470	221.517767653361
SRR39669459	SRR39669470	196.179392280175
SRR39669468	SRR39669470	176.541814273643
SRR39669469	SRR39669470	44.6383761391768
SRR39669470	SRR39669470	0
SRR39669471	SRR39669470	116.953344583456
SRR39669472	SRR39669470	222.226460951316
SRR39669473	SRR39669470	195.249950722104
SRR39669474	SRR39669470	191.049470054185
SRR39669475	SRR39669470	170.119051673544
SRR39669460	SRR39669470	172.472595849128
SRR39669461	SRR39669470	182.742361417977
SRR39669462	SRR39669470	143.713890994634
SRR39669463	SRR39669470	143.286331015717
SRR39669464	SRR39669470	143.328012797271
SRR39669465	SRR39669470	190.013953290468
SRR39669466	SRR39669470	202.787602829713
SRR39669467	SRR39669470	188.173347782631
SRR39669458	SRR39669471	201.384298029907
SRR39669459	SRR39669471	170.217579038964
SRR39669468	SRR39669471	171.55183486202
SRR39669469	SRR39669471	116.282087496171
SRR39669470	SRR39669471	116.953344583456
SRR39669471	SRR39669471	0
SRR39669472	SRR39669471	199.100940404631
SRR39669473	SRR39669471	186.133014917374
SRR39669474	SRR39669471	175.840570857074
SRR39669475	SRR39669471	153.490538289733
SRR39669460	SRR39669471	149.260489164585
SRR39669461	SRR39669471	160.604059560291
SRR39669462	SRR39669471	95.3338230601183
SRR39669463	SRR39669471	97.534810301238
SRR39669464	SRR39669471	94.7199196081475
SRR39669465	SRR39669471	173.771092649714
SRR39669466	SRR39669471	191.346335198017
SRR39669467	SRR39669471	171.544230782529
SRR39669458	SRR39669472	317.219178567841
SRR39669459	SRR39669472	282.831639144935
SRR39669468	SRR39669472	283.573968299816
SRR39669469	SRR39669472	221.699409930387
SRR39669470	SRR39669472	222.226460951316
SRR39669471	SRR39669472	199.100940404631
SRR39669472	SRR39669472	0
SRR39669473	SRR39669472	110.03553975437
SRR39669474	SRR39669472	129.917763325472
SRR39669475	SRR39669472	268.41579247359
SRR39669460	SRR39669472	266.28029751002
SRR39669461	SRR39669472	272.785210422368
SRR39669462	SRR39669472	239.724419716145
SRR39669463	SRR39669472	242.398226180228
SRR39669464	SRR39669472	240.06099179985
SRR39669465	SRR39669472	117.828133722971
SRR39669466	SRR39669472	122.271983661586
SRR39669467	SRR39669472	155.114871407817
SRR39669458	SRR39669473	297.294619857303
SRR39669459	SRR39669473	261.615717408908
SRR39669468	SRR39669473	260.350214548233
SRR39669469	SRR39669473	195.573198331933
SRR39669470	SRR39669473	195.249950722104
SRR39669471	SRR39669473	186.133014917374
SRR39669472	SRR39669473	110.03553975437
SRR39669473	SRR39669473	0
SRR39669474	SRR39669473	103.623984749805
SRR39669475	SRR39669473	246.755803628815
SRR39669460	SRR39669473	246.035183708614
SRR39669461	SRR39669473	252.955213909529
SRR39669462	SRR39669473	224.403680260657
SRR39669463	SRR39669473	226.134445309527
SRR39669464	SRR39669473	224.052654237037
SRR39669465	SRR39669473	102.024137362746
SRR39669466	SRR39669473	96.4295469132155
SRR39669467	SRR39669473	128.290929803299
SRR39669458	SRR39669474	270.253774631243
SRR39669459	SRR39669474	240.511940424765
SRR39669468	SRR39669474	243.24037917856
SRR39669469	SRR39669474	190.060713514883
SRR39669470	SRR39669474	191.049470054185
SRR39669471	SRR39669474	175.840570857074
SRR39669472	SRR39669474	129.917763325472
SRR39669473	SRR39669474	103.623984749805
SRR39669474	SRR39669474	0
SRR39669475	SRR39669474	228.085305185121
SRR39669460	SRR39669474	226.267085119854
SRR39669461	SRR39669474	235.227844341004
SRR39669462	SRR39669474	203.693690504732
SRR39669463	SRR39669474	204.69492875899
SRR39669464	SRR39669474	203.22099134255
SRR39669465	SRR39669474	92.9087422848911
SRR39669466	SRR39669474	110.473026899106
SRR39669467	SRR39669474	118.28189717569
SRR39669458	SRR39669475	137.261713709469
SRR39669459	SRR39669475	82.6536551484986
SRR39669468	SRR39669475	122.950615077484
SRR39669469	SRR39669475	169.872454815519
SRR39669470	SRR39669475	170.119051673544
SRR39669471	SRR39669475	153.490538289733
SRR39669472	SRR39669475	268.41579247359
SRR39669473	SRR39669475	246.755803628815
SRR39669474	SRR39669475	228.085305185121
SRR39669475	SRR39669475	0
SRR39669460	SRR39669475	66.8697889144439
SRR39669461	SRR39669475	104.929302840702
SRR39669462	SRR39669475	125.514328975767
SRR39669463	SRR39669475	126.091221601416
SRR39669464	SRR39669475	125.338851062314
SRR39669465	SRR39669475	231.242319802052
SRR39669466	SRR39669475	249.688224750357
SRR39669467	SRR39669475	221.245960085214
SRR39669458	SRR39669460	129.288455584779
SRR39669459	SRR39669460	80.3560521185486
SRR39669468	SRR39669460	116.963465040538
SRR39669469	SRR39669460	172.39546312575
SRR39669470	SRR39669460	172.472595849128
SRR39669471	SRR39669460	149.260489164585
SRR39669472	SRR39669460	266.28029751002
SRR39669473	SRR39669460	246.035183708614
SRR39669474	SRR39669460	226.267085119854
SRR39669475	SRR39669460	66.8697889144439
SRR39669460	SRR39669460	0
SRR39669461	SRR39669460	90.4618848032105
SRR39669462	SRR39669460	127.421255998142
SRR39669463	SRR39669460	129.465369730269
SRR39669464	SRR39669460	127.403443232325
SRR39669465	SRR39669460	231.156896608079
SRR39669466	SRR39669460	249.174937261624
SRR39669467	SRR39669460	217.351720125529
SRR39669458	SRR39669461	121.830064243951
SRR39669459	SRR39669461	99.9107015101307
SRR39669468	SRR39669461	117.351021574169
SRR39669469	SRR39669461	182.233894759195
SRR39669470	SRR39669461	182.742361417977
SRR39669471	SRR39669461	160.604059560291
SRR39669472	SRR39669461	272.785210422368
SRR39669473	SRR39669461	252.955213909529
SRR39669474	SRR39669461	235.227844341004
SRR39669475	SRR39669461	104.929302840702
SRR39669460	SRR39669461	90.4618848032105
SRR39669461	SRR39669461	0
SRR39669462	SRR39669461	138.965443516959
SRR39669463	SRR39669461	144.186769274785
SRR39669464	SRR39669461	140.261343453506
SRR39669465	SRR39669461	237.849801041484
SRR39669466	SRR39669461	256.638159275085
SRR39669467	SRR39669461	215.47707744202
SRR39669458	SRR39669462	160.236955961231
SRR39669459	SRR39669462	139.814019434297
SRR39669468	SRR39669462	152.329116943241
SRR39669469	SRR39669462	141.722011640986
SRR39669470	SRR39669462	143.713890994634
SRR39669471	SRR39669462	95.3338230601183
SRR39669472	SRR39669462	239.724419716145
SRR39669473	SRR39669462	224.403680260657
SRR39669474	SRR39669462	203.693690504732
SRR39669475	SRR39669462	125.514328975767
SRR39669460	SRR39669462	127.421255998142
SRR39669461	SRR39669462	138.965443516959
SRR39669462	SRR39669462	0
SRR39669463	SRR39669462	46.3776136133297
SRR39669464	SRR39669462	40.0894605418746
SRR39669465	SRR39669462	207.253090660382
SRR39669466	SRR39669462	228.771158944806
SRR39669467	SRR39669462	195.705704166541
SRR39669458	SRR39669463	159.965525052335
SRR39669459	SRR39669463	142.871236184445
SRR39669468	SRR39669463	154.083788773303
SRR39669469	SRR39669463	141.153393161648
SRR39669470	SRR39669463	143.286331015717
SRR39669471	SRR39669463	97.534810301238
SRR39669472	SRR39669463	242.398226180228
SRR39669473	SRR39669463	226.134445309527
SRR39669474	SRR39669463	204.69492875899
SRR39669475	SRR39669463	126.091221601416
SRR39669460	SRR39669463	129.465369730269
SRR39669461	SRR39669463	144.186769274785
SRR39669462	SRR39669463	46.3776136133297
SRR39669463	SRR39669463	0
SRR39669464	SRR39669463	43.459578696336
SRR39669465	SRR39669463	211.041385094016
SRR39669466	SRR39669463	230.687889890885
SRR39669467	SRR39669463	202.559607389754
SRR39669458	SRR39669464	159.877196666002
SRR39669459	SRR39669464	139.756255873151
SRR39669468	SRR39669464	152.441089314577
SRR39669469	SRR39669464	141.237671448242
SRR39669470	SRR39669464	143.328012797271
SRR39669471	SRR39669464	94.7199196081475
SRR39669472	SRR39669464	240.06099179985
SRR39669473	SRR39669464	224.052654237037
SRR39669474	SRR39669464	203.22099134255
SRR39669475	SRR39669464	125.338851062314
SRR39669460	SRR39669464	127.403443232325
SRR39669461	SRR39669464	140.261343453506
SRR39669462	SRR39669464	40.0894605418746
SRR39669463	SRR39669464	43.459578696336
SRR39669464	SRR39669464	0
SRR39669465	SRR39669464	207.56307349504
SRR39669466	SRR39669464	228.603119837305
SRR39669467	SRR39669464	197.232428768717
SRR39669458	SRR39669465	282.846678052842
SRR39669459	SRR39669465	246.529213476295
SRR39669468	SRR39669465	249.25336958814
SRR39669469	SRR39669465	189.688533993677
SRR39669470	SRR39669465	190.013953290468
SRR39669471	SRR39669465	173.771092649714
SRR39669472	SRR39669465	117.828133722971
SRR39669473	SRR39669465	102.024137362746
SRR39669474	SRR39669465	92.9087422848911
SRR39669475	SRR39669465	231.242319802052
SRR39669460	SRR39669465	231.156896608079
SRR39669461	SRR39669465	237.849801041484
SRR39669462	SRR39669465	207.253090660382
