sample_id	PC1	PC2	species	bioproject	tissue	condition	replicate	layout	r1	r2	salmon_index	canary	analysis_group	co2	water	dehydration_stage	design_cell
SRR39669458	-139.073015338545	50.6453531643877	setaria_viridis	PRJNA1496374	Root	ambient CO2, control well-watered, biological replicate 1	1	paired	data/fastq/SRR39669458_1.fastq.gz	data/fastq/SRR39669458_2.fastq.gz	results/rnaseq/setaria_viridis/index	false	setaria_prjna1496374	ambient	well_watered	control	ambient:control
SRR39669459	-105.989617811009	53.7018571029838	setaria_viridis	PRJNA1496374	Root	ambient CO2, control well-watered, biological replicate 2	2	paired	data/fastq/SRR39669459_1.fastq.gz	data/fastq/SRR39669459_2.fastq.gz	results/rnaseq/setaria_viridis/index	true	setaria_prjna1496374	ambient	well_watered	control	ambient:control
SRR39669468	-98.8520304656676	29.2163525835251	setaria_viridis	PRJNA1496374	Root	ambient CO2, control well-watered, biological replicate 3	3	paired	data/fastq/SRR39669468_1.fastq.gz	data/fastq/SRR39669468_2.fastq.gz	results/rnaseq/setaria_viridis/index	false	setaria_prjna1496374	ambient	well_watered	control	ambient:control
SRR39669469	0.812227432774122	-87.626863972245	setaria_viridis	PRJNA1496374	Root	ambient CO2, dehydration cycle 1, biological replicate 1	1	paired	data/fastq/SRR39669469_1.fastq.gz	data/fastq/SRR39669469_2.fastq.gz	results/rnaseq/setaria_viridis/index	false	setaria_prjna1496374	ambient	dehydration	cycle_1	ambient:cycle_1
SRR39669470	1.38285366187895	-87.5385004333671	setaria_viridis	PRJNA1496374	Root	ambient CO2, dehydration cycle 1, biological replicate 2	2	paired	data/fastq/SRR39669470_1.fastq.gz	data/fastq/SRR39669470_2.fastq.gz	results/rnaseq/setaria_viridis/index	false	setaria_prjna1496374	ambient	dehydration	cycle_1	ambient:cycle_1
SRR39669471	-2.85430905256047	-56.4341988127593	setaria_viridis	PRJNA1496374	Root	ambient CO2, dehydration cycle 1, biological replicate 3	3	paired	data/fastq/SRR39669471_1.fastq.gz	data/fastq/SRR39669471_2.fastq.gz	results/rnaseq/setaria_viridis/index	false	setaria_prjna1496374	ambient	dehydration	cycle_1	ambient:cycle_1
SRR39669472	157.326416113402	17.9919882535318	setaria_viridis	PRJNA1496374	Root	ambient CO2, dehydration cycle 3, biological replicate 1	1	paired	data/fastq/SRR39669472_1.fastq.gz	data/fastq/SRR39669472_2.fastq.gz	results/rnaseq/setaria_viridis/index	false	setaria_prjna1496374	ambient	dehydration	cycle_3	ambient:cycle_3
SRR39669473	140.989212819023	18.1128776555975	setaria_viridis	PRJNA1496374	Root	ambient CO2, dehydration cycle 3, biological replicate 2	2	paired	data/fastq/SRR39669473_1.fastq.gz	data/fastq/SRR39669473_2.fastq.gz	results/rnaseq/setaria_viridis/index	false	setaria_prjna1496374	ambient	dehydration	cycle_3	ambient:cycle_3
SRR39669474	115.564924145389	28.2831188008759	setaria_viridis	PRJNA1496374	Root	ambient CO2, dehydration cycle 3, biological replicate 3	3	paired	data/fastq/SRR39669474_1.fastq.gz	data/fastq/SRR39669474_2.fastq.gz	results/rnaseq/setaria_viridis/index	false	setaria_prjna1496374	ambient	dehydration	cycle_3	ambient:cycle_3
SRR39669475	-89.0507265418459	24.4139837280381	setaria_viridis	PRJNA1496374	Root	elevated CO2, control well-watered, biological replicate 1	1	paired	data/fastq/SRR39669475_1.fastq.gz	data/fastq/SRR39669475_2.fastq.gz	results/rnaseq/setaria_viridis/index	false	setaria_prjna1496374	elevated	well_watered	control	elevated:control
SRR39669460	-89.3788381494047	32.2191502168686	setaria_viridis	PRJNA1496374	Root	elevated CO2, control well-watered, biological replicate 2	2	paired	data/fastq/SRR39669460_1.fastq.gz	data/fastq/SRR39669460_2.fastq.gz	results/rnaseq/setaria_viridis/index	false	setaria_prjna1496374	elevated	well_watered	control	elevated:control
SRR39669461	-92.556999881396	42.3075040090715	setaria_viridis	PRJNA1496374	Root	elevated CO2, control well-watered, biological replicate 3	3	paired	data/fastq/SRR39669461_1.fastq.gz	data/fastq/SRR39669461_2.fastq.gz	results/rnaseq/setaria_viridis/index	false	setaria_prjna1496374	elevated	well_watered	control	elevated:control
SRR39669462	-53.0296800173139	-44.1710367322733	setaria_viridis	PRJNA1496374	Root	elevated CO2, dehydration cycle 1, biological replicate 1	1	paired	data/fastq/SRR39669462_1.fastq.gz	data/fastq/SRR39669462_2.fastq.gz	results/rnaseq/setaria_viridis/index	false	setaria_prjna1496374	elevated	dehydration	cycle_1	elevated:cycle_1
