sample_id	species	bioproject	analysis_group	design_cell	raw_library_size	detected_ge_1	detected_ge_10	size_factor	status	mapping_flag	num_processed	num_mapped	percent_mapped	library_types	salmon_version	index_seq_hash	index_name_hash	expected_format	compatible_fragment_ratio	elapsed_seconds
SRR39669458	setaria_viridis	PRJNA1496374	setaria_prjna1496374	ambient:control	44427215.009	29446	24450	1.31180513623299	pass	pass	53554537	44427215	82.9569584365933	ISR	1.11.4	2e9d8f852d0493b4538da444ecbec23f0156f3723f3a4130a8b663eb7d269a93	5f887f7e5d46539ba197b1b59f1f8f7592ffb0347d89706e08becb7381cf95cf	ISR	1	381
SRR39669459	setaria_viridis	PRJNA1496374	setaria_prjna1496374	ambient:control	35635145.023	29982	24687	1.14340735833212	pass	pass	47191075	35635145	75.5124671349402	ISR	1.11.4	2e9d8f852d0493b4538da444ecbec23f0156f3723f3a4130a8b663eb7d269a93	5f887f7e5d46539ba197b1b59f1f8f7592ffb0347d89706e08becb7381cf95cf	ISR	1	343
SRR39669468	setaria_viridis	PRJNA1496374	setaria_prjna1496374	ambient:control	35767156.974	29585	24502	1.1464713121992	pass	pass	49895583	35767157	71.6840145950394	ISR	1.11.4	2e9d8f852d0493b4538da444ecbec23f0156f3723f3a4130a8b663eb7d269a93	5f887f7e5d46539ba197b1b59f1f8f7592ffb0347d89706e08becb7381cf95cf	ISR	1	508
SRR39669469	setaria_viridis	PRJNA1496374	setaria_prjna1496374	ambient:cycle_1	46135665.987	29653	24386	1.20582726891286	pass	pass	56716337	46135666	81.3445797813071	ISR	1.11.4	2e9d8f852d0493b4538da444ecbec23f0156f3723f3a4130a8b663eb7d269a93	5f887f7e5d46539ba197b1b59f1f8f7592ffb0347d89706e08becb7381cf95cf	ISR	1	605
SRR39669470	setaria_viridis	PRJNA1496374	setaria_prjna1496374	ambient:cycle_1	45697177.97	29512	24480	1.19943272167085	pass	pass	56485144	45697178	80.9012330746647	ISR	1.11.4	2e9d8f852d0493b4538da444ecbec23f0156f3723f3a4130a8b663eb7d269a93	5f887f7e5d46539ba197b1b59f1f8f7592ffb0347d89706e08becb7381cf95cf	ISR	1	404
SRR39669471	setaria_viridis	PRJNA1496374	setaria_prjna1496374	ambient:cycle_1	47581957.027	29542	24347	1.30758097879387	pass	pass	59957399	47581957	79.3596083112278	ISR	1.11.4	2e9d8f852d0493b4538da444ecbec23f0156f3723f3a4130a8b663eb7d269a93	5f887f7e5d46539ba197b1b59f1f8f7592ffb0347d89706e08becb7381cf95cf	ISR	1	423
SRR39669472	setaria_viridis	PRJNA1496374	setaria_prjna1496374	ambient:cycle_3	42125772.996	28008	22024	0.576543378598473	pass	pass	55221604	42125773	76.2849499989171	ISR	1.11.4	2e9d8f852d0493b4538da444ecbec23f0156f3723f3a4130a8b663eb7d269a93	5f887f7e5d46539ba197b1b59f1f8f7592ffb0347d89706e08becb7381cf95cf	ISR	1	392
SRR39669473	setaria_viridis	PRJNA1496374	setaria_prjna1496374	ambient:cycle_3	38901085.928	28655	22672	0.665785999739903	pass	pass	49086673	38901086	79.2497914861739	ISR	1.11.4	2e9d8f852d0493b4538da444ecbec23f0156f3723f3a4130a8b663eb7d269a93	5f887f7e5d46539ba197b1b59f1f8f7592ffb0347d89706e08becb7381cf95cf	ISR	1	512
SRR39669474	setaria_viridis	PRJNA1496374	setaria_prjna1496374	ambient:cycle_3	46524456.97	29024	23092	0.890373866022769	pass	pass	58532270	46524457	79.4851404191226	ISR	1.11.4	2e9d8f852d0493b4538da444ecbec23f0156f3723f3a4130a8b663eb7d269a93	5f887f7e5d46539ba197b1b59f1f8f7592ffb0347d89706e08becb7381cf95cf	ISR	1	607
SRR39669475	setaria_viridis	PRJNA1496374	setaria_prjna1496374	elevated:control	41352746.995	30494	25340	1.3876298653169	pass	pass	54262498	41352747	76.2087049512538	ISR	1.11.4	2e9d8f852d0493b4538da444ecbec23f0156f3723f3a4130a8b663eb7d269a93	5f887f7e5d46539ba197b1b59f1f8f7592ffb0347d89706e08becb7381cf95cf	ISR	1	385
SRR39669460	setaria_viridis	PRJNA1496374	setaria_prjna1496374	elevated:control	41790904.965	30614	25211	1.36433175211091	pass	pass	57156439	41790905	73.116705188719	ISR	1.11.4	2e9d8f852d0493b4538da444ecbec23f0156f3723f3a4130a8b663eb7d269a93	5f887f7e5d46539ba197b1b59f1f8f7592ffb0347d89706e08becb7381cf95cf	ISR	1	410
SRR39669461	setaria_viridis	PRJNA1496374	setaria_prjna1496374	elevated:control	38667458.012	29684	24703	1.15323264746665	pass	pass	50735728	38667458	76.2134683471971	ISR	1.11.4	2e9d8f852d0493b4538da444ecbec23f0156f3723f3a4130a8b663eb7d269a93	5f887f7e5d46539ba197b1b59f1f8f7592ffb0347d89706e08becb7381cf95cf	ISR	1	514
SRR39669462	setaria_viridis	PRJNA1496374	setaria_prjna1496374	elevated:cycle_1	35809395.995	29545	24355	1.11793056626668	pass	pass	45278943	35809396	79.0862012834531	ISR	1.11.4	2e9d8f852d0493b4538da444ecbec23f0156f3723f3a4130a8b663eb7d269a93	5f887f7e5d46539ba197b1b59f1f8f7592ffb0347d89706e08becb7381cf95cf	ISR	1	332
SRR39669463	setaria_viridis	PRJNA1496374	setaria_prjna1496374	elevated:cycle_1	39417964.048	29968	24724	1.26616914904717	pass	pass	50111051	39417964	78.6612198574721	ISR	1.11.4	2e9d8f852d0493b4538da444ecbec23f0156f3723f3a4130a8b663eb7d269a93	5f887f7e5d46539ba197b1b59f1f8f7592ffb0347d89706e08becb7381cf95cf	ISR	1	531
SRR39669464	setaria_viridis	PRJNA1496374	setaria_prjna1496374	elevated:cycle_1	39586286.991	29726	24590	1.2442232197612	pass	pass	49987762	39586287	79.191957023401	ISR	1.11.4	2e9d8f852d0493b4538da444ecbec23f0156f3723f3a4130a8b663eb7d269a93	5f887f7e5d46539ba197b1b59f1f8f7592ffb0347d89706e08becb7381cf95cf	ISR	1	364
SRR39669465	setaria_viridis	PRJNA1496374	setaria_prjna1496374	elevated:cycle_3	40705987	28543	22896	0.738640868060513	pass	pass	51833912	40705987	78.5315740783756	ISR	1.11.4	2e9d8f852d0493b4538da444ecbec23f0156f3723f3a4130a8b663eb7d269a93	5f887f7e5d46539ba197b1b59f1f8f7592ffb0347d89706e08becb7381cf95cf	ISR	1	374
SRR39669466	setaria_viridis	PRJNA1496374	setaria_prjna1496374	elevated:cycle_3	35993109.014	28534	22603	0.635867036895081	pass	warning	52616216	35993109	68.4068747931246	ISR	1.11.4	2e9d8f852d0493b4538da444ecbec23f0156f3723f3a4130a8b663eb7d269a93	5f887f7e5d46539ba197b1b59f1f8f7592ffb0347d89706e08becb7381cf95cf	ISR	1	526
SRR39669467	setaria_viridis	PRJNA1496374	setaria_prjna1496374	elevated:cycle_3	30629459.937	28468	22630	0.576489588284563	pass	warning	47976392	30629460	63.8427750048399	ISR	1.11.4	2e9d8f852d0493b4538da444ecbec23f0156f3723f3a4130a8b663eb7d269a93	5f887f7e5d46539ba197b1b59f1f8f7592ffb0347d89706e08becb7381cf95cf	ISR	1	345
