sample_id_1	sample_id_2	spearman_correlation
SRR14935707	SRR14935707	1
SRR14935708	SRR14935707	0.966990086139696
SRR14935709	SRR14935707	0.942873544210011
SRR14935710	SRR14935707	0.979016950823627
SRR14935703	SRR14935707	0.86842407995794
SRR14935704	SRR14935707	0.969123685447854
SRR14935705	SRR14935707	0.968276805586045
SRR14935706	SRR14935707	0.841926288585253
SRR14935707	SRR14935708	0.966990086139696
SRR14935708	SRR14935708	1
SRR14935709	SRR14935708	0.89595918525436
SRR14935710	SRR14935708	0.957816505868232
SRR14935703	SRR14935708	0.819309524605223
SRR14935704	SRR14935708	0.946362133074021
SRR14935705	SRR14935708	0.930594328624013
SRR14935706	SRR14935708	0.790454088762595
SRR14935707	SRR14935709	0.942873544210011
SRR14935708	SRR14935709	0.89595918525436
SRR14935709	SRR14935709	1
SRR14935710	SRR14935709	0.953817450392857
SRR14935703	SRR14935709	0.941388604319255
SRR14935704	SRR14935709	0.938889381029619
SRR14935705	SRR14935709	0.943482415182377
SRR14935706	SRR14935709	0.91280614245044
SRR14935707	SRR14935710	0.979016950823627
SRR14935708	SRR14935710	0.957816505868232
SRR14935709	SRR14935710	0.953817450392857
SRR14935710	SRR14935710	1
SRR14935703	SRR14935710	0.888929607617429
SRR14935704	SRR14935710	0.960836823731005
SRR14935705	SRR14935710	0.954885955644228
SRR14935706	SRR14935710	0.866786448607947
SRR14935707	SRR14935703	0.86842407995794
SRR14935708	SRR14935703	0.819309524605223
SRR14935709	SRR14935703	0.941388604319255
SRR14935710	SRR14935703	0.888929607617429
SRR14935703	SRR14935703	1
SRR14935704	SRR14935703	0.848104601029779
SRR14935705	SRR14935703	0.853611969356362
SRR14935706	SRR14935703	0.960995608862079
SRR14935707	SRR14935704	0.969123685447854
SRR14935708	SRR14935704	0.946362133074021
SRR14935709	SRR14935704	0.938889381029619
SRR14935710	SRR14935704	0.960836823731005
SRR14935703	SRR14935704	0.848104601029779
SRR14935704	SRR14935704	1
SRR14935705	SRR14935704	0.972945285198394
SRR14935706	SRR14935704	0.821224254254984
SRR14935707	SRR14935705	0.968276805586045
SRR14935708	SRR14935705	0.930594328624013
SRR14935709	SRR14935705	0.943482415182377
SRR14935710	SRR14935705	0.954885955644228
SRR14935703	SRR14935705	0.853611969356362
SRR14935704	SRR14935705	0.972945285198394
SRR14935705	SRR14935705	1
SRR14935706	SRR14935705	0.818973878862071
SRR14935707	SRR14935706	0.841926288585253
SRR14935708	SRR14935706	0.790454088762595
SRR14935709	SRR14935706	0.91280614245044
SRR14935710	SRR14935706	0.866786448607947
SRR14935703	SRR14935706	0.960995608862079
SRR14935704	SRR14935706	0.821224254254984
SRR14935705	SRR14935706	0.818973878862071
SRR14935706	SRR14935706	1
