sample_id_1	sample_id_2	euclidean_distance
SRR14935707	SRR14935707	0
SRR14935708	SRR14935707	72.3430086289701
SRR14935709	SRR14935707	95.2371016667664
SRR14935710	SRR14935707	57.9882944797047
SRR14935703	SRR14935707	142.464391927784
SRR14935704	SRR14935707	74.7788036682138
SRR14935705	SRR14935707	70.7209206111908
SRR14935706	SRR14935707	162.588432005818
SRR14935707	SRR14935708	72.3430086289701
SRR14935708	SRR14935708	0
SRR14935709	SRR14935708	130.362825829121
SRR14935710	SRR14935708	81.673957533538
SRR14935703	SRR14935708	169.662216315403
SRR14935704	SRR14935708	95.922448726635
SRR14935705	SRR14935708	105.525794045863
SRR14935706	SRR14935708	190.200366550346
SRR14935707	SRR14935709	95.2371016667664
SRR14935708	SRR14935709	130.362825829121
SRR14935709	SRR14935709	0
SRR14935710	SRR14935709	84.8932948128269
SRR14935703	SRR14935709	94.2411071374598
SRR14935704	SRR14935709	99.6323454340268
SRR14935705	SRR14935709	94.120672491763
SRR14935706	SRR14935709	121.202326039516
SRR14935707	SRR14935710	57.9882944797047
SRR14935708	SRR14935710	81.673957533538
SRR14935709	SRR14935710	84.8932948128269
SRR14935710	SRR14935710	0
SRR14935703	SRR14935710	130.144982480858
SRR14935704	SRR14935710	80.6090444265423
SRR14935705	SRR14935710	84.5532362073226
SRR14935706	SRR14935710	149.465440766839
SRR14935707	SRR14935703	142.464391927784
SRR14935708	SRR14935703	169.662216315403
SRR14935709	SRR14935703	94.2411071374598
SRR14935710	SRR14935703	130.144982480858
SRR14935703	SRR14935703	0
SRR14935704	SRR14935703	155.617184516131
SRR14935705	SRR14935703	150.916048527364
SRR14935706	SRR14935703	83.4761606124665
SRR14935707	SRR14935704	74.7788036682138
SRR14935708	SRR14935704	95.922448726635
SRR14935709	SRR14935704	99.6323454340268
SRR14935710	SRR14935704	80.6090444265423
SRR14935703	SRR14935704	155.617184516131
SRR14935704	SRR14935704	0
SRR14935705	SRR14935704	68.2222439527904
SRR14935706	SRR14935704	176.565766688964
SRR14935707	SRR14935705	70.7209206111908
SRR14935708	SRR14935705	105.525794045863
SRR14935709	SRR14935705	94.120672491763
SRR14935710	SRR14935705	84.5532362073226
SRR14935703	SRR14935705	150.916048527364
SRR14935704	SRR14935705	68.2222439527904
SRR14935705	SRR14935705	0
SRR14935706	SRR14935705	174.766718376215
SRR14935707	SRR14935706	162.588432005818
SRR14935708	SRR14935706	190.200366550346
SRR14935709	SRR14935706	121.202326039516
SRR14935710	SRR14935706	149.465440766839
SRR14935703	SRR14935706	83.4761606124665
SRR14935704	SRR14935706	176.565766688964
SRR14935705	SRR14935706	174.766718376215
SRR14935706	SRR14935706	0
