sample_id_1	sample_id_2	spearman_correlation
SRR26553585	SRR26553585	1
SRR26553586	SRR26553585	0.876487167071985
SRR26553587	SRR26553585	0.822617810049649
SRR26553588	SRR26553585	0.816981277491456
SRR26553594	SRR26553585	0.98657948863969
SRR26553593	SRR26553585	0.978607990825196
SRR26553585	SRR26553586	0.876487167071985
SRR26553586	SRR26553586	1
SRR26553587	SRR26553586	0.960759555665808
SRR26553588	SRR26553586	0.934157785839453
SRR26553594	SRR26553586	0.872249271916903
SRR26553593	SRR26553586	0.858330893824256
SRR26553585	SRR26553587	0.822617810049649
SRR26553586	SRR26553587	0.960759555665808
SRR26553587	SRR26553587	1
SRR26553588	SRR26553587	0.928113640253483
SRR26553594	SRR26553587	0.818975079364095
SRR26553593	SRR26553587	0.801358855367186
SRR26553585	SRR26553588	0.816981277491456
SRR26553586	SRR26553588	0.934157785839453
SRR26553587	SRR26553588	0.928113640253483
SRR26553588	SRR26553588	1
SRR26553594	SRR26553588	0.822233676951648
SRR26553593	SRR26553588	0.815208802779472
SRR26553585	SRR26553594	0.98657948863969
SRR26553586	SRR26553594	0.872249271916903
SRR26553587	SRR26553594	0.818975079364095
SRR26553588	SRR26553594	0.822233676951648
SRR26553594	SRR26553594	1
SRR26553593	SRR26553594	0.986524319852373
SRR26553585	SRR26553593	0.978607990825196
SRR26553586	SRR26553593	0.858330893824256
SRR26553587	SRR26553593	0.801358855367186
SRR26553588	SRR26553593	0.815208802779472
SRR26553594	SRR26553593	0.986524319852373
SRR26553593	SRR26553593	1
