sample_id_1	sample_id_2	spearman_correlation
SRR33083344	SRR33083344	1
SRR33083345	SRR33083344	0.971256588765037
SRR33083338	SRR33083344	0.987325449407854
SRR33083351	SRR33083344	0.956754450920399
SRR33083339	SRR33083344	0.956752022072345
SRR33083340	SRR33083344	0.957293858788049
SRR33083352	SRR33083344	0.9218605151823
SRR33083346	SRR33083344	0.925695804515281
SRR33083347	SRR33083344	0.925692598945791
SRR33083355	SRR33083344	0.920475356092941
SRR33083354	SRR33083344	0.921412700456925
SRR33083353	SRR33083344	0.914311076432076
SRR33083344	SRR33083345	0.971256588765037
SRR33083345	SRR33083345	1
SRR33083338	SRR33083345	0.986866334984881
SRR33083351	SRR33083345	0.963239481547397
SRR33083339	SRR33083345	0.964346431474988
SRR33083340	SRR33083345	0.96456090898334
SRR33083352	SRR33083345	0.939673411932178
SRR33083346	SRR33083345	0.942158650225015
SRR33083347	SRR33083345	0.94031619046145
SRR33083355	SRR33083345	0.937488252624215
SRR33083354	SRR33083345	0.938621884660718
SRR33083353	SRR33083345	0.932881925975494
SRR33083344	SRR33083338	0.987325449407854
SRR33083345	SRR33083338	0.986866334984881
SRR33083338	SRR33083338	1
SRR33083351	SRR33083338	0.962376650349127
SRR33083339	SRR33083338	0.96293510287923
SRR33083340	SRR33083338	0.963240413866251
SRR33083352	SRR33083338	0.9342511295401
SRR33083346	SRR33083338	0.937241065224978
SRR33083347	SRR33083338	0.93566733695123
SRR33083355	SRR33083338	0.931340098325657
SRR33083354	SRR33083338	0.932546571553747
SRR33083353	SRR33083338	0.925980350565414
SRR33083344	SRR33083351	0.956754450920399
SRR33083345	SRR33083351	0.963239481547397
SRR33083338	SRR33083351	0.962376650349127
SRR33083351	SRR33083351	1
SRR33083339	SRR33083351	0.98916650315989
SRR33083340	SRR33083351	0.990722248142611
SRR33083352	SRR33083351	0.952153228383201
SRR33083346	SRR33083351	0.956723279469195
SRR33083347	SRR33083351	0.961733780884678
SRR33083355	SRR33083351	0.957378879918624
SRR33083354	SRR33083351	0.960984121305048
SRR33083353	SRR33083351	0.955017076542251
SRR33083344	SRR33083339	0.956752022072345
SRR33083345	SRR33083339	0.964346431474988
SRR33083338	SRR33083339	0.96293510287923
SRR33083351	SRR33083339	0.98916650315989
SRR33083339	SRR33083339	1
SRR33083340	SRR33083339	0.990534301810116
SRR33083352	SRR33083339	0.949068119088209
SRR33083346	SRR33083339	0.954427072032863
SRR33083347	SRR33083339	0.959809486225458
SRR33083355	SRR33083339	0.956703401835407
SRR33083354	SRR33083339	0.959797311203766
SRR33083353	SRR33083339	0.952778361673451
SRR33083344	SRR33083340	0.957293858788049
SRR33083345	SRR33083340	0.96456090898334
SRR33083338	SRR33083340	0.963240413866251
SRR33083351	SRR33083340	0.990722248142611
SRR33083339	SRR33083340	0.990534301810116
SRR33083340	SRR33083340	1
SRR33083352	SRR33083340	0.950502946583674
SRR33083346	SRR33083340	0.955859037021442
SRR33083347	SRR33083340	0.961057866569752
SRR33083355	SRR33083340	0.957851078242982
SRR33083354	SRR33083340	0.961165619020448
SRR33083353	SRR33083340	0.954457332107081
SRR33083344	SRR33083352	0.9218605151823
SRR33083345	SRR33083352	0.939673411932178
SRR33083338	SRR33083352	0.9342511295401
SRR33083351	SRR33083352	0.952153228383201
SRR33083339	SRR33083352	0.949068119088209
SRR33083340	SRR33083352	0.950502946583674
SRR33083352	SRR33083352	1
SRR33083346	SRR33083352	0.987459696276308
SRR33083347	SRR33083352	0.983001835678099
SRR33083355	SRR33083352	0.971908826340145
SRR33083354	SRR33083352	0.976515943118246
SRR33083353	SRR33083352	0.976077268356573
SRR33083344	SRR33083346	0.925695804515281
SRR33083345	SRR33083346	0.942158650225015
SRR33083338	SRR33083346	0.937241065224978
SRR33083351	SRR33083346	0.956723279469195
SRR33083339	SRR33083346	0.954427072032863
SRR33083340	SRR33083346	0.955859037021442
SRR33083352	SRR33083346	0.987459696276308
