sample_id_1	sample_id_2	euclidean_distance
SRR33083344	SRR33083344	0
SRR33083345	SRR33083344	108.736465001896
SRR33083338	SRR33083344	70.775205259472
SRR33083351	SRR33083344	135.176987819362
SRR33083339	SRR33083344	134.692483403242
SRR33083340	SRR33083344	134.000966301928
SRR33083352	SRR33083344	183.495827257357
SRR33083346	SRR33083344	178.50511462964
SRR33083347	SRR33083344	178.256921367803
SRR33083355	SRR33083344	183.708712621208
SRR33083354	SRR33083344	182.514568922594
SRR33083353	SRR33083344	191.756947654708
SRR33083344	SRR33083345	108.736465001896
SRR33083345	SRR33083345	0
SRR33083338	SRR33083345	71.5714156825701
SRR33083351	SRR33083345	123.042731635575
SRR33083339	SRR33083345	120.589889224242
SRR33083340	SRR33083345	120.169934848287
SRR33083352	SRR33083345	159.213820152424
SRR33083346	SRR33083345	155.073085062001
SRR33083347	SRR33083345	157.397997692143
SRR33083355	SRR33083345	160.318671630858
SRR33083354	SRR33083345	158.681722858053
SRR33083353	SRR33083345	167.329090117474
SRR33083344	SRR33083338	70.775205259472
SRR33083345	SRR33083338	71.5714156825701
SRR33083338	SRR33083338	0
SRR33083351	SRR33083338	124.864167556148
SRR33083339	SRR33083338	123.332301040333
SRR33083340	SRR33083338	122.826607857665
SRR33083352	SRR33083338	166.735142938144
SRR33083346	SRR33083338	162.215714284668
SRR33083347	SRR33083338	164.038051401463
SRR33083355	SRR33083338	168.788738853055
SRR33083354	SRR33083338	167.124831725272
SRR33083353	SRR33083338	176.432177501426
SRR33083344	SRR33083351	135.176987819362
SRR33083345	SRR33083351	123.042731635575
SRR33083338	SRR33083351	124.864167556148
SRR33083351	SRR33083351	0
SRR33083339	SRR33083351	65.046004432833
SRR33083340	SRR33083351	59.8575508997617
SRR33083352	SRR33083351	144.168867056184
SRR33083346	SRR33083351	137.518088688836
SRR33083347	SRR33083351	128.396100502698
SRR33083355	SRR33083351	135.159878550072
SRR33083354	SRR33083351	129.401107446143
SRR33083353	SRR33083351	139.594785233299
SRR33083344	SRR33083339	134.692483403242
SRR33083345	SRR33083339	120.589889224242
SRR33083338	SRR33083339	123.332301040333
SRR33083351	SRR33083339	65.046004432833
SRR33083339	SRR33083339	0
SRR33083340	SRR33083339	60.3394376103381
SRR33083352	SRR33083339	149.039304767969
SRR33083346	SRR33083339	141.363154071652
SRR33083347	SRR33083339	131.852252287238
SRR33083355	SRR33083339	136.622171929488
SRR33083354	SRR33083339	131.682736645432
SRR33083353	SRR33083339	143.507070498746
SRR33083344	SRR33083340	134.000966301928
SRR33083345	SRR33083340	120.169934848287
SRR33083338	SRR33083340	122.826607857665
SRR33083351	SRR33083340	59.8575508997617
SRR33083339	SRR33083340	60.3394376103381
SRR33083340	SRR33083340	0
SRR33083352	SRR33083340	146.598876329288
SRR33083346	SRR33083340	138.569071321907
SRR33083347	SRR33083340	129.526795439648
SRR33083355	SRR33083340	134.522808804772
SRR33083354	SRR33083340	129.160461563351
SRR33083353	SRR33083340	140.626668746477
SRR33083344	SRR33083352	183.495827257357
SRR33083345	SRR33083352	159.213820152424
SRR33083338	SRR33083352	166.735142938144
SRR33083351	SRR33083352	144.168867056184
SRR33083339	SRR33083352	149.039304767969
SRR33083340	SRR33083352	146.598876329288
SRR33083352	SRR33083352	0
SRR33083346	SRR33083352	71.3734947826128
SRR33083347	SRR33083352	81.2474607124964
SRR33083355	SRR33083352	105.755006858808
SRR33083354	SRR33083352	96.040105246054
SRR33083353	SRR33083352	97.264549885728
SRR33083344	SRR33083346	178.50511462964
SRR33083345	SRR33083346	155.073085062001
SRR33083338	SRR33083346	162.215714284668
SRR33083351	SRR33083346	137.518088688836
SRR33083339	SRR33083346	141.363154071652
SRR33083340	SRR33083346	138.569071321907
SRR33083352	SRR33083346	71.3734947826128
SRR33083346	SRR33083346	0
SRR33083347	SRR33083346	69.3105983068439
SRR33083355	SRR33083346	97.6988110528872
SRR33083354	SRR33083346	91.370229751249
SRR33083353	SRR33083346	91.9968361108399
SRR33083344	SRR33083347	178.256921367803
SRR33083345	SRR33083347	157.397997692143
SRR33083338	SRR33083347	164.038051401463
SRR33083351	SRR33083347	128.396100502698
SRR33083339	SRR33083347	131.852252287238
SRR33083340	SRR33083347	129.526795439648
SRR33083352	SRR33083347	81.2474607124964
SRR33083346	SRR33083347	69.3105983068439
SRR33083347	SRR33083347	0
SRR33083355	SRR33083347	90.0257002954391
SRR33083354	SRR33083347	81.9111966196753
SRR33083353	SRR33083347	83.6796587946678
SRR33083344	SRR33083355	183.708712621208
SRR33083345	SRR33083355	160.318671630858
SRR33083338	SRR33083355	168.788738853055
SRR33083351	SRR33083355	135.159878550072
SRR33083339	SRR33083355	136.622171929488
SRR33083340	SRR33083355	134.522808804772
SRR33083352	SRR33083355	105.755006858808
SRR33083346	SRR33083355	97.6988110528872
SRR33083347	SRR33083355	90.0257002954391
SRR33083355	SRR33083355	0
SRR33083354	SRR33083355	64.0582094061514
SRR33083353	SRR33083355	72.9667700221539
SRR33083344	SRR33083354	182.514568922594
SRR33083345	SRR33083354	158.681722858053
SRR33083338	SRR33083354	167.124831725272
SRR33083351	SRR33083354	129.401107446143
SRR33083339	SRR33083354	131.682736645432
SRR33083340	SRR33083354	129.160461563351
SRR33083352	SRR33083354	96.040105246054
SRR33083346	SRR33083354	91.370229751249
SRR33083347	SRR33083354	81.9111966196753
SRR33083355	SRR33083354	64.0582094061514
SRR33083354	SRR33083354	0
SRR33083353	SRR33083354	63.9278681312355
SRR33083344	SRR33083353	191.756947654708
SRR33083345	SRR33083353	167.329090117474
