sample_id	species	bioproject	analysis_group	design_cell	raw_library_size	detected_ge_1	detected_ge_10	size_factor	status	mapping_flag	num_processed	num_mapped	percent_mapped	library_types	salmon_version	index_seq_hash	index_name_hash	expected_format	compatible_fragment_ratio	elapsed_seconds
SRR33083344	triticum_aestivum	PRJNA1249400	wheat_prjna1249400	elevated:drought	41118689.214	68953	55311	1.03604265005738	pass	pass	49055624	41118689	83.8205401280799	IU	1.11.4	2ea49de8dd8846be899adcd6c9493f86e5a1f4f5e3de7075839406ee6f899609	794d7b6006a8d2f5ad55799f19d60212261855d232131f42c41fe86757db109a	IU	1	659
SRR33083345	triticum_aestivum	PRJNA1249400	wheat_prjna1249400	elevated:drought	36713638.041	68695	54923	0.943417765726242	pass	pass	43412252	36713638	84.5697615502647	IU	1.11.4	2ea49de8dd8846be899adcd6c9493f86e5a1f4f5e3de7075839406ee6f899609	794d7b6006a8d2f5ad55799f19d60212261855d232131f42c41fe86757db109a	IU	1	510
SRR33083338	triticum_aestivum	PRJNA1249400	wheat_prjna1249400	elevated:drought	36125442.022	68811	54803	0.916996906867244	pass	pass	42733163	36125442	84.5372527186906	IU	1.11.4	2ea49de8dd8846be899adcd6c9493f86e5a1f4f5e3de7075839406ee6f899609	794d7b6006a8d2f5ad55799f19d60212261855d232131f42c41fe86757db109a	IU	1	654
SRR33083351	triticum_aestivum	PRJNA1249400	wheat_prjna1249400	elevated:well_watered	38396425.986	67287	54419	1.0253869131277	pass	pass	45366670	38396426	84.6357601296282	IU	1.11.4	2ea49de8dd8846be899adcd6c9493f86e5a1f4f5e3de7075839406ee6f899609	794d7b6006a8d2f5ad55799f19d60212261855d232131f42c41fe86757db109a	IU	1	620
SRR33083339	triticum_aestivum	PRJNA1249400	wheat_prjna1249400	elevated:well_watered	35493084.101	66933	53862	0.922051670363494	pass	pass	41927758	35493084	84.6529499621706	IU	1.11.4	2ea49de8dd8846be899adcd6c9493f86e5a1f4f5e3de7075839406ee6f899609	794d7b6006a8d2f5ad55799f19d60212261855d232131f42c41fe86757db109a	IU	1	415
SRR33083340	triticum_aestivum	PRJNA1249400	wheat_prjna1249400	elevated:well_watered	38420937.991	67143	54334	1.01060869712519	pass	pass	45423715	38420938	84.5834340057831	IU	1.11.4	2ea49de8dd8846be899adcd6c9493f86e5a1f4f5e3de7075839406ee6f899609	794d7b6006a8d2f5ad55799f19d60212261855d232131f42c41fe86757db109a	IU	1	607
SRR33083352	triticum_aestivum	PRJNA1249400	wheat_prjna1249400	ambient:drought	40573390.932	67830	55749	1.1133708334173	pass	pass	47652963	40573391	85.1434799552758	IU	1.11.4	2ea49de8dd8846be899adcd6c9493f86e5a1f4f5e3de7075839406ee6f899609	794d7b6006a8d2f5ad55799f19d60212261855d232131f42c41fe86757db109a	IU	1	597
SRR33083346	triticum_aestivum	PRJNA1249400	wheat_prjna1249400	ambient:drought	35574215.052	67548	55123	0.983054977016322	pass	pass	42014164	35574215	84.6719572951636	IU	1.11.4	2ea49de8dd8846be899adcd6c9493f86e5a1f4f5e3de7075839406ee6f899609	794d7b6006a8d2f5ad55799f19d60212261855d232131f42c41fe86757db109a	IU	1	480
SRR33083347	triticum_aestivum	PRJNA1249400	wheat_prjna1249400	ambient:drought	37808106.95	67843	55483	1.0687157487882	pass	pass	44954757	37808107	84.1025722817276	IU	1.11.4	2ea49de8dd8846be899adcd6c9493f86e5a1f4f5e3de7075839406ee6f899609	794d7b6006a8d2f5ad55799f19d60212261855d232131f42c41fe86757db109a	IU	1	456
SRR33083355	triticum_aestivum	PRJNA1249400	wheat_prjna1249400	ambient:well_watered	36601695.998	68037	55700	1.06380965187109	pass	pass	43926311	36601696	83.325221642218	IU	1.11.4	2ea49de8dd8846be899adcd6c9493f86e5a1f4f5e3de7075839406ee6f899609	794d7b6006a8d2f5ad55799f19d60212261855d232131f42c41fe86757db109a	IU	1	443
SRR33083354	triticum_aestivum	PRJNA1249400	wheat_prjna1249400	ambient:well_watered	35549378.904	68538	55494	1.02429760576839	pass	pass	43068225	35549379	82.5420109605167	IU	1.11.4	2ea49de8dd8846be899adcd6c9493f86e5a1f4f5e3de7075839406ee6f899609	794d7b6006a8d2f5ad55799f19d60212261855d232131f42c41fe86757db109a	IU	1	525
SRR33083353	triticum_aestivum	PRJNA1249400	wheat_prjna1249400	ambient:well_watered	34272865.033	68384	55272	1.00239100947824	pass	pass	41755075	34272865	82.0807171343843	IU	1.11.4	2ea49de8dd8846be899adcd6c9493f86e5a1f4f5e3de7075839406ee6f899609	794d7b6006a8d2f5ad55799f19d60212261855d232131f42c41fe86757db109a	IU	1	548
