feature_id	SRR26553587
GLYMA_01G000100	30.137
GLYMA_01G000200	188.399
GLYMA_01G000300	9.786
GLYMA_01G000400	279
GLYMA_01G000500	1
GLYMA_01G000600	218.038
GLYMA_01G000700	67.575
GLYMA_01G000800	0
GLYMA_01G000900	298.942
GLYMA_01G001000	431.283
GLYMA_01G001100	612.085
GLYMA_01G001200	14.546
GLYMA_01G001300	2315.041
GLYMA_01G001400	0
GLYMA_01G001500	0
GLYMA_01G001600	142.56
GLYMA_01G001700	135.891
GLYMA_01G001800	10
GLYMA_01G001900	0
GLYMA_01G002000	35
GLYMA_01G002100	834.004
GLYMA_01G002200	292.926
GLYMA_01G002300	0
GLYMA_01G002400	323.099
GLYMA_01G002500	0
GLYMA_01G002600	495.168
GLYMA_01G002700	340.363
GLYMA_01G002800	0
GLYMA_01G002900	82.273
GLYMA_01G003000	484.047
GLYMA_01G003100	74.017
GLYMA_01G003200	28.19
GLYMA_01G003300	0
GLYMA_01G003400	191.011
GLYMA_01G003500	1
GLYMA_01G003600	114
GLYMA_01G003700	270.006
GLYMA_01G003800	302.09
GLYMA_01G003900	0
GLYMA_01G004000	9
GLYMA_01G004100	175.66
GLYMA_01G004200	56.438
GLYMA_01G004300	978.228
GLYMA_01G004400	6
GLYMA_01G004500	515.172
GLYMA_01G004600	52
GLYMA_01G004700	15
GLYMA_01G004800	4
GLYMA_01G004900	5
GLYMA_01G005000	240
GLYMA_01G005100	10
GLYMA_01G005200	35.034
GLYMA_01G005300	217.701
GLYMA_01G005400	2382.639
GLYMA_01G005500	34
GLYMA_01G005600	46
GLYMA_01G005700	0
GLYMA_01G005800	14
GLYMA_01G005900	0
GLYMA_01G006000	17
GLYMA_01G006100	1231.708
GLYMA_01G006200	168.029
GLYMA_01G006300	0
GLYMA_01G006400	529.665
GLYMA_01G006500	307.718
GLYMA_01G006600	326.041
GLYMA_01G006700	351.042
GLYMA_01G006800	48.037
GLYMA_01G006900	529.027
GLYMA_01G007000	29
GLYMA_01G007100	2
GLYMA_01G007200	496.344
GLYMA_01G007300	6
GLYMA_01G007400	110.033
GLYMA_01G007500	8
GLYMA_01G007600	0
GLYMA_01G007700	299
GLYMA_01G007800	41
GLYMA_01G007900	0
GLYMA_01G008000	123.29
GLYMA_01G008100	28
GLYMA_01G008200	0
GLYMA_01G008300	0
GLYMA_01G008400	213.169
GLYMA_01G008500	2314.882
GLYMA_01G008600	872.679
GLYMA_01G008700	39
GLYMA_01G008800	148.12
GLYMA_01G008900	431.936
GLYMA_01G009000	3
GLYMA_01G009100	0
GLYMA_01G009200	2943.965
GLYMA_01G009300	1113.339
GLYMA_01G009400	168
GLYMA_01G009500	40
GLYMA_01G009600	37
GLYMA_01G009700	190
GLYMA_01G009800	141
GLYMA_01G009900	547.993
GLYMA_01G010000	136
GLYMA_01G010100	430.029
GLYMA_01G010200	15925.867
GLYMA_01G010300	1003.561
GLYMA_01G010400	602.022
GLYMA_01G010500	58.98
GLYMA_01G010600	727.632
GLYMA_01G010700	0
GLYMA_01G010800	180.25
GLYMA_01G010900	107.422
GLYMA_01G011000	13
GLYMA_01G011100	493.824
GLYMA_01G011200	428.687
GLYMA_01G011300	888.007
GLYMA_01G011400	45
GLYMA_01G011500	160.107
GLYMA_01G011600	1.002
GLYMA_01G011700	29.618
GLYMA_01G011800	0
GLYMA_01G011900	122.012
GLYMA_01G012000	114
GLYMA_01G012100	264.038
GLYMA_01G012200	64
GLYMA_01G012300	52
GLYMA_01G012400	287.026
GLYMA_01G012500	625.885
GLYMA_01G012600	0
GLYMA_01G012700	217.856
GLYMA_01G012800	0
GLYMA_01G012900	0
GLYMA_01G013000	0
GLYMA_01G013100	1
GLYMA_01G013200	0
GLYMA_01G013300	0
GLYMA_01G013400	0
GLYMA_01G013500	114.104
GLYMA_01G013600	276.013
GLYMA_01G013700	5
GLYMA_01G013800	63.981
GLYMA_01G013900	80
GLYMA_01G014000	36
GLYMA_01G014100	58.355
GLYMA_01G014200	206.562
GLYMA_01G014300	0
GLYMA_01G014400	491.611
GLYMA_01G014500	178.608
GLYMA_01G014600	234.037
GLYMA_01G014700	508.285
GLYMA_01G014800	161.25
GLYMA_01G014900	563.377
GLYMA_01G015000	1884.38
GLYMA_01G015100	2111.089
GLYMA_01G015200	14.295
GLYMA_01G015300	149
GLYMA_01G015400	444.93
GLYMA_01G015500	302.764
ENSRNA049760919	0
GLYMA_01G015600	156.203
GLYMA_01G015700	80.999
GLYMA_01G015800	1
GLYMA_01G015900	387.181
GLYMA_01G016000	5
GLYMA_01G016100	51.072
GLYMA_01G016200	110.498
GLYMA_01G016300	6.32
GLYMA_01G016400	163
GLYMA_01G016500	2262.044
GLYMA_01G016600	18
GLYMA_01G016700	0
GLYMA_01G016800	325.577
GLYMA_01G016900	240.037
GLYMA_01G017000	476.018
GLYMA_01G017100	349.225
GLYMA_01G017200	0
GLYMA_01G017300	44.166
GLYMA_01G017400	284.522
GLYMA_01G017500	0
GLYMA_01G017600	0
GLYMA_01G017700	613.678
GLYMA_01G017800	140
GLYMA_01G017900	161
GLYMA_01G018000	248.796
GLYMA_01G018100	606.382
GLYMA_01G018200	0
GLYMA_01G018300	86
GLYMA_01G018400	2051.043
GLYMA_01G018500	0
GLYMA_01G018600	211.049
GLYMA_01G018700	174.018
GLYMA_01G018800	46
GLYMA_01G018900	0
GLYMA_01G019000	20
GLYMA_01G019100	1100.29
GLYMA_01G019200	105
GLYMA_01G019300	308.427
GLYMA_01G019400	872.217
GLYMA_01G019500	63
GLYMA_01G019600	51.013
GLYMA_01G019700	196.999
GLYMA_01G019800	612.369
GLYMA_01G019900	231.189
GLYMA_01G020000	0
GLYMA_01G020100	1.465
GLYMA_01G020200	75.003
GLYMA_01G020300	1835.892
ENSRNA049760916	0
GLYMA_01G020400	2
GLYMA_01G020500	0
GLYMA_01G020600	0
GLYMA_01G020700	0
GLYMA_01G020800	17.907
GLYMA_01G020900	186.447
GLYMA_01G021000	326.953
GLYMA_01G021100	78
GLYMA_01G021200	28.001
GLYMA_01G021300	202.128
GLYMA_01G021400	335.252
GLYMA_01G021500	0
GLYMA_01G021600	340.205
GLYMA_01G021700	27
GLYMA_01G021800	0
GLYMA_01G021900	20
GLYMA_01G022000	0
GLYMA_01G022100	1764.825
GLYMA_01G022200	0
GLYMA_01G022300	21
GLYMA_01G022400	43
GLYMA_01G022500	5
GLYMA_01G022600	600.395
GLYMA_01G022700	336.956
GLYMA_01G022800	98
GLYMA_01G022900	18
GLYMA_01G023000	476.868
GLYMA_01G023100	0
GLYMA_01G023200	605.917
GLYMA_01G023300	2260.717
GLYMA_01G023400	0
GLYMA_01G023500	83.018
GLYMA_01G023600	508.727
GLYMA_01G023700	104.82
GLYMA_01G023800	24
GLYMA_01G023900	292.213
GLYMA_01G024000	914.279
GLYMA_01G024100	0
GLYMA_01G024200	1
GLYMA_01G024300	44
GLYMA_01G024400	0
GLYMA_01G024500	54.192
GLYMA_01G024600	344.493
GLYMA_01G024700	104
GLYMA_01G024800	49
GLYMA_01G024900	2
GLYMA_01G025000	204.185
GLYMA_01G025100	4799.615
GLYMA_01G025200	495.162
GLYMA_01G025300	260.994
GLYMA_01G025400	6
GLYMA_01G025500	280.448
GLYMA_01G025600	153
GLYMA_01G025700	0
GLYMA_01G025800	82.2
GLYMA_01G025900	0
GLYMA_01G026000	575.065
GLYMA_01G026100	809.358
GLYMA_01G026200	100.19
GLYMA_01G026300	0
ENSRNA049760882	0
GLYMA_01G026400	52
GLYMA_01G026500	143
GLYMA_01G026600	7
GLYMA_01G026700	9534.144
GLYMA_01G026800	328.66
ENSRNA050000476	0
ENSRNA050000471	1
GLYMA_01G026900	5
ENSRNA050000474	0
GLYMA_01G027000	0
GLYMA_01G027100	0
GLYMA_01G027200	0
GLYMA_01G027300	477.762
GLYMA_01G027400	0
GLYMA_01G027500	347.008
GLYMA_01G027600	52.106
GLYMA_01G027700	156
GLYMA_01G027800	97
GLYMA_01G027900	4
GLYMA_01G028000	0
GLYMA_01G028100	199.637
GLYMA_01G028200	126.98
GLYMA_01G028300	0
GLYMA_01G028400	0
GLYMA_01G028500	18
GLYMA_01G028600	174
GLYMA_01G028700	615.112
GLYMA_01G028800	80.022
GLYMA_01G028900	1065.632
GLYMA_01G029000	406.398
