feature_id	SRR26553587
GLYMA_01G000100	7.508369
GLYMA_01G000200	5.005282
GLYMA_01G000300	2.658836
GLYMA_01G000400	8.852008
GLYMA_01G000500	0.796692
GLYMA_01G000600	4.519963
GLYMA_01G000700	16.835557
GLYMA_01G000800	0
GLYMA_01G000900	13.808042
GLYMA_01G001000	40.56329
GLYMA_01G001100	38.161311
GLYMA_01G001200	0.35828
GLYMA_01G001300	91.010513
GLYMA_01G001400	0
GLYMA_01G001500	0
GLYMA_01G001600	5.708761
GLYMA_01G001700	10.658472
GLYMA_01G001800	0.304813
GLYMA_01G001900	0
GLYMA_01G002000	4.283839
GLYMA_01G002100	14.686922
GLYMA_01G002200	10.282099
GLYMA_01G002300	0
GLYMA_01G002400	57.258692
GLYMA_01G002500	0
GLYMA_01G002600	9.968247
GLYMA_01G002700	47.60042
GLYMA_01G002800	0
GLYMA_01G002900	12.816908
GLYMA_01G003000	48.107667
GLYMA_01G003100	32.487244
GLYMA_01G003200	1.388746
GLYMA_01G003300	0
GLYMA_01G003400	8.327883
GLYMA_01G003500	0.237851
GLYMA_01G003600	6.216429
GLYMA_01G003700	27.779871
GLYMA_01G003800	26.568373
GLYMA_01G003900	0
GLYMA_01G004000	0.863229
GLYMA_01G004100	5.163779
GLYMA_01G004200	5.483598
GLYMA_01G004300	189.379284
GLYMA_01G004400	0.324826
GLYMA_01G004500	32.979476
GLYMA_01G004600	9.774025
GLYMA_01G004700	1.130579
GLYMA_01G004800	0.143982
GLYMA_01G004900	0.903353
GLYMA_01G005000	1.15172
GLYMA_01G005100	1.421033
GLYMA_01G005200	1.348997
GLYMA_01G005300	30.211258
GLYMA_01G005400	103.951112
GLYMA_01G005500	1.450051
GLYMA_01G005600	3.554198
GLYMA_01G005700	0
GLYMA_01G005800	0.20434
GLYMA_01G005900	0
GLYMA_01G006000	4.043052
GLYMA_01G006100	46.268829
GLYMA_01G006200	8.460189
GLYMA_01G006300	0
GLYMA_01G006400	21.785662
GLYMA_01G006500	7.245778
GLYMA_01G006600	7.02892
GLYMA_01G006700	11.174125
GLYMA_01G006800	3.865017
GLYMA_01G006900	49.875429
GLYMA_01G007000	1.305905
GLYMA_01G007100	0.023524
GLYMA_01G007200	20.150533
GLYMA_01G007300	0.247958
GLYMA_01G007400	3.68381
GLYMA_01G007500	0.279692
GLYMA_01G007600	0
GLYMA_01G007700	3.230058
GLYMA_01G007800	0.866186
GLYMA_01G007900	0
GLYMA_01G008000	15.775693
GLYMA_01G008100	2.815089
GLYMA_01G008200	0
GLYMA_01G008300	0
GLYMA_01G008400	18.151666
GLYMA_01G008500	119.129679
GLYMA_01G008600	10.45832
GLYMA_01G008700	1.083142
GLYMA_01G008800	10.649316
GLYMA_01G008900	12.960033
GLYMA_01G009000	0.106539
GLYMA_01G009100	0
GLYMA_01G009200	474.800145
GLYMA_01G009300	38.08822
GLYMA_01G009400	1.815806
GLYMA_01G009500	9.026029
GLYMA_01G009600	2.851031
GLYMA_01G009700	5.277942
GLYMA_01G009800	15.250052
GLYMA_01G009900	33.461241
GLYMA_01G010000	7.194921
GLYMA_01G010100	18.107062
GLYMA_01G010200	1057.652821
GLYMA_01G010300	102.61475
GLYMA_01G010400	11.766361
GLYMA_01G010500	2.121272
GLYMA_01G010600	130.374626
GLYMA_01G010700	0
GLYMA_01G010800	6.461909
GLYMA_01G010900	11.032546
GLYMA_01G011000	3.238784
GLYMA_01G011100	30.862805
GLYMA_01G011200	11.339988
GLYMA_01G011300	42.426669
GLYMA_01G011400	5.804337
GLYMA_01G011500	8.833041
GLYMA_01G011600	0.03712
GLYMA_01G011700	1.998497
GLYMA_01G011800	0
GLYMA_01G011900	3.157921
GLYMA_01G012000	2.454116
GLYMA_01G012100	10.200145
GLYMA_01G012200	3.258498
GLYMA_01G012300	20.877133
GLYMA_01G012400	13.588101
GLYMA_01G012500	11.438722
GLYMA_01G012600	0
GLYMA_01G012700	8.131674
GLYMA_01G012800	0
GLYMA_01G012900	0
GLYMA_01G013000	0
GLYMA_01G013100	0.022222
GLYMA_01G013200	0
GLYMA_01G013300	0
GLYMA_01G013400	0
GLYMA_01G013500	3.711659
GLYMA_01G013600	13.548647
GLYMA_01G013700	1.245686
GLYMA_01G013800	1.022858
GLYMA_01G013900	2.29735
GLYMA_01G014000	0.786854
GLYMA_01G014100	2.594456
GLYMA_01G014200	9.230843
GLYMA_01G014300	0
GLYMA_01G014400	48.923847
GLYMA_01G014500	18.745127
GLYMA_01G014600	5.269516
GLYMA_01G014700	14.722984
GLYMA_01G014800	10.624712
GLYMA_01G014900	36.779847
GLYMA_01G015000	54.314134
GLYMA_01G015100	33.212773
GLYMA_01G015200	1.428928
GLYMA_01G015300	8.614525
GLYMA_01G015400	16.273279
GLYMA_01G015500	16.146324
ENSRNA049760919	0
GLYMA_01G015600	6.31427
GLYMA_01G015700	3.491336
GLYMA_01G015800	0.09609
GLYMA_01G015900	9.830686
GLYMA_01G016000	8.630826
GLYMA_01G016100	2.09066
GLYMA_01G016200	7.982182
GLYMA_01G016300	7.636895
GLYMA_01G016400	8.498026
GLYMA_01G016500	51.51923
GLYMA_01G016600	1.576594
GLYMA_01G016700	0
GLYMA_01G016800	21.218156
GLYMA_01G016900	7.661785
GLYMA_01G017000	5.756942
GLYMA_01G017100	14.318279
GLYMA_01G017200	0
GLYMA_01G017300	3.769798
GLYMA_01G017400	14.991502
GLYMA_01G017500	0
GLYMA_01G017600	0
GLYMA_01G017700	24.506184
GLYMA_01G017800	1.725542
GLYMA_01G017900	4.981399
GLYMA_01G018000	46.981123
GLYMA_01G018100	71.701156
GLYMA_01G018200	0
GLYMA_01G018300	1.683912
GLYMA_01G018400	14.963417
GLYMA_01G018500	0
GLYMA_01G018600	9.453905
GLYMA_01G018700	6.975138
GLYMA_01G018800	0.352688
GLYMA_01G018900	0
GLYMA_01G019000	0.986363
GLYMA_01G019100	56.243034
GLYMA_01G019200	1.972166
GLYMA_01G019300	1.318815
GLYMA_01G019400	34.035277
GLYMA_01G019500	5.185991
GLYMA_01G019600	2.024318
GLYMA_01G019700	26.18662
GLYMA_01G019800	28.16858
GLYMA_01G019900	22.240127
GLYMA_01G020000	0
GLYMA_01G020100	0.044993
GLYMA_01G020200	8.698385
GLYMA_01G020300	46.923202
ENSRNA049760916	0
GLYMA_01G020400	0.384041
GLYMA_01G020500	0
GLYMA_01G020600	0
GLYMA_01G020700	0
GLYMA_01G020800	0.601822
GLYMA_01G020900	14.054573
GLYMA_01G021000	23.389657
GLYMA_01G021100	5.150799
GLYMA_01G021200	0.883966
GLYMA_01G021300	8.530279
GLYMA_01G021400	4.55979
GLYMA_01G021500	0
GLYMA_01G021600	4.158789
GLYMA_01G021700	1.06993
GLYMA_01G021800	0
GLYMA_01G021900	2.195546
GLYMA_01G022000	0
