feature_id	SRR26553587
transcript:KRH74114	30.137
transcript:KRH74115	188.399
transcript:KRH74116	9.786
transcript:KRH74118	279
transcript:KRH74117	1
transcript:KRH74119	208.984
transcript:KRH74120	9.054
transcript:KRH74121	67.575
transcript:KRH74122	0
transcript:KRH74123	298.942
transcript:KRH74126	107.785
transcript:KRH74124	154.103
transcript:KRH74125	154.103
transcript:KRH74127	15.292
transcript:KRH74130	574.173
transcript:KRH74131	22.9
transcript:KRH74128	7.506
transcript:KRH74129	7.506
transcript:KRH74132	14.546
transcript:KRH74133	648.147
transcript:KRH74134	1666.894
transcript:KRH74135	0
transcript:KRH74136	0
transcript:KRH74137	71.412
transcript:KRH74138	71.148
transcript:KRH74140	31.066
transcript:KRH74139	104.825
transcript:KRH74141	10
transcript:KRH74143	0
transcript:KRH74142	0
transcript:KRH74144	35
transcript:KRH74145	834.004
transcript:KRH74146	0
transcript:KRH74147	292.926
transcript:KRH74148	0
transcript:KRH74149	323.099
transcript:KRH74150	0
transcript:KRH74151	495.168
transcript:KRH74152	340.363
transcript:KRH74153	0
transcript:KRH74154	82.273
transcript:KRH74155	484.047
transcript:KRH74156	43.817
transcript:KRH74157	30.2
transcript:KRH74158	28.19
transcript:KRH74160	0
transcript:KRH74159	0
transcript:KRH74161	0
transcript:KRH74162	191.011
transcript:KRH74163	1
transcript:KRH74164	114
transcript:KRH74165	270.006
transcript:KRH74167	0
transcript:KRH74168	20.368
transcript:KRH74166	281.722
transcript:KRH74169	0
transcript:KRH74170	9
transcript:KRH74171	163.48
transcript:KRH74172	12.18
transcript:KRH74173	0
transcript:KRH74174	28.219
transcript:KRH74175	28.219
transcript:KRH74176	0
transcript:KRH74177	489.114
transcript:KRH74178	489.114
transcript:KRH74179	6
transcript:KRH74180	257.586
transcript:KRH74181	257.586
transcript:KRH74182	52
transcript:KRH74183	15
transcript:KRH74184	0
transcript:KRH74185	4
transcript:KRH74186	5
transcript:KRH74187	240
transcript:KRH74189	10
transcript:KRH74188	0
transcript:KRH74191	0
transcript:KRH74190	0
transcript:KRH74192	35.034
transcript:KRH74193	209.562
transcript:KRH74194	1.789
transcript:KRH74195	6.35
transcript:KRH74197	437.85
transcript:KRH74196	1944.789
transcript:KRH74201	0
transcript:KRH74202	28.461
transcript:KRH74199	0
transcript:KRH74200	0
transcript:KRH74198	5.539
transcript:KRH74203	17.649
transcript:KRH74204	28.351
transcript:KRH74205	0
transcript:KRH74206	14
