feature_id	SRR26553587
transcript:KRH74114	7.508369
transcript:KRH74115	5.005282
transcript:KRH74116	2.658836
transcript:KRH74118	8.852008
transcript:KRH74117	0.796692
transcript:KRH74119	4.34438
transcript:KRH74120	0.175583
transcript:KRH74121	16.835557
transcript:KRH74122	0
transcript:KRH74123	13.808042
transcript:KRH74126	9.465954
transcript:KRH74124	13.653479
transcript:KRH74125	13.653479
transcript:KRH74127	3.790378
transcript:KRH74130	36.479515
transcript:KRH74131	1.374046
transcript:KRH74128	0.153875
transcript:KRH74129	0.153875
transcript:KRH74132	0.35828
transcript:KRH74133	18.504789
transcript:KRH74134	72.505724
transcript:KRH74135	0
transcript:KRH74136	0
transcript:KRH74137	2.467899
transcript:KRH74138	3.240862
transcript:KRH74140	2.000171
transcript:KRH74139	8.658301
transcript:KRH74141	0.304813
transcript:KRH74143	0
transcript:KRH74142	0
transcript:KRH74144	4.283839
transcript:KRH74145	14.686922
transcript:KRH74146	0
transcript:KRH74147	10.282099
transcript:KRH74148	0
transcript:KRH74149	57.258692
transcript:KRH74150	0
transcript:KRH74151	9.968247
transcript:KRH74152	47.60042
transcript:KRH74153	0
transcript:KRH74154	12.816908
transcript:KRH74155	48.107667
transcript:KRH74156	9.547655
transcript:KRH74157	22.939589
transcript:KRH74158	1.388746
transcript:KRH74160	0
transcript:KRH74159	0
transcript:KRH74161	0
transcript:KRH74162	8.327883
transcript:KRH74163	0.237851
transcript:KRH74164	6.216429
transcript:KRH74165	27.779871
transcript:KRH74167	0
transcript:KRH74168	2.471759
transcript:KRH74166	24.096614
transcript:KRH74169	0
transcript:KRH74170	0.863229
transcript:KRH74171	4.71997
transcript:KRH74172	0.443809
transcript:KRH74173	0
transcript:KRH74174	2.741799
transcript:KRH74175	2.741799
transcript:KRH74176	0
transcript:KRH74177	94.689642
transcript:KRH74178	94.689642
transcript:KRH74179	0.324826
transcript:KRH74180	16.489738
transcript:KRH74181	16.489738
transcript:KRH74182	9.774025
transcript:KRH74183	1.130579
transcript:KRH74184	0
transcript:KRH74185	0.143982
transcript:KRH74186	0.903353
transcript:KRH74187	1.15172
transcript:KRH74189	1.421033
transcript:KRH74188	0
transcript:KRH74191	0
transcript:KRH74190	0
transcript:KRH74192	1.348997
transcript:KRH74193	28.492293
transcript:KRH74194	0.917952
transcript:KRH74195	0.801013
transcript:KRH74197	27.116884
transcript:KRH74196	76.834228
transcript:KRH74201	0
transcript:KRH74202	1.195542
transcript:KRH74199	0
transcript:KRH74200	0
transcript:KRH74198	0.254509
transcript:KRH74203	1.512526
transcript:KRH74204	2.041672
transcript:KRH74205	0
transcript:KRH74206	0.20434
transcript:KRH74207	0
transcript:KRH74208	4.043052
transcript:KRH74210	13.303113
transcript:KRH74209	32.965716
transcript:KRH74211	8.460189
transcript:KRH74212	0
transcript:KRH74215	0.994235
transcript:KRH74213	16.551183
transcript:KRH74214	4.240244
transcript:KRH74218	0
transcript:KRH74217	0
transcript:KRH74219	0.223134
transcript:KRH74222	0
transcript:KRH74223	0
transcript:KRH74216	7.022644
transcript:KRH74221	0
transcript:KRH74220	0
transcript:KRH74224	0
transcript:KRH74225	2.008708
transcript:KRH74226	5.020212
transcript:RCW19544	1.130241
transcript:RCW19545	9.872296
transcript:RCW19546	0
transcript:RCW19547	0
transcript:RCW19548	0.171588
transcript:KRH74239	1.237768
transcript:KRH74237	2.627249
transcript:KRH74238	0
transcript:KRH74240	49.875429
transcript:KRH74241	0
transcript:KRH74243	1.305905
transcript:KRH74242	0
transcript:KRH74244	0.023524
transcript:KRH74246	7.825082
transcript:KRH74247	0
transcript:KRH74245	12.325451
transcript:KRH74248	0.247958
transcript:KRH74249	3.68381
transcript:KRH74250	0.279692
transcript:KRH74251	0
transcript:KRH74252	3.230058
transcript:KRH74253	0.866186
transcript:KRH74254	0
