feature_id	SRR39669459
SEVIR_1G000100v2	937.062
SEVIR_1G000200v2	2242.60381813804
SEVIR_1G000300v2	4000.582
SEVIR_1G000400v2	758.167
SEVIR_1G000501v2	343.363
SEVIR_1G000600v2	4517.748
SEVIR_1G000650v2	1116.673
SEVIR_1G000700v2	175
SEVIR_1G000900v2	474
SEVIR_1G001000v2	2027.02486084838
SEVIR_1G001100v2	1318
SEVIR_1G001200v2	1719.981
SEVIR_1G001300v2	575.396
SEVIR_1G001400v2	6721.178
SEVIR_1G001500v2	2802.25660295959
SEVIR_1G001600v2	1207.603
SEVIR_1G001700v2	3612.123
SEVIR_1G001800v2	149
SEVIR_1G001900v2	149
SEVIR_1G002000v2	2057.75645136404
SEVIR_1G002100v2	1323.466
SEVIR_1G002200v2	1015.995
SEVIR_1G002300v2	2103
SEVIR_1G002400v2	4512.81210385906
SEVIR_1G002500v2	3618.639
SEVIR_1G002600v2	5707.134
SEVIR_1G002700v2	193
SEVIR_1G002800v2	623.882202528651
SEVIR_1G002900v2	1468.693
SEVIR_1G003000v2	558.071
SEVIR_1G003100v2	1058.4983512735
SEVIR_1G003200v2	1842.116
SEVIR_1G003300v2	1385
SEVIR_1G003401v2	874.735071979744
SEVIR_1G003500v2	1255.53
SEVIR_1G003550v2	875.584
SEVIR_1G003600v2	2727.156
SEVIR_1G003700v2	468
SEVIR_1G003900v2	2043.761
SEVIR_1G004000v2	1125.021
SEVIR_1G004100v2	914.755741304959
SEVIR_1G004200v2	5739.21
SEVIR_1G004300v2	2017.999
SEVIR_1G004400v2	2145.707
SEVIR_1G004500v2	1070.32
SEVIR_1G004600v2	1429.665
SEVIR_1G004700v2	2811.588
SEVIR_1G004800v2	1499.475
SEVIR_1G004900v2	2173.389
SEVIR_1G005000v2	855
SEVIR_1G005100v2	372
SEVIR_1G005200v2	591
SEVIR_1G005300v2	1736.545
SEVIR_1G005400v2	1209.669
SEVIR_1G005500v2	2248.126
SEVIR_1G005600v2	2965.271
SEVIR_1G005700v2	2688.693
SEVIR_1G005800v2	2218.756
SEVIR_1G005900v2	6871.6488541481
SEVIR_1G006000v2	36
SEVIR_1G006100v2	771
SEVIR_1G006200v2	1941.965
SEVIR_1G006300v2	3201.73
SEVIR_1G006400v2	1985.959
SEVIR_1G006500v2	2692.63574112052
SEVIR_1G006600v2	2865.77555445397
SEVIR_1G006700v2	330
SEVIR_1G006800v2	558
SEVIR_1G006900v2	1101.145
SEVIR_1G007000v2	89
SEVIR_1G007100v2	2260.594
SEVIR_1G007200v2	1364.15294650653
SEVIR_1G007300v2	2434.99287286425
SEVIR_1G007400v2	76
SEVIR_1G007466v2	1127.673
SEVIR_1G007532v2	406
SEVIR_1G007600v2	37
SEVIR_1G007700v2	3395.78254024456
SEVIR_1G007766v2	2739
SEVIR_1G007733v2	59
SEVIR_1G007800v2	976.861
SEVIR_1G007900v2	1892.756
SEVIR_1G008000v2	1292.4531470611
SEVIR_1G008100v2	1083.874
SEVIR_1G008200v2	759.153
SEVIR_1G008300v2	2067.686
SEVIR_1G008400v2	1042.092
SEVIR_1G008500v2	1808.887
SEVIR_1G008600v2	483
SEVIR_1G008700v2	3613.224
SEVIR_1G008801v2	2555.37510645622
SEVIR_1G008900v2	519
SEVIR_1G009000v2	1856.411
SEVIR_1G009100v2	2685.19612611918
SEVIR_1G009200v2	818.818
SEVIR_1G009300v2	1151.67375683469
SEVIR_1G009400v2	965.342
SEVIR_1G009500v2	372
SEVIR_1G009600v2	3549.241
SEVIR_1G009700v2	2200.71568862564
SEVIR_1G009900v2	982.091
SEVIR_1G010000v2	390
SEVIR_1G010100v2	1959.208
SEVIR_1G010200v2	818.789
SEVIR_1G010300v2	250.670288099444
SEVIR_1G010400v2	792.23
SEVIR_1G010500v2	1022.113
SEVIR_1G010700v2	208
SEVIR_1G010600v2	7039.417
SEVIR_1G010800v2	737.535
SEVIR_1G010900v2	303
SEVIR_1G010950v2	19
SEVIR_1G011000v2	1602.55
SEVIR_1G011066v2	520.835
SEVIR_1G011132v2	270
SEVIR_1G011200v2	1404.948
SEVIR_1G011300v2	94.895
SEVIR_1G011366v2	274.843
SEVIR_1G011432v2	4972.001
SEVIR_1G011500v2	1381.96686233834
SEVIR_1G011550v2	8670.101
SEVIR_1G011600v2	354
SEVIR_1G011700v2	1331.266
SEVIR_1G011750v2	474
SEVIR_1G011800v2	1934.11169422032
SEVIR_1G011900v2	2106.02117211169
SEVIR_1G012000v2	3203.503
SEVIR_1G012100v2	5369.516
SEVIR_1G012200v2	648
SEVIR_1G012300v2	819.575
SEVIR_1G012350v2	1483.436
SEVIR_1G012400v2	5110.317
SEVIR_1G012500v2	1062.481
SEVIR_1G012600v2	3703.916
SEVIR_1G012650v2	89
SEVIR_1G012700v2	3911.05242105892
SEVIR_1G012800v2	936.801
SEVIR_1G012900v2	74
SEVIR_1G013000v2	1401.489
SEVIR_1G013100v2	1464
SEVIR_1G013200v2	1638.869
SEVIR_1G013300v2	716.923
SEVIR_1G013400v2	999.552
SEVIR_1G013450v2	980.835
SEVIR_1G013500v2	393
SEVIR_1G013600v2	393
SEVIR_1G013700v2	1892.606
SEVIR_1G013800v2	1187.348
SEVIR_1G013900v2	64
SEVIR_1G014000v2	1043.92306210381
SEVIR_1G014100v2	1461.381
SEVIR_1G014200v2	2226.15342562358
SEVIR_1G014250v2	270
SEVIR_1G014300v2	750.218
SEVIR_1G014400v2	1847.99934441137
SEVIR_1G014500v2	2037.854
SEVIR_1G014600v2	1043.273
SEVIR_1G014700v2	849
SEVIR_1G014800v2	1349.445
SEVIR_1G014900v2	64
SEVIR_1G015000v2	318
SEVIR_1G015100v2	4525.225
SEVIR_1G015200v2	1316.242
SEVIR_1G015250v2	3374.03074051432
SEVIR_1G015300v2	1333.85378733785
SEVIR_1G015400v2	3424.807
SEVIR_1G015450v2	47
SEVIR_1G015500v2	1144.2607898367
SEVIR_1G015600v2	205.4
SEVIR_1G015650v2	140.038
SEVIR_1G015700v2	1493.253
SEVIR_1G015750v2	1027
SEVIR_1G015801v2	3927.678
SEVIR_1G015851v2	767
SEVIR_1G015900v2	1997.069
SEVIR_1G016000v2	6860.884
SEVIR_1G016200v2	83.697
SEVIR_1G016300v2	2935.41100811038
SEVIR_1G016400v2	220
SEVIR_1G016500v2	1965.524
SEVIR_1G016600v2	918.693385012978
SEVIR_1G016700v2	270
SEVIR_1G016800v2	1494.554
SEVIR_1G016850v2	1433
SEVIR_1G016900v2	2138.617
SEVIR_1G017000v2	580.955
SEVIR_1G017100v2	378
SEVIR_1G017150v2	36
SEVIR_1G017200v2	270
SEVIR_1G017400v2	282
SEVIR_1G017500v2	270
SEVIR_1G017600v2	1248.23605034402
SEVIR_1G017700v2	1216.607
SEVIR_1G017800v2	1269.932
SEVIR_1G017900v2	1115.786
SEVIR_1G018000v2	384
SEVIR_1G018100v2	3513.445
SEVIR_1G018200v2	950.154
SEVIR_1G018300v2	256
SEVIR_1G018400v2	2851.188
SEVIR_1G018500v2	167.117
SEVIR_1G018600v2	411
SEVIR_1G018700v2	468.909
SEVIR_1G018800v2	2072.722
SEVIR_1G018900v2	1595.474
SEVIR_1G019000v2	1254.71703985941
SEVIR_1G019100v2	78
SEVIR_1G019201v2	459
SEVIR_1G019300v2	3524.564
SEVIR_1G019400v2	2691.562
SEVIR_1G019500v2	1384.243
SEVIR_1G019600v2	5632.72116757754
SEVIR_1G019700v2	1313.892
SEVIR_1G019800v2	663.396
SEVIR_1G019900v2	421
SEVIR_1G020000v2	13
SEVIR_1G020050v2	36
SEVIR_1G020100v2	4367.363
SEVIR_1G020200v2	821.932
SEVIR_1G020250v2	595.526
SEVIR_1G020300v2	2817.54466413853
SEVIR_1G020400v2	5998.732
SEVIR_1G020500v2	1780.4
