feature_id	SRR39669459
SEVIR_1G000100v2	178
SEVIR_1G000200v2	271.097
SEVIR_1G000300v2	4492.903
SEVIR_1G000400v2	3845
SEVIR_1G000501v2	16
SEVIR_1G000600v2	19
SEVIR_1G000650v2	48
SEVIR_1G000700v2	0
SEVIR_1G000900v2	0
SEVIR_1G001000v2	2177
SEVIR_1G001100v2	0
SEVIR_1G001200v2	291
SEVIR_1G001300v2	5838
SEVIR_1G001400v2	6912.543
SEVIR_1G001500v2	445.001
SEVIR_1G001600v2	1
SEVIR_1G001700v2	64
SEVIR_1G001800v2	3281
SEVIR_1G001900v2	1477
SEVIR_1G002000v2	2424
SEVIR_1G002100v2	2512
SEVIR_1G002200v2	1302
SEVIR_1G002300v2	0
SEVIR_1G002400v2	6571.691
SEVIR_1G002500v2	2348.308
SEVIR_1G002600v2	1397
SEVIR_1G002700v2	0
SEVIR_1G002800v2	54
SEVIR_1G002900v2	194
SEVIR_1G003000v2	5319.867
SEVIR_1G003100v2	214
SEVIR_1G003200v2	67
SEVIR_1G003300v2	0
SEVIR_1G003401v2	1139
SEVIR_1G003500v2	435.749
SEVIR_1G003550v2	3323.251
SEVIR_1G003600v2	442
SEVIR_1G003700v2	0
SEVIR_1G003900v2	600
SEVIR_1G004000v2	1401
SEVIR_1G004100v2	505
SEVIR_1G004200v2	3587
SEVIR_1G004300v2	15328
SEVIR_1G004400v2	3476
SEVIR_1G004500v2	111
SEVIR_1G004600v2	4857
SEVIR_1G004700v2	7379
SEVIR_1G004800v2	1.006
SEVIR_1G004900v2	98
SEVIR_1G005000v2	0
SEVIR_1G005100v2	0
SEVIR_1G005200v2	0
SEVIR_1G005300v2	9
SEVIR_1G005400v2	16
SEVIR_1G005500v2	287
SEVIR_1G005600v2	278.001
SEVIR_1G005700v2	2099.089
SEVIR_1G005800v2	222
SEVIR_1G005900v2	5693
SEVIR_1G006000v2	0
SEVIR_1G006100v2	0
SEVIR_1G006200v2	397
SEVIR_1G006300v2	3036.97
