feature_id	SRR39669459
SEVIR_1G000100v2	6.24231
SEVIR_1G000200v2	3.972513
SEVIR_1G000300v2	36.906036
SEVIR_1G000400v2	166.657502
SEVIR_1G000501v2	1.5313
SEVIR_1G000600v2	0.138205
SEVIR_1G000650v2	1.412566
SEVIR_1G000700v2	0
SEVIR_1G000900v2	0
SEVIR_1G001000v2	35.293351
SEVIR_1G001100v2	0
SEVIR_1G001200v2	5.559845
SEVIR_1G001300v2	333.419556
SEVIR_1G001400v2	33.797604
SEVIR_1G001500v2	5.218499
SEVIR_1G001600v2	0.027213
SEVIR_1G001700v2	0.582252
SEVIR_1G001800v2	723.62481
SEVIR_1G001900v2	325.752467
SEVIR_1G002000v2	38.710793
SEVIR_1G002100v2	62.373553
SEVIR_1G002200v2	42.112667
SEVIR_1G002300v2	0
SEVIR_1G002400v2	47.854565
SEVIR_1G002500v2	21.325701
SEVIR_1G002600v2	8.043995
SEVIR_1G002700v2	0
SEVIR_1G002800v2	2.844363
SEVIR_1G002900v2	4.340743
SEVIR_1G003000v2	313.260045
SEVIR_1G003100v2	6.643806
SEVIR_1G003200v2	1.19523
SEVIR_1G003300v2	0
SEVIR_1G003401v2	42.789844
SEVIR_1G003500v2	11.405195
SEVIR_1G003550v2	124.726551
SEVIR_1G003600v2	5.326057
SEVIR_1G003700v2	0
SEVIR_1G003900v2	9.647498
SEVIR_1G004000v2	40.92332
SEVIR_1G004100v2	18.141778
SEVIR_1G004200v2	20.538689
SEVIR_1G004300v2	249.607772
SEVIR_1G004400v2	53.235692
SEVIR_1G004500v2	3.408031
SEVIR_1G004600v2	111.641934
SEVIR_1G004700v2	86.246065
SEVIR_1G004800v2	0.022055
SEVIR_1G004900v2	1.481774
SEVIR_1G005000v2	0
SEVIR_1G005100v2	0
SEVIR_1G005200v2	0
SEVIR_1G005300v2	0.170314
SEVIR_1G005400v2	0.434657
SEVIR_1G005500v2	4.195219
SEVIR_1G005600v2	3.080874
SEVIR_1G005700v2	25.655646
SEVIR_1G005800v2	3.288038
SEVIR_1G005900v2	27.225364
SEVIR_1G006000v2	0
SEVIR_1G006100v2	0
SEVIR_1G006200v2	6.71804
SEVIR_1G006300v2	31.170895
SEVIR_1G006400v2	56.111398
SEVIR_1G006500v2	2.953552
SEVIR_1G006600v2	1.467781
SEVIR_1G006700v2	0
SEVIR_1G006800v2	0
SEVIR_1G006900v2	0.119374
SEVIR_1G007000v2	0
SEVIR_1G007100v2	0.101758
SEVIR_1G007200v2	5.998321
SEVIR_1G007300v2	15.870957
SEVIR_1G007400v2	0
SEVIR_1G007466v2	0.8451
SEVIR_1G007532v2	0
SEVIR_1G007600v2	0
SEVIR_1G007700v2	1.954811
SEVIR_1G007766v2	0
SEVIR_1G007733v2	0
SEVIR_1G007800v2	3.195836
SEVIR_1G007900v2	4.166871
SEVIR_1G008000v2	28.37545
SEVIR_1G008100v2	14.401519
SEVIR_1G008200v2	74.801063
SEVIR_1G008300v2	28.067268
SEVIR_1G008400v2	3.594947
SEVIR_1G008500v2	4.905077
SEVIR_1G008600v2	0
SEVIR_1G008700v2	0.054569
SEVIR_1G008801v2	1.260274
SEVIR_1G008900v2	0
SEVIR_1G009000v2	24.109957
SEVIR_1G009100v2	4.050843
SEVIR_1G009200v2	41.056477
SEVIR_1G009300v2	21.800046
SEVIR_1G009400v2	109.032903
SEVIR_1G009500v2	0
SEVIR_1G009600v2	0.49072
SEVIR_1G009700v2	66.969046
SEVIR_1G009900v2	128.390699
SEVIR_1G010000v2	0
SEVIR_1G010100v2	7.614979
SEVIR_1G010200v2	54.141896
SEVIR_1G010300v2	1.310964
SEVIR_1G010400v2	0.912567
SEVIR_1G010500v2	1.800456
SEVIR_1G010700v2	0
SEVIR_1G010600v2	3.188435
SEVIR_1G010800v2	0.044556
SEVIR_1G010900v2	0
SEVIR_1G010950v2	0
SEVIR_1G011000v2	3.553607
SEVIR_1G011066v2	0.378569
SEVIR_1G011132v2	0.243422
SEVIR_1G011200v2	3.859376
SEVIR_1G011300v2	1.385197
SEVIR_1G011366v2	0.478265
SEVIR_1G011432v2	1.319675
SEVIR_1G011500v2	10.819498
SEVIR_1G011550v2	0.088441
SEVIR_1G011600v2	0
SEVIR_1G011700v2	12.194261
SEVIR_1G011750v2	0
SEVIR_1G011800v2	41.236494
SEVIR_1G011900v2	8.831759
SEVIR_1G012000v2	6.862691
SEVIR_1G012100v2	12.001476
SEVIR_1G012200v2	0
SEVIR_1G012300v2	10.625526
SEVIR_1G012350v2	1.550682
SEVIR_1G012400v2	30.319873
SEVIR_1G012500v2	9.18605
SEVIR_1G012600v2	5.296716
SEVIR_1G012650v2	0
SEVIR_1G012700v2	4.621282
SEVIR_1G012800v2	148.24346
SEVIR_1G012900v2	0
SEVIR_1G013000v2	0.093792
SEVIR_1G013100v2	0
SEVIR_1G013200v2	1.002581
SEVIR_1G013300v2	0.320862
SEVIR_1G013400v2	710.035494
SEVIR_1G013450v2	235.008372
SEVIR_1G013500v2	0
SEVIR_1G013600v2	0
SEVIR_1G013700v2	2.344051
SEVIR_1G013800v2	91.416385
SEVIR_1G013900v2	0
SEVIR_1G014000v2	23.987224
SEVIR_1G014100v2	65.931667
SEVIR_1G014200v2	22.688837
SEVIR_1G014250v2	0.486844
SEVIR_1G014300v2	0.175213
SEVIR_1G014400v2	65.101549
SEVIR_1G014500v2	24.57567
SEVIR_1G014600v2	2.677408
SEVIR_1G014700v2	0
SEVIR_1G014800v2	4.747788
SEVIR_1G014900v2	0
SEVIR_1G015000v2	0
SEVIR_1G015100v2	1.64873
SEVIR_1G015200v2	2.321885
SEVIR_1G015250v2	1.168762
SEVIR_1G015300v2	8.080888
SEVIR_1G015400v2	2.024668
SEVIR_1G015450v2	0
SEVIR_1G015500v2	6.088418
SEVIR_1G015600v2	6.079629
SEVIR_1G015650v2	9.386582
SEVIR_1G015700v2	2.112668
SEVIR_1G015750v2	0
SEVIR_1G015801v2	0.016734
SEVIR_1G015851v2	0
SEVIR_1G015900v2	82.045099
SEVIR_1G016000v2	10.98291
SEVIR_1G016200v2	0.785264
SEVIR_1G016300v2	10.523311
SEVIR_1G016400v2	8.364863
SEVIR_1G016500v2	9.262429
SEVIR_1G016600v2	6.939444
SEVIR_1G016700v2	1.21711
SEVIR_1G016800v2	4.969243
SEVIR_1G016850v2	0
SEVIR_1G016900v2	1.936114
SEVIR_1G017000v2	0.961613
SEVIR_1G017100v2	0
SEVIR_1G017150v2	0
SEVIR_1G017200v2	0.973688
SEVIR_1G017400v2	0
SEVIR_1G017500v2	1.582243
SEVIR_1G017600v2	5.291671
SEVIR_1G017700v2	5.159132
SEVIR_1G017800v2	0.362277
SEVIR_1G017900v2	1.560948
SEVIR_1G018000v2	0
SEVIR_1G018100v2	0.617311
SEVIR_1G018200v2	2.144328
SEVIR_1G018300v2	0
SEVIR_1G018400v2	1.602074
SEVIR_1G018500v2	0.196641
SEVIR_1G018600v2	0
SEVIR_1G018700v2	1.191391
SEVIR_1G018800v2	31.550453
SEVIR_1G018900v2	0.535522
SEVIR_1G019000v2	7.46436
SEVIR_1G019100v2	0
SEVIR_1G019201v2	0
SEVIR_1G019300v2	0.25174
SEVIR_1G019400v2	12.074952
SEVIR_1G019500v2	19.063245
SEVIR_1G019600v2	41.212211
SEVIR_1G019700v2	27.73738
SEVIR_1G019800v2	107.344457
SEVIR_1G019900v2	0
SEVIR_1G020000v2	0
SEVIR_1G020050v2	0
SEVIR_1G020100v2	0.037622
SEVIR_1G020200v2	0.159925
SEVIR_1G020250v2	0.938084
SEVIR_1G020300v2	6.624773
SEVIR_1G020400v2	8.114301
SEVIR_1G020500v2	67.056575
SEVIR_1G020600v2	285.86587
SEVIR_1G020700v2	0
SEVIR_1G020800v2	0
SEVIR_1G020900v2	6.770724
SEVIR_1G020950v2	0
SEVIR_1G021000v2	0.528094
SEVIR_1G021100v2	0.033347
SEVIR_1G021200v2	7.695918
SEVIR_1G021250v2	3.283782
SEVIR_1G021300v2	2.950605
SEVIR_1G021400v2	28.696234
SEVIR_1G021500v2	7.799599
SEVIR_1G021600v2	0.210241
SEVIR_1G021700v2	1.50131
SEVIR_1G021800v2	0
SEVIR_1G021900v2	0
SEVIR_1G022000v2	0
SEVIR_1G022100v2	0
SEVIR_1G022200v2	0
SEVIR_1G022300v2	0
SEVIR_1G022400v2	4.55591
SEVIR_1G022500v2	0
SEVIR_1G022600v2	10.127917
SEVIR_1G022700v2	1.962054
SEVIR_1G022800v2	1.3557
SEVIR_1G022900v2	1.148408
SEVIR_1G023000v2	57.982731
SEVIR_1G023100v2	0.217209
SEVIR_1G023200v2	1.697613
SEVIR_1G023300v2	32.384387
SEVIR_1G023401v2	0.209445
SEVIR_1G023500v2	75.54322
SEVIR_1G023600v2	6.968099
SEVIR_1G023700v2	91.843883
SEVIR_1G023800v2	2.082135
SEVIR_1G024000v2	0
SEVIR_1G024100v2	227.183568
SEVIR_1G024200v2	36.274956
SEVIR_1G024300v2	3.059171
SEVIR_1G024400v2	3.893864
SEVIR_1G024500v2	0.62511
SEVIR_1G024600v2	15.93441
SEVIR_1G024700v2	26.891083
SEVIR_1G024800v2	0
SEVIR_1G024900v2	12.07523
SEVIR_1G025000v2	34.924954
SEVIR_1G025100v2	0.594432
SEVIR_1G025200v2	0
SEVIR_1G025233v2	0.413187
SEVIR_1G025266v2	0
SEVIR_1G025300v2	0.241316
SEVIR_1G025400v2	0.320079
SEVIR_1G025500v2	40.711761
SEVIR_1G025600v2	0.021765
SEVIR_1G025700v2	0
SEVIR_1G025800v2	2.257344
SEVIR_1G025900v2	0
SEVIR_1G026000v2	6.111224
SEVIR_1G026100v2	0.253754
SEVIR_1G026150v2	0
SEVIR_1G026200v2	44.291602
SEVIR_1G026300v2	0.2241
SEVIR_1G026400v2	0
SEVIR_1G026500v2	131.357429
SEVIR_1G026600v2	27.865108
SEVIR_1G026700v2	0
SEVIR_1G026800v2	1.528456
SEVIR_1G026900v2	0.284434
SEVIR_1G027000v2	8.817835
SEVIR_1G027100v2	0.04704
SEVIR_1G027200v2	0.272643
SEVIR_1G027300v2	0.16066
SEVIR_1G027400v2	0
SEVIR_1G027600v2	0.13994
SEVIR_1G027700v2	4.659636
SEVIR_1G027800v2	7.092933
SEVIR_1G027901v2	0.154387
SEVIR_1G028000v2	0
SEVIR_1G028100v2	38.703798
SEVIR_1G028200v2	23.672124
SEVIR_1G028300v2	0.046552
SEVIR_1G028500v2	0
SEVIR_1G028600v2	4.670612
SEVIR_1G028700v2	2.15785
SEVIR_1G028800v2	0.822272
SEVIR_1G028900v2	38.94405
SEVIR_1G029000v2	0
SEVIR_1G029100v2	0
SEVIR_1G029200v2	673.420404
SEVIR_1G029300v2	7.017811
SEVIR_1G029340v2	0.146719
SEVIR_1G029380v2	0
SEVIR_1G029420v2	0.1134
SEVIR_1G029460v2	0.134821
SEVIR_1G029500v2	27.82284
SEVIR_1G029600v2	28.918954
SEVIR_1G029700v2	0
SEVIR_1G029800v2	14.073436
SEVIR_1G029900v2	145.781143
SEVIR_1G030000v2	2.80996
SEVIR_1G030100v2	0.119397
SEVIR_1G030200v2	0.461417
SEVIR_1G030300v2	0
SEVIR_1G030400v2	0
SEVIR_1G030500v2	0
SEVIR_1G030600v2	0.035289
SEVIR_1G030800v2	1.887605
SEVIR_1G030700v2	2.468659
SEVIR_1G030900v2	1.596105
SEVIR_1G030950v2	0
SEVIR_1G031000v2	18.391074
SEVIR_1G031100v2	0.080102
SEVIR_1G031200v2	0
SEVIR_1G031300v2	55.118057
SEVIR_1G031400v2	65.060661
SEVIR_1G031500v2	10.780371
SEVIR_1G031600v2	16.348089
SEVIR_1G031700v2	8.449651
SEVIR_1G031800v2	1.78918
SEVIR_1G031900v2	21.072591
SEVIR_1G032000v2	78.620999
SEVIR_1G032100v2	62.414645
SEVIR_1G032200v2	50.147135
SEVIR_1G032300v2	31.264558
SEVIR_1G032350v2	0
SEVIR_1G032400v2	0
SEVIR_1G032600v2	62.109339
SEVIR_1G032800v2	35.849827
SEVIR_1G032900v2	89.29671
SEVIR_1G033000v2	8.404026
SEVIR_1G033100v2	8.398057
SEVIR_1G033200v2	52.083277
SEVIR_1G033250v2	12.501941
SEVIR_1G033300v2	0
SEVIR_1G033400v2	0.223521
SEVIR_1G033500v2	0.267375
SEVIR_1G033600v2	0.022313
SEVIR_1G033700v2	4.289281
SEVIR_1G033800v2	0
SEVIR_1G033900v2	8.375326
SEVIR_1G034000v2	2.527843
SEVIR_1G034100v2	18.215968
SEVIR_1G034200v2	22.272922
SEVIR_1G034300v2	1.256304
SEVIR_1G034400v2	0
SEVIR_1G034500v2	0
SEVIR_1G034600v2	84.365164
SEVIR_1G034700v2	30.900586
SEVIR_1G034800v2	13.959225
SEVIR_1G034900v2	0.40752
SEVIR_1G035000v2	65.338278
SEVIR_1G035100v2	0
SEVIR_1G035200v2	0
SEVIR_1G035300v2	12.150561
SEVIR_1G035400v2	95.030863
SEVIR_1G035500v2	10.963538
SEVIR_1G035600v2	6.469113
SEVIR_1G035700v2	1.397019
SEVIR_1G035750v2	0
SEVIR_1G035800v2	13.54208
SEVIR_1G035900v2	0
SEVIR_1G035950v2	0.163648
SEVIR_1G036000v2	215.977544
SEVIR_1G036050v2	0.233401
SEVIR_1G036100v2	6.031594
SEVIR_1G036123v2	43.318431
SEVIR_1G036146v2	0
SEVIR_1G036169v2	8.39142
SEVIR_1G036192v2	33.756764
SEVIR_1G036215v2	2.265832
SEVIR_1G036238v2	0
SEVIR_1G036261v2	0
SEVIR_1G036284v2	14.591732
SEVIR_1G036307v2	0.040108
SEVIR_1G036330v2	0.14533
SEVIR_1G036353v2	0.263211
SEVIR_1G036376v2	0.187783
SEVIR_1G036400v2	2.202445
SEVIR_1G036500v2	2.793682
SEVIR_1G036600v2	6.617992
SEVIR_1G036700v2	0.197891
SEVIR_1G036800v2	0
SEVIR_1G036900v2	75.916034
SEVIR_1G037000v2	25.83119
SEVIR_1G037050v2	4.213072
SEVIR_1G037100v2	0.655728
SEVIR_1G037200v2	4.226876
SEVIR_1G037300v2	97.769072
SEVIR_1G037400v2	6.09208
SEVIR_1G037500v2	1.760462
SEVIR_1G037575v2	0.067197
SEVIR_1G037650v2	0
SEVIR_1G037725v2	0
SEVIR_1G037800v2	57.508433
SEVIR_1G037900v2	3.829502
SEVIR_1G038000v2	2.759401
SEVIR_1G038100v2	81.858704
SEVIR_1G038200v2	0.066926
SEVIR_1G038300v2	3.455352
SEVIR_1G038400v2	0.103772
