feature_id	SRR39669459
transcript:TKW36712	178
transcript:TKW36713	4.693
transcript:TKW36714	266.404
transcript:TKW36715	4492.903
transcript:TKW36716	3845
transcript:TKW36717	16
transcript:TKW36718	19
transcript:TKW36719	48
transcript:TKW36720	0
transcript:TKW36721	0
transcript:TKW36722	1299.048
transcript:TKW36723	877.952
transcript:TKW36724	0
transcript:TKW36725	291
transcript:TKW36726	5838
transcript:TKW36727	6912.543
transcript:TKW36728	396.756
transcript:TKW36729	14.04
transcript:TKW36730	34.205
transcript:TKW36731	1
transcript:TKW36732	64
transcript:TKW36733	3281
transcript:TKW36734	1477
transcript:TKW36735	60.738
transcript:TKW36736	2363.262
transcript:TKW36737	2512
transcript:TKW36738	1302
transcript:TKW36739	0
transcript:TKW36741	12.9
transcript:TKW36742	0
transcript:TKW36740	6558.791
transcript:TKW36743	2348.308
transcript:TKW36744	1397
transcript:TKW36745	0
transcript:TKW36746	36.608
transcript:TKW36747	17.392
transcript:TKW36748	194
transcript:TKW36749	5319.867
transcript:TKW36750	150.501
transcript:TKW36751	63.499
transcript:TKW36752	67
transcript:TKW36753	0
transcript:TKW36754	0
transcript:TKW36756	127.749
transcript:TKW36757	1004.747
transcript:TKW36755	6.504
transcript:TKW36758	435.749
transcript:TKW36759	3323.251
transcript:TKW36760	442
transcript:TKW36761	0
transcript:TKW36762	600
transcript:TKW36763	1401
transcript:TKW36764	40.977
transcript:TKW36765	369.431
transcript:TKW36766	53.615
transcript:TKW36767	40.977
transcript:TKW36768	3587
transcript:TKW36769	15328
transcript:TKW36770	3476
transcript:TKW36771	111
transcript:TKW36772	4857
transcript:TKW36773	7379
transcript:TKW36774	1.006
transcript:TKW36775	98
transcript:TKW36776	0
transcript:TKW36777	0
transcript:TKW36778	0
transcript:TKW36779	9
transcript:TKW36780	16
transcript:TKW36781	287
transcript:TKW36782	0
transcript:TKW36786	0
transcript:TKW36787	0
transcript:TKW36783	92.667
transcript:TKW36784	92.667
transcript:TKW36785	92.667
transcript:TKW36788	0
transcript:TKW36789	2099.089
transcript:TKW36790	222
transcript:TKW36792	471.833
transcript:TKW36791	5221.167
transcript:TKW36793	0
transcript:TKW36794	0
transcript:TKW36795	397
transcript:TKW36796	3036.97
transcript:TKW36797	3391
transcript:TKW36798	102.287
transcript:TKW36799	139.721
transcript:TKW36800	29.296
transcript:TKW36801	98.704
transcript:TKW36802	0
transcript:TKW36803	0
transcript:TKW36804	0
transcript:TKW36806	4
transcript:TKW36805	0
transcript:TKW36807	0
transcript:TKW36808	7
transcript:TKW36810	45.308
transcript:TKW36813	26.469
transcript:TKW36814	26.469
