feature_id	SRR39669459
transcript:TKW36712	6.24231
transcript:TKW36713	0.070964
transcript:TKW36714	3.901549
transcript:TKW36715	36.906036
transcript:TKW36716	166.657502
transcript:TKW36717	1.5313
transcript:TKW36718	0.138205
transcript:TKW36719	1.412566
transcript:TKW36720	0
transcript:TKW36721	0
transcript:TKW36722	17.439745
transcript:TKW36723	17.853606
transcript:TKW36724	0
transcript:TKW36725	5.559845
transcript:TKW36726	333.419556
transcript:TKW36727	33.797604
transcript:TKW36728	4.647068
transcript:TKW36729	0.153643
transcript:TKW36730	0.417788
transcript:TKW36731	0.027213
transcript:TKW36732	0.582252
transcript:TKW36733	723.62481
transcript:TKW36734	325.752467
transcript:TKW36735	0.773178
transcript:TKW36736	37.937615
transcript:TKW36737	62.373553
transcript:TKW36738	42.112667
transcript:TKW36739	0
transcript:TKW36741	0.091886
transcript:TKW36742	0
transcript:TKW36740	47.762679
transcript:TKW36743	21.325701
transcript:TKW36744	8.043995
transcript:TKW36745	0
transcript:TKW36746	0.856565
transcript:TKW36747	1.987798
transcript:TKW36748	4.340743
transcript:TKW36749	313.260045
transcript:TKW36750	3.903007
transcript:TKW36751	2.740799
transcript:TKW36752	1.19523
transcript:TKW36753	0
transcript:TKW36754	0
transcript:TKW36756	4.734525
transcript:TKW36757	37.277805
transcript:TKW36755	0.777514
transcript:TKW36758	11.405195
transcript:TKW36759	124.726551
transcript:TKW36760	5.326057
transcript:TKW36761	0
transcript:TKW36762	9.647498
transcript:TKW36763	40.92332
transcript:TKW36764	1.283675
transcript:TKW36765	13.869163
transcript:TKW36766	1.705265
transcript:TKW36767	1.283675
transcript:TKW36768	20.538689
transcript:TKW36769	249.607772
transcript:TKW36770	53.235692
transcript:TKW36771	3.408031
transcript:TKW36772	111.641934
transcript:TKW36773	86.246065
transcript:TKW36774	0.022055
transcript:TKW36775	1.481774
transcript:TKW36776	0
transcript:TKW36777	0
transcript:TKW36778	0
transcript:TKW36779	0.170314
transcript:TKW36780	0.434657
transcript:TKW36781	4.195219
transcript:TKW36782	0
transcript:TKW36786	0
transcript:TKW36787	0
transcript:TKW36783	1.026958
transcript:TKW36784	1.026958
transcript:TKW36785	1.026958
transcript:TKW36788	0
transcript:TKW36789	25.655646
transcript:TKW36790	3.288038
transcript:TKW36792	2.232013
transcript:TKW36791	24.993351
transcript:TKW36793	0
transcript:TKW36794	0
transcript:TKW36795	6.71804
transcript:TKW36796	31.170895
transcript:TKW36797	56.111398
transcript:TKW36798	1.122743
transcript:TKW36799	1.830809
transcript:TKW36800	0.54155
transcript:TKW36801	0.926231
transcript:TKW36802	0
transcript:TKW36803	0
transcript:TKW36804	0
transcript:TKW36806	0.119374
transcript:TKW36805	0
transcript:TKW36807	0
transcript:TKW36808	0.101758
transcript:TKW36810	0.558241
transcript:TKW36813	0.394484
transcript:TKW36814	0.394484
transcript:TKW36815	0.779317
transcript:TKW36811	0
transcript:TKW36809	0
transcript:TKW36812	3.871795
transcript:TKW36816	0.259074
transcript:TKW36817	0.050673
transcript:TKW36818	1.037755
transcript:TKW36819	14.523455
transcript:TKW36820	0
transcript:TKW36823	0
transcript:TKW36821	0.8451
transcript:TKW36822	0
transcript:TKW36824	0
transcript:TKW36825	0
transcript:TKW36826	0.169653
transcript:TKW36827	1.458255
transcript:TKW36828	0.326903
transcript:TKW36829	0
transcript:TKW36830	0
transcript:TKW36831	3.195836
transcript:TKW36832	4.166871
transcript:TKW36833	1.306429
transcript:TKW36834	27.069021
transcript:TKW36835	14.401519
transcript:TKW36836	74.801063
transcript:TKW36837	28.067268
transcript:TKW36838	3.594947
transcript:TKW36839	4.905077
transcript:TKW36840	0
transcript:TKW36841	0.054569
transcript:TKW36849	0
transcript:TKW36845	0.916034
transcript:TKW36848	0.34424
transcript:TKW36847	0
transcript:TKW36844	0
transcript:TKW36846	0
transcript:TKW36842	0
transcript:TKW36843	0
transcript:TKW36850	0
transcript:TKW36851	24.109957
transcript:TKW36852	0
transcript:TKW36853	0.219868
transcript:TKW36856	2.969852
transcript:TKW36855	0
transcript:TKW36854	0.861123
transcript:TKW36857	41.056477
transcript:TKW36861	6.143453
transcript:TKW36859	0.79265
transcript:TKW36860	8.54792
transcript:TKW36858	2.105341
transcript:TKW36862	2.105341
transcript:TKW36863	2.105341
transcript:TKW36864	109.032903
transcript:TKW36865	0
transcript:TKW36866	0.49072
transcript:TKW36867	33.844242
transcript:TKW36868	33.124804
transcript:TKW36869	128.390699
transcript:TKW36870	0
transcript:TKW36871	7.614979
transcript:TKW36872	54.141896
transcript:TKW36874	0.797496
transcript:TKW36873	0.513468
transcript:TKW36875	0.912567
transcript:TKW36876	1.800456
transcript:TKW36877	0
transcript:TKW36878	3.188435
transcript:TKW36879	0.044556
transcript:TKW36880	0
transcript:TKW36881	0
transcript:TKW36882	3.553607
transcript:TKW36883	0.378569
transcript:TKW36884	0.243422
transcript:TKW36885	3.859376
transcript:TKW36886	1.385197
transcript:TKW36887	0.478265
transcript:TKW36888	1.319675
transcript:TKW36889	0.445898
transcript:TKW36890	10.3736
transcript:TKW36891	0.088441
transcript:TKW36892	0
transcript:TKW36893	12.194261
transcript:TKW36894	0
transcript:TKW36895	2.176949
transcript:TKW36896	30.969045
transcript:TKW36897	8.0905
transcript:TKW36898	2.089954
transcript:TKW36900	4.130213
transcript:TKW36899	2.611592
transcript:TKW36901	6.862691
transcript:TKW36902	12.001476
transcript:TKW36903	0
transcript:TKW36904	10.625526
transcript:TKW36905	1.550682
transcript:TKW36906	30.319873
transcript:TKW36907	9.18605
transcript:TKW36908	5.296716
transcript:TKW36909	0
transcript:TKW36910	4.551162
transcript:TKW36911	0.07012
transcript:TKW36912	148.24346
transcript:TKW36913	0
transcript:TKW36914	0.093792
transcript:TKW36915	0
transcript:TKW36916	1.002581
transcript:TKW36917	0.320862
transcript:TKW36918	710.035494
transcript:TKW36919	235.008372
transcript:TKW36920	0
transcript:TKW36921	0
transcript:TKW36922	2.344051
transcript:TKW36923	91.416385
transcript:TKW36924	0
transcript:TKW36925	8.408067
transcript:TKW36926	15.579157
transcript:TKW36927	65.931667
transcript:TKW36929	1.503324
transcript:TKW36930	1.503324
transcript:TKW36931	1.503324
transcript:TKW36928	18.178865
transcript:TKW36932	0.486844
transcript:TKW36933	0.175213
transcript:TKW36934	2.959183
transcript:TKW36935	62.142366
transcript:TKW36936	24.57567
transcript:TKW36937	2.677408
transcript:TKW36938	0
transcript:TKW36939	4.747788
transcript:TKW36940	0
transcript:TKW36941	0
transcript:TKW36942	1.64873
transcript:TKW36943	2.321885
transcript:TKW36944	0
transcript:TKW36946	0.976587
transcript:TKW36945	0.192175
transcript:TKW36947	3.254361
transcript:TKW36951	0.325498
transcript:TKW36948	1.500343
transcript:TKW36949	1.500343
transcript:TKW36950	1.500343
transcript:TKW36952	1.012334
transcript:TKW36953	1.012334
transcript:TKW36954	0
transcript:TKW36955	0.48233
transcript:TKW36956	0
transcript:TKW36957	5.606088
transcript:TKW36958	6.079629
transcript:TKW36959	9.386582
transcript:TKW36960	2.112668
transcript:TKW36961	0
transcript:TKW36962	0.016734
transcript:TKW36963	0
transcript:TKW36964	82.045099
transcript:TKW36965	10.98291
transcript:TKW36966	0.785264
transcript:TKW36967	2.391513
transcript:TKW36968	0.028186
transcript:TKW36970	2.314922
transcript:TKW36969	5.78869
transcript:TKW36971	8.364863
transcript:TKW36972	9.262429
transcript:TKW36973	5.628396
transcript:TKW36974	1.311048
transcript:TKW36975	1.21711
transcript:TKW36976	4.969243
transcript:TKW36977	0
transcript:TKW36978	1.936114
transcript:TKW36979	0.961613
transcript:TKW36980	0
transcript:TKW36981	0
transcript:TKW36982	0.973688
transcript:TKW36983	0
transcript:TKW36984	1.582243
transcript:TKW36987	0
transcript:TKW36986	2.1788
transcript:TKW36985	3.112871
transcript:TKW36988	5.159132
transcript:TKW36989	0.362277
transcript:TKW36990	1.560948
transcript:TKW36991	0
transcript:TKW36992	0.617311
transcript:TKW36993	2.144328
transcript:TKW36994	0
transcript:TKW36995	1.602074
transcript:TKW36996	0.196641
transcript:TKW36997	0
transcript:TKW36998	1.191391
transcript:TKW36999	31.550453
transcript:TKW37003	0.535522
transcript:TKW37000	0
transcript:TKW37001	3.006325
transcript:TKW37002	4.458035
transcript:TKW37004	0
transcript:TKW37005	0
transcript:TKW37006	0.25174
transcript:TKW37007	12.074952
transcript:TKW37008	19.063245
transcript:TKW37009	0
transcript:TKW37010	1.699599
transcript:TKW37012	14.021217
transcript:TKW37013	9.597301
transcript:TKW37011	15.894094
transcript:TKW37014	0
transcript:TKW37015	27.73738
transcript:TKW37016	107.344457
transcript:TKW37017	0
transcript:TKW37018	0
transcript:TKW37019	0
transcript:TKW37020	0.037622
transcript:TKW37021	0.159925
transcript:TKW37022	0.938084
transcript:TKW37023	2.009333
transcript:TKW37024	4.61544
transcript:TKW37025	8.114301
transcript:TKW37026	67.056575
transcript:TKW37027	285.86587
transcript:TKW37028	0
transcript:TKW37029	0
transcript:TKW37030	6.770724
transcript:TKW37031	0
transcript:TKW37032	0.528094
transcript:TKW37033	0.033347
transcript:TKW37034	7.695918
transcript:TKW37035	3.283782
transcript:TKW37036	2.950605
transcript:TKW37037	4.495413
transcript:TKW37038	2.276714
transcript:TKW37039	11.124432
transcript:TKW37040	10.799675
transcript:TKW37041	7.799599
transcript:TKW37042	0.210241
transcript:TKW37043	1.50131
transcript:TKW37044	0
transcript:TKW37045	0
transcript:TKW37046	0
transcript:TKW37047	0
transcript:TKW37048	0
transcript:TKW37049	0
transcript:TKW37050	4.55591
transcript:TKW37051	0
transcript:TKW37052	10.127917
transcript:TKW37053	1.962054
transcript:TKW37054	1.3557
transcript:TKW37055	1.148408
transcript:TKW37056	46.225218
transcript:TKW37057	11.757513
transcript:TKW37058	0.217209
transcript:TKW37059	1.697613
transcript:TKW37060	32.384387
transcript:TKW37061	0.209445
transcript:TKW37062	75.54322
transcript:TKW37063	6.968099
transcript:TKW37064	91.843883
transcript:TKW37065	2.082135
transcript:TKW37066	0
transcript:TKW37067	227.183568
transcript:TKW37068	36.274956
transcript:TKW37069	3.059171
transcript:TKW37070	3.893864
transcript:TKW37071	0.62511
transcript:TKW37073	10.624709
transcript:TKW37072	5.309701
transcript:TKW37074	26.891083
transcript:TKW37075	0
transcript:TKW37076	12.07523
transcript:TKW37077	28.427256
transcript:TKW37080	2.099782
transcript:TKW37078	2.198958
transcript:TKW37079	2.198958
transcript:TKW37081	0.594432
transcript:TKW37082	0
transcript:TKW37083	0.413187
transcript:TKW37084	0
transcript:TKW37085	0.241316
transcript:TKW37086	0.320079
transcript:TKW37087	40.711761
transcript:TKW37088	0.021765
transcript:TKW37089	0
transcript:TKW37090	1.860898
transcript:TKW37091	0.396446
transcript:TKW37092	0
transcript:TKW37093	6.111224
transcript:TKW37094	0.253754
transcript:TKW37095	0
transcript:TKW37096	44.291602
transcript:TKW37097	0.2241
transcript:TKW37098	0
transcript:TKW37099	131.357429
transcript:TKW37100	27.865108
transcript:TKW37101	0
transcript:TKW37102	1.528456
transcript:TKW37103	0.284434
transcript:TKW37104	8.817835
transcript:TKW37105	0.04704
transcript:TKW37106	0.272643
transcript:TKW37107	0.16066
transcript:TKW37108	0
transcript:TKW37109	0.13994
transcript:TKW37110	4.659636
transcript:TKW37111	7.092933
transcript:TKW37112	0.154387
transcript:TKW37113	0
transcript:TKW37114	38.703798
transcript:TKW37115	22.262518
transcript:TKW37116	1.409606
transcript:TKW37117	0.046552
transcript:TKW37118	0
transcript:TKW37119	4.670612
transcript:TKW37120	1.86761
transcript:TKW37121	0.29024
transcript:TKW37122	0.752998
transcript:TKW37123	0.069274
transcript:TKW37124	38.493427
transcript:TKW37125	0.450623
transcript:TKW37126	0
transcript:TKW37127	0
transcript:TKW37128	673.420404
transcript:TKW37129	7.017811
transcript:TKW37130	0
transcript:TKW37131	0.146719
transcript:TKW37132	0
transcript:TKW37133	0.1134
transcript:TKW37134	0.134821
transcript:TKW37135	27.82284
transcript:TKW37136	28.918954
transcript:TKW37137	0
transcript:TKW37138	14.073436
transcript:TKW37139	145.781143
transcript:TKW37140	1.40498
transcript:TKW37141	1.40498
transcript:TKW37142	0.119397
transcript:TKW37143	0.461417
transcript:TKW37144	0
transcript:TKW37145	0
transcript:TKW37146	0
transcript:TKW37147	0.035289
transcript:TKW37148	1.887605
transcript:TKW37149	2.468659
transcript:TKW37150	1.596105
transcript:TKW37151	0
transcript:TKW37152	18.391074
transcript:TKW37157	0.040051
transcript:TKW37160	0.040051
transcript:TKW37155	0
transcript:TKW37153	0
transcript:TKW37154	0
transcript:TKW37156	0
transcript:TKW37158	0
transcript:TKW37159	0
transcript:TKW37161	0
transcript:TKW37163	5.704746
transcript:TKW37162	49.413311
transcript:TKW37164	10.847565
transcript:TKW37165	33.981489
transcript:TKW37166	20.231607
transcript:TKW37167	10.780371
transcript:TKW37168	16.348089
transcript:TKW37169	8.449651
transcript:TKW37170	1.78918
transcript:TKW37171	21.072591
transcript:TKW37172	78.620999
transcript:TKW37173	48.037293
transcript:TKW37174	14.377352
transcript:TKW37175	38.636422
transcript:TKW37176	0.27644
transcript:TKW37177	11.234273
transcript:TKW37178	31.264558
transcript:TKW37179	0
transcript:TKW37180	0
transcript:TKW37181	62.109339
transcript:TKW37182	35.849827
transcript:TKW37183	89.29671
transcript:TKW37185	6.393312
transcript:TKW37186	0.511928
transcript:TKW37184	1.498786
transcript:TKW37187	8.398057
transcript:TKW37188	52.083277
transcript:TKW37190	1.166757
transcript:TKW37197	0
transcript:TKW37196	9.582616
transcript:TKW37193	0
transcript:TKW37194	0
transcript:TKW37199	0
transcript:TKW37201	0
transcript:TKW37189	0
transcript:TKW37198	0
transcript:TKW37202	0
transcript:TKW37195	1.752568
transcript:TKW37203	0
transcript:TKW37200	0
transcript:TKW37191	0
transcript:TKW37192	0
transcript:TKW37204	0
transcript:TKW37205	0
transcript:TKW37206	0.018345
transcript:TKW37207	0
transcript:TKW37208	0.205176
transcript:TKW37209	0.267375
transcript:TKW37210	0.022313
transcript:TKW37211	4.289281
transcript:TKW37212	0
transcript:TKW37213	8.375326
transcript:TKW37214	2.527843
transcript:TKW37215	18.215968
transcript:TKW37216	22.272922
transcript:TKW37217	1.256304
transcript:TKW37218	0
transcript:TKW37219	0
transcript:TKW37220	0
transcript:TKW37221	84.365164
transcript:TKW37222	30.900586
transcript:TKW37228	0.77612
transcript:TKW37224	5.738956
transcript:TKW37226	0.270362
transcript:TKW37227	0.270362
transcript:TKW37229	0
transcript:TKW37225	2.498818
transcript:TKW37223	1.024019
transcript:TKW37230	3.380588
transcript:TKW37231	0
transcript:TKW37232	0.40752
transcript:TKW37234	65.338278
transcript:TKW37233	0
transcript:TKW37235	0
transcript:TKW37236	0
transcript:TKW37237	12.150561
transcript:TKW37238	95.030863
transcript:TKW37249	10.963538
transcript:TKW37244	0.108281
transcript:TKW37242	4.837343
transcript:TKW37243	0.566146
transcript:TKW37240	0
transcript:TKW37241	0
transcript:TKW37245	0
transcript:TKW37246	0
transcript:TKW37248	0.606078
transcript:TKW37247	0.351265
transcript:TKW37239	1.397019
transcript:TKW37250	0
transcript:TKW37251	13.54208
transcript:TKW37252	0
transcript:TKW37253	0.163648
transcript:TKW37254	215.977544
transcript:TKW37255	0.233401
transcript:TKW37256	6.031594
transcript:TKW37257	43.318431
transcript:TKW37258	0
transcript:TKW37259	8.39142
transcript:TKW37260	16.878382
transcript:TKW37261	16.878382
transcript:TKW37262	2.265832
transcript:TKW37263	0
transcript:TKW37264	0
transcript:TKW37265	14.591732
transcript:TKW37266	0.040108
transcript:TKW37267	0.14533
transcript:TKW37268	0.263211
transcript:TKW37269	0.187783
transcript:TKW37270	0
transcript:TKW37271	0.398561
transcript:TKW37273	0.333574
transcript:TKW37272	1.47031
transcript:TKW37274	2.793682
transcript:TKW37275	6.617992
transcript:TKW37276	0.197891
transcript:TKW37277	0
transcript:TKW37279	51.180436
transcript:TKW37278	24.735598
transcript:TKW37280	25.83119
transcript:TKW37281	4.213072
transcript:TKW37282	0.655728
transcript:TKW37288	0
transcript:TKW37283	0.195038
transcript:TKW37290	0.195038
transcript:TKW37284	0.9592
transcript:TKW37285	0
transcript:TKW37286	0.9592
transcript:TKW37287	0.9592
transcript:TKW37289	0.9592
transcript:TKW37292	56.034968
transcript:TKW37291	41.734104
transcript:TKW37293	6.09208
transcript:TKW37294	1.760462
transcript:TKW37295	0.067197
transcript:TKW37296	0
transcript:TKW37297	0
transcript:TKW37298	57.508433
transcript:TKW37300	0
transcript:TKW37299	3.829502
transcript:TKW37301	2.759401
transcript:TKW37302	81.858704
transcript:TKW37303	0.066926
transcript:TKW37304	3.455352
transcript:TKW37305	0.103772
transcript:TKW37306	0
transcript:TKW37307	1.088044
transcript:TKW37308	11.95591
transcript:TKW37310	3.421455
transcript:TKW37312	0.802593
transcript:TKW37313	0
transcript:TKW37309	4.322892
transcript:TKW37311	0
transcript:TKW37314	0.996523
transcript:TKW37315	0.88142
transcript:TKW37316	17.121259
transcript:TKW37317	1.15781
transcript:TKW37318	131.447847
transcript:TKW37319	26.531913
transcript:TKW37320	8.519015
transcript:TKW37321	29.890514
transcript:TKW37322	29.801083
transcript:TKW37323	0.399228
transcript:TKW37324	30.552112
transcript:TKW37325	5.597581
transcript:TKW37326	13.187812
transcript:TKW37327	2.156388
transcript:TKW37328	0.037755
transcript:TKW37329	0
transcript:TKW37330	0.365133
transcript:TKW37331	2.191514
transcript:TKW37332	8.896555
transcript:TKW37333	173.698941
transcript:TKW37334	1.568622
transcript:TKW37335	40.692263
transcript:TKW37336	10.757437
transcript:TKW37337	11.119638
transcript:TKW37338	0.033088
transcript:TKW37339	0
transcript:TKW37340	5.441515
transcript:TKW37341	0.328648
transcript:TKW37342	0.224592
transcript:TKW37343	0.06159
transcript:TKW37344	0.030523
transcript:TKW37345	0
transcript:TKW37346	0.15579
transcript:TKW37347	0.283142
transcript:TKW37348	0
transcript:TKW37349	0
transcript:TKW37350	0
transcript:TKW37351	0.17784
transcript:TKW37352	0.838138
transcript:TKW37353	0.428337
transcript:TKW37355	0
transcript:TKW37356	0
