feature_id	SRR14935704
SORBI_3001G000100	0
SORBI_3001G000200	405.996
SORBI_3001G000400	272.446
SORBI_3001G000300	0
SORBI_3001G000501	8
SORBI_3001G000700	493.167
SORBI_3001G000800	1572
SORBI_3001G000900	0
SORBI_3001G001000	0
SORBI_3001G001066	0
SORBI_3001G001132	0
SORBI_3001G001200	21
SORBI_3001G001300	53
SORBI_3001G001400	1401.188
SORBI_3001G001700	8
SORBI_3001G001800	0
SORBI_3001G001900	432
SORBI_3001G002000	1361.999
SORBI_3001G002050	220
SORBI_3001G002100	8
SORBI_3001G002200	0
SORBI_3001G002300	1
SORBI_3001G002400	1
SORBI_3001G002500	5
SORBI_3001G002600	117
SORBI_3001G002650	0
SORBI_3001G002700	5
SORBI_3001G002800	27
SORBI_3001G002900	1
SORBI_3001G003000	150.011
SORBI_3001G003100	1625
SORBI_3001G003200	210
SORBI_3001G003300	29
SORBI_3001G003400	0
SORBI_3001G003500	277
SORBI_3001G003600	0
SORBI_3001G003700	0
SORBI_3001G003900	35.931
SORBI_3001G004000	2
SORBI_3001G004100	328.908
SORBI_3001G004200	170
SORBI_3001G004300	2
SORBI_3001G004400	1156.003
SORBI_3001G004500	1
SORBI_3001G004550	0
SORBI_3001G004600	13
SORBI_3001G004700	52
SORBI_3001G004800	8
SORBI_3001G004901	0
SORBI_3001G005000	1
SORBI_3001G005100	11
SORBI_3001G005200	467
SORBI_3001G005300	6
SORBI_3001G005400	0
SORBI_3001G005500	48
SORBI_3001G005600	647.888
SORBI_3001G005700	119
SORBI_3001G005800	142
ENSRNA049997130	0
SORBI_3001G005900	471.998
SORBI_3001G006000	54
SORBI_3001G006101	2
SORBI_3001G006201	19
SORBI_3001G006300	0
SORBI_3001G006400	239
SORBI_3001G006500	8
SORBI_3001G006600	0
SORBI_3001G006700	1829.109
SORBI_3001G006800	105
SORBI_3001G006900	1
SORBI_3001G007000	410
SORBI_3001G007100	145
SORBI_3001G007200	553.541
SORBI_3001G007300	1
SORBI_3001G007400	321
SORBI_3001G007500	133
SORBI_3001G007600	1892.127
SORBI_3001G007700	22
SORBI_3001G007800	235.976
SORBI_3001G007900	102.235
SORBI_3001G008000	34
SORBI_3001G008100	340
SORBI_3001G008200	183
SORBI_3001G008300	9
SORBI_3001G008400	1
SORBI_3001G008500	156
SORBI_3001G008600	2
SORBI_3001G008700	59
SORBI_3001G008800	252
SORBI_3001G008900	127
SORBI_3001G009000	0
SORBI_3001G009100	0
SORBI_3001G009200	50
SORBI_3001G009300	395
SORBI_3001G009400	15
SORBI_3001G009500	59
SORBI_3001G009600	617
SORBI_3001G009700	2
SORBI_3001G009800	622
SORBI_3001G009900	15
SORBI_3001G010000	12
SORBI_3001G010100	211.084
SORBI_3001G010200	36
SORBI_3001G010300	271
SORBI_3001G010400	399.904
SORBI_3001G010500	0
SORBI_3001G010600	720
SORBI_3001G010700	790.55
SORBI_3001G010800	103
SORBI_3001G010900	126
SORBI_3001G011000	867.975
SORBI_3001G011100	0
SORBI_3001G011200	1385.002
SORBI_3001G011300	29
SORBI_3001G011400	37
SORBI_3001G011600	176
SORBI_3001G011700	349
SORBI_3001G011800	16
ENSRNA049997137	0
ENSRNA049469069	0
SORBI_3001G012000	0
SORBI_3001G012100	161.988
SORBI_3001G012200	104
SORBI_3001G012300	4
SORBI_3001G012400	58
SORBI_3001G012500	15983.719
SORBI_3001G012600	1245.382
SORBI_3001G012700	93
SORBI_3001G012800	1058.908
SORBI_3001G012900	330
SORBI_3001G013000	600
SORBI_3001G013100	125
SORBI_3001G013200	97
SORBI_3001G013300	150
SORBI_3001G013400	4.82
SORBI_3001G013500	323
SORBI_3001G013600	27
ENSRNA049468963	0
SORBI_3001G013701	0
SORBI_3001G013800	24
SORBI_3001G013900	27
SORBI_3001G014000	11
SORBI_3001G014100	447.818
SORBI_3001G014200	502
SORBI_3001G014300	397.981
SORBI_3001G014400	0
SORBI_3001G014500	184
SORBI_3001G014600	0
SORBI_3001G014700	1
SORBI_3001G014800	840.988
SORBI_3001G014900	171.97
SORBI_3001G015000	2
SORBI_3001G015100	861
SORBI_3001G015200	112
SORBI_3001G015300	6
SORBI_3001G015400	1288.305
SORBI_3001G015500	444.999
SORBI_3001G015600	1
SORBI_3001G015700	0
SORBI_3001G015800	617
SORBI_3001G016000	349
SORBI_3001G016050	1
SORBI_3001G016100	13.012
SORBI_3001G016201	232.479
SORBI_3001G016300	0.988
SORBI_3001G016350	0
SORBI_3001G016200	196.701
SORBI_3001G016400	846.285
SORBI_3001G016500	637.706
SORBI_3001G016600	192.999
SORBI_3001G016700	485.636
SORBI_3001G016800	0
SORBI_3001G016900	1216.915
SORBI_3001G017000	11
SORBI_3001G017100	3941.305
SORBI_3001G017200	670
SORBI_3001G017300	121
SORBI_3001G017400	285
SORBI_3001G017500	0
ENSRNA049444170	0
SORBI_3001G017600	206.661
SORBI_3001G017700	394.237
SORBI_3001G017800	182
SORBI_3001G017900	233
SORBI_3001G018000	56
SORBI_3001G018100	619.133
SORBI_3001G018200	201.867
SORBI_3001G018300	30
SORBI_3001G018350	0
SORBI_3001G018400	0
SORBI_3001G018500	255
SORBI_3001G018550	0
ENSRNA049445322	0
SORBI_3001G018600	0
SORBI_3001G018700	0
ENSRNA049444201	0
SORBI_3001G018800	714.577
SORBI_3001G018900	3256
SORBI_3001G019000	0
SORBI_3001G019100	0
ENSRNA049444213	0
SORBI_3001G019200	31
SORBI_3001G019300	36
SORBI_3001G019400	375
SORBI_3001G019500	205
SORBI_3001G019601	4
SORBI_3001G019700	26
SORBI_3001G019800	266
SORBI_3001G019900	657.847
SORBI_3001G020000	498
SORBI_3001G020100	456.217
SORBI_3001G020200	19
SORBI_3001G020350	2
SORBI_3001G020500	300
SORBI_3001G020600	269
ENSRNA049444222	0
SORBI_3001G020700	5
SORBI_3001G020800	0
SORBI_3001G020900	0
SORBI_3001G021000	502.668
SORBI_3001G021100	0
SORBI_3001G021200	0
SORBI_3001G021300	832.807
SORBI_3001G021400	4316.611
SORBI_3001G021500	9952.709
SORBI_3001G021601	0
SORBI_3001G021700	130
SORBI_3001G021800	109.542
SORBI_3001G021900	157.459
SORBI_3001G022000	64
SORBI_3001G022100	467
SORBI_3001G022200	1
SORBI_3001G022300	85.002
SORBI_3001G022400	209
SORBI_3001G022500	440.654
SORBI_3001G022600	1732.047
SORBI_3001G022700	35
SORBI_3001G022800	1692.167
SORBI_3001G022900	1267.363
SORBI_3001G023000	267.454
SORBI_3001G023100	1015
SORBI_3001G023200	129
SORBI_3001G023300	30
SORBI_3001G023400	163
SORBI_3001G023500	45
SORBI_3001G023600	25
SORBI_3001G023700	2
SORBI_3001G023800	154.999
SORBI_3001G023900	321
SORBI_3001G024000	947.03
SORBI_3001G024100	0
SORBI_3001G024200	75
SORBI_3001G024250	0
SORBI_3001G024300	0
SORBI_3001G024400	1
SORBI_3001G024500	307.04
SORBI_3001G024700	0
SORBI_3001G024800	0
SORBI_3001G024900	1
SORBI_3001G025000	977
SORBI_3001G025101	9
SORBI_3001G025201	2
SORBI_3001G025300	78
SORBI_3001G025400	198.735
SORBI_3001G025500	139
SORBI_3001G025600	437.927
SORBI_3001G025700	256
SORBI_3001G025800	52
SORBI_3001G025900	6
SORBI_3001G026000	737.059
SORBI_3001G026100	1
SORBI_3001G026200	409
SORBI_3001G026300	0
SORBI_3001G026400	59
SORBI_3001G026500	1411.449
SORBI_3001G026600	118
SORBI_3001G026700	4
ENSRNA049445318	0
SORBI_3001G026800	338
SORBI_3001G026900	196
SORBI_3001G026950	0
SORBI_3001G027000	0
SORBI_3001G027100	126
SORBI_3001G027200	0
SORBI_3001G027300	9
SORBI_3001G027400	0
SORBI_3001G027500	4
SORBI_3001G027600	98
SORBI_3001G027700	0
SORBI_3001G027800	6
SORBI_3001G027900	4
SORBI_3001G028000	132.444
SORBI_3001G028100	1803.077
SORBI_3001G028200	11
SORBI_3001G028301	0
SORBI_3001G028400	641
SORBI_3001G028500	299
SORBI_3001G028600	1
SORBI_3001G028700	147.002
