feature_id	SRR14935704
SORBI_3001G000100	0
SORBI_3001G000200	38.875715
SORBI_3001G000400	11.10046
SORBI_3001G000300	0
SORBI_3001G000501	17.64492
SORBI_3001G000700	84.88648
SORBI_3001G000800	84.687427
SORBI_3001G000900	0
SORBI_3001G001000	0
SORBI_3001G001066	0
SORBI_3001G001132	0
SORBI_3001G001200	2.215088
SORBI_3001G001300	6.172844
SORBI_3001G001400	62.724873
SORBI_3001G001700	0.832343
SORBI_3001G001800	0
SORBI_3001G001900	24.214848
SORBI_3001G002000	49.096925
SORBI_3001G002050	12.48713
SORBI_3001G002100	5.849901
SORBI_3001G002200	0
SORBI_3001G002300	0.115936
SORBI_3001G002400	0.097047
SORBI_3001G002500	0.532164
SORBI_3001G002600	15.953449
SORBI_3001G002650	0
SORBI_3001G002700	0.454428
SORBI_3001G002800	1.74005
SORBI_3001G002900	0.24224
SORBI_3001G003000	7.727505
SORBI_3001G003100	133.952054
SORBI_3001G003200	25.202163
SORBI_3001G003300	1.836865
SORBI_3001G003400	0
SORBI_3001G003500	22.300854
SORBI_3001G003600	0
SORBI_3001G003700	0
SORBI_3001G003900	4.099049
SORBI_3001G004000	0.239966
SORBI_3001G004100	33.763589
SORBI_3001G004200	19.576626
SORBI_3001G004300	0.148986
SORBI_3001G004400	59.445786
SORBI_3001G004500	0.120575
SORBI_3001G004550	0
SORBI_3001G004600	0.762252
SORBI_3001G004700	3.403346
SORBI_3001G004800	1.93789
SORBI_3001G004901	0
SORBI_3001G005000	0.467161
SORBI_3001G005100	1.147369
SORBI_3001G005200	24.687516
SORBI_3001G005300	0.615211
SORBI_3001G005400	0
SORBI_3001G005500	11.283387
SORBI_3001G005600	51.417584
SORBI_3001G005700	20.137769
SORBI_3001G005800	10.684222
ENSRNA049997130	0
SORBI_3001G005900	159.058263
SORBI_3001G006000	5.537798
SORBI_3001G006101	0.322133
SORBI_3001G006201	3.678963
SORBI_3001G006300	0
SORBI_3001G006400	19.795162
SORBI_3001G006500	1.236955
SORBI_3001G006600	0
SORBI_3001G006700	67.711575
SORBI_3001G006800	8.939467
SORBI_3001G006900	0.284911
SORBI_3001G007000	58.27671
SORBI_3001G007100	10.025252
SORBI_3001G007200	24.973507
SORBI_3001G007300	1.134194
SORBI_3001G007400	43.844398
SORBI_3001G007500	14.070537
SORBI_3001G007600	236.934622
SORBI_3001G007700	2.452237
SORBI_3001G007800	23.759189
SORBI_3001G007900	14.422224
SORBI_3001G008000	4.474352
SORBI_3001G008100	55.353538
SORBI_3001G008200	10.148565
SORBI_3001G008300	1.262427
SORBI_3001G008400	0.026915
SORBI_3001G008500	13.094335
SORBI_3001G008600	0.135542
SORBI_3001G008700	22.501814
SORBI_3001G008800	68.835159
SORBI_3001G008900	24.077473
SORBI_3001G009000	0
SORBI_3001G009100	0
SORBI_3001G009200	6.379555
SORBI_3001G009300	51.266973
SORBI_3001G009400	1.46609
SORBI_3001G009500	4.743583
SORBI_3001G009600	42.563046
SORBI_3001G009700	0.041715
SORBI_3001G009800	61.544985
SORBI_3001G009900	3.627456
SORBI_3001G010000	1.370754
SORBI_3001G010100	39.716079
SORBI_3001G010200	5.273034
SORBI_3001G010300	29.887448
SORBI_3001G010400	115.137135
SORBI_3001G010500	0
SORBI_3001G010600	110.490079
SORBI_3001G010700	82.859135
SORBI_3001G010800	25.231631
SORBI_3001G010900	10.354027
SORBI_3001G011000	111.115482
SORBI_3001G011100	0
SORBI_3001G011200	241.51213
SORBI_3001G011300	7.237601
SORBI_3001G011400	3.851843
SORBI_3001G011600	19.050443
SORBI_3001G011700	32.169294
SORBI_3001G011800	18.147098
ENSRNA049997137	0
ENSRNA049469069	0
SORBI_3001G012000	0
SORBI_3001G012100	27.384627
SORBI_3001G012200	14.204936
SORBI_3001G012300	0.310188
SORBI_3001G012400	14.527211
SORBI_3001G012500	2647.834493
SORBI_3001G012600	117.490313
SORBI_3001G012700	6.404729
SORBI_3001G012800	102.571474
SORBI_3001G012900	24.026908
SORBI_3001G013000	135.89515
SORBI_3001G013100	18.436414
SORBI_3001G013200	20.507594
SORBI_3001G013300	8.724418
SORBI_3001G013400	0.502946
SORBI_3001G013500	42.953901
SORBI_3001G013600	5.089988
ENSRNA049468963	0
SORBI_3001G013701	0
SORBI_3001G013800	2.331245
SORBI_3001G013900	1.428252
SORBI_3001G014000	3.493214
SORBI_3001G014100	38.628174
SORBI_3001G014200	58.723927
SORBI_3001G014300	44.584121
SORBI_3001G014400	0
SORBI_3001G014500	26.839999
SORBI_3001G014600	0
SORBI_3001G014700	0.085441
SORBI_3001G014800	163.42638
SORBI_3001G014900	12.035795
SORBI_3001G015000	0.221486
SORBI_3001G015100	129.709653
SORBI_3001G015200	8.883901
SORBI_3001G015300	0.391884
SORBI_3001G015400	47.187143
SORBI_3001G015500	37.137127
SORBI_3001G015600	0.38426
SORBI_3001G015700	0
SORBI_3001G015800	39.637044
SORBI_3001G016000	39.410102
SORBI_3001G016050	0.157593
SORBI_3001G016100	1.421689
SORBI_3001G016201	39.450559
SORBI_3001G016300	0.054106
SORBI_3001G016350	0
SORBI_3001G016200	27.454374
SORBI_3001G016400	150.345851
SORBI_3001G016500	122.570392
SORBI_3001G016600	11.766687
SORBI_3001G016700	28.708817
SORBI_3001G016800	0
SORBI_3001G016900	159.277026
SORBI_3001G017000	3.756516
SORBI_3001G017100	218.263677
SORBI_3001G017200	97.269861
SORBI_3001G017300	10.767948
SORBI_3001G017400	52.513076
SORBI_3001G017500	0
ENSRNA049444170	0
SORBI_3001G017600	39.862326
SORBI_3001G017700	35.12476
SORBI_3001G017800	19.336554
SORBI_3001G017900	20.971818
SORBI_3001G018000	3.33589
SORBI_3001G018100	65.433199
SORBI_3001G018200	8.205325
SORBI_3001G018300	3.219221
SORBI_3001G018350	0
SORBI_3001G018400	0
SORBI_3001G018500	89.655689
SORBI_3001G018550	0
ENSRNA049445322	0
SORBI_3001G018600	0
SORBI_3001G018700	0
ENSRNA049444201	0
SORBI_3001G018800	831.117772
SORBI_3001G018900	693.015098
SORBI_3001G019000	0
SORBI_3001G019100	0
ENSRNA049444213	0
SORBI_3001G019200	5.119567
SORBI_3001G019300	2.590411
SORBI_3001G019400	16.83937
SORBI_3001G019500	44.291895
SORBI_3001G019601	1.647362
SORBI_3001G019700	1.196314
SORBI_3001G019800	29.464784
SORBI_3001G019900	126.431387
SORBI_3001G020000	43.038015
SORBI_3001G020100	57.254603
SORBI_3001G020200	5.162185
SORBI_3001G020350	0.164821
SORBI_3001G020500	30.414875
SORBI_3001G020600	18.435904
ENSRNA049444222	0
SORBI_3001G020700	1.669152
SORBI_3001G020800	0
SORBI_3001G020900	0
SORBI_3001G021000	45.649912
SORBI_3001G021100	0
SORBI_3001G021200	0
SORBI_3001G021300	46.225611
SORBI_3001G021400	369.941209
SORBI_3001G021500	425.472665
SORBI_3001G021601	0
SORBI_3001G021700	4.955532
SORBI_3001G021800	5.445392
SORBI_3001G021900	12.181468
SORBI_3001G022000	8.58798
SORBI_3001G022100	43.113302
SORBI_3001G022200	0.235143
SORBI_3001G022300	27.271013
SORBI_3001G022400	29.770967
SORBI_3001G022500	48.603416
SORBI_3001G022600	101.164306
SORBI_3001G022700	3.069598
SORBI_3001G022800	96.448717
SORBI_3001G022900	89.015894
SORBI_3001G023000	21.515549
SORBI_3001G023100	78.819427
SORBI_3001G023200	15.96447
SORBI_3001G023300	3.371211
SORBI_3001G023400	10.848254
SORBI_3001G023500	2.612665
SORBI_3001G023600	3.074261
SORBI_3001G023700	0.228371
SORBI_3001G023800	15.071407
SORBI_3001G023900	70.512132
SORBI_3001G024000	74.833359
SORBI_3001G024100	0
SORBI_3001G024200	8.795425
SORBI_3001G024250	0
SORBI_3001G024300	0
SORBI_3001G024400	0.183056
SORBI_3001G024500	37.076705
SORBI_3001G024700	0
SORBI_3001G024800	0
SORBI_3001G024900	0.229383
SORBI_3001G025000	51.42606
SORBI_3001G025101	6.424015
SORBI_3001G025201	0.215037
SORBI_3001G025300	7.171261
SORBI_3001G025400	21.558309
SORBI_3001G025500	19.184531
SORBI_3001G025600	166.789321
SORBI_3001G025700	34.088922
SORBI_3001G025800	3.266399
SORBI_3001G025900	0.394038
SORBI_3001G026000	63.642976
SORBI_3001G026100	0.214899
SORBI_3001G026200	35.052383
SORBI_3001G026300	0
SORBI_3001G026400	5.310914
SORBI_3001G026500	71.823454
