feature_id	SRR14935704
transcript:EER90453	0
transcript:EER93047	405.996
transcript:OQU90570	0
transcript:OQU90572	0
transcript:OQU90571	35.588
transcript:KXG37057	0
transcript:KXG37058	0
transcript:KXG37059	153.581
transcript:OQU90573	83.277
transcript:OQU90574	8
transcript:EER90454	2.59
transcript:OQU90575	478.057
transcript:OQU90577	7.322
transcript:OQU90578	0
transcript:KXG37061	0
transcript:OQU90576	5.198
transcript:EER93049	1572
transcript:EER90455	0
transcript:KXG37063	0
transcript:OQU90579	0
transcript:KXG37064	0
transcript:EER93051	21
transcript:EER90457	53
transcript:OQU90580	23.933
transcript:OQU90581	1377.255
transcript:KXG37068	8
transcript:OQU90582	0
transcript:EER90458	0
transcript:KXG37070	432
transcript:EER93053	1361.999
transcript:OQU90584	220
transcript:OQU90583	8
transcript:EER90459	0
transcript:EER90460	1
transcript:EER90461	1
transcript:EER90462	5
transcript:KXG37072	20.217
transcript:KXG37071	96.783
transcript:OQU90585	0
transcript:EER90463	5
transcript:OQU90586	8.684
transcript:EER93055	18.316
transcript:KXG37073	1
transcript:EER90465	150.011
transcript:EER90466	1625
transcript:KXG37075	210
transcript:OQU90588	0
transcript:EER90467	29
transcript:OQU90587	0
transcript:EER93056	0
transcript:EER90468	0
transcript:OQU90589	0
transcript:OQU90590	277
transcript:EER90469	0
transcript:EER90470	0
transcript:KXG37080	35.931
transcript:KXG37081	2
transcript:EER90473	328.908
transcript:EER93057	170
transcript:OQU90591	2
transcript:OQU90592	0
transcript:EER90476	1156.003
transcript:EER93059	1
transcript:OQU90593	0
transcript:EER90477	13
transcript:EER90478	52
transcript:EER93060	8
transcript:EER90479	0
transcript:KXG37083	0
transcript:EER90480	1
transcript:EER93061	11
transcript:KXG37084	0
transcript:KXG37085	467
transcript:KXG37086	0
transcript:EER90481	6
transcript:OQU90594	0
transcript:OQU90595	0
transcript:OQU90596	0
transcript:OQU90597	0
transcript:EER93063	48
transcript:EER93064	647.888
transcript:EER90483	119
transcript:KXG37088	142
transcript:ENSRNA049997130-T1	0
transcript:EER90485	471.998
transcript:EER93066	54
transcript:KXG37089	2
transcript:KXG37090	19
transcript:EER93069	0
transcript:EER93070	239
transcript:EER93071	8
transcript:KXG37091	0
transcript:KXG37092	0
transcript:EER90487	1829.109
transcript:OQU90598	0
transcript:KXG37095	105
transcript:EER90488	1
transcript:EER90489	410
transcript:OQU90599	0
transcript:KXG37096	145
transcript:KXG37097	0
transcript:EER93074	0
transcript:OQU90600	553.541
transcript:KXG37098	1
transcript:EER93075	321
transcript:EER90492	133
transcript:EER90493	1892.127
transcript:KXG37099	22
transcript:EER93077	235.976
transcript:EER90494	102.235
transcript:KXG37100	34
transcript:EER93078	340
transcript:KXG37101	183
transcript:EER90497	9
transcript:OQU90601	0
transcript:OQU90602	1
transcript:EER90496	0
transcript:EER90498	156
transcript:EER93080	2
transcript:OQU90603	12.937
transcript:EER93081	46.063
transcript:EER90499	252
transcript:KXG37102	127
transcript:EER90500	0
transcript:KXG37103	0
transcript:OQU90605	0
transcript:OQU90604	0
transcript:KXG37104	50
transcript:KXG37105	4.194
transcript:EER93083	390.806
transcript:KXG37106	15
transcript:EER90503	59
transcript:EER90502	617
transcript:EER90505	2
transcript:KXG37109	622
transcript:KXG37110	15
transcript:KXG37111	12
transcript:EER93086	211.084
transcript:OQU90606	36
transcript:OQU90607	0
transcript:KXG37112	271
transcript:EER93088	399.904
transcript:EER93089	0
transcript:EER93090	720
transcript:EER90506	790.55
transcript:EER90507	103
transcript:EER93091	126
transcript:EER90508	867.975
transcript:KXG37113	0
transcript:EER93092	1385.002
transcript:EER90510	29
transcript:OQU90608	13.291
transcript:EER90511	23.709
transcript:KXG37115	176
transcript:KXG37116	0
transcript:EER93093	349
transcript:EER90512	16
transcript:ENSRNA049997137-T1	0
transcript:ENSRNA049469069-T1	0
transcript:EER93094	0
transcript:EER90514	117.8
transcript:OQU90609	38.254
transcript:OQU90610	5.934
transcript:EER93095	104
transcript:EER93097	4
transcript:EER90516	58
transcript:KXG37119	132.897
transcript:KXG37118	15850.822
transcript:KXG37121	1218.354
transcript:KXG37120	27.028
transcript:EER93098	93
transcript:OQU90611	56.676
transcript:KXG37122	1002.232
transcript:OQU90613	1.273
transcript:EER90517	328.727
transcript:KXG37123	434.346
transcript:OQU90612	5.122
transcript:KXG37124	160.532
transcript:EER90518	125
transcript:EER93100	97
transcript:EER93101	150
transcript:KXG37125	4.82
transcript:EER93104	323
transcript:EER90519	27
transcript:ENSRNA049468963-T1	0
transcript:OQU90614	0
transcript:EER93103	0
transcript:OQU90615	24
transcript:OQU90618	2.937
transcript:OQU90620	2.937
transcript:OQU90617	0
transcript:OQU90616	2.552
transcript:OQU90619	0
transcript:OQU90621	18.574
transcript:EER90521	0
transcript:EER93105	8.628
transcript:OQU90622	2.372
transcript:OQU90623	0
transcript:OQU90624	247.157
transcript:KXG37127	200.661
transcript:KXG37131	0
transcript:KXG37128	246.01
transcript:KXG37130	255.99
transcript:OQU90627	3.774
transcript:OQU90626	3.846
transcript:KXG37138	75.47
transcript:KXG37141	75.47
transcript:OQU90630	0
transcript:KXG37139	79.807
transcript:OQU90629	79.807
transcript:OQU90631	79.807
transcript:OQU90625	0
transcript:OQU90628	0
transcript:KXG37144	0
transcript:EER90523	91.277
transcript:OQU90632	92.723
transcript:KXG37145	0
transcript:EER90524	1
transcript:EER90525	840.988
transcript:KXG37146	171.97
transcript:OQU90633	0
transcript:EER90527	2
transcript:KXG37149	37.053
transcript:KXG37148	754.506
transcript:OQU90634	69.441
transcript:EER90528	112
transcript:OQU90635	6
transcript:EER90530	1288.305
transcript:KXG37151	389.941
transcript:OQU90636	16.235
transcript:OQU90637	38.823
transcript:EER93108	1
transcript:EER90532	0
transcript:EER93109	617
transcript:EER90533	319.308
transcript:EER93111	29.692
transcript:OQU90638	1
transcript:OQU90639	13.012
transcript:EER93110	232.479
transcript:OQU90640	0.988
transcript:OQU90641	0
transcript:EER90535	196.701
transcript:EER90536	846.285
transcript:EER90537	637.706
transcript:OQU90642	84.171
transcript:KXG37153	27.207
transcript:KXG37154	27.207
transcript:OQU90643	27.207
transcript:OQU90644	27.207
transcript:EER93114	156.016
transcript:KXG37155	329.62
transcript:EER93113	0
transcript:KXG37157	121.525
transcript:KXG37156	658.931
transcript:KXG37158	101.852
transcript:OQU90645	334.607
transcript:EER93115	11
transcript:KXG37162	228.3
transcript:KXG37160	208.292
transcript:KXG37161	3504.713
transcript:EER90539	670
transcript:EER93116	121
transcript:EER90540	285
transcript:KXG37163	0
transcript:ENSRNA049444170-T1	0
transcript:OQU90646	0
transcript:KXG37166	48.2
transcript:OQU90648	0
transcript:KXG37167	60.624
transcript:OQU90647	44.685
transcript:KXG37169	39.019
transcript:KXG37170	14.133
transcript:KXG37168	0
transcript:EER90542	354.895
transcript:OQU90649	39.342
transcript:OQU90650	144.57
transcript:KXG37171	37.43
transcript:EER93118	233
transcript:EER90543	56
transcript:EER90544	619.133
transcript:EER90545	201.867
transcript:EER90546	30
transcript:OQU90651	0
transcript:EER90548	0
transcript:EER93119	255
transcript:OQU90652	0
transcript:ENSRNA049445322-T1	0
transcript:OQU90653	0
transcript:OQU90654	0
transcript:ENSRNA049444201-T1	0
transcript:EER90549	714.577
transcript:EER90550	3256
transcript:KXG37173	0
transcript:EER90552	0
transcript:ENSRNA049444213-T1	0
transcript:OQU90655	31
transcript:EER93123	36
transcript:EER90554	375
transcript:OQU90656	205
transcript:OQU90657	4
transcript:EER93126	26
transcript:EER90555	266
transcript:OQU90658	0
transcript:EER90557	657.847
transcript:OQU90659	249.239
transcript:EER93127	248.761
transcript:EER90558	0
transcript:KXG37176	456.217
transcript:KXG37177	19
transcript:OQU90660	2
transcript:OQU90662	300
transcript:OQU90661	3.567
transcript:ENSRNA049444222-T1	0
transcript:EER93131	265.433
transcript:EER90561	0
transcript:OQU90663	5
transcript:KXG37178	0
transcript:OQU90664	0
transcript:EER93133	502.668
transcript:OQU90665	0
transcript:OQU90666	0
transcript:KXG37182	0
transcript:KXG37183	832.807
transcript:KXG37185	843.663
transcript:KXG37184	3472.948
transcript:EER93135	9952.709
transcript:OQU90667	0
transcript:EER93136	130
transcript:EER90562	109.542
transcript:OQU90668	60.825
transcript:EER93137	96.634
transcript:OQU90669	13.563
transcript:EER93138	50.437
transcript:OQU90670	467
transcript:EER90563	0
transcript:OQU90671	0
transcript:EER93139	1
transcript:EER93140	85.002
transcript:EER93141	209
transcript:EER93142	440.654
transcript:KXG37189	1732.047
transcript:KXG37188	0
transcript:EER93143	35
transcript:EER90564	1692.167
transcript:EER93144	1267.363
transcript:KXG37190	267.454
transcript:EER90565	1015
transcript:KXG37193	0
transcript:KXG37194	123.591
transcript:OQU90672	5.409
transcript:EER90566	30
transcript:OQU90673	50.357
transcript:OQU90674	112.643
transcript:EER93146	26.281
transcript:OQU90675	0
transcript:OQU90676	18.719
transcript:EER93147	25
transcript:KXG37195	2
transcript:OQU90677	3.726
transcript:KXG37196	42.035
transcript:KXG37197	109.238
transcript:KXG37198	276.62
transcript:EER93149	44.38
transcript:EER90567	947.03
transcript:KXG37199	0
transcript:EER90568	75
transcript:OQU90678	0
transcript:EER90570	0
transcript:EER90571	1
transcript:EER90573	191.405
transcript:EER90574	115.635
transcript:EER90575	0
transcript:OQU90679	0
transcript:EER90577	1
transcript:EER93153	25.433
transcript:KXG37201	951.567
transcript:EER90578	9
transcript:OQU90680	2
transcript:OQU90681	78
transcript:OQU90682	0
transcript:EER93154	191.88
transcript:KXG37204	6.855
transcript:KXG37207	73.69
transcript:KXG37205	65.31
transcript:KXG37206	0
transcript:EER93155	437.927
transcript:EER90579	256
transcript:EER90580	52
transcript:EER90581	6
transcript:KXG37208	0
