feature_id	SRR14935704
transcript:EER90453	0
transcript:EER93047	38.875715
transcript:OQU90570	0
transcript:OQU90572	0
transcript:OQU90571	1.400392
transcript:KXG37057	0
transcript:KXG37058	0
transcript:KXG37059	5.654208
transcript:OQU90573	4.04586
transcript:OQU90574	17.64492
transcript:EER90454	0.055232
transcript:OQU90575	82.926204
transcript:OQU90577	0.943045
transcript:OQU90578	0
transcript:KXG37061	0
transcript:OQU90576	0.961999
transcript:EER93049	84.687427
transcript:EER90455	0
transcript:KXG37063	0
transcript:OQU90579	0
transcript:KXG37064	0
transcript:EER93051	2.215088
transcript:EER90457	6.172844
transcript:OQU90580	1.110632
transcript:OQU90581	61.614241
transcript:KXG37068	0.832343
transcript:OQU90582	0
transcript:EER90458	0
transcript:KXG37070	24.214848
transcript:EER93053	49.096925
transcript:OQU90584	12.48713
transcript:OQU90583	5.849901
transcript:EER90459	0
transcript:EER90460	0.115936
transcript:EER90461	0.097047
transcript:EER90462	0.532164
transcript:KXG37072	2.702241
transcript:KXG37071	13.251208
transcript:OQU90585	0
transcript:EER90463	0.454428
transcript:OQU90586	0.525372
transcript:EER93055	1.214678
transcript:KXG37073	0.24224
transcript:EER90465	7.727505
transcript:EER90466	133.952054
transcript:KXG37075	25.202163
transcript:OQU90588	0
transcript:EER90467	1.836865
transcript:OQU90587	0
transcript:EER93056	0
transcript:EER90468	0
transcript:OQU90589	0
transcript:OQU90590	22.300854
transcript:EER90469	0
transcript:EER90470	0
transcript:KXG37080	4.099049
transcript:KXG37081	0.239966
transcript:EER90473	33.763589
transcript:EER93057	19.576626
transcript:OQU90591	0.148986
transcript:OQU90592	0
transcript:EER90476	59.445786
transcript:EER93059	0.120575
transcript:OQU90593	0
transcript:EER90477	0.762252
transcript:EER90478	3.403346
transcript:EER93060	1.93789
transcript:EER90479	0
transcript:KXG37083	0
transcript:EER90480	0.467161
transcript:EER93061	1.147369
transcript:KXG37084	0
transcript:KXG37085	24.687516
transcript:KXG37086	0
transcript:EER90481	0.615211
transcript:OQU90594	0
transcript:OQU90595	0
transcript:OQU90596	0
transcript:OQU90597	0
transcript:EER93063	11.283387
transcript:EER93064	51.417584
transcript:EER90483	20.137769
transcript:KXG37088	10.684222
transcript:ENSRNA049997130-T1	0
transcript:EER90485	159.058263
transcript:EER93066	5.537798
transcript:KXG37089	0.322133
transcript:KXG37090	3.678963
transcript:EER93069	0
transcript:EER93070	19.795162
transcript:EER93071	1.236955
transcript:KXG37091	0
transcript:KXG37092	0
transcript:EER90487	67.711575
transcript:OQU90598	0
transcript:KXG37095	8.939467
transcript:EER90488	0.284911
transcript:EER90489	58.27671
transcript:OQU90599	0
