feature_id	SRR33083344
ENSRNA050013875	2413.945
ENSRNA050013847	3704.798
ENSRNA050013913	3
ENSRNA050013874	1244
ENSRNA050013873	2371.467
ENSRNA050013836	3769.904
ENSRNA050013914	3
ENSRNA050013853	4013.458
ENSRNA050013918	3
ENSRNA050013860	3835.54
ENSRNA050013931	3
TraesCS1A02G000100	1668.591
ENSRNA050013844	3816.629
ENSRNA050013908	3
ENSRNA050013866	3797.984
ENSRNA050013923	3
ENSRNA050013838	3667.856
ENSRNA050013832	3753.557
ENSRNA050013919	3
TraesCS1A02G000200	1149
ENSRNA050013837	3858.408
ENSRNA050013901	3
ENSRNA050013939	1
ENSRNA050013876	2566.447
ENSRNA050013870	3700.007
ENSRNA050013897	3
TraesCS1A02G000300	683.309
ENSRNA050013872	4099.658
ENSRNA050013903	3
TraesCS1A02G000400	4493.971
ENSRNA050013862	3989.98
ENSRNA050013935	125
ENSRNA050013851	3653.676
ENSRNA050013895	3
ENSRNA050013869	3951.551
ENSRNA050013909	3
ENSRNA050013884	2575.175
ENSRNA050013867	3607.594
ENSRNA050013904	3
ENSRNA050013865	3809.497
ENSRNA050013911	3
TraesCS1A02G000500	142
ENSRNA050013891	71.601
ENSRNA050013937	5
ENSRNA050013834	3798.592
ENSRNA050013902	3
ENSRNA050013892	74.489
ENSRNA050013936	5
ENSRNA050013840	3864.312
ENSRNA050013932	3
ENSRNA050013887	1111.62
TraesCS1A02G000600	68.207
ENSRNA050013855	3881.265
ENSRNA050013925	3
TraesCS1A02G000700	40
ENSRNA050013886	388
ENSRNA050013857	3839.689
ENSRNA050013915	3
TraesCS1A02G000800	114
ENSRNA050013878	2334.939
ENSRNA050013864	3717.76
ENSRNA050013921	3
ENSRNA050013835	3664.717
ENSRNA050013927	3
ENSRNA050013879	2334.939
ENSRNA050013852	3767.107
ENSRNA050013934	3
TraesCS1A02G000900	4312.993
ENSRNA050013842	3736.446
ENSRNA050013905	3
ENSRNA050013856	3966.057
ENSRNA050013926	3
ENSRNA050013854	3829.014
ENSRNA050013924	3
ENSRNA050013885	4317.956
TraesCS1A02G001100	5312.404
TraesCS1A02G001000	2838.657
ENSRNA050013899	3
ENSRNA050013849	3677.321
ENSRNA050013898	3
ENSRNA050013845	3703.136
TraesCS1A02G001200	37
ENSRNA050013929	3
ENSRNA050013858	3617.696
TraesCS1A02G001400	4161.812
TraesCS1A02G001300	44
ENSRNA050013920	3
ENSRNA050013859	3750.132
ENSRNA050013882	2435.395
ENSRNA050013940	1
ENSRNA050013910	3
ENSRNA050013839	3776.819
ENSRNA050013880	2334.939
TraesCS1A02G001500	154
ENSRNA050013894	3
ENSRNA050013833	3704.487
ENSRNA050013933	6
ENSRNA050013928	3
TraesCS1A02G001600	53
ENSRNA050013871	3669.393
ENSRNA050013912	3
ENSRNA050013883	2591.225
ENSRNA050013893	128
ENSRNA050013861	3597.185
ENSRNA050013900	3
ENSRNA050013881	2334.939
ENSRNA050013938	43
ENSRNA050013890	289.06
ENSRNA050013877	2344.024
ENSRNA050013846	3799.78
ENSRNA050013896	3
ENSRNA050013888	970.163
ENSRNA050013841	3826.504
ENSRNA050013917	3
ENSRNA050013889	1031.831
ENSRNA050013843	3738.035
ENSRNA050013907	3
ENSRNA050013848	3835.149
ENSRNA050013906	3
TraesCS1A02G001700	53
ENSRNA050013868	3732.119
ENSRNA050013930	3
ENSRNA050013850	3892.599
ENSRNA050013922	3
ENSRNA050013863	3923.7
ENSRNA050013916	3
TraesCS1A02G001800	460.079
TraesCS1A02G001900	1569.9760035083
TraesCS1A02G002000	1400.371
TraesCS1A02G002100	3201.329
TraesCS1A02G002200	589.715
TraesCS1A02G002300	2172.182
TraesCS1A02G002400	160
TraesCS1A02G002500	4498.661
TraesCS1A02G002700	5678.358
TraesCS1A02G002800	525
TraesCS1A02G002900	820.72
TraesCS1A02G003000	1635.273
TraesCS1A02G003100	4026.006
TraesCS1A02G003200	1983
TraesCS1A02G003300	2607
TraesCS1A02G003400	1359
TraesCS1A02G003500	175
TraesCS1A02G003546	1640
TraesCS1A02G003600	2535
TraesCS1A02G003700	424
TraesCS1A02G003800	1164
TraesCS1A02G003900	759
TraesCS1A02G004000	4492.98
TraesCS1A02G004100	4115.029
TraesCS1A02G004126	52392.153
TraesCS1A02G004200	112
TraesCS1A02G004300	471
TraesCS1A02G004400	947
TraesCS1A02G004500	1001
TraesCS1A02G004600	666
TraesCS1A02G004700	675
TraesCS1A02G004800	1656
TraesCS1A02G004900	1780.233
TraesCS1A02G005000	2291.596
TraesCS1A02G005100	321.849
TraesCS1A02G005200	5527.047
TraesCS1A02G005300	1855.71
TraesCS1A02G005315	880
TraesCS1A02G005368	899
TraesCS1A02G005387	935
TraesCS1A02G005400	729.306
TraesCS1A02G005500	2145.816
TraesCS1A02G005600	2412.23567376887
ENSRNA050009944	82
TraesCS1A02G005700	1933.684
TraesCS1A02G005800	3250.61043873785
TraesCS1A02G005900	1077.111
TraesCS1A02G006000	4250.099
TraesCS1A02G006100	504
TraesCS1A02G006200	5119.549
TraesCS1A02G006300	6012.647
TraesCS1A02G006400	1779.394
TraesCS1A02G006500	5098.348
TraesCS1A02G006700	2899
TraesCS1A02G006800	6104.721
TraesCS1A02G006900	2975.408
TraesCS1A02G007000	2173.056
TraesCS1A02G007100	3701.429
TraesCS1A02G007200	633
TraesCS1A02G007236	626
TraesCS1A02G007300	1101
TraesCS1A02G007344	606
TraesCS1A02G007400	591
TraesCS1A02G007405	591
TraesCS1A02G007500	936.312
TraesCS1A02G007600	29
TraesCS1A02G007700	336
TraesCS1A02G007800	25
TraesCS1A02G007900	22.887
TraesCS1A02G007934	835
TraesCS1A02G008000	1110
TraesCS1A02G008100	7981.414
TraesCS1A02G008200	461.872
TraesCS1A02G008300	4843
TraesCS1A02G008353	2037
TraesCS1A02G008400	1173.443
TraesCS1A02G008500	1371.865
TraesCS1A02G008600	1586
TraesCS1A02G008700	36
TraesCS1A02G008800	433
TraesCS1A02G008900	46
TraesCS1A02G009000	1539.41
TraesCS1A02G009100	414.248
TraesCS1A02G009200	267
TraesCS1A02G009300	5825.12
TraesCS1A02G009320	7146.954
TraesCS1A02G009400	6688.698
TraesCS1A02G009500	2862
TraesCS1A02G009600	4252
TraesCS1A02G009700	429
TraesCS1A02G009900	3459
TraesCS1A02G010000	36
TraesCS1A02G010100	457
TraesCS1A02G010200	2961
TraesCS1A02G010300	1101
TraesCS1A02G010400	6714.573
TraesCS1A02G010500	1154
TraesCS1A02G010600	186
TraesCS1A02G010700	523.398
TraesCS1A02G010800	675
TraesCS1A02G010900	651
TraesCS1A02G010905	625
TraesCS1A02G011100	499.099
TraesCS1A02G011200	1680.62200725918
TraesCS1A02G011300	459
TraesCS1A02G011400	1307.259
TraesCS1A02G011500	23
TraesCS1A02G011600	24
TraesCS1A02G011700	243
TraesCS1A02G011800	1557
TraesCS1A02G011900	2322.512
TraesCS1A02G012000	2353.777
TraesCS1A02G012100	875.266
TraesCS1A02G012200	240
TraesCS1A02G012300	160
TraesCS1A02G012400	1871.852
TraesCS1A02G012500	3684.60822107843
TraesCS1A02G012600	517.923
TraesCS1A02G012700	958
TraesCS1A02G012800	736
TraesCS1A02G012900	1744.646
TraesCS1A02G013000	4300.735
TraesCS1A02G013100	303
