feature_id	SRR33083344
ENSRNA050013875	4.402
ENSRNA050013847	7.059
ENSRNA050013913	0
ENSRNA050013874	0
ENSRNA050013873	3.546
ENSRNA050013836	14.51
ENSRNA050013914	0
ENSRNA050013853	10.666
ENSRNA050013918	0
ENSRNA050013860	13.676
ENSRNA050013931	0
TraesCS1A02G000100	7.219
ENSRNA050013844	10.61
ENSRNA050013908	0
ENSRNA050013866	9.12
ENSRNA050013923	0
ENSRNA050013838	16429.135
ENSRNA050013832	8.691
ENSRNA050013919	0
TraesCS1A02G000200	0
ENSRNA050013837	7.67
ENSRNA050013901	0
ENSRNA050013939	0
ENSRNA050013876	6.684
ENSRNA050013870	8.158
ENSRNA050013897	0.5
TraesCS1A02G000300	21.007
ENSRNA050013872	8.292
ENSRNA050013903	0
TraesCS1A02G000400	5959.177
ENSRNA050013862	7.08
ENSRNA050013935	0
ENSRNA050013851	11.424
ENSRNA050013895	0
ENSRNA050013869	4.264
ENSRNA050013909	0
ENSRNA050013884	8.774
ENSRNA050013867	13.296
ENSRNA050013904	0
ENSRNA050013865	4.437
ENSRNA050013911	0
TraesCS1A02G000500	0
ENSRNA050013891	1
ENSRNA050013937	0
ENSRNA050013834	12.268
ENSRNA050013902	0
ENSRNA050013892	1
ENSRNA050013936	0
ENSRNA050013840	5.336
ENSRNA050013932	0
ENSRNA050013887	1.034
TraesCS1A02G000600	1
ENSRNA050013855	4.93
ENSRNA050013925	0
TraesCS1A02G000700	0
ENSRNA050013886	0
ENSRNA050013857	4.155
ENSRNA050013915	0
TraesCS1A02G000800	0
ENSRNA050013878	0.56
ENSRNA050013864	6.453
ENSRNA050013921	0
ENSRNA050013835	13.076
ENSRNA050013927	0
ENSRNA050013879	0.56
ENSRNA050013852	11.648
ENSRNA050013934	0
TraesCS1A02G000900	12830.31
ENSRNA050013842	16.007
ENSRNA050013905	3.026
ENSRNA050013856	1.126
ENSRNA050013926	0
ENSRNA050013854	11.851
ENSRNA050013924	0
ENSRNA050013885	33.562
TraesCS1A02G001100	2130.939
TraesCS1A02G001000	427.314
ENSRNA050013899	6.885
ENSRNA050013849	19.78
ENSRNA050013898	0.5
ENSRNA050013845	39.963
TraesCS1A02G001200	0
ENSRNA050013929	0
ENSRNA050013858	6.006
TraesCS1A02G001400	4050.806
TraesCS1A02G001300	0
ENSRNA050013920	0
ENSRNA050013859	2.431
ENSRNA050013882	2.002
ENSRNA050013940	0
ENSRNA050013910	0
ENSRNA050013839	10.106
ENSRNA050013880	0.56
TraesCS1A02G001500	574.033
ENSRNA050013894	0
ENSRNA050013833	37.562
ENSRNA050013933	0
ENSRNA050013928	0
TraesCS1A02G001600	0
ENSRNA050013871	12.851
ENSRNA050013912	0
ENSRNA050013883	6.098
ENSRNA050013893	0
ENSRNA050013861	32.174
ENSRNA050013900	6.885
ENSRNA050013881	0.56
ENSRNA050013938	0
ENSRNA050013890	1.029
ENSRNA050013877	1.183
ENSRNA050013846	6.664
ENSRNA050013896	0
ENSRNA050013888	1
ENSRNA050013841	15.608
ENSRNA050013917	0
ENSRNA050013889	3.025
ENSRNA050013843	2.003
ENSRNA050013907	0
ENSRNA050013848	46.603
ENSRNA050013906	0
TraesCS1A02G001700	0
ENSRNA050013868	21.367
ENSRNA050013930	0
ENSRNA050013850	22.81
ENSRNA050013922	0
ENSRNA050013863	6.17
ENSRNA050013916	0
TraesCS1A02G001800	1068
TraesCS1A02G001900	1931.106
TraesCS1A02G002000	58.995
TraesCS1A02G002100	347.042
TraesCS1A02G002200	595.001
TraesCS1A02G002300	748.282
TraesCS1A02G002400	9.183
TraesCS1A02G002500	1128.004
TraesCS1A02G002700	1840.1
TraesCS1A02G002800	0
TraesCS1A02G002900	23.864
TraesCS1A02G003000	90.812
TraesCS1A02G003100	13.134
TraesCS1A02G003200	0
TraesCS1A02G003300	0
TraesCS1A02G003400	0
TraesCS1A02G003500	0
TraesCS1A02G003546	0
TraesCS1A02G003600	0
TraesCS1A02G003700	0
TraesCS1A02G003800	0
TraesCS1A02G003900	0
TraesCS1A02G004000	48.045
TraesCS1A02G004100	32
TraesCS1A02G004126	3011.087
TraesCS1A02G004200	109
TraesCS1A02G004300	0
TraesCS1A02G004400	0
TraesCS1A02G004500	0
TraesCS1A02G004600	0
TraesCS1A02G004700	0
TraesCS1A02G004800	0
TraesCS1A02G004900	58.754
TraesCS1A02G005000	128.454
TraesCS1A02G005100	32.834
TraesCS1A02G005200	670.602
TraesCS1A02G005300	21.532
TraesCS1A02G005315	0
TraesCS1A02G005368	0
TraesCS1A02G005387	0
TraesCS1A02G005400	2
TraesCS1A02G005500	98
TraesCS1A02G005600	409.659
ENSRNA050009944	0
TraesCS1A02G005700	90
TraesCS1A02G005800	1016.46
TraesCS1A02G005900	703.34
TraesCS1A02G006000	130.93
TraesCS1A02G006100	0
TraesCS1A02G006200	444.211
TraesCS1A02G006300	1155.14
TraesCS1A02G006400	1
TraesCS1A02G006500	9.126
TraesCS1A02G006700	0
TraesCS1A02G006800	644.115
TraesCS1A02G006900	3.007
TraesCS1A02G007000	157.566
TraesCS1A02G007100	112.393
TraesCS1A02G007200	0
TraesCS1A02G007236	0
TraesCS1A02G007300	0
TraesCS1A02G007344	0
TraesCS1A02G007400	0
TraesCS1A02G007405	0
TraesCS1A02G007500	1902.024
TraesCS1A02G007600	0
TraesCS1A02G007700	0
TraesCS1A02G007800	14
TraesCS1A02G007900	21.923
TraesCS1A02G007934	0
TraesCS1A02G008000	0
TraesCS1A02G008100	65.871
TraesCS1A02G008200	0
TraesCS1A02G008300	0
TraesCS1A02G008353	0
TraesCS1A02G008400	1
TraesCS1A02G008500	24
TraesCS1A02G008600	0
TraesCS1A02G008700	0
TraesCS1A02G008800	0
TraesCS1A02G008900	0
TraesCS1A02G009000	614.306
TraesCS1A02G009100	131.493
TraesCS1A02G009200	19.558
TraesCS1A02G009300	37.116
TraesCS1A02G009320	1
TraesCS1A02G009400	1.007
TraesCS1A02G009500	0
TraesCS1A02G009600	0
TraesCS1A02G009700	0
TraesCS1A02G009900	0
TraesCS1A02G010000	0
TraesCS1A02G010100	0
TraesCS1A02G010200	0
TraesCS1A02G010300	0
TraesCS1A02G010400	32.141
TraesCS1A02G010500	0
TraesCS1A02G010600	0
TraesCS1A02G010700	2
TraesCS1A02G010800	0
TraesCS1A02G010900	0
TraesCS1A02G010905	0
TraesCS1A02G011100	20
TraesCS1A02G011200	109.104
TraesCS1A02G011300	0
TraesCS1A02G011400	8.979
TraesCS1A02G011500	0
