feature_id	SRR33083344
ENSRNA050013875	0.045348
ENSRNA050013847	0.04738
ENSRNA050013913	0
ENSRNA050013874	0
ENSRNA050013873	0.037182
ENSRNA050013836	0.095715
ENSRNA050013914	0
ENSRNA050013853	0.066087
ENSRNA050013918	0
ENSRNA050013860	0.088667
ENSRNA050013931	0
TraesCS1A02G000100	0.10759
ENSRNA050013844	0.06913
ENSRNA050013908	0
ENSRNA050013866	0.059717
ENSRNA050013923	0
ENSRNA050013838	111.387534
ENSRNA050013832	0.057578
ENSRNA050013919	0
TraesCS1A02G000200	0
ENSRNA050013837	0.04943
ENSRNA050013901	0
ENSRNA050013939	0
ENSRNA050013876	0.064762
ENSRNA050013870	0.054831
ENSRNA050013897	4.144674
TraesCS1A02G000300	0.764516
ENSRNA050013872	0.050295
ENSRNA050013903	0
TraesCS1A02G000400	32.975401
ENSRNA050013862	0.044128
ENSRNA050013935	0
ENSRNA050013851	0.077751
ENSRNA050013895	0
ENSRNA050013869	0.026833
ENSRNA050013909	0
ENSRNA050013884	0.08473
ENSRNA050013867	0.09165
ENSRNA050013904	0
ENSRNA050013865	0.028966
ENSRNA050013911	0
TraesCS1A02G000500	0
ENSRNA050013891	0.347375
ENSRNA050013937	0
ENSRNA050013834	0.080316
ENSRNA050013902	0
ENSRNA050013892	0.333841
ENSRNA050013936	0
ENSRNA050013840	0.034341
ENSRNA050013932	0
ENSRNA050013887	0.023131
TraesCS1A02G000600	0.364621
ENSRNA050013855	0.031586
ENSRNA050013925	0
TraesCS1A02G000700	0
ENSRNA050013886	0
ENSRNA050013857	0.026912
ENSRNA050013915	0
TraesCS1A02G000800	0
ENSRNA050013878	0.005969
ENSRNA050013864	0.043166
ENSRNA050013921	0
ENSRNA050013835	0.088732
ENSRNA050013927	0
ENSRNA050013879	0.005969
ENSRNA050013852	0.076894
ENSRNA050013934	0
TraesCS1A02G000900	73.976291
ENSRNA050013842	0.106532
ENSRNA050013905	25.086288
ENSRNA050013856	0.007061
ENSRNA050013926	0
ENSRNA050013854	0.076966
ENSRNA050013924	0
ENSRNA050013885	0.193288
TraesCS1A02G001100	9.975023
TraesCS1A02G001000	3.743417
ENSRNA050013899	57.067398
ENSRNA050013849	0.133758
ENSRNA050013898	4.144674
ENSRNA050013845	0.268364
TraesCS1A02G001200	0
ENSRNA050013929	0
ENSRNA050013858	0.041287
TraesCS1A02G001400	24.204334
TraesCS1A02G001300	0
ENSRNA050013920	0
ENSRNA050013859	0.016122
ENSRNA050013882	0.020438
ENSRNA050013940	0
ENSRNA050013910	0
ENSRNA050013839	0.06654
ENSRNA050013880	0.005969
TraesCS1A02G001500	92.693705
ENSRNA050013894	0
ENSRNA050013833	0.252151
ENSRNA050013933	0
ENSRNA050013928	0
TraesCS1A02G001600	0
ENSRNA050013871	0.087095
ENSRNA050013912	0
ENSRNA050013883	0.058519
ENSRNA050013893	0
ENSRNA050013861	0.22242
ENSRNA050013900	57.067398
ENSRNA050013881	0.005969
ENSRNA050013938	0
ENSRNA050013890	0.088553
ENSRNA050013877	0.012548
ENSRNA050013846	0.043614
ENSRNA050013896	0
ENSRNA050013888	0.025633
ENSRNA050013841	0.101435
ENSRNA050013917	0
ENSRNA050013889	0.072913
ENSRNA050013843	0.013325
ENSRNA050013907	0
ENSRNA050013848	0.302177
ENSRNA050013906	0
TraesCS1A02G001700	0
ENSRNA050013868	0.142371
ENSRNA050013930	0
ENSRNA050013850	0.145723
ENSRNA050013922	0
ENSRNA050013863	0.039102
ENSRNA050013916	0
TraesCS1A02G001800	57.726198
TraesCS1A02G001900	30.58773
TraesCS1A02G002000	1.047621
TraesCS1A02G002100	2.69579
TraesCS1A02G002200	25.090532
TraesCS1A02G002300	8.566498
TraesCS1A02G002400	1.427301
TraesCS1A02G002500	6.235361
TraesCS1A02G002700	8.058475
TraesCS1A02G002800	0
TraesCS1A02G002900	0.723072
TraesCS1A02G003000	1.380971
TraesCS1A02G003100	0.081126
TraesCS1A02G003200	0
TraesCS1A02G003300	0
TraesCS1A02G003400	0
TraesCS1A02G003500	0
TraesCS1A02G003546	0
TraesCS1A02G003600	0
TraesCS1A02G003700	0
TraesCS1A02G003800	0
TraesCS1A02G003900	0
TraesCS1A02G004000	0.265916
TraesCS1A02G004100	0.19338
TraesCS1A02G004126	1.429194
TraesCS1A02G004200	24.201518
TraesCS1A02G004300	0
