feature_id	SRR33083344
transcript:ENSRNA050013875-T1	4.402
transcript:ENSRNA050013847-T1	7.059
transcript:ENSRNA050013913-T1	0
transcript:ENSRNA050013874-T1	0
transcript:ENSRNA050013873-T1	3.546
transcript:ENSRNA050013836-T1	14.51
transcript:ENSRNA050013914-T1	0
transcript:ENSRNA050013853-T1	10.666
transcript:ENSRNA050013918-T1	0
transcript:ENSRNA050013860-T1	13.676
transcript:ENSRNA050013931-T1	0
transcript:TraesCS1A02G000100.1	7.219
transcript:ENSRNA050013844-T1	10.61
transcript:ENSRNA050013908-T1	0
transcript:ENSRNA050013866-T1	9.12
transcript:ENSRNA050013923-T1	0
transcript:ENSRNA050013838-T1	16429.135
transcript:ENSRNA050013832-T1	8.691
transcript:ENSRNA050013919-T1	0
transcript:TraesCS1A02G000200.1	0
transcript:ENSRNA050013837-T1	7.67
transcript:ENSRNA050013901-T1	0
transcript:ENSRNA050013939-T1	0
transcript:ENSRNA050013876-T1	6.684
transcript:ENSRNA050013870-T1	8.158
transcript:ENSRNA050013897-T1	0.5
transcript:TraesCS1A02G000300.1	21.007
transcript:ENSRNA050013872-T1	8.292
transcript:ENSRNA050013903-T1	0
transcript:TraesCS1A02G000400.1	5959.177
transcript:ENSRNA050013862-T1	7.08
transcript:ENSRNA050013935-T1	0
transcript:ENSRNA050013851-T1	11.424
transcript:ENSRNA050013895-T1	0
transcript:ENSRNA050013869-T1	4.264
transcript:ENSRNA050013909-T1	0
transcript:ENSRNA050013884-T1	8.774
transcript:ENSRNA050013867-T1	13.296
transcript:ENSRNA050013904-T1	0
transcript:ENSRNA050013865-T1	4.437
transcript:ENSRNA050013911-T1	0
transcript:TraesCS1A02G000500.1	0
transcript:ENSRNA050013891-T1	1
transcript:ENSRNA050013937-T1	0
transcript:ENSRNA050013834-T1	12.268
transcript:ENSRNA050013902-T1	0
transcript:ENSRNA050013892-T1	1
transcript:ENSRNA050013936-T1	0
transcript:ENSRNA050013840-T1	5.336
transcript:ENSRNA050013932-T1	0
transcript:ENSRNA050013887-T1	1.034
transcript:TraesCS1A02G000600.1	1
transcript:ENSRNA050013855-T1	4.93
transcript:ENSRNA050013925-T1	0
transcript:TraesCS1A02G000700.1	0
transcript:ENSRNA050013886-T1	0
transcript:ENSRNA050013857-T1	4.155
transcript:ENSRNA050013915-T1	0
transcript:TraesCS1A02G000800.1	0
transcript:ENSRNA050013878-T1	0.56
transcript:ENSRNA050013864-T1	6.453
transcript:ENSRNA050013921-T1	0
transcript:ENSRNA050013835-T1	13.076
transcript:ENSRNA050013927-T1	0
transcript:ENSRNA050013879-T1	0.56
transcript:ENSRNA050013852-T1	11.648
transcript:ENSRNA050013934-T1	0
transcript:TraesCS1A02G000900.1	12830.31
transcript:ENSRNA050013842-T1	16.007
transcript:ENSRNA050013905-T1	3.026
transcript:ENSRNA050013856-T1	1.126
transcript:ENSRNA050013926-T1	0
transcript:ENSRNA050013854-T1	11.851
transcript:ENSRNA050013924-T1	0
transcript:ENSRNA050013885-T1	33.562
transcript:TraesCS1A02G001100.1	2130.939
transcript:TraesCS1A02G001000.1	427.314
transcript:ENSRNA050013899-T1	6.885
transcript:ENSRNA050013849-T1	19.78
transcript:ENSRNA050013898-T1	0.5
transcript:ENSRNA050013845-T1	39.963
transcript:TraesCS1A02G001200.1	0
transcript:ENSRNA050013929-T1	0
transcript:ENSRNA050013858-T1	6.006
transcript:TraesCS1A02G001400.1	4050.806
transcript:TraesCS1A02G001300.1	0
transcript:ENSRNA050013920-T1	0
transcript:ENSRNA050013859-T1	2.431
transcript:ENSRNA050013882-T1	2.002
transcript:ENSRNA050013940-T1	0
transcript:ENSRNA050013910-T1	0
transcript:ENSRNA050013839-T1	10.106
transcript:ENSRNA050013880-T1	0.56
transcript:TraesCS1A02G001500.1	574.033
transcript:ENSRNA050013894-T1	0
transcript:ENSRNA050013833-T1	37.562
transcript:ENSRNA050013933-T1	0
transcript:ENSRNA050013928-T1	0
transcript:TraesCS1A02G001600.1	0
transcript:ENSRNA050013871-T1	12.851
transcript:ENSRNA050013912-T1	0
transcript:ENSRNA050013883-T1	6.098
transcript:ENSRNA050013893-T1	0
transcript:ENSRNA050013861-T1	32.174
transcript:ENSRNA050013900-T1	6.885
transcript:ENSRNA050013881-T1	0.56
transcript:ENSRNA050013938-T1	0
transcript:ENSRNA050013890-T1	1.029
transcript:ENSRNA050013877-T1	1.183
transcript:ENSRNA050013846-T1	6.664
transcript:ENSRNA050013896-T1	0
transcript:ENSRNA050013888-T1	1
transcript:ENSRNA050013841-T1	15.608
transcript:ENSRNA050013917-T1	0
transcript:ENSRNA050013889-T1	3.025
transcript:ENSRNA050013843-T1	2.003
transcript:ENSRNA050013907-T1	0
transcript:ENSRNA050013848-T1	46.603
transcript:ENSRNA050013906-T1	0
transcript:TraesCS1A02G001700.1	0
transcript:ENSRNA050013868-T1	21.367
transcript:ENSRNA050013930-T1	0
transcript:ENSRNA050013850-T1	22.81
transcript:ENSRNA050013922-T1	0
transcript:ENSRNA050013863-T1	6.17
transcript:ENSRNA050013916-T1	0
transcript:TraesCS1A02G001800.1	1068
transcript:TraesCS1A02G001900.6	263.341
transcript:TraesCS1A02G001900.5	0
transcript:TraesCS1A02G001900.10	0
transcript:TraesCS1A02G001900.3	15.843
transcript:TraesCS1A02G001900.7	0
transcript:TraesCS1A02G001900.8	210.485
transcript:TraesCS1A02G001900.9	1437.317
transcript:TraesCS1A02G001900.2	0
transcript:TraesCS1A02G001900.1	4.12
transcript:TraesCS1A02G001900.4	0
transcript:TraesCS1A02G002000.1	58.995
transcript:TraesCS1A02G002100.1	347.042
transcript:TraesCS1A02G002200.1	595.001
transcript:TraesCS1A02G002300.1	748.282
transcript:TraesCS1A02G002400.1	9.183
transcript:TraesCS1A02G002500.1	1128.004
transcript:TraesCS1A02G002700.1	1840.1
transcript:TraesCS1A02G002800.1	0
transcript:TraesCS1A02G002900.1	0
transcript:TraesCS1A02G002900.2	23.864
transcript:TraesCS1A02G003000.1	90.812
transcript:TraesCS1A02G003100.1	13.134
transcript:TraesCS1A02G003200.1	0
transcript:TraesCS1A02G003300.1	0
transcript:TraesCS1A02G003400.1	0
transcript:TraesCS1A02G003500.1	0
transcript:TraesCS1A02G003546.1	0
transcript:TraesCS1A02G003600.1	0
transcript:TraesCS1A02G003700.1	0
transcript:TraesCS1A02G003800.1	0
transcript:TraesCS1A02G003900.1	0
transcript:TraesCS1A02G004000.1	48.045
transcript:TraesCS1A02G004100.1	32
transcript:TraesCS1A02G004126.1	3011.087
transcript:TraesCS1A02G004200.1	109
transcript:TraesCS1A02G004300.1	0
transcript:TraesCS1A02G004400.1	0
transcript:TraesCS1A02G004500.1	0
transcript:TraesCS1A02G004600.1	0
transcript:TraesCS1A02G004700.1	0
transcript:TraesCS1A02G004800.1	0
transcript:TraesCS1A02G004900.1	58.754
transcript:TraesCS1A02G005000.1	128.454
transcript:TraesCS1A02G005100.1	32.834
transcript:TraesCS1A02G005200.1	670.602
transcript:TraesCS1A02G005300.1	21.532
transcript:TraesCS1A02G005315.1	0
transcript:TraesCS1A02G005368.1	0
transcript:TraesCS1A02G005387.1	0
transcript:TraesCS1A02G005400.1	2
transcript:TraesCS1A02G005500.1	98
transcript:TraesCS1A02G005600.2	115.962
transcript:TraesCS1A02G005600.6	73.523
transcript:TraesCS1A02G005600.1	220.174
transcript:TraesCS1A02G005600.3	0
transcript:TraesCS1A02G005600.4	0
transcript:TraesCS1A02G005600.5	0
transcript:ENSRNA050009944-T1	0
transcript:TraesCS1A02G005700.1	90
transcript:TraesCS1A02G005800.1	803.311
transcript:TraesCS1A02G005800.2	213.149
transcript:TraesCS1A02G005900.1	703.34
transcript:TraesCS1A02G006000.1	130.93
transcript:TraesCS1A02G006100.1	0
transcript:TraesCS1A02G006200.1	444.211
transcript:TraesCS1A02G006300.1	1155.14
transcript:TraesCS1A02G006400.1	1
transcript:TraesCS1A02G006500.1	9.126
transcript:TraesCS1A02G006700.1	0
transcript:TraesCS1A02G006800.1	644.115
transcript:TraesCS1A02G006900.1	3.007
transcript:TraesCS1A02G007000.1	157.566
transcript:TraesCS1A02G007100.1	112.393
transcript:TraesCS1A02G007200.1	0
transcript:TraesCS1A02G007236.1	0
transcript:TraesCS1A02G007300.1	0
transcript:TraesCS1A02G007344.1	0
transcript:TraesCS1A02G007400.1	0
transcript:TraesCS1A02G007405.1	0
transcript:TraesCS1A02G007500.1	1902.024
transcript:TraesCS1A02G007600.1	0
transcript:TraesCS1A02G007700.1	0
transcript:TraesCS1A02G007800.1	14
transcript:TraesCS1A02G007900.1	21.923
transcript:TraesCS1A02G007934.1	0
transcript:TraesCS1A02G008000.1	0
transcript:TraesCS1A02G008100.1	65.871
transcript:TraesCS1A02G008200.1	0
transcript:TraesCS1A02G008300.1	0
transcript:TraesCS1A02G008353.1	0
transcript:TraesCS1A02G008400.1	1
transcript:TraesCS1A02G008500.1	24
transcript:TraesCS1A02G008600.1	0
transcript:TraesCS1A02G008700.1	0
transcript:TraesCS1A02G008800.1	0
transcript:TraesCS1A02G008900.1	0
transcript:TraesCS1A02G009000.1	0
transcript:TraesCS1A02G009000.2	0
transcript:TraesCS1A02G009000.3	614.306
transcript:TraesCS1A02G009100.1	131.493
transcript:TraesCS1A02G009200.1	19.558
transcript:TraesCS1A02G009300.1	37.116
transcript:TraesCS1A02G009320.1	1
transcript:TraesCS1A02G009400.1	1.007
transcript:TraesCS1A02G009500.1	0
transcript:TraesCS1A02G009600.1	0
transcript:TraesCS1A02G009700.1	0
transcript:TraesCS1A02G009900.1	0
transcript:TraesCS1A02G010000.1	0
transcript:TraesCS1A02G010100.1	0
transcript:TraesCS1A02G010200.1	0
transcript:TraesCS1A02G010300.1	0
transcript:TraesCS1A02G010400.1	32.141
transcript:TraesCS1A02G010500.1	0
transcript:TraesCS1A02G010600.1	0
transcript:TraesCS1A02G010700.1	2
transcript:TraesCS1A02G010800.1	0
transcript:TraesCS1A02G010900.1	0
transcript:TraesCS1A02G010905.1	0
transcript:TraesCS1A02G011100.1	20
transcript:TraesCS1A02G011200.1	47.631
transcript:TraesCS1A02G011200.2	61.473
transcript:TraesCS1A02G011300.1	0
transcript:TraesCS1A02G011400.1	8.979
transcript:TraesCS1A02G011500.1	0
transcript:TraesCS1A02G011600.1	34
transcript:TraesCS1A02G011700.1	0
transcript:TraesCS1A02G011800.1	0
transcript:TraesCS1A02G011900.1	33
transcript:TraesCS1A02G012000.1	19
transcript:TraesCS1A02G012100.1	1
transcript:TraesCS1A02G012200.1	0
transcript:TraesCS1A02G012300.1	0
transcript:TraesCS1A02G012400.1	56
transcript:TraesCS1A02G012500.3	11.282
transcript:TraesCS1A02G012500.1	0
transcript:TraesCS1A02G012500.2	57.386
