feature_id	SRR33083344
transcript:ENSRNA050013875-T1	0.045348
transcript:ENSRNA050013847-T1	0.04738
transcript:ENSRNA050013913-T1	0
transcript:ENSRNA050013874-T1	0
transcript:ENSRNA050013873-T1	0.037182
transcript:ENSRNA050013836-T1	0.095715
transcript:ENSRNA050013914-T1	0
transcript:ENSRNA050013853-T1	0.066087
transcript:ENSRNA050013918-T1	0
transcript:ENSRNA050013860-T1	0.088667
transcript:ENSRNA050013931-T1	0
transcript:TraesCS1A02G000100.1	0.10759
transcript:ENSRNA050013844-T1	0.06913
transcript:ENSRNA050013908-T1	0
transcript:ENSRNA050013866-T1	0.059717
transcript:ENSRNA050013923-T1	0
transcript:ENSRNA050013838-T1	111.387534
transcript:ENSRNA050013832-T1	0.057578
transcript:ENSRNA050013919-T1	0
transcript:TraesCS1A02G000200.1	0
transcript:ENSRNA050013837-T1	0.04943
transcript:ENSRNA050013901-T1	0
transcript:ENSRNA050013939-T1	0
transcript:ENSRNA050013876-T1	0.064762
transcript:ENSRNA050013870-T1	0.054831
transcript:ENSRNA050013897-T1	4.144674
transcript:TraesCS1A02G000300.1	0.764516
transcript:ENSRNA050013872-T1	0.050295
transcript:ENSRNA050013903-T1	0
transcript:TraesCS1A02G000400.1	32.975401
transcript:ENSRNA050013862-T1	0.044128
transcript:ENSRNA050013935-T1	0
transcript:ENSRNA050013851-T1	0.077751
transcript:ENSRNA050013895-T1	0
transcript:ENSRNA050013869-T1	0.026833
transcript:ENSRNA050013909-T1	0
transcript:ENSRNA050013884-T1	0.08473
transcript:ENSRNA050013867-T1	0.09165
transcript:ENSRNA050013904-T1	0
transcript:ENSRNA050013865-T1	0.028966
transcript:ENSRNA050013911-T1	0
transcript:TraesCS1A02G000500.1	0
transcript:ENSRNA050013891-T1	0.347375
transcript:ENSRNA050013937-T1	0
transcript:ENSRNA050013834-T1	0.080316
transcript:ENSRNA050013902-T1	0
transcript:ENSRNA050013892-T1	0.333841
transcript:ENSRNA050013936-T1	0
transcript:ENSRNA050013840-T1	0.034341
transcript:ENSRNA050013932-T1	0
transcript:ENSRNA050013887-T1	0.023131
transcript:TraesCS1A02G000600.1	0.364621
transcript:ENSRNA050013855-T1	0.031586
transcript:ENSRNA050013925-T1	0
transcript:TraesCS1A02G000700.1	0
transcript:ENSRNA050013886-T1	0
transcript:ENSRNA050013857-T1	0.026912
transcript:ENSRNA050013915-T1	0
transcript:TraesCS1A02G000800.1	0
transcript:ENSRNA050013878-T1	0.005969
transcript:ENSRNA050013864-T1	0.043166
transcript:ENSRNA050013921-T1	0
transcript:ENSRNA050013835-T1	0.088732
transcript:ENSRNA050013927-T1	0
transcript:ENSRNA050013879-T1	0.005969
transcript:ENSRNA050013852-T1	0.076894
transcript:ENSRNA050013934-T1	0
transcript:TraesCS1A02G000900.1	73.976291
transcript:ENSRNA050013842-T1	0.106532
transcript:ENSRNA050013905-T1	25.086288
transcript:ENSRNA050013856-T1	0.007061
transcript:ENSRNA050013926-T1	0
transcript:ENSRNA050013854-T1	0.076966
transcript:ENSRNA050013924-T1	0
transcript:ENSRNA050013885-T1	0.193288
transcript:TraesCS1A02G001100.1	9.975023
transcript:TraesCS1A02G001000.1	3.743417
transcript:ENSRNA050013899-T1	57.067398
transcript:ENSRNA050013849-T1	0.133758
transcript:ENSRNA050013898-T1	4.144674
transcript:ENSRNA050013845-T1	0.268364
transcript:TraesCS1A02G001200.1	0
transcript:ENSRNA050013929-T1	0
transcript:ENSRNA050013858-T1	0.041287
transcript:TraesCS1A02G001400.1	24.204334
transcript:TraesCS1A02G001300.1	0
transcript:ENSRNA050013920-T1	0
transcript:ENSRNA050013859-T1	0.016122
transcript:ENSRNA050013882-T1	0.020438
transcript:ENSRNA050013940-T1	0
transcript:ENSRNA050013910-T1	0
transcript:ENSRNA050013839-T1	0.06654
transcript:ENSRNA050013880-T1	0.005969
transcript:TraesCS1A02G001500.1	92.693705
transcript:ENSRNA050013894-T1	0
transcript:ENSRNA050013833-T1	0.252151
transcript:ENSRNA050013933-T1	0
transcript:ENSRNA050013928-T1	0
transcript:TraesCS1A02G001600.1	0
