feature_id	SRR26553585	SRR26553586	SRR26553587	SRR26553588	SRR26553594	SRR26553593	SRR2545903	SRR2545902	SRR2545899	SRR2545898	SRR2545901	SRR2545900	SRR2545897	SRR2545896
GLYMA_01G000100	41	31	30.137	13.999	28	29.472	30	47	41	50	54	46.999	40.969	50.003
GLYMA_01G000200	291.51	279.508	188.399	150.161	232.682	174.197	135.957	167.2	128.483	183.958	232.629	182.344	197.908	188.432
GLYMA_01G000300	14.985	14.012	9.786	3.005	7.78	11.996	0	0	0	0	0	0	0	0
GLYMA_01G000400	209.593	339.705	279	284.138	179.101	252.028	116.372	174.787	181.802	188.76	182.879	169.105	225.821	210.162
GLYMA_01G000500	1	3	1	3	2	1	0	0	0	0	0	0	0	0
GLYMA_01G000600	230.006	251.534	218.038	206.21	237.079	255.688	267.399	315.368	262.073	341.61	400.916	303.509	338.754	325.677
GLYMA_01G000700	38.587	67.047	67.575	51.046	33.777	55.071	24.358	33.447	18	31.276	64.321	73.614	51.927	52.628
GLYMA_01G000800	0	0	0	0	0	0	0	2	0	2	0	0	1	1
GLYMA_01G000900	207.649	331.637	298.942	364.049	205.192	215.871	454.939	571.166	414.701	552.705	618.126	621.556	524.189	506.135
GLYMA_01G001000	1270.792	781.743	431.283	584.188	1278.645	1507.281	415	438.999	488	473	441.19	460	556.855	548
GLYMA_01G001100	844.948	1132.472	612.085	674.933	717.338	662.089	71.992	155.814	114.678	122.021	103.597	152.299	182.848	177.391
GLYMA_01G001200	13.8	18.647	14.546	9.621	11.981	23	134	167	89	102	177	174	122	122
GLYMA_01G001300	829.949	3036.718	2315.041	1884.2	875.155	860.853	900	1215	966.186	1147	1158.611	1308	1271	1204.002
GLYMA_01G001400	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLYMA_01G001500	4	0	0	0	0	0	288	481.283	424.011	463.071	384	362	625.626	325
GLYMA_01G001600	209.348	143.159	142.56	122.751	158.66	225.014	222.092	218.439	169.317	171.404	336.444	312.304	281.263	217.541
GLYMA_01G001700	227.857	168.718	135.891	160.512	191.523	224.136	197.998	200.996	185.999	211.677	231.997	207.001	179.997	207.003
GLYMA_01G001800	6	6	10	7	5	6	0	0	0	2	1	1	3	0
GLYMA_01G001900	0	0	0	0	0	0	1	2	5	1	1	0	2	1
GLYMA_01G002000	27	79	35	19	19	13	18	20	8	14	18	15	12	20
GLYMA_01G002100	282.963	354.026	834.004	600.521	224.995	295	748.285	907	863.987	1381.321	1127.636	953.29	1033.198	1193
GLYMA_01G002200	427.352	271.261	292.926	262.679	268.897	404.923	343.785	323.191	378.287	407.903	378.075	352.465	388.47	466.744
GLYMA_01G002300	0	0	0	0	0	0	2	0	0	0	0	1	0	3
GLYMA_01G002400	20	286.911	323.099	255.37	19	23	192	331.861	402.995	420.002	228.993	329.625	407.008	400.06
GLYMA_01G002500	0	0	0	0	0	0	0	0	1	0	0	0	0	0
GLYMA_01G002600	240.075	577.055	495.168	372.28	181.796	281.449	160	200	189.603	230	201	205	238	217
GLYMA_01G002700	326.991	404.521	340.363	494.859	297.728	344.195	207.008	185.999	193.999	219.005	189.998	179.006	203	214.157
GLYMA_01G002800	0	0	0	0	0	0	0	0	0	0	1	0	0	0
GLYMA_01G002900	161.773	147	82.273	73.97	98.743	59.844	10.021	13.114	17.911	20.1	15.128	21.185	8.087	30.336
GLYMA_01G003000	259.629	616.901	484.047	294.886	187.768	113.926	159.517	119.69	89.652	68.822	148.324	131.865	122.826	106.484
GLYMA_01G003100	81.536	88.678	74.017	86.499	66.657	93.207	101	86.998	81.993	99.009	75.013	91.005	91.01	113
GLYMA_01G003200	31.741	47.322	28.19	18.501	36.23	46.853	8	14	8	16	8	9	11	13
GLYMA_01G003300	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLYMA_01G003400	189	208.447	191.011	140.7	116.243	179.998	18.995	16.321	20.382	20.994	16	23.454	19.272	21.751
GLYMA_01G003500	2	0	1	0	1	2	0	1	1	2	2	2	1.799	0
GLYMA_01G003600	85	91	114	136.038	83	104	161.998	147.508	118.477	103.501	181.995	164.004	198	147.528
GLYMA_01G003700	84	212	270.006	952.755	131.8	172.281	196	201	288	217.005	233	285	273	299
GLYMA_01G003800	274.002	323.002	302.09	272	263.828	288.161	449.012	540.042	367.382	335.399	505.781	634.365	488.848	432.266
GLYMA_01G003900	0	0	0	0	0	0	25.213	19.118	0	0	13.131	46.995	0	0
GLYMA_01G004000	27.035	12	9	70	27	27	223.405	238.178	203.428	243.576	191.999	145.003	204.303	176.249
GLYMA_01G004100	328	251.435	175.66	322.182	336.7	383.801	1246.411	1377.853	357.956	466.636	1662.629	1566.382	429.229	489.323
GLYMA_01G004200	27.001	7	56.438	492.314	22	55.178	1216.999	1095.001	166	166.588	1879.999	1458.031	171	318.999
GLYMA_01G004300	789.344	998.638	978.228	995.674	754.41	802.916	1827.456	1866.78	2260.902	2109.786	1707.182	2178.152	2461.496	2322.436
GLYMA_01G004400	12	7	6	4	13	14	8	7	8	7	6	6	4	11
GLYMA_01G004500	816.232	681.462	515.172	721.542	819.352	896.8	1832.65	1891.852	1981.514	2146.409	1802.33	1730.588	1950.606	2198.582
GLYMA_01G004600	24	36	52	31	24	22	38	61	169	137	61.003	52	180	166
GLYMA_01G004700	3	3	15	11	13	16	76	70	80	71	82	89.56	80	78
GLYMA_01G004800	35	1	4	3	37.001	57	1229.194	1554.993	511.993	774.667	1466.003	1169.469	699.244	700.001
GLYMA_01G004900	0	1	5	12	1	0	0	3	0	0	4	0	0	3
GLYMA_01G005000	5862.332	183.061	240	162.081	5169.122	4494.078	1451.934	1196.142	1251.885	1874.054	1539.721	1214.474	1317.001	1246.507
GLYMA_01G005100	6	3	10	5	4	0	26	37	17	42	19	72	55	123
GLYMA_01G005200	93.037	33	35.034	35	63	89.044	69.026	44	24.915	25	168.001	98.922	58.965	49
GLYMA_01G005300	405.725	244.039	217.701	265.465	344.576	452.784	386	424	478	538.977	440	449.002	498.003	536.297
GLYMA_01G005400	2432.812	2224.451	2382.639	2515.076	2464.477	2699.105	163.164	205.108	171.005	239.405	205.285	194.81	219.054	220.527
GLYMA_01G005500	36	29	34	19	25	33	212.567	202.995	120.997	133.433	275.524	280.144	155	188.867
GLYMA_01G005600	3	14	46	19	1	6	67.585	58	57	78	75	67.003	56.993	59
GLYMA_01G005700	1	2.028	0	0	4	3	1	2	0	1	1	0	1	0
GLYMA_01G005800	1	5	14	7	5	10	60.986	59	54	50	68	72	51	61
GLYMA_01G005900	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLYMA_01G006000	357.888	2	17	51	305.527	220	2165.879	2334.159	954.588	1708.784	1989.02	2503.833	846.343	1046.593
GLYMA_01G006100	1813.163	1414.663	1231.708	1483.088	1270.288	1249.737	598.578	609.993	660.161	868.796	925.199	692.432	612.049	813.035
GLYMA_01G006200	1240.009	124	168.029	344.449	796.392	755.598	3344.437	2192.459	3665.85	6459.687	3132	2356	2363.965	3950.011
GLYMA_01G006300	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLYMA_01G006400	677.057	557.268	529.665	532.892	635.336	684.741	760.697	906.727	796.545	776.223	1069.162	1053.238	1112.938	923.66
GLYMA_01G006500	286.396	366.469	307.718	175.363	208.321	297.021	2608.076	2051.458	2640.204	4182.13	3641.268	1896.428	2377.92	3068.416
GLYMA_01G006600	810.227	475.649	326.041	290.005	623.312	636.005	358.869	440.745	416.608	585.441	582.352	466.609	577.767	539.829
GLYMA_01G006700	216.387	637.944	351.042	1031.434	149.451	238.5	221	318.606	399.001	631.001	242.999	226	462.001	575
GLYMA_01G006800	35	46.131	48.037	20	10	19	18	84.924	167	299.155	22	51	188.999	211.975
GLYMA_01G006900	900.494	753.442	529.027	659.982	795.439	1003.914	1117.998	1106.998	1179.246	1352.548	1043.998	1092.998	1350.331	1280.495
GLYMA_01G007000	1	14	29	18	4	4	15	8	10	18	11	12	13	10.001
GLYMA_01G007100	2	0	2	0	2	0	50	82	45	41	52	55	82	25
GLYMA_01G007200	556.639	425.497	496.344	632.153	417.214	539.506	1568.875	1460.625	1515.745	1553.678	1796.23	1702.999	1763.421	1736.029
GLYMA_01G007300	15.001	6	6	21	8	15	303	325	464	492	349	415.697	542	514
