feature_id	SRR26553585	SRR26553586	SRR26553587	SRR26553588	SRR26553594	SRR26553593	SRR2545903	SRR2545902	SRR2545899	SRR2545898	SRR2545901	SRR2545900	SRR2545897	SRR2545896
GLYMA_01G000100	7.555602	5.588176	7.508369	2.697772	5.958172	6.277174	9.787562	13.178337	13.970852	16.188658	14.668542	14.016476	12.736204	14.875631
GLYMA_01G000200	6.082978	5.633122	5.005282	3.007697	5.318205	3.851748	2.536586	2.800548	2.533637	3.455756	3.745411	3.123571	3.581356	3.28989
GLYMA_01G000300	3.086423	2.784146	2.658836	0.574347	1.747238	2.330927	0	0	0	0	0	0	0	0
GLYMA_01G000400	5.08579	8.185786	8.852008	6.80085	4.798555	6.467985	2.4742	3.461296	4.1084	4.007121	3.331486	3.393381	4.791648	4.290656
GLYMA_01G000500	0.620631	1.831316	0.796692	1.740458	1.360932	0.617008	0	0	0	0	0	0	0	0
GLYMA_01G000600	3.651277	3.834536	4.519963	3.210907	4.275221	4.383623	4.497149	5.06157	4.7402	5.562479	5.988207	4.770232	5.610626	5.194257
GLYMA_01G000700	7.11091	12.126767	16.835557	9.837068	7.187524	11.729539	5.849929	7.300691	4.562083	7.583427	13.211933	16.646329	12.201427	11.761717
GLYMA_01G000800	0	0	0	0	0	0	0	0.136639	0	0.131338	0	0	0.068379	0.066333
GLYMA_01G000900	7.246758	11.602861	13.808042	12.84027	8.004959	8.05143	14.9342	17.904297	14.463565	17.773012	17.320377	19.47473	17.542426	16.302119
GLYMA_01G001000	87.427886	54.929071	40.56329	40.915374	100.012138	111.674906	27.964057	28.162767	36.224453	32.489257	28.136294	28.709505	37.805088	35.383502
GLYMA_01G001100	40.951101	52.872855	38.161311	31.546687	38.949928	34.333222	3.23593	6.642262	5.517383	5.340568	4.154992	6.48031	8.163295	7.527271
GLYMA_01G001200	0.248751	0.333775	0.35828	0.178862	0.247048	0.447805	2.635994	3.151105	1.877724	1.9686	3.074642	3.210846	2.382304	2.311179
GLYMA_01G001300	24.204462	88.179161	91.010513	56.628025	28.997316	27.200653	24.008375	31.876893	27.983939	30.550082	28.082844	34.283887	34.962232	32.311586
GLYMA_01G001400	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLYMA_01G001500	0.103732	0	0	0	0	0	6.696808	10.406669	10.425812	10.704415	7.618665	7.94393	14.496311	7.256065
GLYMA_01G001600	6.306681	4.212879	5.708761	3.790836	5.163903	7.483009	5.654847	5.40161	4.790542	4.443236	7.894986	7.80413	7.774446	5.611987
GLYMA_01G001700	13.991513	10.438357	10.658472	9.979615	13.037894	14.487316	10.829706	10.60185	10.999555	11.386862	10.920521	10.979647	10.100245	11.214621
GLYMA_01G001800	0.130483	0.132868	0.304813	0.162123	0.124038	0.139999	0	0	0	0.04612	0.020973	0.022496	0.071897	0
GLYMA_01G001900	0	0	0	0	0	0	0.013913	0.026941	0.075199	0.01353	0.012483	0	0.027389	0.013312
GLYMA_01G002000	2.508171	7.394323	4.283839	1.745831	1.969195	1.267466	1.414577	1.500416	0.659771	1.063778	1.216151	1.115226	0.943236	1.511343
GLYMA_01G002100	3.584756	4.568468	14.686922	8.076164	3.24655	4.02888	10.180893	12.001548	12.532475	18.229883	13.310863	12.21076	14.2044	15.929894
GLYMA_01G002200	11.337838	7.208633	10.282099	6.982821	7.894647	11.384646	8.209446	7.142608	9.545024	9.705319	7.746973	7.880992	9.192038	10.647899
GLYMA_01G002300	0	0	0	0	0	0	0.084668	0	0	0	0	0.039721	0	0.121621
