feature_id	SRR26553585	SRR26553586	SRR26553587	SRR26553588	SRR26553594	SRR26553593	SRR2545903	SRR2545902	SRR2545899	SRR2545898	SRR2545901	SRR2545900	SRR2545897	SRR2545896
transcript:KRH74114	41	31	30.137	13.999	28	29.472	30	47	41	50	54	46.999	40.969	50.003
transcript:KRH74115	291.51	279.508	188.399	150.161	232.682	174.197	135.957	167.2	128.483	183.958	232.629	182.344	197.908	188.432
transcript:KRH74116	14.985	14.012	9.786	3.005	7.78	11.996	0	0	0	0	0	0	0	0
transcript:KRH74118	209.593	339.705	279	284.138	179.101	252.028	116.372	174.787	181.802	188.76	182.879	169.105	225.821	210.162
transcript:KRH74117	1	3	1	3	2	1	0	0	0	0	0	0	0	0
transcript:KRH74119	220.92	247.852	208.984	206.21	237.079	252.145	267.399	315.368	254.044	332.404	390.331	303.509	326.578	325.677
transcript:KRH74120	9.086	3.682	9.054	0	0	3.543	0	0	8.029	9.206	10.585	0	12.176	0
transcript:KRH74121	38.587	67.047	67.575	51.046	33.777	55.071	24.358	33.447	18	31.276	64.321	73.614	51.927	52.628
transcript:KRH74122	0	0	0	0	0	0	0	2	0	2	0	0	1	1
transcript:KRH74123	207.649	331.637	298.942	364.049	205.192	215.871	454.939	571.166	414.701	552.705	618.126	621.556	524.189	506.135
transcript:KRH74126	0	0	107.785	82.882	63.043	204.513	395.325	0	455.674	431.154	0	0	0	0
transcript:KRH74124	622.66	377.352	154.103	240.45	592.377	630.22	0	210.125	0	0	196.736	221.08	264.481	263.768
transcript:KRH74125	622.66	377.352	154.103	240.45	592.377	630.22	0	210.125	0	0	196.736	221.08	264.481	263.768
transcript:KRH74127	25.472	27.039	15.292	20.406	30.848	42.328	19.675	18.749	32.326	41.846	47.718	17.84	27.893	20.464
transcript:KRH74130	780.371	1062.679	574.173	655.846	667.459	609.928	66.447	146.175	112.236	118.101	103.597	151.193	177.057	159.172
transcript:KRH74131	41.107	50.337	22.9	11.503	19.609	33.529	4.435	8.539	0	0	0	0	1.977	13.019
transcript:KRH74128	11.735	9.728	7.506	3.792	15.135	9.316	0.555	0.55	1.221	1.96	0	0.553	1.907	2.6
transcript:KRH74129	11.735	9.728	7.506	3.792	15.135	9.316	0.555	0.55	1.221	1.96	0	0.553	1.907	2.6
transcript:KRH74132	13.8	18.647	14.546	9.621	11.981	23	134	167	89	102	177	174	122	122
transcript:KRH74133	227.265	886.208	648.147	504.206	222.782	211.268	389.103	451.661	379.375	425.971	314.381	412.741	483.66	427.716
transcript:KRH74134	602.684	2150.51	1666.894	1379.994	652.373	649.585	510.897	763.339	586.811	721.029	844.23	895.259	787.34	776.286
transcript:KRH74135	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript:KRH74136	4	0	0	0	0	0	288	481.283	424.011	463.071	384	362	625.626	325
transcript:KRH74137	122.448	90.96	71.412	52.972	107.42	100.365	164.774	149.951	98.972	101.022	155.752	198.921	151.247	138.265
transcript:KRH74138	86.9	52.199	71.148	69.779	51.24	124.649	57.318	68.488	70.345	70.382	180.692	113.383	130.016	79.276
transcript:KRH74140	15.982	9.435	31.066	10.123	14.701	23.68	22.193	6.317	2.536	18.269	14.048	0	5.65	5.975
transcript:KRH74139	211.875	159.283	104.825	150.389	176.822	200.456	175.805	194.679	183.463	193.408	217.949	207.001	174.347	201.028
transcript:KRH74141	6	6	10	7	5	6	0	0	0	2	1	1	3	0
transcript:KRH74143	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript:KRH74142	0	0	0	0	0	0	1	2	5	1	1	0	2	1
transcript:KRH74144	27	79	35	19	19	13	18	20	8	14	18	15	12	20
transcript:KRH74145	282.963	354.026	834.004	600.521	220.079	291.471	748.285	903.552	863.987	1377.326	1112.998	953.29	1025.471	1183.31
transcript:KRH74146	0	0	0	0	4.916	3.529	0	3.448	0	3.995	14.638	0	7.727	9.69
transcript:KRH74147	427.352	271.261	292.926	262.679	268.897	404.923	343.785	323.191	378.287	407.903	378.075	352.465	388.47	466.744
transcript:KRH74148	0	0	0	0	0	0	2	0	0	0	0	1	0	3
transcript:KRH74149	20	286.911	323.099	255.37	19	23	192	331.861	402.995	420.002	228.993	329.625	407.008	400.06
transcript:KRH74150	0	0	0	0	0	0	0	0	1	0	0	0	0	0
transcript:KRH74151	240.075	577.055	495.168	372.28	181.796	281.449	160	200	189.603	230	201	205	238	217
transcript:KRH74152	326.991	404.521	340.363	494.859	297.728	344.195	207.008	185.999	193.999	219.005	189.998	179.006	203	214.157
transcript:KRH74153	0	0	0	0	0	0	0	0	0	0	1	0	0	0
transcript:KRH74154	161.773	147	82.273	73.97	98.743	59.844	10.021	13.114	17.911	20.1	15.128	21.185	8.087	30.336
transcript:KRH74155	259.629	616.901	484.047	294.886	187.768	113.926	159.517	119.69	89.652	68.822	148.324	131.865	122.826	106.484
transcript:KRH74156	35.725	48.919	43.817	54.499	33.673	44.538	74.659	66.328	49.415	59.729	56.621	70.911	58.799	84.154
transcript:KRH74157	45.811	39.759	30.2	32	32.984	48.669	26.341	20.67	32.578	39.28	18.392	20.094	32.211	28.846
transcript:KRH74158	31.741	47.322	28.19	18.501	33.23	46.853	6.576	9.185	2.652	6.283	8	4.275	3.589	5.088
transcript:KRH74160	0	0	0	0	0	0	0	4.815	5.348	9.717	0	2.125	2.947	3.739
transcript:KRH74159	0	0	0	0	3	0	1.424	0	0	0	0	2.6	4.464	4.173
transcript:KRH74161	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript:KRH74162	189	208.447	191.011	140.7	116.243	179.998	18.995	16.321	20.382	20.994	16	23.454	19.272	21.751
transcript:KRH74163	2	0	1	0	1	2	0	1	1	2	2	2	1.799	0
transcript:KRH74164	85	91	114	136.038	83	104	161.998	147.508	118.477	103.501	181.995	164.004	198	147.528
transcript:KRH74165	84	212	270.006	952.755	131.8	172.281	196	201	288	217.005	233	285	273	299
transcript:KRH74167	0	0	0	0	0	0	186.693	172.753	198.703	159.723	0	206.107	161.477	176.811
transcript:KRH74168	102.398	24.918	20.368	26.394	38.105	58.279	40.353	0	0	15.936	139.065	60.923	0	36.881
transcript:KRH74166	171.604	298.084	281.722	245.606	225.723	229.882	221.966	367.289	168.679	159.74	366.716	367.335	327.371	218.574
transcript:KRH74169	0	0	0	0	0	0	25.213	19.118	0	0	13.131	46.995	0	0
transcript:KRH74170	27.035	12	9	70	27	27	223.405	238.178	203.428	243.576	191.999	145.003	204.303	176.249
transcript:KRH74171	286.727	141.584	163.48	213.817	250.195	284.249	233.865	298.397	63.34	80.807	625.878	575.081	115.707	128.816
transcript:KRH74172	41.273	109.851	12.18	108.365	86.505	99.552	1012.546	1079.456	294.616	385.829	1036.751	991.301	313.522	360.507
transcript:KRH74173	0	0	0	0	0	0	0	0	0	0	0	131.699	0	0
transcript:KRH74174	8.505	3.5	28.219	190.914	8.547	20.72	327.947	323.185	56.09	46.493	587.774	384.696	61.238	99.361
transcript:KRH74175	8.505	3.5	28.219	190.914	8.547	20.72	327.947	323.185	56.09	46.493	587.774	384.696	61.238	99.361
transcript:KRH74176	9.991	0	0	110.486	4.906	13.738	561.105	448.631	53.82	73.602	704.451	556.94	48.524	120.277
transcript:KRH74177	394.672	499.319	489.114	497.837	377.205	401.458	913.728	933.39	2260.902	2057.173	853.591	1089.076	1230.748	1161.218
transcript:KRH74178	394.672	499.319	489.114	497.837	377.205	401.458	913.728	933.39	0	52.613	853.591	1089.076	1230.748	1161.218
transcript:KRH74179	12	7	6	4	13	14	8	7	8	7	6	6	4	11
transcript:KRH74180	408.116	340.731	257.586	360.771	409.676	448.4	916.325	945.926	990.757	0	901.165	865.294	975.303	1099.291
transcript:KRH74181	408.116	340.731	257.586	360.771	409.676	448.4	916.325	945.926	990.757	2146.409	901.165	865.294	975.303	1099.291
transcript:KRH74182	24	36	52	31	24	22	38	61	169	137	61.003	52	180	166
transcript:KRH74183	3	3	15	11	13	16	76	70	80	71	82	89.56	80	78
transcript:KRH74184	35	0	0	0	37.001	57	1187.098	1439.057	507.856	774.667	1353.728	995.63	680.901	687.505
transcript:KRH74185	0	1	4	3	0	0	42.096	115.936	4.137	0	112.275	173.839	18.343	12.496
transcript:KRH74186	0	1	5	12	1	0	0	3	0	0	4	0	0	3
transcript:KRH74187	5862.332	183.061	240	162.081	5169.122	4494.078	1451.934	1196.142	1251.885	1874.054	1539.721	1214.474	1317.001	1246.507
transcript:KRH74189	6	0	10	2.094	0	0	0	0	0	0	2.186	0	0	0
transcript:KRH74188	0	3	0	0	2.198	0	26	35.434	17	40.545	15.423	65.446	55	112.147
transcript:KRH74191	0	0	0	0	0	0	0	1.566	0	1.455	1.391	6.554	0	10.853
transcript:KRH74190	0	0	0	2.906	1.802	0	0	0	0	0	0	0	0	0
transcript:KRH74192	93.037	33	35.034	35	63	89.044	69.026	44	24.915	25	168.001	98.922	58.965	49
transcript:KRH74193	400.329	232.77	209.562	258.929	331.428	426.793	384.783	421.525	474.182	536.3	440	447.818	495.483	527.887
transcript:KRH74194	0	0	1.789	0	0	5.702	0	0	0	0	0	0	0	4.842
transcript:KRH74195	5.396	11.269	6.35	6.536	13.148	20.289	1.217	2.475	3.818	2.677	0	1.184	2.52	3.568
transcript:KRH74197	199.223	469.867	437.85	475.493	348.303	322.905	78.716	105.104	85.231	119.378	70.425	108.512	86.408	113.192
transcript:KRH74196	2233.589	1754.584	1944.789	2039.583	2116.174	2376.2	84.448	100.004	85.774	120.027	134.86	86.298	132.646	107.335
transcript:KRH74201	0	0	0	0	0	0	0	0	0	0	198.593	207.384	0	0
transcript:KRH74202	36	29	28.461	5.148	25	8.857	159.756	160.047	69.899	99.661	0	0	115.228	138.201
transcript:KRH74199	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript:KRH74200	0	0	0	0	0	24.143	0	0	0	0	0	0	0	0
transcript:KRH74198	0	0	5.539	13.852	0	0	52.811	42.948	51.098	33.772	76.931	72.76	39.772	50.666
transcript:KRH74203	0	0	17.649	14.556	1	6	48.013	41.696	26.535	58.6	39.515	47.511	30.607	32.994
transcript:KRH74204	3	14	28.351	4.444	0	0	19.572	16.304	30.465	19.4	35.485	19.492	26.386	26.006
transcript:KRH74205	1	2.028	0	0	4	3	1	2	0	1	1	0	1	0
transcript:KRH74206	1	5	14	7	5	10	60.986	59	54	50	68	72	51	61
transcript:KRH74207	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript:KRH74208	357.888	2	17	51	305.527	220	2165.879	2334.159	954.588	1708.784	1989.02	2503.833	846.343	1046.593
transcript:KRH74210	376.851	151.992	285.492	426.744	302.357	266.725	447.781	331.401	427.855	553.863	466.977	377.208	335.232	455.382
transcript:KRH74209	1436.312	1262.671	946.216	1056.344	967.931	983.012	150.797	278.592	232.306	314.933	458.222	315.224	276.817	357.653
transcript:KRH74211	1240.009	124	168.029	344.449	796.392	755.598	3344.437	2192.459	3665.85	6459.687	3132	2356	2363.965	3950.011
transcript:KRH74212	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript:KRH74215	63.595	20.476	24.345	37.618	66.027	44.741	32.906	65.357	26.762	14	27.81	33.933	46.053	29.237
transcript:KRH74213	552.112	460.467	438.864	424.603	456.661	538.714	727.791	841.37	761.015	762.223	971.337	1019.305	957.91	894.423
