feature_id	SRR26553585	SRR26553586	SRR26553587	SRR26553588	SRR26553594	SRR26553593	SRR2545903	SRR2545902	SRR2545899	SRR2545898	SRR2545901	SRR2545900	SRR2545897	SRR2545896
transcript:KRH74114	7.555602	5.588176	7.508369	2.697772	5.958172	6.277174	9.787562	13.178337	13.970852	16.188658	14.668542	14.016476	12.736204	14.875631
transcript:KRH74115	6.082978	5.633122	5.005282	3.007697	5.318205	3.851748	2.536586	2.800548	2.533637	3.455756	3.745411	3.123571	3.581356	3.28989
transcript:KRH74116	3.086423	2.784146	2.658836	0.574347	1.747238	2.330927	0	0	0	0	0	0	0	0
transcript:KRH74118	5.08579	8.185786	8.852008	6.80085	4.798555	6.467985	2.4742	3.461296	4.1084	4.007121	3.331486	3.393381	4.791648	4.290656
transcript:KRH74117	0.620631	1.831316	0.796692	1.740458	1.360932	0.617008	0	0	0	0	0	0	0	0
transcript:KRH74119	3.517201	3.782117	4.34438	3.210907	4.275221	4.327268	4.497149	5.06157	4.604546	5.422318	5.840928	4.770232	5.421618	5.194257
transcript:KRH74120	0.134076	0.052419	0.175583	0	0	0.056355	0	0	0.135654	0.140161	0.147279	0	0.189008	0
transcript:KRH74121	7.11091	12.126767	16.835557	9.837068	7.187524	11.729539	5.849929	7.300691	4.562083	7.583427	13.211933	16.646329	12.201427	11.761717
transcript:KRH74122	0	0	0	0	0	0	0	0.136639	0	0.131338	0	0	0.068379	0.066333
transcript:KRH74123	7.246758	11.602861	13.808042	12.84027	8.004959	8.05143	14.9342	17.904297	14.463565	17.773012	17.320377	19.47473	17.542426	16.302119
transcript:KRH74126	0	0	9.465954	5.434044	4.685021	14.353823	25.274213	0	31.421007	27.03715	0	0	0	0
transcript:KRH74124	41.348583	24.966053	13.653479	15.896009	44.424271	44.606475	0	12.825079	0	0	11.167893	13.240744	16.994038	16.338559
transcript:KRH74125	41.348583	24.966053	13.653479	15.896009	44.424271	44.606475	0	12.825079	0	0	11.167893	13.240744	16.994038	16.338559
transcript:KRH74127	4.73072	4.996965	3.790378	3.689312	6.478575	8.108133	2.689844	2.512609	4.803446	5.452107	5.800508	2.228017	3.817012	2.706384
transcript:KRH74130	38.652123	50.312027	36.479515	30.913431	37.388724	32.343273	3.036564	6.300681	5.483643	5.287942	4.154992	6.466792	8.034035	6.951398
transcript:KRH74131	1.923534	2.256798	1.374046	0.51443	1.030514	1.675199	0.184966	0.328775	0	0	0	0	0.080936	0.512789
transcript:KRH74128	0.187722	0.152015	0.153875	0.059413	0.265345	0.157375	0.0072	0.006403	0.01687	0.026313	0	0.006759	0.024162	0.031542
transcript:KRH74129	0.187722	0.152015	0.153875	0.059413	0.265345	0.157375	0.0072	0.006403	0.01687	0.026313	0	0.006759	0.024162	0.031542
transcript:KRH74132	0.248751	0.333775	0.35828	0.178862	0.247048	0.447805	2.635994	3.151105	1.877724	1.9686	3.074642	3.210846	2.382304	2.311179
transcript:KRH74133	4.790018	18.649945	18.504789	10.989315	5.278573	4.785858	8.401824	9.320504	8.766554	9.018078	5.87142	8.389898	10.493438	8.97987
transcript:KRH74134	19.414444	69.529216	72.505724	45.63871	23.718743	22.414795	15.606551	22.556389	19.217385	21.532004	22.211424	25.893989	24.468794	23.331716
transcript:KRH74135	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript:KRH74136	0.103732	0	0	0	0	0	6.696808	10.406669	10.425812	10.704415	7.618665	7.94393	14.496311	7.256065
transcript:KRH74137	3.280817	2.400969	2.467899	1.382175	3.183038	2.856036	3.864785	3.3385	2.45954	2.313433	3.119467	4.424097	3.594492	3.157256
transcript:KRH74138	3.025864	1.81191	3.240862	2.408661	1.980865	4.626973	1.790062	2.06311	2.331002	2.129803	4.775519	3.380033	4.179954	2.454731
transcript:KRH74140	0.787616	0.460749	2.000171	0.495187	0.797688	1.228637	0.963546	0.258952	0.116222	0.769625	0.519268	0	0.2458	0.250763
