feature_id	SRR39669458	SRR39669459	SRR39669468	SRR39669469	SRR39669470	SRR39669471	SRR39669472	SRR39669473	SRR39669474	SRR39669475	SRR39669460	SRR39669461	SRR39669462	SRR39669463	SRR39669464	SRR39669465	SRR39669466	SRR39669467
SEVIR_1G000100v2	5.094089	6.24231	4.82092	6.208887	6.018477	3.915955	2.217715	2.785159	2.185529	5.930637	6.742929	6.893241	5.961144	6.559361	5.392346	2.705991	2.560509	2.563857
SEVIR_1G000200v2	2.397027	3.972513	1.850426	1.668339	1.838796	1.876332	0.448618	0.58919	1.036798	3.181817	2.830336	3.110052	3.73858	3.286347	2.723648	1.25551	0.738311	1.278373
SEVIR_1G000300v2	41.603024	36.906036	32.409807	35.640411	31.829885	37.435235	12.997485	17.686323	24.219437	37.700681	36.851774	30.746937	57.380282	57.538745	59.539037	21.876724	16.829159	17.674034
SEVIR_1G000400v2	184.885357	166.657502	147.452256	125.506365	133.177825	112.188499	90.625164	110.186083	116.646082	186.128184	177.346589	150.004482	139.583289	133.567046	134.885377	92.800374	97.031577	74.0996
SEVIR_1G000501v2	0.8799	1.5313	1.809161	0.755023	1.242268	1.822829	0.806734	1.190264	0.544142	1.343583	2.053334	2.376034	1.846065	1.873615	1.63323	0.970413	0.293598	0.323719
SEVIR_1G000600v2	0.189568	0.138205	0.087347	0.036123	0.036731	0.040163	0.017436	0.061858	0.057293	0.253769	0.100617	0.032149	0.083299	0.111005	0.11204	0.065727	0.038074	0.033898
SEVIR_1G000650v2	1.157008	1.412566	1.462235	0.692686	0.598007	0.888897	0.449656	0.493468	0.59539	0.783715	0.947433	1.206669	1.414645	0.937512	0.936331	0.444438	0.356436	0.412784
SEVIR_1G000700v2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SEVIR_1G000900v2	0.059477	0	0	0	0	0.059892	0	0.074721	0	0.12969	0.065913	0	0	0	0	0	0	0
SEVIR_1G001000v2	47.457043	35.293351	42.087317	57.325902	55.941501	41.761538	3.533807	9.234686	8.956972	43.569394	33.533835	26.090272	45.847739	52.414769	51.544319	10.289297	14.946628	6.786163
SEVIR_1G001100v2	0	0	0	0	0.018279	0	0	0	0	0	0	0	0	0.041337	0	0	0	0
SEVIR_1G001200v2	4.514156	5.559845	6.876298	13.366061	12.455611	4.659011	1.469523	2.960778	3.406875	5.542438	3.859653	3.698461	5.097442	4.419613	4.235288	2.393752	3.311219	1.514954
SEVIR_1G001300v2	301.269959	333.419556	339.125987	326.163012	303.637999	298.228621	123.701386	193.343488	172.299011	360.97167	356.761316	286.793886	270.836384	298.399972	289.422266	164.380929	171.644549	138.817913
