feature_id	SRR39669458	SRR39669459	SRR39669468	SRR39669469	SRR39669470	SRR39669471	SRR39669472	SRR39669473	SRR39669474	SRR39669475	SRR39669460	SRR39669461	SRR39669462	SRR39669463	SRR39669464	SRR39669465	SRR39669466	SRR39669467
transcript:TKW36712	175	178	137	205	197.994	137	72	78	75	186	213	217	161	190	161	82	68	74
transcript:TKW36713	0	4.693	0	27.929	0	0	0	0	60.641	0	0	75.848	0	0	0	78.952	0	0
transcript:TKW36714	189.999	266.404	127.054	102.071	142.054	159	38.066	41.064	23.359	234.001	213	163.244	239	219	188	14.048	48.083	98
transcript:TKW36715	6066.081	4492.903	4015.946	5231.543	4590.946	5775	1931.934	2212.936	3640	5035.367	5079.045	4235.003	6672	7172.966	7503.997	2936	1940.917	2321
transcript:TKW36716	4908	3845	3500.969	3329.499	3475	3198.008	2478	2491	3165	4549	4465.239	3932	3002	2993	3134	2320	2089	1891
transcript:TKW36717	13	16	19	11	18	25.992	10	14	8	18	27	27	20	24	20	11	3	3
transcript:TKW36718	32	19	12	6	6	7	3	9	10	39	16	5	11	16	16	10	5	5
transcript:TKW36719	48	48	50	29	25	39	19	18	26	30	37	46	47	34	34	17	12	15
transcript:TKW36720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript:TKW36721	1	0	0	0	0	1	0	1	0	2	1	0	0	0	0	0	0	0
transcript:TKW36722	1777.466	1299.048	1659.622	2134.403	2195.008	1817.377	189.711	343.816	424.56	1615.249	1279.525	1075.979	1526.18	1604.787	1709.999	352.125	424.835	311.314
transcript:TKW36723	1519.534	877.952	1013.378	1904.597	1735.992	1415.098	97.289	248.184	263.44	1247.753	978.475	757.021	1127.005	1476.141	1453.001	343.875	437.165	176.686
transcript:TKW36724	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0
transcript:TKW36725	281	291	362	810	749	301	91	155	216.004	314	224	216	253	234	229	136	164	86
transcript:TKW36726	6253.405	5838	6130.648	6846	6361	6591	2553	3412	3673	6931	6915	5609.496	4548	5310	5353.782	3141.568	2890.128	2558
transcript:TKW36727	10326.748	6912.543	6576	10612	10667.506	9822.13	4944	6476	7984	9830.124	10017.662	6523	6733.231	8644	8198	5426	5575	2559
transcript:TKW36728	457.161	396.756	498.212	925.733	966.049	700.038	335.26	509.067	547.553	469.951	519.072	399.913	486.418	679.62	629.4	335.126	484.102	271
transcript:TKW36729	10.954	14.04	1.827	22.843	16.888	24.066	7.228	0	0	2.311	29.398	14.908	0	19.234	2.547	2.534	6.262	0
transcript:TKW36730	34.885	34.205	67.96	104.424	75.063	61.896	8.543	7.933	51.447	94.737	14.53	29.179	70.582	30.146	9.052	97.34	41.635	0
transcript:TKW36731	3	1	3	2	3	4	0	4	0	0	0	1	0	0	3	0	0	3
transcript:TKW36732	55	64	25	29	17	32	11.279	20	8.948	71	58	35	32	17	34	22	5	14
transcript:TKW36733	6308.999	3281	6298	15054.244	14774.463	2575	1189	2096	3220.692	3094	3704	5423.683	1836	1973	1977	2126	2380	2450
transcript:TKW36734	2128.949	1477	1563	1375	1464.379	1434.986	458	340	598	1078	1290.747	1551.29	1031.969	1026	1142	608	336	429
transcript:TKW36735	95.273	60.738	37.755	45.767	31.288	62.99	10.842	22.749	33.45	62.739	46.529	54.556	60.248	30.867	22.16	38.688	7.488	22.416
transcript:TKW36736	2967.779	2363.262	1243.245	1006.233	1007.282	1486.01	747.158	771.251	1558.55	2547.261	2374.471	1966.477	1931.782	2191.133	2244.84	1202.312	781.512	884.584
