feature_id	SRR39669458	SRR39669459	SRR39669468	SRR39669469	SRR39669470	SRR39669471	SRR39669472	SRR39669473	SRR39669474	SRR39669475	SRR39669460	SRR39669461	SRR39669462	SRR39669463	SRR39669464	SRR39669465	SRR39669466	SRR39669467
transcript:TKW36712	5.094089	6.24231	4.82092	6.208887	6.018477	3.915955	2.217715	2.785159	2.185529	5.930637	6.742929	6.893241	5.961144	6.559361	5.392346	2.705991	2.560509	2.563857
transcript:TKW36713	0	0.070964	0	0.367185	0	0	0	0	0.754836	0	0	1.008305	0	0	0	1.070959	0	0
transcript:TKW36714	2.397027	3.901549	1.850426	1.301154	1.838796	1.876332	0.448618	0.58919	0.281962	3.181817	2.830336	2.101747	3.73858	3.286347	2.723648	0.184551	0.738311	1.278373
transcript:TKW36715	41.603024	36.906036	32.409807	35.640411	31.829885	37.435235	12.997485	17.686323	24.219437	37.700681	36.851774	30.746937	57.380282	57.538745	59.539037	21.876724	16.829159	17.674034
transcript:TKW36716	184.885357	166.657502	147.452256	125.506365	133.177825	112.188499	90.625164	110.186083	116.646082	186.128184	177.346589	150.004482	139.583289	133.567046	134.885377	92.800374	97.031577	74.0996
transcript:TKW36717	0.8799	1.5313	1.809161	0.755023	1.242268	1.822829	0.806734	1.190264	0.544142	1.343583	2.053334	2.376034	1.846065	1.873615	1.63323	0.970413	0.293598	0.323719
transcript:TKW36718	0.189568	0.138205	0.087347	0.036123	0.036731	0.040163	0.017436	0.061858	0.057293	0.253769	0.100617	0.032149	0.083299	0.111005	0.11204	0.065727	0.038074	0.033898
transcript:TKW36719	1.157008	1.412566	1.462235	0.692686	0.598007	0.888897	0.449656	0.493468	0.59539	0.783715	0.947433	1.206669	1.414645	0.937512	0.936331	0.444438	0.356436	0.412784
transcript:TKW36720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript:TKW36721	0.059477	0	0	0	0	0.059892	0	0.074721	0	0.12969	0.065913	0	0	0	0	0	0	0
transcript:TKW36722	20.390014	17.439745	21.911859	24.200344	25.337081	19.159433	1.984536	4.394695	4.588146	19.994993	15.35178	12.610212	21.575612	21.592664	22.509798	4.167383	5.88639	3.674898
transcript:TKW36723	27.067029	17.853606	20.175458	33.125558	30.60442	22.602105	1.549271	4.839991	4.368826	23.574401	18.182055	13.48006	24.272127	30.822105	29.034521	6.121914	9.060238	3.111265
transcript:TKW36724	0	0	0	0	0.018279	0	0	0	0	0	0	0	0	0.041337	0	0	0	0
transcript:TKW36725	4.514156	5.559845	6.876298	13.366061	12.455611	4.659011	1.469523	2.960778	3.406875	5.542438	3.859653	3.698461	5.097442	4.419613	4.235288	2.393752	3.311219	1.514954
transcript:TKW36726	301.269959	333.419556	339.125987	326.163012	303.637999	298.228621	123.701386	193.343488	172.299011	360.97167	356.761316	286.793886	270.836384	298.399972	289.422266	164.380929	171.644549	138.817913
transcript:TKW36727	42.677285	33.797604	31.576281	43.215198	44.407392	37.193128	18.598865	29.739809	31.035982	44.091147	43.100058	27.579128	34.599202	41.996277	39.288887	23.178781	27.909974	10.873093
transcript:TKW36728	4.548744	4.647068	5.746417	9.122899	9.693285	6.367884	3.064268	5.681085	5.167104	5.085251	5.410402	4.053836	6.011984	7.971081	7.224933	3.43155	5.785871	2.738721
transcript:TKW36729	0.101759	0.153643	0.019673	0.210121	0.158439	0.203997	0.06135	0	0	0.023335	0.286036	0.141246	0	0.211347	0.027399	0.024247	0.070065	0
transcript:TKW36730	0.359883	0.417788	0.816299	1.064597	0.780441	0.583671	0.080737	0.091559	0.50223	1.06445	0.156809	0.308138	0.908135	0.366582	0.108284	1.037089	0.518928	0
transcript:TKW36731	0.061614	0.027213	0.082428	0.041351	0.062589	0.081952	0	0.096445	0	0	0	0.024618	0	0	0.073667	0	0	0.084378
transcript:TKW36732	0.417797	0.582252	0.22985	0.228379	0.13461	0.22883	0.077732	0.168205	0.063824	0.598328	0.463573	0.276987	0.306833	0.151145	0.303465	0.174131	0.044872	0.106579
transcript:TKW36733	1253.586206	723.62481	1368.656297	3039.697343	2929.833809	463.10913	229.991011	477.464091	611.771068	640.220347	806.112548	1083.940575	437.571949	466.827933	420.446362	425.189355	531.809846	488.402754
transcript:TKW36734	423.018266	325.752467	339.664917	277.634909	290.392078	258.079603	88.591996	77.451236	113.590215	223.063198	280.909018	310.030399	245.948194	242.759989	242.867853	121.596956	75.079037	85.520319
transcript:TKW36735	1.002335	0.773178	0.475452	0.489931	0.342449	0.629304	0.109226	0.277758	0.341197	0.727226	0.522499	0.606641	0.80942	0.387941	0.275215	0.441177	0.100298	0.255414
transcript:TKW36736	39.886343	37.937615	19.603315	13.691786	13.969521	18.959426	9.881472	12.261105	20.608171	37.676505	33.990381	27.734125	32.856967	35.039295	35.267174	17.649408	13.351678	12.923285
transcript:TKW36737	45.313211	62.373553	86.040867	82.554081	85.937973	67.672793	54.781094	67.642801	55.074293	62.363196	59.893264	51.429525	69.299573	65.706394	70.091368	58.373836	59.3101	44.82407
transcript:TKW36738	38.380671	42.112667	41.3365	26.874332	26.035668	29.794885	25.48932	28.630086	31.044893	41.932276	40.316742	37.254495	42.981998	37.721687	38.080541	31.513357	26.531329	35.421758
transcript:TKW36739	0	0	0.013306	0.154206	0.024242	0.021736	0.010854	0.013432	0.033918	0.012817	0.037128	0	0.073009	0.084702	0.190704	0.012197	0.028663	0
transcript:TKW36741	0	0.091886	0.029657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript:TKW36742	0.141336	0	0	0	0	0	0	0.160659	0.135871	0.155705	0.412841	0	0	0	0	0	0	0
transcript:TKW36740	57.448742	47.762679	35.331101	37.103742	40.934264	31.81132	26.464563	29.623336	28.338057	59.878564	56.53736	47.632787	40.479021	41.673235	41.522518	27.429206	30.219602	17.299497
transcript:TKW36743	29.805437	21.325701	25.920111	23.887324	23.902201	21.299758	23.153122	24.889537	20.336821	24.283717	23.978071	16.206923	19.52876	23.54016	21.685219	17.023686	20.301665	8.588452
