feature_id	SRR14935707	SRR14935708	SRR14935709	SRR14935710	SRR14935703	SRR14935704	SRR14935705	SRR14935706
SORBI_3001G000100	488.125	488.125	488.125	488.125	488.125	488.125	488.125	488.125
SORBI_3001G000200	1845.765	1900.572	1928.52	1906.678	1931.87	1907.028	1883.995	1939.01
SORBI_3001G000400	4445.36528179693	4193.58286706	4691.74562341793	4550.76865781198	4583.63264900357	4481.79680686098	4524.8462719606	4633.05893908084
SORBI_3001G000300	349.386	368.235	378.392	364.955	374.09	366.874549507409	366.874549507409	366.874549507409
SORBI_3001G000501	72.313	80.304	86.672	75.39	83.292	82.791	74.571	79.1798443247031
SORBI_3001G000700	1014.40074545276	1055.67002224382	1094.60542729675	1057.75740795705	1080.484	1060.88538297077	1048.54143125836	1083.66116621429
SORBI_3001G000800	3345.22	3394.895	3507.518	3458.158	3531.779	3389.586	3413.816	3483.781
SORBI_3001G000900	2351.332	2351.332	2351.332	2351.332	2351.332	2351.332	2351.332	2351.332
SORBI_3001G001000	542.125	542.125	542.125	542.125	542.125	542.125	542.125	542.125
SORBI_3001G001066	1606.875	1606.875	1606.875	1606.875	1606.875	1606.875	1606.875	1606.875
SORBI_3001G001132	135.625	135.625	135.625	135.625	135.625	135.625	135.625	135.625
SORBI_3001G001200	1713.351	1730.702	1796.649	1738.642	1765.628	1731.176	1758.539	1639.142
SORBI_3001G001300	1465.403	1532.335	1515.663	1533.901	1501.867	1567.847	1532.647	1398.811
SORBI_3001G001400	4066.968	4116.25301179106	4210.661	4131.0177845028	4218.631	4079.15192149943	4105.15056468935	4336.575
SORBI_3001G001700	1661.495	1654.252	1620.852	1752.901	1727.83	1755.095	1663.728	1690.15482229801
SORBI_3001G001800	3393.924	3393.924	3393.924	3393.924	3393.924	3393.924	3393.924	3393.924
SORBI_3001G001900	3145.965	3226.328	3218.013	3242.286	3236.858	3257.73	3227.483	3186.403
SORBI_3001G002000	4942.667	5062.515	5199.017	5073.375	5189.313	5065.654	5057.283	5268.557
SORBI_3001G002050	3140.059	3112.483	3205.071	3229.389	3310.085	3217.164	3158.124	3025.903
SORBI_3001G002100	254.949	258.316	330.483	268.239	306.554	249.721	279.085	211.681
SORBI_3001G002200	4799.875	4799.875	4799.875	4799.875	4799.875	4799.875	4799.875	4799.875
SORBI_3001G002300	1520.245	1583.86073235557	1669.907	1573.864	1583.86073235557	1575.052	1583.86073235557	1583.86073235557
SORBI_3001G002400	1932.63877713585	1878.542	1932.63877713585	1932.63877713585	1976.838	1881.617	1996.547	1932.63877713585
SORBI_3001G002500	1688.772	1689.912	1793.282	1735.309	1803.406	1715.685	1728.761	1589.537
SORBI_3001G002600	1295.35360117047	1350.18560495763	1393.8713123515	1353.69403343897	1390.7882979013	1339.19645787898	1344.88350204474	1345.72305104189
SORBI_3001G002650	1738.6496347062	1735.496	1738.6496347062	1738.6496347062	1738.6496347062	1738.6496347062	1741.809	1738.6496347062
SORBI_3001G002700	1884.869	2004.003	2058.426	1987.346	2011.572	2009.176	2019.67	1765.142
SORBI_3001G002800	2688.29788531954	2712.1970827344	2614.45637988724	2710.11203974723	2617.56304713241	2833.44741943162	2707.30751526504	2462.54869105741
SORBI_3001G002900	747.191878581405	738.772	747.191878581405	747.191878581405	749.063	753.82	747.191878581405	747.191878581405
SORBI_3001G003000	3327.445	3479.845	3460.568	3495.298	3482.818	3544.831	3440.822	3306.822
SORBI_3001G003100	2141.438	2223.059	2268.478	2225.06	2266.194	2215.221	2212.553	2235.233
SORBI_3001G003200	1434.767	1506.775	1469.695	1482.838	1454.622	1521.579	1480.619	1429.492
SORBI_3001G003300	2795.908	2848.914	2912.31	2861.319	2893.588	2882.928	2870.296	2840.301
SORBI_3001G003400	1139.375	1139.375	1139.375	1139.375	1139.375	1139.375	1139.375	1139.375
SORBI_3001G003500	2211.268	2279.038	2437.368	2301.389	2388.333	2268.148	2305.455	2223.616
SORBI_3001G003600	2121.745	2121.745	2121.745	2121.745	2121.745	2121.745	2121.745	2121.745
SORBI_3001G003700	488.484	479.909	661.2	515.019	597.546	513.07225806024	546.781	358.839
SORBI_3001G003900	1544.829	1591.363	1675.71	1598.601	1632.002	1600.672	1625.779	1449.963
SORBI_3001G004000	1477.131	1524.673	1671.072	1542.063	1609.568	1521.926	1578.429	1366.011
SORBI_3001G004100	1745.56	1786.467	1890.388	1802.372	1873.616	1778.85	1794.152	1862.325
SORBI_3001G004200	1541.751	1573.508	1617.056	1579.159	1637.197	1585.711	1571.962	1598.011
SORBI_3001G004300	2307.213	2382.587	2379.794	2397.268	2378.551	2451.303	2388.258	2152.451
SORBI_3001G004400	3556.036	3523.38	3671.082	3587.824	3737.034	3551.002	3549.673	3669.578
SORBI_3001G004500	1404.71	1489.612	1460.464	1439.38649017987	1429.191	1514.457	1439.38649017987	1344.518
