feature_id	SRR14935707	SRR14935708	SRR14935709	SRR14935710	SRR14935703	SRR14935704	SRR14935705	SRR14935706
SORBI_3001G000100	0	0	0	0	0	0	0	0
SORBI_3001G000200	550.978	596	368.048	461	350	405.996	524	258
SORBI_3001G000400	348	277	648	426.014	1561.999	272.446	146	823
SORBI_3001G000300	1	1	1	18	1	0	0	0
SORBI_3001G000501	5	8	4	14	2	8	9	0
SORBI_3001G000700	629.006	589.072	373.392	741.769	359	493.167	662.114	226
SORBI_3001G000800	1883.316	2204.538	1033.602	1597.479	708	1572	1776.039	584
SORBI_3001G000900	0	1	0	0	0	0	0	0
SORBI_3001G001000	0	0	0	0	0	0	0	0
SORBI_3001G001066	0	0	0	0	0	0	0	0
SORBI_3001G001132	0	0	0	0	0	0	0	0
SORBI_3001G001200	30	22	19	15	27	21	30	13
SORBI_3001G001300	87	87	30	79	28	53	84.079	30
SORBI_3001G001400	1605.998	1648	999	1049.135	638	1401.188	1569.964	421
SORBI_3001G001700	12	21	3	14	6	8	7	0
SORBI_3001G001800	0	0	0	1	0	0	0	0
SORBI_3001G001900	559	566.203	400.005	460	412	432	516.092	435
SORBI_3001G002000	1909	1619	1499.125	1730.687	1665	1361.999	1608.992	1402.287
SORBI_3001G002050	366.354	377.713	217	414.075	301.637	220	336.638	182
SORBI_3001G002100	14.646	13.29	9	10.001	16.363	8	17.362	2
SORBI_3001G002200	0	0	0	0	0	0	0	0
SORBI_3001G002300	1	0	1	1	0	1	0	0
SORBI_3001G002400	0	2	0	0	1	1	2	0
SORBI_3001G002500	6	3	2	2.983	15	5	1	3
SORBI_3001G002600	175	205	115	161	85	117	146	69
SORBI_3001G002650	0	1	0	0	0	0	1	0
SORBI_3001G002700	35	39	24	35	20	5	27	14
SORBI_3001G002800	18	70	17	13	34	27	20	47
SORBI_3001G002900	0	1	0	0	1	1	0	0
SORBI_3001G003000	219	346	213	236	309	150.011	169	246
SORBI_3001G003100	2254	2734.35	1014.546	1688.914	838	1625	1980	738
SORBI_3001G003200	437	610	221	427.494	120	210	282	71
SORBI_3001G003300	41	46	31	19	10	29	42	14
SORBI_3001G003400	0	0	0	0	0	0	0	0
SORBI_3001G003500	352.011	483	306	351.498	327.999	277	411.999	245.001
SORBI_3001G003600	0	0	0	0	0	0	1	0
SORBI_3001G003700	5	7	3	6	6	0	4	5
SORBI_3001G003900	40	47	38	36	23	35.931	49	23
SORBI_3001G004000	13	16	2	10	4	2	7	1
SORBI_3001G004100	392.113	520	268	344	209	328.908	395	164
SORBI_3001G004200	243	274	154	195	128	170	247	134
SORBI_3001G004300	17	15	17	30	7	2	20	25
SORBI_3001G004400	1458.734	1324	1068.599	1217.236	1165	1156.003	1444.006	1045
SORBI_3001G004500	1	1	1	0	2	1	0	5
SORBI_3001G004550	0	0	0	0	0	0	0	0
SORBI_3001G004600	19	14	5	10	1	13	13.051	2
SORBI_3001G004700	84	88	65	74	67	52	90	50
SORBI_3001G004800	21	4	19	0	45	8	42	23
SORBI_3001G004901	0	0	0	0	0	0	0	0
SORBI_3001G005000	0	1	0	0	3	1	1	5
SORBI_3001G005100	36	31	27	28.051	133	11	6	164
SORBI_3001G005200	1036.285	725	279	841.578	45	467	670.86	41
SORBI_3001G005300	20	15	6	7	10	6	6	9
SORBI_3001G005400	0	0	0	0	0	0	0	0
SORBI_3001G005500	150	166	65	115	69	48	206	15
SORBI_3001G005600	1013.957	950	845.022	891	906	647.888	918.973	967
SORBI_3001G005700	246	170	118	144	402	119	108	689
SORBI_3001G005800	195	213	125.147	182	119	142	136	107
ENSRNA049997130	0	0	0	0	0	0	0	0
SORBI_3001G005900	649.367	595	348	536	316	471.998	691.958	230
SORBI_3001G006000	73	115	44	56	29	54	150.073	6
SORBI_3001G006101	7	2	5.004	3	12.513	2	2	17.997
SORBI_3001G006201	44	33	28	39	50.487	19	19	19.003
SORBI_3001G006300	0	0	0	0	0	0	0	0
SORBI_3001G006400	320.009	444	293	340	303	239	376.107	280
SORBI_3001G006500	17	15	18	14	24	8	15	4
SORBI_3001G006600	0	0	0	0	0	0	0	0
SORBI_3001G006700	2750.124	2249.548	3079.857	2617.289	2704.013	1829.109	2563.092	2061
SORBI_3001G006800	148	192	98	117	115	105	170.219	94
SORBI_3001G006900	1	4	0	0	0	1	0	3
SORBI_3001G007000	628.943	680	500.985	690.011	564	410	576	446.017
SORBI_3001G007100	200	221	183	187	178	145	150.758	205
SORBI_3001G007200	710	1029	615	731	605.115	553.541	702.144	637
SORBI_3001G007300	4	4	2	3	0	1	4	0
SORBI_3001G007400	366	470	312.99	328	213	321	392	150
SORBI_3001G007500	152	152	113	147	74	133	207.003	78
SORBI_3001G007600	2723.669	1935	1583.654	2142.282	1276	1892.127	2667.475	1363
SORBI_3001G007700	45	33	49	26	41	22	42	17
SORBI_3001G007800	217	272.072	154.998	179.941	120	235.976	314.809	96
SORBI_3001G007900	131	147	104.001	116	90	102.235	171	70
SORBI_3001G008000	37	45	26.254	53	31	34	47	9
SORBI_3001G008100	409.511	531	238	309.864	182	340	432	174
SORBI_3001G008200	234	183	204	156	255	183	280.914	123
SORBI_3001G008300	15	18	6	19	10	9	27	10
SORBI_3001G008400	2	2	3	1	21	1	4	19
SORBI_3001G008500	246	332	150	240	145	156	285	110
SORBI_3001G008600	4	4	0	6	0	2	2	3
SORBI_3001G008700	101	156	58	109.235	47	59	115	43
SORBI_3001G008800	334	414	203	288	152	252	395	101
SORBI_3001G008900	54	117	25	51	7	127	49	23
SORBI_3001G009000	0	1.386	0	1.451	0	0	0	0
SORBI_3001G009100	0	0	0	0	3	0	2	2
SORBI_3001G009200	79	109	50	107.013	26	50	47	25
SORBI_3001G009300	686.001	926	559	730	509	395	576.097	400
SORBI_3001G009400	18	16	19	19	15	15	17	8
SORBI_3001G009500	101	115	110	96	283	59	196	217
SORBI_3001G009600	616.029	681	297	534	105	617	693	185
SORBI_3001G009700	0	2	0	2	7	2	1	4
SORBI_3001G009800	1210	1391	905.088	1160.039	821	622	1110	564
SORBI_3001G009900	20	23	30	15	46	15	30	33
SORBI_3001G010000	9	12	4	4	2	12	13	6
SORBI_3001G010100	348.243	422	172	323.127	36	211.084	433	12
SORBI_3001G010200	65	92	45.046	62	26	36	61	17
SORBI_3001G010300	370	410	253	309	222	271	311.813	199
SORBI_3001G010400	565	846	407	531	399	399.904	644.141	270
