feature_id	SRR14935707	SRR14935708	SRR14935709	SRR14935710	SRR14935703	SRR14935704	SRR14935705	SRR14935706
transcript:EER90453	0	0	0	0	0	0	0	0
transcript:EER93047	550.978	596	368.048	461	350	405.996	524	258
transcript:OQU90570	0	0	0	0	0	0	0	0
transcript:OQU90572	0	0	0	0	0	0	0	0
transcript:OQU90571	12.297	0	5.483	83.939	40.773	35.588	0	13.139
transcript:KXG37057	1	1	1	18	1	0	0	0
transcript:KXG37058	0	0	0	0	3.247	0	0	0
transcript:KXG37059	238.837	122.522	482.357	238.873	1002.544	153.581	103.638	541.769
transcript:OQU90573	96.866	154.478	160.16	103.202	515.435	83.277	42.362	268.092
transcript:OQU90574	5	8	4	14	2	8	9	0
transcript:EER90454	0	1.963	1.47	0	0	2.59	2.177	0
transcript:OQU90575	622.849	576.884	360.423	721.553	359	478.057	659.937	223.341
transcript:OQU90577	0	1.613	0	0	0	7.322	0	0
transcript:OQU90578	0	0	0	0	0	0	0	0
transcript:KXG37061	0	0	11.499	16.078	0	0	0	0
transcript:OQU90576	6.157	8.612	0	4.138	0	5.198	0	2.659
transcript:EER93049	1883.316	2204.538	1033.602	1597.479	708	1572	1776.039	584
transcript:EER90455	0	1	0	0	0	0	0	0
transcript:KXG37063	0	0	0	0	0	0	0	0
transcript:OQU90579	0	0	0	0	0	0	0	0
transcript:KXG37064	0	0	0	0	0	0	0	0
transcript:EER93051	30	22	19	15	27	21	30	13
transcript:EER90457	87	87	30	79	28	53	84.079	30
transcript:OQU90580	0	3.76	0	4.352	0	23.933	10.697	0
transcript:OQU90581	1605.998	1644.24	999	1044.783	638	1377.255	1559.267	421
transcript:KXG37068	12	21	3	14	6	8	7	0
transcript:OQU90582	0	0	0	0	0	0	0	0
transcript:EER90458	0	0	0	1	0	0	0	0
transcript:KXG37070	559	566.203	400.005	460	412	432	516.092	435
transcript:EER93053	1909	1619	1499.125	1730.687	1665	1361.999	1608.992	1402.287
transcript:OQU90584	366.354	377.713	217	414.075	301.637	220	336.638	182
transcript:OQU90583	14.646	13.29	9	10.001	16.363	8	17.362	2
transcript:EER90459	0	0	0	0	0	0	0	0
transcript:EER90460	1	0	1	1	0	1	0	0
transcript:EER90461	0	2	0	0	1	1	2	0
transcript:EER90462	6	3	2	2.983	15	5	1	3
transcript:KXG37072	49.91	34.714	7.799	51.215	19.736	20.217	30.75	21.094
transcript:KXG37071	125.09	170.286	107.201	109.785	65.264	96.783	115.25	47.906
transcript:OQU90585	0	1	0	0	0	0	1	0
transcript:EER90463	35	39	24	35	20	5	27	14
transcript:OQU90586	10.124	5.269	2.53	4.072	10.227	8.684	2.809	5.304
transcript:EER93055	7.876	64.731	14.47	8.928	23.773	18.316	17.191	41.696
transcript:KXG37073	0	1	0	0	1	1	0	0
transcript:EER90465	219	346	213	236	309	150.011	169	246
transcript:EER90466	2254	2734.35	1014.546	1688.914	838	1625	1980	738
transcript:KXG37075	437	610	221	427.494	120	210	282	71
transcript:OQU90588	0	0	0	0	0	0	0	0
transcript:EER90467	41	46	31	19	10	29	42	14
transcript:OQU90587	0	0	0	0	0	0	0	0
transcript:EER93056	0	0	0	0	0	0	0	0
transcript:EER90468	117.337	161	102	117.166	109.333	0	137.333	81.667
transcript:OQU90589	117.337	161	102	117.166	109.333	0	137.333	81.667
transcript:OQU90590	117.337	161	102	117.166	109.333	277	137.333	81.667
transcript:EER90469	0	0	0	0	0	0	1	0
transcript:EER90470	5	7	3	6	6	0	4	5
transcript:KXG37080	40	47	38	36	23	35.931	49	23
transcript:KXG37081	13	16	2	10	4	2	7	1
transcript:EER90473	392.113	520	268	344	209	328.908	395	164
transcript:EER93057	243	274	154	195	128	170	247	134
transcript:OQU90591	17	15	17	30	7	2	20	25
transcript:OQU90592	0	0	0	0	0	0	0	0
transcript:EER90476	1458.734	1324	1068.599	1217.236	1165	1156.003	1444.006	1045
transcript:EER93059	1	1	1	0	2	1	0	5
transcript:OQU90593	0	0	0	0	0	0	0	0
transcript:EER90477	19	14	5	10	1	13	13.051	2
transcript:EER90478	84	88	65	74	67	52	90	50
transcript:EER93060	21	4	19	0	45	8	42	23
transcript:EER90479	0	0	0	0	0	0	0	0
transcript:KXG37083	0	0	0	0	1.135	0	0	1.168
transcript:EER90480	0	1	0	0	1.865	1	1	3.832
transcript:EER93061	36	31	27	28.051	133	11	6	164
transcript:KXG37084	0	0	0	18.579	0	0	0	0
transcript:KXG37085	1033.368	725	276.023	820.06	45	467	667.906	41
transcript:KXG37086	2.917	0	2.977	2.939	0	0	2.954	0
transcript:EER90481	20	15	6	7	10	6	6	9
transcript:OQU90594	0	0	0	0	0	0	0	0
transcript:OQU90595	0	0	0	0	0	0	0	0
transcript:OQU90596	0	0	0	0	0	0	0	0
transcript:OQU90597	0	0	0	0	0	0	0	0
transcript:EER93063	150	166	65	115	69	48	206	15
transcript:EER93064	1013.957	950	845.022	891	906	647.888	918.973	967
transcript:EER90483	246	170	118	144	402	119	108	689
transcript:KXG37088	195	213	125.147	182	119	142	136	107
transcript:ENSRNA049997130-T1	0	0	0	0	0	0	0	0
transcript:EER90485	649.367	595	348	536	316	471.998	691.958	230
transcript:EER93066	73	115	44	56	29	54	150.073	6
transcript:KXG37089	7	2	5.004	3	12.513	2	2	17.997
transcript:KXG37090	44	33	28	39	50.487	19	19	19.003
transcript:EER93069	0	0	0	0	0	0	0	0
transcript:EER93070	320.009	444	293	340	303	239	376.107	280
transcript:EER93071	17	15	18	14	24	8	15	4
transcript:KXG37091	0	0	0	0	0	0	0	0
transcript:KXG37092	0	0	0	0	0	0	0	0
transcript:EER90487	2750.124	2249.548	3079.857	2617.289	2704.013	1829.109	1725.186	2061
transcript:OQU90598	0	0	0	0	0	0	837.906	0
transcript:KXG37095	148	192	98	117	115	105	170.219	94
transcript:EER90488	1	4	0	0	0	1	0	3
transcript:EER90489	628.943	676.198	497.222	688.429	562.41	410	576	446.017
transcript:OQU90599	0	3.802	3.763	1.582	1.59	0	0	0
transcript:KXG37096	200	215.268	183	187	178	145	150.758	205
transcript:KXG37097	0	5.732	0	0	0	0	0	0
transcript:EER93074	0	9.1	9.279	0	0	0	9.108	0
transcript:OQU90600	710	1019.9	605.721	731	605.115	553.541	693.036	637
transcript:KXG37098	4	4	2	3	0	1	4	0
transcript:EER93075	366	470	312.99	328	213	321	392	150
transcript:EER90492	152	152	113	147	74	133	207.003	78
transcript:EER90493	2723.669	1935	1583.654	2142.282	1276	1892.127	2667.475	1363
transcript:KXG37099	45	33	49	26	41	22	42	17
transcript:EER93077	217	272.072	154.998	179.941	120	235.976	314.809	96
transcript:EER90494	131	147	104.001	116	90	102.235	171	70
transcript:KXG37100	37	45	26.254	53	31	34	47	9
transcript:EER93078	409.511	531	238	309.864	182	340	432	174
transcript:KXG37101	234	183	204	156	255	183	280.914	123
transcript:EER90497	15	18	6	19	10	9	0	10
transcript:OQU90601	0	0	0	0	0	0	27	0
transcript:OQU90602	0	0	1.09	0	11.398	1	4	6.7
transcript:EER90496	2	2	1.91	1	9.602	0	0	12.3
transcript:EER90498	246	332	150	240	145	156	285	110
transcript:EER93080	4	4	0	6	0	2	2	3
transcript:OQU90603	38.121	33.289	6.454	37.248	16.068	12.937	46.896	11.842
transcript:EER93081	62.879	122.711	51.546	71.987	30.932	46.063	68.104	31.158
transcript:EER90499	334	414	203	288	152	252	395	101
transcript:KXG37102	54	117	25	51	7	127	49	23
transcript:EER90500	0	1.386	0	1.451	0	0	0	0
transcript:KXG37103	0	0	0	0	3	0	0	0
transcript:OQU90605	0	0	0	0	0	0	2	2
transcript:OQU90604	0	0	0	0	0	0	0	0
transcript:KXG37104	79	109	50	107.013	26	50	47	25
transcript:KXG37105	4.481	3.831	0	0	0	4.194	17.579	3.241
transcript:EER93083	681.52	922.169	559	730	509	390.806	558.518	396.759
transcript:KXG37106	18	16	19	19	15	15	17	8
transcript:EER90503	101	115	110	96	283	59	196	217
transcript:EER90502	616.029	681	297	534	105	617	693	185
transcript:EER90505	0	2	0	2	7	2	1	4
transcript:KXG37109	1210	1391	905.088	1160.039	821	622	1110	564
transcript:KXG37110	20	23	30	15	46	15	30	33
transcript:KXG37111	9	12	4	4	2	12	13	6
transcript:EER93086	348.243	422	172	323.127	36	211.084	433	12
transcript:OQU90606	65	92	37.643	62	26	36	58.201	17
transcript:OQU90607	0	0	7.403	0	0	0	2.799	0
transcript:KXG37112	370	410	253	309	222	271	311.813	199
transcript:EER93088	565	846	407	531	399	399.904	644.141	270
transcript:EER93089	0	0	0	0	0	0	0	0
transcript:EER93090	857.055	779	739.74	670.005	663	720	1083	505.93
transcript:EER90506	993.661	928	805.046	757.17	874.006	790.55	1087.155	805.222
transcript:EER90507	148	217	91	157	73	103	212	49
transcript:EER93091	165	248	97	188.674	66	126	206.136	49
transcript:EER90508	826	930	574.853	648.94	424	867.975	1328.039	410
transcript:KXG37113	0	0	0	0	0	0	0	0
transcript:EER93092	1611	1834	1310.988	1518.002	1003	1385.002	2172.142	879
transcript:EER90510	54	89	48	56	24	29	58	16
transcript:OQU90608	3.825	2.475	23.812	9.242	11.925	13.291	9.427	6.348
transcript:EER90511	43.175	72.525	37.188	30.758	29.075	23.709	27.573	22.652
transcript:KXG37115	220	259	79	284.223	28.117	176	235	17
transcript:KXG37116	0	0	0	0	0	0	0	0
transcript:EER93093	610.026	820.048	497	526.62	241.883	349	413.626	235
transcript:EER90512	26	31	19	18	16	16	36	5
transcript:ENSRNA049997137-T1	0	1	3	2	0	0	2	1
transcript:ENSRNA049469069-T1	0	0	0	0	0	0	0	0
transcript:EER93094	8	2	16	13	46	0	0	37
transcript:EER90514	154.721	109.197	140.18	130.24	91.717	117.8	230.658	73.669
transcript:OQU90609	44.576	33.417	71.82	58.514	31.088	38.254	81.342	27.331
transcript:OQU90610	10.702	4.386	0	6.246	10.196	5.934	0	0
transcript:EER93095	34	31	482	47	496	104	149	134
transcript:EER93097	5	0	18	4	32	4	15	30
transcript:EER90516	17	8	274	20	318	58	92	203
transcript:KXG37119	49.388	48.669	170.014	111.795	145.663	132.897	106.348	43.779
transcript:KXG37118	13787.469	19916.331	3467.078	8326.276	2693.337	15850.822	8311.635	1242.429
transcript:KXG37121	903.468	1980.083	903.641	624.8	817.404	1218.354	981.867	315.196
transcript:KXG37120	6.532	41.917	42.701	39.236	62.596	27.028	51.096	26.804
transcript:EER93098	133	311	111	146	100	93	57	43
transcript:OQU90611	111.177	89.441	97.332	68.493	265.057	56.676	54.311	244.034
transcript:KXG37122	1736.833	1024.559	1829.667	1291.507	2486.943	1002.232	1686.874	1690.966
transcript:OQU90613	2.809	2.773	1.317	2.78	5.927	1.273	7.312	1.318
transcript:EER90517	522.229	540.23	295.879	472.22	355.073	328.727	468.692	273.687
transcript:KXG37123	767.192	510.249	518.121	595.088	447.605	434.346	610.957	279.997
transcript:OQU90612	0	0	8.162	6.546	0	5.122	13.04	0
transcript:KXG37124	215.86	199.751	191.213	236.365	186.395	160.532	192.003	113.003
transcript:EER90518	187.996	226	84	163	75	125	130	56.006
transcript:EER93100	131	126	83	122	81	97	171	54
transcript:EER93101	229	310	135	199	122	150	179.227	91
transcript:KXG37125	2.023	8.939	1.006	6.804	7.196	4.82	7.089	5.883
transcript:EER93104	384	461.188	268	329.005	242	323	467.737	192
transcript:EER90519	57	60	46	53	24	27	62	19
transcript:ENSRNA049468963-T1	0	0	2	0	0	0	1	0
transcript:OQU90614	0	0	0	0	0	0	0	0
transcript:EER93103	14.748	5.107	0	32.5	22.468	0	14.114	17
transcript:OQU90615	57.252	72.893	42	38.5	29.532	24	42.886	0
transcript:OQU90618	0	0	0	0	5.797	2.937	4.558	0
transcript:OQU90620	0	0	0	0	5.797	2.937	4.558	0
transcript:OQU90617	0	0	0	0	0	0	0	0
transcript:OQU90616	0	14.406	15.646	9.616	0	2.552	14.297	9.642
transcript:OQU90619	0	0	0	0	0	0	0	0
transcript:OQU90621	62	32.594	13.354	35.384	17.407	18.574	36.587	17.358
transcript:EER90521	0	0	0	0	0	0	0	0
transcript:EER93105	10	11	43.959	10.809	59.264	8.628	12	98.783
transcript:OQU90622	0	0	0	0	10.491	2.372	0	4.849
transcript:OQU90623	0	0	2.041	2.191	2.245	0	0	2.368
transcript:OQU90624	389.494	356.931	366.62	433.942	417.357	247.157	423.257	216.604
transcript:KXG37127	300.506	192.069	227.378	203.091	298.643	200.661	267.928	224.396
transcript:KXG37131	331.171	0	342.587	390.357	324.082	0	405.309	389.212
transcript:KXG37128	0	313.339	0	0	163.382	246.01	0	0
transcript:KXG37130	378.829	312.661	337.579	342.576	485.536	255.99	372.691	326.767
transcript:OQU90627	3.097	6.263	2.44	29.793	0	3.774	0	0
transcript:OQU90626	18.362	6.101	0	0	12.679	3.846	5.958	15.737
transcript:KXG37138	356.916	196.55	124.239	182.03	127.968	75.47	205.889	89.958
transcript:KXG37141	0	196.55	124.239	182.03	127.968	75.47	205.889	89.958
transcript:OQU90630	0	0	0	0	0	0	0	0
transcript:KXG37139	128.253	110.987	88.375	107.698	84.461	79.807	98.099	54.195
transcript:OQU90629	128.253	110.987	88.375	107.698	84.461	79.807	98.099	54.195
transcript:OQU90631	128.253	110.987	88.375	107.698	84.461	79.807	98.099	54.195
transcript:OQU90625	0	35.283	0	0	0	0	0	0
transcript:OQU90628	0	35.283	0	0	0	0	0	0
transcript:KXG37144	0	0	0	0	0	0	0	0
transcript:EER90523	70.984	129.79	73.155	42.012	41.32	91.277	139.314	92.323
transcript:OQU90632	160.017	128.21	89.845	161.016	105.68	92.723	83.689	61.846
transcript:KXG37145	0	0	0	0	0	0	0	0
transcript:EER90524	5	1	2	5	3.302	1	6	2
transcript:EER90525	1074.342	1209	768.243	965.995	718	840.988	1216.325	582
transcript:KXG37146	267.756	207.101	221.808	290.358	329.982	171.97	211	311.004
transcript:OQU90633	7.244	4.899	2.192	14.918	2.018	0	0	1.996
transcript:EER90527	9	9	9	6	10	2	8	13
transcript:KXG37149	67.088	60.63	108.264	180.243	120.434	37.053	80.843	268.625
transcript:KXG37148	803.117	366.085	1991.974	1444.485	2365.997	754.506	787.728	4045.156
transcript:OQU90634	17.787	42.285	234.083	92.273	159.569	69.441	98.429	216.567
transcript:EER90528	135.054	187	81	155	36	112	202.273	35
transcript:OQU90635	15	15	27	13	77	6	20	47
transcript:EER90530	1438.006	1401	980.894	1193.422	803	1288.305	1764.412	728
transcript:KXG37151	445.389	289.297	682.771	333.458	715.218	389.941	574.487	533.012
transcript:OQU90636	6.233	0	48.08	6.129	20.464	16.235	44.145	79.988
transcript:OQU90637	43.378	13.703	0	37.431	37.318	38.823	0	0
transcript:EER93108	0	1	4	1	6	1	0	10
transcript:EER90532	1	0	0	1	2	0	0	5
transcript:EER93109	867	654	639	720	458	617	812	408
transcript:EER90533	476.591	345.38	472.776	487.76	397.615	319.308	481.924	363.714
transcript:EER93111	13.409	42.62	30.224	25.657	60.385	29.692	38.855	22.286
transcript:OQU90638	0	0	3.496	4	0	1	1	1
transcript:OQU90639	16.575	23.883	5.504	11.97	4.55	13.012	10.023	1
transcript:EER93110	306.02	304.489	96.528	159.276	55.427	232.479	316.056	45.823
transcript:OQU90640	3.425	1.117	0	2.03	1.45	0.988	4.977	0
transcript:OQU90641	0	0	0	0	0	0	0	0
transcript:EER90535	267.957	288.572	270.477	478.525	194.378	196.701	284.795	162.294
transcript:EER90536	1107.478	1355.526	748.57	1049.511	748.066	846.285	1483.313	654.359
transcript:EER90537	757.522	1019.474	569.43	684.091	573.934	637.706	1125.123	463.641
transcript:OQU90642	147.134	198.251	106.752	121.977	154.499	84.171	119.282	64.573
transcript:KXG37153	47.216	53.193	27.812	42.006	25.625	27.207	0	19.473
transcript:KXG37154	47.216	53.193	27.812	42.006	25.625	27.207	135.718	19.473
transcript:OQU90643	47.216	53.193	27.812	42.006	25.625	27.207	0	19.473
transcript:OQU90644	47.216	53.193	27.812	42.006	25.625	27.207	0	19.473
transcript:EER93114	156.413	235.006	255.399	204.461	188.279	156.016	273.483	198.449
transcript:KXG37155	413.587	378.994	344.522	356.539	352.721	329.62	225.132	308.551
transcript:EER93113	0	3	0	0	3	0	1	1
transcript:KXG37157	208.526	220.112	236.625	209.594	230.802	121.525	216.482	132.29
transcript:KXG37156	802.839	680.31	701.796	694.981	714.959	658.931	954.339	526.785
transcript:KXG37158	112.594	254.587	200.474	144.626	137.568	101.852	122.457	83.617
transcript:OQU90645	342.386	336.991	280.211	376.8	295.671	334.607	393.912	207.422
transcript:EER93115	13	14	9	5.855	3	11	23.09	2
transcript:KXG37162	329.228	298.215	143.423	192.694	100.961	228.3	198.904	99.784
transcript:KXG37160	217.581	71.432	0	88.069	0	208.292	67.302	0
transcript:KXG37161	3196.171	1447.352	2637.87	1337.237	3082.039	3504.713	3547.218	3002.119
transcript:EER90539	856.928	1023.942	631	881.991	589.308	670	748.725	444
transcript:EER93116	148	126	94	136	54	121	163	33
transcript:EER90540	547	324	314	321.999	144	285	447.362	86
transcript:KXG37163	2	1	1	5	2	0	1	1
transcript:ENSRNA049444170-T1	0	0	0	0	0	0	0	0
transcript:OQU90646	56.995	11.37	0	9.353	0	0	58.598	0
transcript:KXG37166	0	86.947	55.955	57.886	63.447	48.2	0	45.81
transcript:OQU90648	0	0	0	0	0	0	16.501	0
transcript:KXG37167	84.216	63.908	59.597	55.189	35.236	60.624	66.591	52.011
transcript:OQU90647	45.366	42.653	31.905	27.949	29.295	44.685	50.278	5.501
transcript:KXG37169	38.388	44.765	26.904	39.172	23.467	39.019	42.601	15.368
transcript:KXG37170	36.078	19.357	21.638	12.456	26.09	14.133	22.666	11.042
transcript:KXG37168	3.568	0	0	0	2.477	0	0	0
transcript:EER90542	448.046	423.423	345	426	322	354.895	486	151.155
transcript:OQU90649	0	48.577	0	0	0	39.342	0	53.845
transcript:OQU90650	178.977	226.17	143.842	155.686	152.775	144.57	190.328	100.9
transcript:KXG37171	48.023	63.83	50.158	55.314	35.225	37.43	48.672	22.1
transcript:EER93118	306	349	222	298	196	233	239	138
transcript:EER90543	84.998	73	24	73	7	56	123	5
transcript:EER90544	930.447	990.347	681.208	828.232	433.594	619.133	867.96	390.009
transcript:EER90545	246.553	352.653	175.695	243.768	180.418	201.867	296.891	142.991
transcript:EER90546	35	36	139.967	68.477	335.951	30	56	173.262
transcript:OQU90651	0	0	0	0	0	0	0	0
transcript:EER90548	2	0	0	1	1	0	0	0
transcript:EER93119	335	337	217	249	213	255	447	250
transcript:OQU90652	0	0	0	0	0	0	0	0
transcript:ENSRNA049445322-T1	0	0	0	0	0	0	0	0
transcript:OQU90653	0	0	0	13.523	5.049	0	0	1.738
transcript:OQU90654	0	0	0	0	0	0	0	0
transcript:ENSRNA049444201-T1	0	0	0	0	0	0	0	0
transcript:EER90549	748	837	709.602	761.999	544.998	714.577	1161.695	492
transcript:EER90550	3778.618	4467	2748.952	3439.682	2563	3256	5393.379	2318.857
transcript:KXG37173	0	0	0	0	0	0	0	0
transcript:EER90552	0	1	0	0	0	0	0	0
transcript:ENSRNA049444213-T1	0	0	0	0	0	0	0	0
transcript:OQU90655	47	35	28	26	28	31	34	22
transcript:EER93123	128	139	52	104	69	36	54	23
transcript:EER90554	611	313	761.136	413.048	872	375	647	633.772
transcript:OQU90656	297	74	509	231	292	205	538	225
transcript:OQU90657	15	13	9	0	14	4	5	13
transcript:EER93126	50	20	183	87	160	26	64	138
transcript:EER90555	318.963	290	281	285.897	243	266	365.729	188
transcript:OQU90658	0	0	0	0	0	0	8.271	0
transcript:EER90557	934	492	1259.914	821	1199	657.847	1369.888	1002
transcript:OQU90659	268.582	204.554	265.667	263.838	257.269	249.239	302.927	224.526
transcript:EER93127	308.418	361.446	205.333	287.162	176.731	248.761	346.481	188.474
transcript:EER90558	0	0	79.046	0	15.463	0	15.54	54.498
transcript:KXG37176	402.991	453	320.954	414.972	258.537	456.217	428.46	226.502
transcript:KXG37177	15	22	29	19	88	19	25	26
transcript:OQU90660	0	1	2	1	1	2	3	0
transcript:OQU90662	939.002	587	1026.997	840.996	1241.996	300	693.017	539.997
transcript:OQU90661	11.668	19.579	7.456	9.643	5.454	3.567	7.62	5.893
transcript:ENSRNA049444222-T1	0	0	0	0	0	0	0	0
transcript:EER93131	390.364	543.421	146.546	413.575	83.55	265.433	186.384	67.11
transcript:EER90561	0	0	0	0	0	0	0	0
transcript:OQU90663	2	5	1	5	3	5	1	2
transcript:KXG37178	0	0	0	0	0	0	0	0
transcript:OQU90664	0	0	7	2	2	0	3	3
transcript:EER93133	480.516	540.335	397	580.754	294.198	502.668	571	306.81
transcript:OQU90665	60.484	23.665	0	12.353	3.802	0	0	6.19
transcript:OQU90666	0	0	0	0	0	0	0	0
transcript:KXG37182	0	0	0	0	0	0	0	0
transcript:KXG37183	1065.808	999.19	656.591	926.401	713.268	832.807	1192.762	433.523
transcript:KXG37185	880.915	1052.588	630.708	855.669	661.053	843.663	1261.137	547.407
