feature_id	SRR14935707	SRR14935708	SRR14935709	SRR14935710	SRR14935703	SRR14935704	SRR14935705	SRR14935706
transcript:EER90453	0	0	0	0	0	0	0	0
transcript:EER93047	28.228113	39.643427	28.578709	32.638887	27.683054	38.875715	32.049489	16.181465
transcript:OQU90570	0	0	0	0	0	0	0	0
transcript:OQU90572	0	0	0	0	0	0	0	0
transcript:OQU90571	0.256094	0	0.174951	2.432661	1.319302	1.400392	0	0.339631
transcript:KXG37057	0.270657	0.343308	0.39575	6.658009	0.408458	0	0	0
transcript:KXG37058	0	0	0	0	0.088722	0	0	0
transcript:KXG37059	4.674334	3.150582	14.33349	6.520833	30.384691	5.654208	2.421189	13.107311
transcript:OQU90573	2.472378	5.199749	6.174044	3.683731	20.278199	4.04586	1.29689	8.155867
transcript:OQU90574	6.538522	12.59393	6.911048	25.06848	3.669026	17.64492	13.907228	0
transcript:EER90454	0	0.02955	0.026452	0	0	0.055232	0.029904	0
transcript:OQU90575	58.03063	69.264926	49.465246	92.013549	50.769183	82.926204	72.734154	25.04802
transcript:OQU90577	0	0.143605	0	0	0	0.943045	0	0
transcript:OQU90578	0	0	0	0	0	0	0	0
transcript:KXG37061	0	0	1.590492	2.089487	0	0	0	0
transcript:OQU90576	0.606057	1.104078	0	0.562995	0	0.961999	0	0.31454
transcript:EER93049	53.23815	82.091943	44.128143	62.359421	30.63118	84.687427	59.949016	20.386383
transcript:EER90455	0	0.053764	0	0	0	0	0	0
transcript:KXG37063	0	0	0	0	0	0	0	0
transcript:OQU90579	0	0	0	0	0	0	0	0
transcript:KXG37064	0	0	0	0	0	0	0	0
transcript:EER93051	1.655767	1.606976	1.583626	1.164643	2.336622	2.215088	1.965797	0.964506
transcript:EER90457	5.614183	7.177526	2.964017	6.952508	2.848726	6.172844	6.321435	2.608197
transcript:OQU90580	0	0.1197	0	0.147255	0	1.110632	0.310779	0
transcript:OQU90581	37.342084	50.493561	35.528538	34.136323	23.10857	61.614241	43.757895	11.806291
transcript:KXG37068	0.682978	1.604822	0.277166	1.078158	0.530609	0.832343	0.484825	0
transcript:OQU90582	0	0	0	0	0	0	0	0
transcript:EER90458	0	0	0	0.039775	0	0	0	0
transcript:KXG37070	16.802823	22.185694	18.613995	19.152183	19.449009	24.214848	18.426061	16.602245
transcript:EER93053	36.523209	40.428691	43.17963	46.050399	49.026207	49.096925	36.66115	32.368568
transcript:OQU90584	11.032858	15.341375	10.138745	17.308934	13.924183	12.48713	12.282964	7.314668
transcript:OQU90583	5.432224	6.504151	4.078079	5.032912	8.155914	5.849901	7.168675	1.149019
transcript:EER90459	0	0	0	0	0	0	0	0
transcript:EER90460	0.062203	0	0.089675	0.085772	0	0.115936	0	0
transcript:EER90461	0	0.134592	0	0	0.077295	0.097047	0.11543	0
transcript:EER90462	0.335973	0.224423	0.16701	0.232026	1.27093	0.532164	0.066655	0.229524
transcript:KXG37072	3.581446	3.18814	0.818658	5.024624	2.127982	2.702241	2.586199	1.87199
transcript:KXG37071	9.193942	16.006044	11.536186	11.030625	7.210621	13.251208	9.923234	4.363516
transcript:OQU90585	0	0.072843	0	0	0	0	0.066156	0
transcript:EER90463	1.755947	2.460228	1.745976	2.377422	1.519212	0.454428	1.540469	0.964554
transcript:OQU90586	0.340668	0.225723	0.133128	0.189963	0.555394	0.525372	0.110321	0.239312
transcript:EER93055	0.2925	3.037043	0.840582	0.457579	1.429355	1.214678	0.740938	2.081773
transcript:KXG37073	0	0.171119	0	0	0.203989	0.24224	0	0
transcript:EER90465	6.223827	12.569713	9.217101	9.114639	13.556626	7.727505	5.659709	9.046956
transcript:EER90466	99.5343	155.493542	66.972962	102.46549	56.502931	133.952054	103.119561	40.152419
transcript:KXG37075	28.802127	51.178852	22.51787	38.917793	12.605356	25.202163	21.947009	6.040248
transcript:OQU90588	0	0	0	0	0	0	0	0
transcript:EER90467	1.386712	2.04121	1.593992	0.896394	0.528065	1.836865	1.686134	0.599435
transcript:OQU90587	0	0	0	0	0	0	0	0
transcript:EER93056	0	0	0	0	0	0	0	0
transcript:EER90468	5.01785	8.930659	6.266734	6.872614	6.994904	0	6.864184	4.466458
transcript:OQU90589	5.01785	8.930659	6.266734	6.872614	6.994904	0	6.864184	4.466458
transcript:OQU90590	5.01785	8.930659	6.266734	6.872614	6.994904	22.300854	6.864184	4.466458
transcript:EER90469	0	0	0	0	0	0	0.05431	0
transcript:EER90470	0.967931	1.843945	0.679439	1.572679	1.534276	0	0.842978	1.694527
transcript:KXG37080	2.448522	3.733685	3.395838	3.040004	2.153432	4.099049	3.472995	1.929075
transcript:KXG37081	0.83224	1.326638	0.179224	0.875406	0.37973	0.239966	0.511026	0.089027
transcript:EER90473	21.242254	36.797437	21.229806	25.764737	17.044714	33.763589	25.369233	10.709435
transcript:EER93057	14.904483	22.013586	14.261296	16.66942	11.946291	19.576626	18.106107	10.197724
transcript:OQU90591	0.696764	0.795888	1.069724	1.689338	0.449686	0.148986	0.96498	1.412488
transcript:OQU90592	0	0	0	0	0	0	0	0
transcript:EER90476	38.791286	47.504831	43.589593	45.798923	47.634639	59.445786	46.875975	34.632068
transcript:EER93059	0.067319	0.084866	0.102535	0	0.213828	0.120575	0	0.452253
transcript:OQU90593	0	0	0	0	0	0	0	0
transcript:EER90477	0.587353	0.567227	0.228724	0.429004	0.047328	0.762252	0.476287	0.077942
transcript:EER90478	2.913036	4.073962	3.472747	3.583253	3.573109	3.403346	3.750388	2.283977
transcript:EER93060	2.781175	0.677743	3.806967	0	9.504298	1.93789	6.376696	4.478347
transcript:EER90479	0	0	0	0	0	0	0	0
transcript:KXG37083	0	0	0	0	0.124966	0	0	0.113122
transcript:EER90480	0	0.322554	0	0	0.653613	0.467161	0.283961	1.360841
transcript:EER93061	2.012409	2.253675	2.289959	2.172887	11.623834	1.147369	0.396367	11.606359
transcript:KXG37084	0	0	0	0.716144	0	0	0	0
transcript:KXG37085	29.49031	26.728273	12.17071	32.560266	2.021335	24.687516	22.595475	1.476354
transcript:KXG37086	0.065255	0	0.103472	0.091187	0	0	0.078354	0
transcript:EER90481	1.091795	1.073649	0.480182	0.52919	0.833632	0.615211	0.378706	0.711226
transcript:OQU90594	0	0	0	0	0	0	0	0
transcript:OQU90595	0	0	0	0	0	0	0	0
transcript:OQU90596	0	0	0	0	0	0	0	0
transcript:OQU90597	0	0	0	0	0	0	0	0
transcript:EER93063	18.845015	27.141282	12.040898	20.045663	13.480032	11.283387	29.753818	2.669071
transcript:EER93064	43.170325	52.468327	53.044983	52.194132	58.641197	51.417584	46.047309	50.888645
transcript:EER90483	23.192982	20.139724	17.150254	18.6535	59.818537	20.137769	11.862892	83.186189
transcript:KXG37088	7.7997	11.02812	7.466374	10.031187	7.238142	10.684222	6.453272	4.990673
transcript:ENSRNA049997130-T1	0	0	0	0	0	0	0	0
transcript:EER90485	116.603019	140.821908	96.774029	135.47326	88.453753	159.058263	151.193439	51.679242
transcript:EER93066	3.957832	8.157503	3.506908	4.242709	2.410675	5.537798	9.533168	0.449557
transcript:KXG37089	0.600083	0.227878	0.611409	0.348067	1.59914	0.322133	0.196317	2.405462
transcript:KXG37090	4.515152	4.397392	3.852703	5.414354	7.522842	3.678963	2.174339	2.949437
transcript:EER93069	0	0	0	0	0	0	0	0
transcript:EER93070	14.475037	25.925268	20.403483	21.011774	21.511337	19.795162	19.92251	16.845857
transcript:EER93071	1.386146	1.601412	2.069194	1.57026	2.910284	1.236955	1.407093	0.451071
transcript:KXG37091	0	0	0	0	0	0	0	0
transcript:KXG37092	0	0	0	0	0	0	0	0
transcript:EER90487	54.528986	59.534081	94.711132	71.595431	82.395861	67.711575	41.258696	53.523012
transcript:OQU90598	0	0	0	0	0	0	20.041293	0
transcript:KXG37095	6.630031	11.38852	6.52792	7.306612	7.806264	8.939467	9.020038	5.474152
transcript:EER90488	0.157604	0.797679	0	0	0	0.284911	0	0.768869
transcript:EER90489	46.280296	67.071746	55.04795	71.434315	62.764698	58.27671	51.341732	42.2482
transcript:OQU90599	0	0.239964	0.270003	0.102069	0.110653	0	0	0
transcript:KXG37096	7.317532	10.475874	10.422278	9.4125	10.187446	10.025252	6.60766	9.509378
transcript:KXG37097	0	0.288311	0	0	0	0	0	0
transcript:EER93074	0	0.272834	0.327029	0	0	0	0.248736	0
transcript:OQU90600	17.558003	32.547204	22.732453	24.483485	22.898643	24.973507	20.161916	20.709336
transcript:KXG37098	2.264998	3.140822	1.970374	2.469387	0	1.134194	2.79348	0
transcript:EER93075	26.549422	44.346513	33.912037	32.953075	23.736052	43.844398	33.582764	13.704277
transcript:EER90492	8.907516	11.265543	9.804203	11.645922	6.616739	14.070537	14.034948	6.083125
transcript:EER90493	180.730494	168.319259	163.252365	198.335167	133.431224	236.934622	211.3288	116.284244
transcript:KXG37099	2.709606	2.610966	4.491703	2.164334	3.858576	2.452237	2.992879	1.407016
transcript:EER93077	11.773535	19.042256	12.793503	13.517735	10.155407	23.759189	20.156564	6.494064
transcript:EER90494	10.16683	14.666372	12.458595	12.407875	11.043594	14.422224	15.571507	7.284022
transcript:KXG37100	2.633605	4.165436	2.856703	5.248677	3.454314	4.474352	3.978267	0.830483
transcript:EER93078	35.44902	60.398226	30.560621	36.989747	23.854966	55.353538	44.628868	18.923554
transcript:KXG37101	6.910105	7.048413	9.06514	6.380464	11.566393	10.148565	9.857452	4.580417
transcript:EER90497	1.1029	1.738637	0.645803	1.94847	1.105202	1.262427	0	0.909173
transcript:OQU90601	0	0	0	0	0	0	2.203605	0
transcript:OQU90602	0	0	0.024387	0	0.259201	0.026915	0.069396	0.128938
transcript:EER90496	0.147423	0.185832	0.196103	0.100703	1.047273	0	0	1.298702
transcript:EER90498	10.748758	19.258432	9.992392	14.765031	9.88642	13.094335	15.023068	5.786124
transcript:EER93080	0.148472	0.191609	0	0.305798	0	0.135542	0.084634	0.16398
transcript:OQU90603	4.834929	5.439577	1.242148	6.529932	3.176576	3.016757	7.055232	1.920058
transcript:EER93081	14.219882	36.10167	17.317211	22.545166	10.675675	19.485057	18.438906	8.613103
transcript:EER90499	50.261326	79.233427	46.456603	59.71846	35.404896	68.835159	70.141858	19.408846
transcript:KXG37102	5.363149	15.625196	3.67829	7.079499	1.05444	24.077473	5.782248	3.282411
transcript:EER90500	0	0.021185	0	0.023337	0	0	0	0
transcript:KXG37103	0	0	0	0	0.263191	0	0	0
transcript:OQU90605	0	0	0	0	0	0	0.142386	0.149182
transcript:OQU90604	0	0	0	0	0	0	0	0
transcript:KXG37104	5.357443	9.589916	5.075754	10.074861	2.722221	6.379555	3.711929	2.273393
transcript:KXG37105	0.625599	0.684442	0	0	0	1.073	2.879961	0.553022
transcript:EER93083	47.87724	82.731986	58.928035	69.864157	54.927346	50.193973	45.960268	33.987892
transcript:KXG37106	0.929689	1.112217	1.493321	1.361222	1.17426	1.46609	1.05937	0.573939
