feature_id	SRR33083344	SRR33083345	SRR33083338	SRR33083351	SRR33083339	SRR33083340	SRR33083352	SRR33083346	SRR33083347	SRR33083355	SRR33083354	SRR33083353	SRR17385284	SRR17385295	SRR17385296	SRR17385300	SRR17385302	SRR17385301
transcript:ENSRNA050013875-T1	4.402	7.882	4.821	0	3.797	2.086	2.298	5.742	0	2.169	6.863	0	0	9.932	10.606	2.263	1.187	2.166
transcript:ENSRNA050013847-T1	7.059	16.88	5.423	2.125	0	0	6.74	5.54	1.253	2.688	2.509	2.06	0	7.802	7.357	6.142	5.655	2.734
transcript:ENSRNA050013913-T1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSRNA050013874-T1	0	1.614	0	0	0	1.003	0	4.097	2.658	0	0	0	0	0	0	0	1.002	0
transcript:ENSRNA050013873-T1	3.546	1.606	0	1.006	0	0	0	0	0	0	0	0	0	2.004	0	2.408	0	1.036
transcript:ENSRNA050013836-T1	14.51	15.332	10.309	2.185	0	1.07	4.378	2.222	2.268	2.239	1.075	1.103	4.501	3.828	6.679	1.091	3.567	3.377
transcript:ENSRNA050013914-T1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSRNA050013853-T1	10.666	22.71	12.559	3.527	1.118	4.71	2.744	13.891	4.669	4.18	4.871	5.467	0	7.157	9.782	3.533	3.559	1.316
transcript:ENSRNA050013918-T1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSRNA050013860-T1	13.676	14.254	8.41	6.856	23.145	8.464	4.787	15.869	4.714	6.21	3.163	1.029	3.611	10.129	14.392	14.19	7.053	7.886
transcript:ENSRNA050013931-T1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
transcript:TraesCS1A02G000100.1	7.219	18.501	20.964	1.94	2.005	5.272	10.249	26.536	5.807	3.102	0	1.021	7.032	0	7.037	7.729	0	0
transcript:ENSRNA050013844-T1	10.61	19.107	11.931	2.067	3.26	4.077	2.128	12.138	1.005	4.085	7.297	3.056	2.112	4.236	6.919	8.714	3.16	6.644
transcript:ENSRNA050013908-T1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSRNA050013866-T1	9.12	17.874	9.086	0	0	2.002	3.021	5.713	0	2.044	2.004	2.431	2.107	2.009	6.314	7.091	3.005	3.026
transcript:ENSRNA050013923-T1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
