feature_id	SRR33083344	SRR33083345	SRR33083338	SRR33083351	SRR33083339	SRR33083340	SRR33083352	SRR33083346	SRR33083347	SRR33083355	SRR33083354	SRR33083353	SRR17385284	SRR17385295	SRR17385296	SRR17385300	SRR17385302	SRR17385301
transcript:ENSRNA050013875-T1	0.045348	0.090156	0.05566	0	0.046673	0.024253	0.02306	0.069909	0	0.02786	0.084977	0	0	0.107344	0.10055	0.022868	0.013021	0.024959
transcript:ENSRNA050013847-T1	0.04738	0.12592	0.040705	0.016208	0	0	0.044094	0.044564	0.009566	0.023168	0.020628	0.018607	0	0.056546	0.046686	0.041722	0.04192	0.021297
transcript:ENSRNA050013913-T1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSRNA050013874-T1	0	0.018557	0	0	0	0.011631	0	0.049737	0.030794	0	0	0	0	0	0	0	0.010979	0
transcript:ENSRNA050013873-T1	0.037182	0.018731	0	0.011793	0	0	0	0	0	0	0	0	0	0.021998	0	0.024721	0	0.012116
transcript:ENSRNA050013836-T1	0.095715	0.112446	0.076086	0.016371	0	0.008123	0.02809	0.017512	0.016969	0.018947	0.008669	0.009773	0.034132	0.027237	0.041605	0.007273	0.025936	0.025783
transcript:ENSRNA050013914-T1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSRNA050013853-T1	0.066087	0.156285	0.086755	0.02496	0.008435	0.033847	0.016544	0.103647	0.033067	0.033546	0.037173	0.046075	0	0.048263	0.057688	0.022365	0.024706	0.009632
transcript:ENSRNA050013918-T1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSRNA050013860-T1	0.088667	0.102849	0.060884	0.050758	0.18297	0.063658	0.030279	0.123905	0.034939	0.052019	0.025229	0.009056	0.027126	0.071301	0.088645	0.093701	0.050927	0.059961
transcript:ENSRNA050013931-T1	0	0	0	0	0	0	0	0	0	0	0	15.144767	0	0	0	0	0	0
transcript:TraesCS1A02G000100.1	0.10759	0.306213	0.35088	0.031059	0.034275	0.084508	0.147873	0.450081	0.0946	0.055195	0	0.019026	0.109138	0	0.091608	0.106729	0	0
transcript:ENSRNA050013844-T1	0.06913	0.138512	0.086904	0.015354	0.025868	0.030755	0.013523	0.09507	0.007474	0.034317	0.058404	0.026938	0.015909	0.02992	0.042777	0.057718	0.022873	0.050585
transcript:ENSRNA050013908-T1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSRNA050013866-T1	0.059717	0.129889	0.066398	0	0	0.015135	0.019257	0.044828	0	0.017295	0.016182	0.021564	0.016002	0.014267	0.039244	0.047261	0.021967	0.023265
transcript:ENSRNA050013923-T1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSRNA050013838-T1	111.387534	170.117678	141.113178	66.471429	57.837899	83.586173	71.099976	155.212515	88.707623	77.315017	44.184145	48.411515	56.644291	81.398015	93.838327	77.440149	52.914629	53.607672
transcript:ENSRNA050013832-T1	0.057578	0.118457	0.193812	0.029706	0	0.019635	0.017904	0.078768	0.009043	0	0.009768	0	0.053871	0	0.140698	0.069106	0.08383	0.021325
transcript:ENSRNA050013919-T1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript:TraesCS1A02G000200.1	0	0.053274	0.070561	0	0.014705	0.05353	0.021418	0.080569	0	0.013598	0.013104	0	0.012137	0.012032	0.055658	0.045353	0.012306	0.063444
transcript:ENSRNA050013837-T1	0.04943	0.113613	0.127894	0.014914	0.008092	0.024641	0	0.053925	0	0.008424	0	0.011718	0.017933	0.015653	0.078078	0.088907	0.02331	0.035696
transcript:ENSRNA050013901-T1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSRNA050013939-T1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSRNA050013876-T1	0.064762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSRNA050013870-T1	0.054831	0.031147	0.041735	0.007701	0	0.015566	0	0.041508	0.007761	0	0.008336	0.009112	0.023316	0.026037	0.0064	0.023301	0.007517	0.008117
transcript:ENSRNA050013897-T1	4.144674	4.575098	0	0	7.097168	0	5.968348	4.530261	0	0	0	15.571578	0	8.448997	0	7.837125	12.613253	0
transcript:TraesCS1A02G000300.1	0.764516	1.187343	1.288498	0.077993	0.080785	0.194892	0.328222	0.643363	0.115294	0.086317	0.276187	0.182018	0.102036	0.341016	0.162361	0.222239	0.110248	0.113762
transcript:ENSRNA050013872-T1	0.050295	0.102506	0.065776	0	0.022136	0.021678	0.029523	0.029821	0.013846	0	0.007536	0.024919	0.02203	0.039723	0.050813	0.043677	0.020395	0
transcript:ENSRNA050013903-T1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript:TraesCS1A02G000400.1	32.975401	46.650154	39.135091	13.124284	10.484888	15.73493	14.502461	72.214013	17.511696	9.862714	10.241624	10.887207	8.339924	17.102752	18.341726	16.496828	9.349133	13.43412
transcript:ENSRNA050013862-T1	0.044128	0.075763	0.059723	0.007118	0.022991	0.014517	0.018099	0.054292	0.008104	0.008056	0.022872	0	0.01341	0.026937	0.027851	0.069758	0.014045	0.065508
transcript:ENSRNA050013935-T1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSRNA050013851-T1	0.077751	0.115602	0.059321	0.007713	0	0.007718	0.020084	0.033541	0	0	0.008336	0	0.023639	0.018604	0.021843	0.048625	0.031068	0.024133
transcript:ENSRNA050013895-T1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSRNA050013869-T1	0.026833	0.058089	0.044887	0.007182	0.038447	0.014659	0.012358	0.044876	0.007386	0.00819	0.025581	0	0.009064	0.021033	0.047562	0.039312	0.007387	0.007481
transcript:ENSRNA050013909-T1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSRNA050013884-T1	0.08473	0.059546	0.022244	0.033259	0.011865	0.022529	0.010308	0.06273	0.01114	0.012895	0	0.01318	0	0	0.085369	0.020199	0.055014	0.024199
transcript:ENSRNA050013867-T1	0.09165	0.179748	0.104267	0.017155	0.046471	0.008162	0.02748	0.065297	0.033411	0.019441	0.026539	0	0.074394	0.124717	0.034814	0.079273	0.055899	0.016662
transcript:ENSRNA050013904-T1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.48968	0	0	0
transcript:ENSRNA050013865-T1	0.028966	0.040642	0.059574	0	0	0.007572	0	0.007872	0.007465	0.008448	0.016083	0.008854	0	0.026611	0.018741	0.013316	0.021851	0.026751
transcript:ENSRNA050013911-T1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript:TraesCS1A02G000500.1	0	0.392098	0	0	0	0	0	0	0	0	0	0	0.17123	0	0	0	0	0.167875
transcript:ENSRNA050013891-T1	0.347375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.327714	0
transcript:ENSRNA050013937-T1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSRNA050013834-T1	0.080316	0.028111	0.007747	0	0.024001	0	0.006667	0.024136	0	0.02534	0	0	0.030643	0.020749	0.015225	0	0.007334	0.030627
transcript:ENSRNA050013902-T1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSRNA050013892-T1	0.333841	0	1.146041	0	0	0	0	0	0	0	0	0	0	0.320687	0	0.297605	0	0
transcript:ENSRNA050013936-T1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSRNA050013840-T1	0.034341	0.035512	0.060501	0.018977	0.007874	0.007614	0	0.008181	0	0	0.008191	0	0	0.022991	0.006275	0.033546	0.015266	0.007715
transcript:ENSRNA050013932-T1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSRNA050013887-T1	0.023131	0	0.025043	0	0	0	0	0.02725	0	0.028966	0	0	0.026332	0	0.065549	0.143262	0.075362	0
transcript:TraesCS1A02G000600.1	0.364621	0.834637	0.826316	0	0.397293	0	0	0.398492	0	0	0	0.408108	0	0	0	0	0.320046	0.343044
transcript:ENSRNA050013855-T1	0.031586	0.050401	0	0.007316	0	0	0	0	0.007447	0	0	0.009614	0.033675	0.031815	0.007282	0.007092	0.02624	0
transcript:ENSRNA050013925-T1	0	0	0	0	0	0	0	0	0	0	0	0	0	8.447874	0	0	0	0
transcript:TraesCS1A02G000700.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSRNA050013886-T1	0	0.033613	0.087314	0.022675	0	0.045849	0.019119	0.047562	0.045359	0	0	0.026963	0	0	0.037633	0.040873	0	0
transcript:ENSRNA050013857-T1	0.026912	0.058738	0.025903	0	0.015775	0.007552	0.019232	0.040208	0.007396	0	0.007708	0	0	0.023834	0.025241	0.019859	0.007245	0.015498
transcript:ENSRNA050013915-T1	0	0	0	0	0	0	0	0	0	3.598756	0	0	0	0	0	0	0	0
transcript:TraesCS1A02G000800.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSRNA050013878-T1	0.005969	0.02203	0.003036	0	0	0	0.005413	0	0	0	0.003256	0.003549	0.003024	0	0	0.002635	0	0
transcript:ENSRNA050013864-T1	0.043166	0.069974	0.078023	0.008734	0	0.016927	0	0.017696	0	0.009256	0	0	0.042612	0.023917	0.05893	0.01493	0.016301	0.026885
transcript:ENSRNA050013921-T1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSRNA050013835-T1	0.088732	0.173142	0.155019	0.067405	0.073428	0.064202	0.057141	0.19777	0.052209	0.092225	0.117471	0.059751	0.081633	0.093161	0.117011	0.083076	0.057875	0.09379
transcript:ENSRNA050013927-T1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSRNA050013879-T1	0.005969	0.02203	0.003036	0	0	0	0.005413	0.020254	0	0	0.003256	0.003549	0.003024	0	0	0.002635	0	0
