sample_id	species	status	mapping_flag	num_processed	num_mapped	percent_mapped	library_types	salmon_version	index_seq_hash	index_name_hash	expected_format	compatible_fragment_ratio	elapsed_seconds
SRR33083344	triticum_aestivum	pass	pass	49055624	41118689	83.82054012807991	IU	1.11.4	2ea49de8dd8846be899adcd6c9493f86e5a1f4f5e3de7075839406ee6f899609	794d7b6006a8d2f5ad55799f19d60212261855d232131f42c41fe86757db109a	IU	1.0	659
SRR33083345	triticum_aestivum	pass	pass	43412252	36713638	84.56976155026466	IU	1.11.4	2ea49de8dd8846be899adcd6c9493f86e5a1f4f5e3de7075839406ee6f899609	794d7b6006a8d2f5ad55799f19d60212261855d232131f42c41fe86757db109a	IU	1.0	510
SRR33083338	triticum_aestivum	pass	pass	42733163	36125442	84.53725271869064	IU	1.11.4	2ea49de8dd8846be899adcd6c9493f86e5a1f4f5e3de7075839406ee6f899609	794d7b6006a8d2f5ad55799f19d60212261855d232131f42c41fe86757db109a	IU	1.0	654
SRR33083351	triticum_aestivum	pass	pass	45366670	38396426	84.6357601296282	IU	1.11.4	2ea49de8dd8846be899adcd6c9493f86e5a1f4f5e3de7075839406ee6f899609	794d7b6006a8d2f5ad55799f19d60212261855d232131f42c41fe86757db109a	IU	1.0	620
SRR33083339	triticum_aestivum	pass	pass	41927758	35493084	84.65294996217064	IU	1.11.4	2ea49de8dd8846be899adcd6c9493f86e5a1f4f5e3de7075839406ee6f899609	794d7b6006a8d2f5ad55799f19d60212261855d232131f42c41fe86757db109a	IU	1.0	415
SRR33083340	triticum_aestivum	pass	pass	45423715	38420938	84.5834340057831	IU	1.11.4	2ea49de8dd8846be899adcd6c9493f86e5a1f4f5e3de7075839406ee6f899609	794d7b6006a8d2f5ad55799f19d60212261855d232131f42c41fe86757db109a	IU	1.0	607
SRR33083352	triticum_aestivum	pass	pass	47652963	40573391	85.14347995527581	IU	1.11.4	2ea49de8dd8846be899adcd6c9493f86e5a1f4f5e3de7075839406ee6f899609	794d7b6006a8d2f5ad55799f19d60212261855d232131f42c41fe86757db109a	IU	1.0	597
SRR33083346	triticum_aestivum	pass	pass	42014164	35574215	84.67195729516361	IU	1.11.4	2ea49de8dd8846be899adcd6c9493f86e5a1f4f5e3de7075839406ee6f899609	794d7b6006a8d2f5ad55799f19d60212261855d232131f42c41fe86757db109a	IU	1.0	480
SRR33083347	triticum_aestivum	pass	pass	44954757	37808107	84.1025722817276	IU	1.11.4	2ea49de8dd8846be899adcd6c9493f86e5a1f4f5e3de7075839406ee6f899609	794d7b6006a8d2f5ad55799f19d60212261855d232131f42c41fe86757db109a	IU	1.0	456
SRR33083355	triticum_aestivum	pass	pass	43926311	36601696	83.32522164221803	IU	1.11.4	2ea49de8dd8846be899adcd6c9493f86e5a1f4f5e3de7075839406ee6f899609	794d7b6006a8d2f5ad55799f19d60212261855d232131f42c41fe86757db109a	IU	1.0	443
SRR33083354	triticum_aestivum	pass	pass	43068225	35549379	82.5420109605167	IU	1.11.4	2ea49de8dd8846be899adcd6c9493f86e5a1f4f5e3de7075839406ee6f899609	794d7b6006a8d2f5ad55799f19d60212261855d232131f42c41fe86757db109a	IU	1.0	525
SRR33083353	triticum_aestivum	pass	pass	41755075	34272865	82.08071713438426	IU	1.11.4	2ea49de8dd8846be899adcd6c9493f86e5a1f4f5e3de7075839406ee6f899609	794d7b6006a8d2f5ad55799f19d60212261855d232131f42c41fe86757db109a	IU	1.0	548
SRR26553585	glycine_max	pass	pass	25228436	22102776	87.61056769432714	IU	1.11.4	e38ad5315ba3ab181de6740efa6c4e6ccd077e65183ddd356df4922ce29611ba	bae147217c4246b3ff795951886be76b635d3a4d9dc8e3a8a16c15a2c65a6101	IU	1.0	244
SRR26553586	glycine_max	pass	pass	25117334	22176784	88.29274635596278	IU	1.11.4	e38ad5315ba3ab181de6740efa6c4e6ccd077e65183ddd356df4922ce29611ba	bae147217c4246b3ff795951886be76b635d3a4d9dc8e3a8a16c15a2c65a6101	IU	1.0	249
