transcript_id	gene_id
transcript:EER90453	SORBI_3001G000100
transcript:EER93047	SORBI_3001G000200
transcript:OQU90570	SORBI_3001G000400
transcript:OQU90572	SORBI_3001G000400
transcript:OQU90571	SORBI_3001G000400
transcript:KXG37057	SORBI_3001G000300
transcript:KXG37058	SORBI_3001G000400
transcript:KXG37059	SORBI_3001G000400
transcript:OQU90573	SORBI_3001G000400
transcript:OQU90574	SORBI_3001G000501
transcript:EER90454	SORBI_3001G000700
transcript:OQU90575	SORBI_3001G000700
transcript:OQU90577	SORBI_3001G000700
transcript:OQU90578	SORBI_3001G000700
transcript:KXG37061	SORBI_3001G000700
transcript:OQU90576	SORBI_3001G000700
transcript:EER93049	SORBI_3001G000800
transcript:EER90455	SORBI_3001G000900
transcript:KXG37063	SORBI_3001G001000
transcript:OQU90579	SORBI_3001G001066
transcript:KXG37064	SORBI_3001G001132
transcript:EER93051	SORBI_3001G001200
transcript:EER90457	SORBI_3001G001300
transcript:OQU90580	SORBI_3001G001400
transcript:OQU90581	SORBI_3001G001400
transcript:KXG37068	SORBI_3001G001700
transcript:OQU90582	SORBI_3001G001800
transcript:EER90458	SORBI_3001G001800
transcript:KXG37070	SORBI_3001G001900
transcript:EER93053	SORBI_3001G002000
transcript:OQU90584	SORBI_3001G002050
transcript:OQU90583	SORBI_3001G002100
transcript:EER90459	SORBI_3001G002200
transcript:EER90460	SORBI_3001G002300
transcript:EER90461	SORBI_3001G002400
transcript:EER90462	SORBI_3001G002500
transcript:KXG37072	SORBI_3001G002600
transcript:KXG37071	SORBI_3001G002600
transcript:OQU90585	SORBI_3001G002650
transcript:EER90463	SORBI_3001G002700
transcript:OQU90586	SORBI_3001G002800
transcript:EER93055	SORBI_3001G002800
transcript:KXG37073	SORBI_3001G002900
transcript:EER90465	SORBI_3001G003000
transcript:EER90466	SORBI_3001G003100
transcript:KXG37075	SORBI_3001G003200
transcript:OQU90588	SORBI_3001G003300
transcript:EER90467	SORBI_3001G003300
transcript:OQU90587	SORBI_3001G003400
transcript:EER93056	SORBI_3001G003400
transcript:EER90468	SORBI_3001G003500
transcript:OQU90589	SORBI_3001G003500
transcript:OQU90590	SORBI_3001G003500
transcript:EER90469	SORBI_3001G003600
