species	gene_id	transcript_id	protein_id	protein_length	isoform_selection	family	pfam_id	hmm_score	hmm_evalue	domain_score	domain_evalue	domain_start	domain_end	domain_coverage	hmm_domain_count	interpro_signature_id	interpro_id	interpro_description	interpro_supporting_databases	classification_status	reference_release	assembly_accession
setaria_viridis	SEVIR_9G002900v2	TKV90054	TKV90054	586	canonical	Hsp60	PF00118	259.9	8.5e-77	256.9	7.2e-76	66	569	1.0	1	PF00118	IPR002423	Chaperonin Cpn60/GroEL/TCP-1 family	Gene3D;PANTHER;PRINTS;Pfam;ProSitePatterns;SUPERFAMILY	confirmed	63	GCA_005286985.1
setaria_viridis	SEVIR_9G006100v2	TKV90102	TKV90102	524	canonical	HSF	PF00447	104.9	5.4e-30	104.1	9.9e-30	55	144	1.0	1	PF00447	IPR000232	Heat shock factor (HSF)-type, DNA-binding	Gene3D;PANTHER;PRINTS;Pfam;ProSitePatterns;SMART;SUPERFAMILY	confirmed	63	GCA_005286985.1
setaria_viridis	SEVIR_9G020000v2	TKV90309	TKV90309	251	canonical	Hsp40	PF00226	41.8	1.8e-10	40.8	3.7e-10	67	115	0.746031746031746	1	PF00226	IPR001623	DnaJ domain	Gene3D;PANTHER;Pfam;ProSiteProfiles;SMART;SUPERFAMILY	confirmed	63	GCA_005286985.1
setaria_viridis	SEVIR_9G022700v2	TKV90352	TKV90352	719	canonical	Hsp40	PF00226	59.5	5.5e-16	58.7	9.3e-16	425	489	1.0	1	PF00226	IPR001623	DnaJ domain	Gene3D;PANTHER;PRINTS;Pfam;ProSitePatterns;ProSiteProfiles;SMART;SUPERFAMILY	confirmed	63	GCA_005286985.1
setaria_viridis	SEVIR_9G024500v2	TKV90372	TKV90372	280	canonical	Hsp40	PF00226	70.7	1.7e-19	69.8	3.3e-19	57	118	1.0	1	PF00226	IPR001623	DnaJ domain	Gene3D;PANTHER;PRINTS;Pfam;ProSitePatterns;ProSiteProfiles;SMART;SUPERFAMILY	confirmed	63	GCA_005286985.1
setaria_viridis	SEVIR_9G030500v2	TKV90455	TKV90455	268	canonical	Hsp40	PF00226	80.8	1.2e-22	80.8	1.2e-22	77	136	0.9682539682539683	1	PF00226	IPR001623	DnaJ domain	Gene3D;PANTHER;PRINTS;Pfam;ProSiteProfiles;SMART;SUPERFAMILY	confirmed	63	GCA_005286985.1
setaria_viridis	SEVIR_9G032700v2	TKV90494	TKV90494	648	canonical	Hsp70	PF00012	873.9	9.5e-263	873.7	1.1e-262	10	619	1.0	1	PF00012	IPR013126	Heat shock protein 70 family	Gene3D;PANTHER;PRINTS;Pfam;ProSitePatterns;SUPERFAMILY	confirmed	63	GCA_005286985.1
setaria_viridis	SEVIR_9G055900v2	TKV90842	TKV90842	339	canonical	HSF	PF00447	103.7	1.3e-29	102.5	3e-29	38	127	1.0	1	PF00447	IPR000232	Heat shock factor (HSF)-type, DNA-binding	Gene3D;PANTHER;PRINTS;Pfam;ProSitePatterns;SMART;SUPERFAMILY	confirmed	63	GCA_005286985.1
setaria_viridis	SEVIR_9G062400v2	TKV90948	TKV90948	418	canonical	Hsp40	PF00226	84.9	6.1e-24	83.9	1.3e-23	14	71	0.9841269841269841	1	PF00226	IPR001623	DnaJ domain	Gene3D;PANTHER;PRINTS;Pfam;ProSitePatterns;ProSiteProfiles;SMART;SUPERFAMILY	confirmed	63	GCA_005286985.1
setaria_viridis	SEVIR_9G080300v2	TKV91218	TKV91218	511	canonical	Hsp40	PF00226	62.9	4.6e-17	61.8	1e-16	48	107	0.9841269841269841	1	PF00226	IPR001623	DnaJ domain	Gene3D;PANTHER;PRINTS;Pfam;ProSiteProfiles;SMART;SUPERFAMILY	confirmed	63	GCA_005286985.1
setaria_viridis	SEVIR_9G094300v2	TKV91401	TKV91401	379	canonical	HSF	PF00447	103.0	2.2e-29	102.2	3.9e-29	59	148	1.0	1	PF00447	IPR000232	Heat shock factor (HSF)-type, DNA-binding	Gene3D;PANTHER;PRINTS;Pfam;ProSitePatterns;SMART;SUPERFAMILY	confirmed	63	GCA_005286985.1
setaria_viridis	SEVIR_9G106600v2	TKV91589	TKV91589	244	canonical	Hsp40	PF00226	50.0	5e-13	50.0	5e-13	179	239	0.8888888888888888	1	PF00226	IPR001623	DnaJ domain	Gene3D;PANTHER;PRINTS;Pfam;ProSiteProfiles;SMART;SUPERFAMILY	confirmed	63	GCA_005286985.1
setaria_viridis	SEVIR_9G118900v2	TKV91754	TKV91754	679	canonical	Hsp70	PF00012	845.4	4.1e-254	845.2	4.6e-254	44	657	0.998330550918197	1	PF00012	IPR013126	Heat shock protein 70 family	Gene3D;PANTHER;PRINTS;Pfam;ProSitePatterns;SUPERFAMILY	confirmed	63	GCA_005286985.1
setaria_viridis	SEVIR_9G149500v2	TKV92205	TKV92205	281	canonical	Hsp20	PF00011	40.8	3.9e-10	39.2	1.2e-09	28	109	0.8823529411764706	1	PF00011	IPR002068	Alpha crystallin/Hsp20 domain	Gene3D;PANTHER;Pfam;ProSiteProfiles;SUPERFAMILY	confirmed	63	GCA_005286985.1
setaria_viridis	SEVIR_9G149600v2	TKV92206	TKV92206	358	canonical	Hsp20	PF00011	44.7	2.4e-11	43.6	5.3e-11	31	110	0.8431372549019608	1	PF00011	IPR002068	Alpha crystallin/Hsp20 domain	Gene3D;PANTHER;Pfam;ProSiteProfiles;SUPERFAMILY	confirmed	63	GCA_005286985.1
setaria_viridis	SEVIR_9G149700v2	TKV92207	TKV92207	182	canonical	Hsp20	PF00011	41.3	2.8e-10	40.5	4.9e-10	28	106	0.8333333333333334	1	PF00011	IPR002068	Alpha crystallin/Hsp20 domain	Gene3D;PANTHER;Pfam;ProSiteProfiles;SUPERFAMILY	confirmed	63	GCA_005286985.1
setaria_viridis	SEVIR_9G154200v2	TKV92280	TKV92280	419	canonical	Hsp40	PF00226	84.5	8.4e-24	83.3	2e-23	13	71	1.0	1	PF00226	IPR001623	DnaJ domain	Gene3D;PANTHER;PRINTS;Pfam;ProSitePatterns;ProSiteProfiles;SMART;SUPERFAMILY	confirmed	63	GCA_005286985.1
setaria_viridis	SEVIR_9G185800v2	TKV92821	TKV92821	250	canonical	Hsp40	PF00226	43.6	5.1e-11	42.8	8.5e-11	66	125	0.8888888888888888	1	PF00226	IPR001623	DnaJ domain	Gene3D;PANTHER;Pfam;ProSiteProfiles;SMART;SUPERFAMILY	confirmed	63	GCA_005286985.1
setaria_viridis	SEVIR_9G185900v2	TKV92822	TKV92822	260	canonical	Hsp40	PF00226	46.7	5.3e-12	45.8	1e-11	70	124	0.8412698412698413	1	PF00226	IPR001623	DnaJ domain	Gene3D;PANTHER;Pfam;ProSiteProfiles;SMART;SUPERFAMILY	confirmed	63	GCA_005286985.1
setaria_viridis	SEVIR_9G190400v2	TKV92883	TKV92883	678	canonical	Hsp70	PF00012	927.0	7.9e-279	926.8	8.9e-279	54	647	0.996661101836394	1	PF00012	IPR013126	Heat shock protein 70 family	Gene3D;PANTHER;PRINTS;Pfam;ProSitePatterns;SUPERFAMILY	confirmed	63	GCA_005286985.1
setaria_viridis	SEVIR_9G197100v2	TKV92981	TKV92981	540	canonical	Hsp40	PF00226	73.4	2.5e-20	72.1	6.2e-20	13	77	0.9841269841269841	1	PF00226	IPR001623	DnaJ domain	Gene3D;PANTHER;PRINTS;Pfam;ProSitePatterns;ProSiteProfiles;SMART;SUPERFAMILY	confirmed	63	GCA_005286985.1
setaria_viridis	SEVIR_9G230900v2	TKV93522	TKV93522	576	canonical	Hsp60	PF00118	241.9	2.6e-71	236.3	1.2e-69	56	557	0.9959100204498977	1	PF00118	IPR002423	Chaperonin Cpn60/GroEL/TCP-1 family	Gene3D;PANTHER;PRINTS;Pfam;ProSitePatterns;SUPERFAMILY	confirmed	63	GCA_005286985.1
setaria_viridis	SEVIR_9G243400v2	TKV93704	TKV93704	197	canonical	Hsp20	PF00011	45.4	1.4e-11	44.8	2.2e-11	28	100	0.7745098039215687	1	PF00011	IPR002068	Alpha crystallin/Hsp20 domain	Gene3D;PANTHER;Pfam;ProSiteProfiles;SUPERFAMILY	confirmed	63	GCA_005286985.1
setaria_viridis	SEVIR_9G243500v2	TKV93705	TKV93705	241	canonical	Hsp20	PF00011	28.5	2.6e-06	27.3	6.1e-06	26	101	0.8137254901960784	1	PF00011	IPR002068	Alpha crystallin/Hsp20 domain	Gene3D;PANTHER;Pfam;ProSiteProfiles;SUPERFAMILY	confirmed	63	GCA_005286985.1
setaria_viridis	SEVIR_9G247200v2	TKV93759	TKV93759	389	canonical	HSF	PF00447	88.6	6.7e-25	87.5	1.4e-24	47	162	1.0	1	PF00447	IPR000232	Heat shock factor (HSF)-type, DNA-binding	Gene3D;PANTHER;PRINTS;Pfam;SMART;SUPERFAMILY	confirmed	63	GCA_005286985.1
setaria_viridis	SEVIR_9G289200v2	TKV94358	TKV94358	208	canonical	Hsp20	PF00011	33.4	7.6e-08	26.8	8.8e-06	88	206	0.9607843137254902	1	PF00011	IPR002068	Alpha crystallin/Hsp20 domain	Gene3D;PANTHER;Pfam;ProSiteProfiles;SUPERFAMILY	confirmed	63	GCA_005286985.1
setaria_viridis	SEVIR_9G289300v2	TKV94359	TKV94359	212	canonical	Hsp20	PF00011	44.6	2.5e-11	44.1	3.5e-11	86	179	0.9705882352941176	1	PF00011	IPR002068	Alpha crystallin/Hsp20 domain	Gene3D;PANTHER;Pfam;ProSiteProfiles;SUPERFAMILY	confirmed	63	GCA_005286985.1
setaria_viridis	SEVIR_9G291300v2	TKV94391	TKV94391	178	canonical	Hsp20	PF00011	34.6	3.3e-08	34.2	4.3e-08	97	174	0.8235294117647058	1	PF00011	IPR002068	Alpha crystallin/Hsp20 domain	Gene3D;PANTHER;Pfam;SUPERFAMILY	confirmed	63	GCA_005286985.1
setaria_viridis	SEVIR_9G316300v2	TKV94752	TKV94752	2579	canonical	Hsp40	PF00226	43.8	4.2e-11	42.7	9.2e-11	1536	1576	0.6984126984126984	1	PF00226	IPR001623	DnaJ domain	Gene3D;PANTHER;Pfam;ProSiteProfiles;SMART;SUPERFAMILY	confirmed	63	GCA_005286985.1
setaria_viridis	SEVIR_9G366700v2	TKV95491	TKV95491	977	canonical	Hsp100	PF02861	121.5	5e-35	119.6	1.9e-34	88	210	0.9841269841269841	1	PF02861	IPR004176	Clp, repeat (R) N-terminal domain	Gene3D;PANTHER;PRINTS;Pfam;ProSitePatterns;ProSiteProfiles;SMART;SUPERFAMILY	confirmed	63	GCA_005286985.1
setaria_viridis	SEVIR_9G377700v2	TKV95668	TKV95668	228	canonical	Hsp40	PF00226	75.9	4.1e-21	75.0	7.6e-21	20	81	1.0	1	PF00226	IPR001623	DnaJ domain	Gene3D;PANTHER;PRINTS;Pfam;ProSiteProfiles;SMART;SUPERFAMILY	confirmed	63	GCA_005286985.1
setaria_viridis	SEVIR_9G382900v2	TKV95755	TKV95755	400	canonical	Hsp40	PF00226	29.5	1.3e-06	28.7	2.1e-06	88	143	0.8888888888888888	1	PF00226	IPR001623	DnaJ domain	Gene3D;PANTHER;Pfam;ProSiteProfiles;SMART;SUPERFAMILY	confirmed	63	GCA_005286985.1
setaria_viridis	SEVIR_9G396100v2	TKV95941	TKV95941	312	canonical	HSF	PF00447	103.8	1.2e-29	103.3	1.8e-29	38	127	1.0	1	PF00447	IPR000232	Heat shock factor (HSF)-type, DNA-binding	Gene3D;PANTHER;PRINTS;Pfam;ProSitePatterns;SMART;SUPERFAMILY	confirmed	63	GCA_005286985.1
setaria_viridis	SEVIR_9G424200v2	TKV96375	TKV96375	165	canonical	Hsp40	PF00226	68.5	8.6e-19	68.1	1.1e-18	40	98	0.9841269841269841	1	PF00226	IPR001623	DnaJ domain	Gene3D;PANTHER;PRINTS;Pfam;ProSitePatterns;ProSiteProfiles;SMART;SUPERFAMILY	confirmed	63	GCA_005286985.1
setaria_viridis	SEVIR_9G438500v2	TKV96597	TKV96597	175	canonical	Hsp40	PF00226	81.1	1e-22	80.5	1.5e-22	27	92	0.9841269841269841	1	PF00226	IPR001623	DnaJ domain	Gene3D;PANTHER;PRINTS;Pfam;ProSitePatterns;ProSiteProfiles;SMART;SUPERFAMILY	confirmed	63	GCA_005286985.1
setaria_viridis	SEVIR_9G443900v2	TKV96675	TKV96675	582	canonical	Hsp40	PF00226	92.3	3.1e-26	91.6	5.3e-26	29	90	1.0	1	PF00226	IPR001623	DnaJ domain	Gene3D;PANTHER;PRINTS;Pfam;ProSitePatterns;ProSiteProfiles;SMART;SUPERFAMILY	confirmed	63	GCA_005286985.1
setaria_viridis	SEVIR_9G455400v2	TKV96831	TKV96831	650	canonical	Hsp70	PF00012	885.4	3.2e-266	885.2	3.7e-266	9	618	1.0	1	PF00012	IPR013126	Heat shock protein 70 family	Gene3D;PANTHER;PRINTS;Pfam;ProSitePatterns;SUPERFAMILY	confirmed	63	GCA_005286985.1
setaria_viridis	SEVIR_9G455800v2	TKV96837	TKV96837	649	canonical	Hsp70	PF00012	872.5	2.6e-262	872.3	2.9e-262	9	618	1.0	1	PF00012	IPR013126	Heat shock protein 70 family	Gene3D;PANTHER;PRINTS;Pfam;ProSitePatterns;SUPERFAMILY	confirmed	63	GCA_005286985.1
setaria_viridis	SEVIR_9G458000v2	TKV96870	TKV96870	246	canonical	Hsp40	PF00226	57.3	2.5e-15	57.3	2.5e-15	39	95	0.9206349206349206	1	PF00226	IPR001623	DnaJ domain	Gene3D;PANTHER;PRINTS;Pfam;ProSiteProfiles;SMART;SUPERFAMILY	confirmed	63	GCA_005286985.1
setaria_viridis	SEVIR_9G461800v2	TKV96920	TKV96920	159	canonical	Hsp20	PF00011	115.8	1.7e-33	115.5	2.1e-33	55	158	1.0	1	PF00011	IPR002068	Alpha crystallin/Hsp20 domain	Gene3D;PANTHER;Pfam;ProSiteProfiles;SUPERFAMILY	confirmed	63	GCA_005286985.1
setaria_viridis	SEVIR_9G462100v2	TKV96925	TKV96925	201	canonical	Hsp20	PF00011	114.2	5.2e-33	113.8	7.4e-33	97	200	1.0	1	PF00011	IPR002068	Alpha crystallin/Hsp20 domain	Gene3D;PANTHER;Pfam;ProSiteProfiles;SUPERFAMILY	confirmed	63	GCA_005286985.1
setaria_viridis	SEVIR_9G462200v2	TKV96926	TKV96926	156	canonical	Hsp20	PF00011	114.5	4.4e-33	114.2	5.2e-33	52	155	1.0	1	PF00011	IPR002068	Alpha crystallin/Hsp20 domain	Gene3D;PANTHER;Pfam;ProSiteProfiles;SUPERFAMILY	confirmed	63	GCA_005286985.1
setaria_viridis	SEVIR_9G473550v2	TKV97100	TKV97100	234	canonical	Hsp100	PF02861	73.2	4.3e-20	53.3	6.3e-14	87	208	0.9603174603174603	1	PF02861	IPR004176	Clp, repeat (R) N-terminal domain	Gene3D;PANTHER;Pfam;ProSiteProfiles;SUPERFAMILY	confirmed	63	GCA_005286985.1
setaria_viridis	SEVIR_9G474300v2	TKV97116	TKV97116	241	canonical	Hsp20	PF00011	100.3	1.1e-28	100.3	1.1e-28	136	241	1.0	1	PF00011	IPR002068	Alpha crystallin/Hsp20 domain	Gene3D;PANTHER;Pfam;ProSiteProfiles;SUPERFAMILY	confirmed	63	GCA_005286985.1
setaria_viridis	SEVIR_9G475000v2	TKV97124	TKV97124	161	canonical	Hsp40	PF00226	74.6	1e-20	74.2	1.4e-20	60	123	0.9841269841269841	1	PF00226	IPR001623	DnaJ domain	Gene3D;PANTHER;PRINTS;Pfam;ProSitePatterns;ProSiteProfiles;SMART;SUPERFAMILY	confirmed	63	GCA_005286985.1
setaria_viridis	SEVIR_9G488900v2	TKV97357	TKV97357	423	canonical	HSF	PF00447	102.3	3.5e-29	101.7	5.5e-29	51	140	1.0	1	PF00447	IPR000232	Heat shock factor (HSF)-type, DNA-binding	Gene3D;PANTHER;PRINTS;Pfam;SMART;SUPERFAMILY	confirmed	63	GCA_005286985.1
setaria_viridis	SEVIR_9G490200v2	TKV97381	TKV97381	551	canonical	Hsp40	PF00226	88.9	3.5e-25	88.1	6.2e-25	80	141	1.0	1	PF00226	IPR001623	DnaJ domain	Gene3D;PANTHER;PRINTS;Pfam;ProSitePatterns;ProSiteProfiles;SMART;SUPERFAMILY	confirmed	63	GCA_005286985.1
setaria_viridis	SEVIR_9G492400v2	TKV97414	TKV97414	578	canonical	Hsp70	PF00012	318.7	1.2e-94	318.4	1.6e-94	28	527	0.8063439065108514	1	PF00012	IPR013126	Heat shock protein 70 family	Gene3D;PANTHER;PRINTS;Pfam;ProSitePatterns;SUPERFAMILY	confirmed	63	GCA_005286985.1
setaria_viridis	SEVIR_9G536200v2	TKV98065	TKV98065	384	canonical	HSF	PF00447	97.1	1.5e-27	96.3	2.7e-27	50	139	1.0	1	PF00447	IPR000232	Heat shock factor (HSF)-type, DNA-binding	Gene3D;PANTHER;PRINTS;Pfam;ProSitePatterns;SMART;SUPERFAMILY	confirmed	63	GCA_005286985.1
setaria_viridis	SEVIR_9G539000v2	TKV98120	TKV98120	249	canonical	Hsp20	PF00011	41.8	1.9e-10	40.7	4.2e-10	27	104	0.8137254901960784	1	PF00011	IPR002068	Alpha crystallin/Hsp20 domain	Gene3D;PANTHER;Pfam;ProSiteProfiles;SUPERFAMILY	confirmed	63	GCA_005286985.1
setaria_viridis	SEVIR_9G547800v2	TKV98263	TKV98263	611	canonical	Hsp60	PF00118	237.1	7.4e-70	128.3	7.1e-37	315	596	0.4887525562372188	2	PF00118	IPR002423	Chaperonin Cpn60/GroEL/TCP-1 family	Gene3D;PANTHER;PRINTS;Pfam;ProSitePatterns;SUPERFAMILY	confirmed	63	GCA_005286985.1
setaria_viridis	SEVIR_9G552700v2	TKV98323	TKV98323	297	canonical	Hsp40	PF00226	54.4	2.2e-14	53.4	4.3e-14	12	79	1.0	1	PF00226	IPR001623	DnaJ domain	Gene3D;PANTHER;Pfam;ProSiteProfiles;SMART;SUPERFAMILY	confirmed	63	GCA_005286985.1
setaria_viridis	SEVIR_9G572100v2	TKV98625	TKV98625	534	canonical	Hsp60	PF00118	533.2	1.2e-159	533.0	1.3e-159	38	532	0.9938650306748467	1	PF00118	IPR002423	Chaperonin Cpn60/GroEL/TCP-1 family	Gene3D;PANTHER;PRINTS;Pfam;ProSitePatterns;SUPERFAMILY	confirmed	63	GCA_005286985.1
setaria_viridis	SEVIR_8G081000v2	TKW00006	TKW00006	213	canonical	Hsp20	PF00011	94.3	8.7e-27	93.9	1.1e-26	88	192	0.9901960784313726	1	PF00011	IPR002068	Alpha crystallin/Hsp20 domain	Gene3D;PANTHER;Pfam;ProSiteProfiles;SUPERFAMILY	confirmed	63	GCA_005286985.1
setaria_viridis	SEVIR_8G098400v2	TKW00281	TKW00281	241	canonical	Hsp40	PF00226	70.8	1.6e-19	70.1	2.7e-19	100	162	0.9841269841269841	1	PF00226	IPR001623	DnaJ domain	Gene3D;PANTHER;PRINTS;Pfam;ProSiteProfiles;SMART;SUPERFAMILY	confirmed	63	GCA_005286985.1
setaria_viridis	SEVIR_8G170600v2	TKW01298	TKW01298	1197	canonical	Hsp40	PF00226	59.3	6.1e-16	57.3	2.6e-15	67	128	1.0	1	PF00226	IPR001623	DnaJ domain	Gene3D;PANTHER;PRINTS;Pfam;ProSiteProfiles;SMART;SUPERFAMILY	confirmed	63	GCA_005286985.1
setaria_viridis	SEVIR_8G171000v2	TKW01308	TKW01308	1149	canonical	Hsp40	PF00226	60.9	1.9e-16	59.6	5.1e-16	66	127	1.0	1	PF00226	IPR001623	DnaJ domain	Gene3D;PANTHER;PRINTS;Pfam;ProSiteProfiles;SMART;SUPERFAMILY	confirmed	63	GCA_005286985.1
setaria_viridis	SEVIR_8G171300v2	TKW01311	TKW01311	975	canonical	Hsp40	PF00226	53.3	4.7e-14	51.9	1.3e-13	67	128	1.0	1	PF00226	IPR001623	DnaJ domain	Gene3D;PANTHER;PRINTS;Pfam;ProSiteProfiles;SMART;SUPERFAMILY	confirmed	63	GCA_005286985.1
setaria_viridis	SEVIR_8G171500v2	TKW01313	TKW01313	1062	canonical	Hsp40	PF00226	72.9	3.4e-20	71.4	1e-19	67	128	1.0	1	PF00226	IPR001623	DnaJ domain	Gene3D;PANTHER;PRINTS;Pfam;ProSitePatterns;ProSiteProfiles;SMART;SUPERFAMILY	confirmed	63	GCA_005286985.1
setaria_viridis	SEVIR_8G171600v2	TKW01315	TKW01315	547	canonical	Hsp60	PF00118	530.0	1.1e-158	529.9	1.2e-158	39	530	1.0	1	PF00118	IPR002423	Chaperonin Cpn60/GroEL/TCP-1 family	Gene3D;PANTHER;PRINTS;Pfam;ProSitePatterns;SUPERFAMILY	confirmed	63	GCA_005286985.1
setaria_viridis	SEVIR_8G235800v2	TKW02312	TKW02312	521	canonical	Hsp70	PF00012	664.1	3.2e-199	663.9	3.6e-199	9	517	0.8347245409015025	1	PF00012	IPR013126	Heat shock protein 70 family	Gene3D;PANTHER;PRINTS;Pfam;ProSitePatterns;SUPERFAMILY	confirmed	63	GCA_005286985.1
setaria_viridis	SEVIR_7G029400v2	TKW02934	TKW02934	709	canonical	Hsp90	PF00183	800.2	2e-240	799.9	2.5e-240	195	702	0.9922779922779923	1	PF00183	IPR001404	Heat shock protein Hsp90 family	Gene3D;PANTHER;PRINTS;Pfam;ProSitePatterns;SMART;SUPERFAMILY	confirmed	63	GCA_005286985.1
setaria_viridis	SEVIR_7G052200v2	TKW03605	TKW03605	686	canonical	Hsp40	PF00226	72.1	6.1e-20	70.8	1.6e-19	100	161	0.9841269841269841	1	PF00226	IPR001623	DnaJ domain	Gene3D;PANTHER;PRINTS;Pfam;ProSiteProfiles;SMART;SUPERFAMILY	confirmed	63	GCA_005286985.1
setaria_viridis	SEVIR_7G072200v2	TKW03887	TKW03887	654	canonical	Hsp40	PF00226	64.1	2e-17	60.5	2.7e-16	97	176	1.0	1	PF00226	IPR001623	DnaJ domain	Gene3D;PANTHER;PRINTS;Pfam;ProSitePatterns;ProSiteProfiles;SMART;SUPERFAMILY	confirmed	63	GCA_005286985.1
setaria_viridis	SEVIR_7G081500v2	TKW04016	TKW04016	733	canonical	Hsp40	PF00226	77.0	1.9e-21	75.6	4.9e-21	68	129	1.0	1	PF00226	IPR001623	DnaJ domain	Gene3D;PANTHER;PRINTS;Pfam;ProSitePatterns;ProSiteProfiles;SMART;SUPERFAMILY	confirmed	63	GCA_005286985.1
setaria_viridis	SEVIR_7G086500v2	TKW04081	TKW04081	921	canonical	Hsp100	PF02861	179.7	4.9e-53	125.3	3.4e-36	93	215	0.9920634920634921	2	PF02861	IPR004176	Clp, repeat (R) N-terminal domain	Gene3D;PANTHER;PRINTS;Pfam;ProSitePatterns;ProSiteProfiles;SMART;SUPERFAMILY	confirmed	63	GCA_005286985.1
setaria_viridis	SEVIR_7G086700v2	TKW04083	TKW04083	918	canonical	Hsp100	PF02861	177.6	2.2e-52	123.6	1.1e-35	90	212	0.9920634920634921	2	PF02861	IPR004176	Clp, repeat (R) N-terminal domain	Gene3D;PANTHER;PRINTS;Pfam;ProSitePatterns;ProSiteProfiles;SMART;SUPERFAMILY	confirmed	63	GCA_005286985.1
setaria_viridis	SEVIR_7G093800v2	TKW04202	TKW04202	942	canonical	Hsp100	PF02861	56.9	4.9e-15	55.6	1.3e-14	78	203	0.9920634920634921	1	PF02861	IPR004176	Clp, repeat (R) N-terminal domain	Gene3D;PANTHER;PRINTS;Pfam;ProSitePatterns;ProSiteProfiles;SMART;SUPERFAMILY	confirmed	63	GCA_005286985.1
setaria_viridis	SEVIR_7G118300v2	TKW04559	TKW04559	588	canonical	Hsp60	PF00118	269.1	1.4e-79	265.6	1.7e-78	54	557	0.9959100204498977	1	PF00118	IPR002423	Chaperonin Cpn60/GroEL/TCP-1 family	Gene3D;PANTHER;PRINTS;Pfam;ProSitePatterns;SUPERFAMILY	confirmed	63	GCA_005286985.1
setaria_viridis	SEVIR_7G119800v2	TKW04585	TKW04585	216	canonical	Hsp20	PF00011	105.3	3.3e-30	104.7	4.8e-30	82	185	0.9901960784313726	1	PF00011	IPR002068	Alpha crystallin/Hsp20 domain	Gene3D;PANTHER;Pfam;ProSiteProfiles;SUPERFAMILY	confirmed	63	GCA_005286985.1
