case_type	species	historical_id	gene_id	protein_id	historical_length	current_length	length_delta	aligned_identity	alignment_gap_columns	hmm_score	hmm_evalue	pfam_domain	interpro_id	supporting_databases	interpretation
historical_sequence_changed	setaria_viridis	Sevir.2G292500.4.p	SEVIR_2G292500v2	TKW34232	400	401	1	1.0000	379	106.9	1.3e-30	41-130	IPR000232	Gene3D;PANTHER;PRINTS;Pfam;ProSitePatterns;SMART;SUPERFAMILY	indel_only; retain as updated annotation
historical_sequence_changed	setaria_viridis	Sevir.5G208300.3.p	SEVIR_5G208300v2	TKW15087	387	311	-76	1.0000	76	96.7	2e-27	5-96	IPR000232	Gene3D;PANTHER;PRINTS;Pfam;ProSitePatterns;SMART;SUPERFAMILY	indel_only; retain as updated annotation
new_release63_candidate	setaria_viridis		SEVIR_1G026300v2	TKW37097		214				58.8	1.3e-15	65-116	IPR000232	Gene3D;PANTHER;PRINTS;Pfam;ProSitePatterns;SMART;SUPERFAMILY	confirmed PF00447 candidate absent from historical set
new_release63_candidate	setaria_viridis		SEVIR_4G250200v2	TKW22774		353				89.4	3.6e-25	45-134	IPR000232	Gene3D;PANTHER;PRINTS;Pfam;SMART;SUPERFAMILY	confirmed PF00447 candidate absent from historical set
new_release63_candidate	setaria_viridis		SEVIR_4G250400v2	TKW22776		329				90.6	1.5e-25	44-133	IPR000232	Gene3D;PANTHER;PRINTS;Pfam;SMART;SUPERFAMILY	confirmed PF00447 candidate absent from historical set
historical_sequence_changed	sorghum_bicolor	Sobic.001G450700.2.p	SORBI_3001G450700	EER95242	442	415	-27	1.0000	35	102.5	2.7e-29	51-140	IPR000232	Gene3D;PANTHER;PRINTS;Pfam;SMART;SUPERFAMILY	indel_only; retain as updated annotation
historical_sequence_changed	sorghum_bicolor	Sobic.004G101400.2.p	SORBI_3004G101400	KXG29862	276	267	-9	1.0000	9	98.7	4.3e-28	22-111	IPR000232	Gene3D;PANTHER;PRINTS;Pfam;ProSitePatterns;SMART;SUPERFAMILY	indel_only; retain as updated annotation
