transcript_id	gene_id
transcript:TKW36712	SEVIR_1G000100v2
transcript:TKW36713	SEVIR_1G000200v2
transcript:TKW36714	SEVIR_1G000200v2
transcript:TKW36715	SEVIR_1G000300v2
transcript:TKW36716	SEVIR_1G000400v2
transcript:TKW36717	SEVIR_1G000501v2
transcript:TKW36718	SEVIR_1G000600v2
transcript:TKW36719	SEVIR_1G000650v2
transcript:TKW36720	SEVIR_1G000700v2
transcript:TKW36721	SEVIR_1G000900v2
transcript:TKW36722	SEVIR_1G001000v2
transcript:TKW36723	SEVIR_1G001000v2
transcript:TKW36724	SEVIR_1G001100v2
transcript:TKW36725	SEVIR_1G001200v2
transcript:TKW36726	SEVIR_1G001300v2
transcript:TKW36727	SEVIR_1G001400v2
transcript:TKW36728	SEVIR_1G001500v2
transcript:TKW36729	SEVIR_1G001500v2
transcript:TKW36730	SEVIR_1G001500v2
transcript:TKW36731	SEVIR_1G001600v2
transcript:TKW36732	SEVIR_1G001700v2
transcript:TKW36733	SEVIR_1G001800v2
transcript:TKW36734	SEVIR_1G001900v2
transcript:TKW36735	SEVIR_1G002000v2
transcript:TKW36736	SEVIR_1G002000v2
transcript:TKW36737	SEVIR_1G002100v2
transcript:TKW36738	SEVIR_1G002200v2
transcript:TKW36739	SEVIR_1G002300v2
transcript:TKW36741	SEVIR_1G002400v2
transcript:TKW36742	SEVIR_1G002400v2
transcript:TKW36740	SEVIR_1G002400v2
transcript:TKW36743	SEVIR_1G002500v2
transcript:TKW36744	SEVIR_1G002600v2
transcript:TKW36745	SEVIR_1G002700v2
transcript:TKW36746	SEVIR_1G002800v2
transcript:TKW36747	SEVIR_1G002800v2
transcript:TKW36748	SEVIR_1G002900v2
transcript:TKW36749	SEVIR_1G003000v2
transcript:TKW36750	SEVIR_1G003100v2
transcript:TKW36751	SEVIR_1G003100v2
transcript:TKW36752	SEVIR_1G003200v2
transcript:TKW36753	SEVIR_1G003300v2
transcript:TKW36754	SEVIR_1G003300v2
transcript:TKW36756	SEVIR_1G003401v2
transcript:TKW36757	SEVIR_1G003401v2
transcript:TKW36755	SEVIR_1G003401v2
transcript:TKW36758	SEVIR_1G003500v2
transcript:TKW36759	SEVIR_1G003550v2
transcript:TKW36760	SEVIR_1G003600v2
transcript:TKW36761	SEVIR_1G003700v2
transcript:TKW36762	SEVIR_1G003900v2
transcript:TKW36763	SEVIR_1G004000v2
transcript:TKW36764	SEVIR_1G004100v2
transcript:TKW36765	SEVIR_1G004100v2
transcript:TKW36766	SEVIR_1G004100v2
transcript:TKW36767	SEVIR_1G004100v2
transcript:TKW36768	SEVIR_1G004200v2
transcript:TKW36769	SEVIR_1G004300v2
transcript:TKW36770	SEVIR_1G004400v2
transcript:TKW36771	SEVIR_1G004500v2
transcript:TKW36772	SEVIR_1G004600v2
transcript:TKW36773	SEVIR_1G004700v2
transcript:TKW36774	SEVIR_1G004800v2
transcript:TKW36775	SEVIR_1G004900v2
transcript:TKW36776	SEVIR_1G005000v2
transcript:TKW36777	SEVIR_1G005100v2
transcript:TKW36778	SEVIR_1G005200v2
transcript:TKW36779	SEVIR_1G005300v2
transcript:TKW36780	SEVIR_1G005400v2
transcript:TKW36781	SEVIR_1G005500v2
transcript:TKW36782	SEVIR_1G005600v2
transcript:TKW36786	SEVIR_1G005600v2
transcript:TKW36787	SEVIR_1G005600v2
transcript:TKW36783	SEVIR_1G005600v2
transcript:TKW36784	SEVIR_1G005600v2
transcript:TKW36785	SEVIR_1G005600v2
transcript:TKW36788	SEVIR_1G005700v2
transcript:TKW36789	SEVIR_1G005700v2
transcript:TKW36790	SEVIR_1G005800v2
transcript:TKW36792	SEVIR_1G005900v2
transcript:TKW36791	SEVIR_1G005900v2
transcript:TKW36793	SEVIR_1G006000v2
transcript:TKW36794	SEVIR_1G006100v2
transcript:TKW36795	SEVIR_1G006200v2
transcript:TKW36796	SEVIR_1G006300v2
transcript:TKW36797	SEVIR_1G006400v2
transcript:TKW36798	SEVIR_1G006500v2
transcript:TKW36799	SEVIR_1G006500v2
transcript:TKW36800	SEVIR_1G006600v2
transcript:TKW36801	SEVIR_1G006600v2
transcript:TKW36802	SEVIR_1G006600v2
