feature_id	SRR39669458	SRR39669459	SRR39669468	SRR39669469	SRR39669470	SRR39669471	SRR39669472	SRR39669473	SRR39669474	SRR39669475	SRR39669460	SRR39669461	SRR39669462	SRR39669463	SRR39669464	SRR39669465	SRR39669466	SRR39669467
SEVIR_1G000100v2	175	178	137	205	197.994	137	72	78	75	186	213	217	161	190	161	82	68	74
SEVIR_1G000200v2	189.999	271.097	127.054	130	142.054	159	38.066	41.064	84	234.001	213	239.092	239	219	188	93	48.083	98
SEVIR_1G000300v2	6066.081	4492.903	4015.946	5231.543	4590.946	5775	1931.934	2212.936	3640	5035.367	5079.045	4235.003	6672	7172.966	7503.997	2936	1940.917	2321
SEVIR_1G000400v2	4908	3845	3500.969	3329.499	3475	3198.008	2478	2491	3165	4549	4465.239	3932	3002	2993	3134	2320	2089	1891
SEVIR_1G000501v2	13	16	19	11	18	25.992	10	14	8	18	27	27	20	24	20	11	3	3
SEVIR_1G000600v2	32	19	12	6	6	7	3	9	10	39	16	5	11	16	16	10	5	5
SEVIR_1G000650v2	48	48	50	29	25	39	19	18	26	30	37	46	47	34	34	17	12	15
SEVIR_1G000700v2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SEVIR_1G000900v2	1	0	0	0	0	1	0	1	0	2	1	0	0	0	0	0	0	0
SEVIR_1G001000v2	3297	2177	2673	4039	3931	3232.475	287	592	688	2863.002	2258	1833	2653.185	3080.928	3163	696	862	488
SEVIR_1G001100v2	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0
SEVIR_1G001200v2	281	291	362	810	749	301	91	155	216.004	314	224	216	253	234	229	136	164	86
SEVIR_1G001300v2	6253.405	5838	6130.648	6846	6361	6591	2553	3412	3673	6931	6915	5609.496	4548	5310	5353.782	3141.568	2890.128	2558
SEVIR_1G001400v2	10326.748	6912.543	6576	10612	10667.506	9822.13	4944	6476	7984	9830.124	10017.662	6523	6733.231	8644	8198	5426	5575	2559
SEVIR_1G001500v2	503	445.001	567.999	1053	1058	786	351.031	517	599	566.999	563	444	557	729	640.999	435	531.999	271
SEVIR_1G001600v2	3	1	3	2	3	4	0	4	0	0	0	1	0	0	3	0	0	3
SEVIR_1G001700v2	55	64	25	29	17	32	11.279	20	8.948	71	58	35	32	17	34	22	5	14
SEVIR_1G001800v2	6308.999	3281	6298	15054.244	14774.463	2575	1189	2096	3220.692	3094	3704	5423.683	1836	1973	1977	2126	2380	2450
SEVIR_1G001900v2	2128.949	1477	1563	1375	1464.379	1434.986	458	340	598	1078	1290.747	1551.29	1031.969	1026	1142	608	336	429
SEVIR_1G002000v2	3063.052	2424	1281	1052	1038.57	1549	758	794	1592	2610	2421	2021.033	1992.03	2222	2267	1241	789	907
SEVIR_1G002100v2	2126	2512	3513	3858	3984	3377.411	2670	2779	2695.928	2725	2660	2333.033	2628.53	2612	2898	2586	2274.877	1958
SEVIR_1G002200v2	1392.08	1302	1293.995	970	923	1155	975	903	1164	1402	1384	1314	1241.163	1148	1197	1077	776	1203
SEVIR_1G002300v2	0	0	1	13	2	2	1	1	3	1	3	0	5	6	14	1	2	0
SEVIR_1G002400v2	9153	6571.691	4909.597	5883.101	6320.42	5586.467	4917.072	4381	4889.583	8787.606	8728	7645	5175.675	5535	5663.841	4380	4069.598	2871
SEVIR_1G002500v2	3851	2348.308	2905.423	3073	3018.007	2938	3140.031	2786	2720.417	2878	2942	2031	2024.325	2568	2423	2071	2117.402	1055
SEVIR_1G002600v2	1647	1397	1031	1144.049	1163.021	1214	557	840	1557	1828	1801	1160	1265	1426	1463	804	842	543
SEVIR_1G002700v2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SEVIR_1G002800v2	80	54	80	37	33	36	64	90	45	51	42	42	37	16	31	25	52	23
SEVIR_1G002900v2	348	194	188	24	24	45	3	7	7	145	219	210	58	44	41	6	5	1
SEVIR_1G003000v2	6856.377	5319.867	2933.054	1219.405	1171.006	2066.19	899.403	958.278	2348.383	5801.343	4657.592	5326.842	3922.277	4087.562	4358.046	1537.289	892.99	1976.352
SEVIR_1G003100v2	138	214	144	100	115	15	37	26	50	253	172	157	66	93	71	51	36	30
SEVIR_1G003200v2	231	67	54	11	13	9	4	5	1	59	243	233	45	28	23	7	3	1
SEVIR_1G003300v2	0	0	0	3	2	0	2	3	2	1	2	0	1	1	0	0	0	3
SEVIR_1G003401v2	1792	1139	1633	688.999	703	958.685	470	501	610	979	1686.564	1473	810.001	825.741	851	830	341	476
SEVIR_1G003500v2	397.374	435.749	496.685	818.864	746.621	562.05	614.656	606.215	621.27	485.316	494.719	359.527	387.479	542.253	539.395	601.299	613.715	325.488
SEVIR_1G003550v2	2730.626	3323.251	4338.315	5222.16	5309.26	4760.95	4215.343	4276.785	4511.73	3559.684	3594.335	3281.473	3177.521	3153.747	3434.605	5138.701	4718.285	3578.512
SEVIR_1G003600v2	489	442	318	488	477	411	329	330	352	558	454	421	364	444	412	525	156	298
SEVIR_1G003700v2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
SEVIR_1G003900v2	648	600	825	654	737	937.082	376	621	803	878	786	575.037	673	804.118	747	636	593	407
SEVIR_1G004000v2	1908	1401	1202	1188	1126	1262	610	591.043	987	1631	1672.359	1574.963	1177	1177	1239.162	849	556	646
SEVIR_1G004100v2	521	505	556.999	473	451	468.048	180	277.999	372	515.999	533.001	436.001	360	386	424.999	332.999	284	192
SEVIR_1G004200v2	4388	3587	3316	3695	3543	3799.204	2449	3013.001	3441.071	3866	3562.438	2624	2845	3971.23	3652	2386	2899	1502
