feature_id	SRR39669458	SRR39669459	SRR39669468	SRR39669469	SRR39669470	SRR39669471	SRR39669472	SRR39669473	SRR39669474	SRR39669475	SRR39669460	SRR39669461	SRR39669462	SRR39669463	SRR39669464	SRR39669465	SRR39669466	SRR39669467
SEVIR_1G000100v2	941.986	937.062	913.996	886.672	900.274	893.465	866.632	880.386	899.547	934.508	907.465	912.253	926.906	925.243	946.103	896.95	907.932	886.075
SEVIR_1G000200v2	2173.461	2242.60381813804	2208.358	2092.57885155535	2114.129	2164.123	2264.995	2190.946	2123.75303287622	2191.359	2161.923	2227.79754621338	2193.969	2128.601	2187.243	2192.5201074185	2226.515	2353.43
SEVIR_1G000300v2	3998.123	4000.582	3985.336	3941.941	3947.094	3939.725	3967.72	3933.325	3939.637	3979.73	3959.335	3991.453	3990.549	3982.006	3993.752	3972.415	3942.896	4031.551
SEVIR_1G000400v2	727.905	758.167	763.643	712.42	714.058	727.99	729.895	710.682	711.25	728.242	723.303	759.606	738.102	715.766	736.248	739.978	736.031	783.445
SEVIR_1G000501v2	405.119	343.363	337.777	391.253	396.522	364.161	330.885	369.754	385.387	399.19	377.749	329.303	371.811	409.161	388.037	335.519	349.332	284.503
SEVIR_1G000600v2	4628.692	4517.748	4418.597	4460.623	4470.204	4451.11	4592.849	4573.759	4575.256	4579.292	4568.204	4506.99	4532.044	4604.056	4525.199	4503.387	4489.69	4528.207
SEVIR_1G000650v2	1137.569	1116.673	1099.781	1124.306	1144.047	1120.49	1127.929	1146.68	1144.697	1140.603	1121.894	1104.711	1140.223	1158.419	1150.64	1132.188	1150.988	1115.581
SEVIR_1G000700v2	168.333333333333	168.333333333333	168.333333333333	168.333333333333	168.333333333333	168.333333333333	168.333333333333	168.333333333333	168.333333333333	168.333333333333	168.333333333333	168.333333333333	168.333333333333	168.333333333333	168.333333333333	168.333333333333	168.333333333333	168.333333333333
SEVIR_1G000900v2	461.027	440.384231816136	440.384231816136	440.384231816136	440.384231816136	426.409	440.384231816136	420.714	440.384231816136	459.509	435.838	440.384231816136	440.384231816136	440.384231816136	440.384231816136	440.384231816136	440.384231816136	440.384231816136
SEVIR_1G001000v2	1904.98309806667	2027.02486084838	2042.68388392273	1892.10867289708	1923.00033338564	1976.75643539069	2167.93979387641	2015.24639821441	2013.47431339676	1957.9960817534	1934.36899933619	2035.93049291644	1986.0446782286	1877.54986360987	1944.50281517835	2002.1854245257	1971.67301579634	2207.64025835763
SEVIR_1G001100v2	1521.09142699247	1521.09142699247	1521.09142699247	1521.09142699247	1497.11	1521.09142699247	1521.09142699247	1521.09142699247	1521.09142699247	1521.09142699247	1521.09142699247	1521.09142699247	1521.09142699247	1545.457	1521.09142699247	1521.09142699247	1521.09142699247	1521.09142699247
SEVIR_1G001200v2	1706.878	1719.981	1693.196	1627.439	1645.611	1649.937	1653.001	1645.714	1661.975	1688.109	1667.241	1692.434	1703.364	1691.201	1713.337	1681.67	1693.272	1742.736
SEVIR_1G001300v2	569.159	575.396	581.432	563.67	573.297	564.412	550.915	554.764	558.801	572.13	556.818	566.804	576.305	568.407	586.164	565.687	575.649	565.702
SEVIR_1G001400v2	6634.981	6721.178	6698.141	6594.529	6573.823	6744.309	7095.779	6845.374	6743.321	6643.23	6677.089	6854.03	6678.774	6574.572	6611.932	6928.992	6828.987	7225.201
SEVIR_1G001500v2	2752.76850890111	2802.25660295959	2775.35331176462	2719.67867571598	2723.16778651742	2805.26455690043	2922.41018258022	2815.42689785582	2769.57766700851	2736.88105410401	2763.18614185989	2857.18864578502	2762.36379512289	2723.79987628603	2759.52390875261	2865.79213474657	2853.06388969129	3037.765
SEVIR_1G001600v2	1335.11	1207.603	1170.583	1298.864	1311.69	1246.511	1241.00669132343	1303.794	1241.00669132343	1241.00669132343	1241.00669132343	1177.153	1241.00669132343	1241.00669132343	1290.444	1241.00669132343	1241.00669132343	1091.505
SEVIR_1G001700v2	3609.693	3612.123	3498.23	3410.084	3456.08	3571.397	3873.122	3737.82	3674.972	3535.823	3594.254	3661.748	3579.212	3592.687	3550.266	3739.624	3809.491	4032.651
SEVIR_1G001800v2	138	149	148	133	138	142	138	138	138	144	132	145	144	135	149	148	153	154
SEVIR_1G001900v2	138	149	148	133	138	142	138	138	138	144	132	145	144	135	149	148	153	154
SEVIR_1G002000v2	2054.11223622417	2057.75645136404	2051.94465195338	1992.09471031505	1985.85284980565	2019.47981874629	2025.26316942019	1990.63149545042	1992.00760559125	2025.0642509452	2015.17284111311	2066.52620916294	2030.66686656914	2003.41262019473	2021.13438547319	2030.48574270285	2005.21875650373	2112.84416762019
SEVIR_1G002100v2	1286.504	1323.466	1313.188	1255.009	1268.658	1274.572	1301.034	1291.503	1283.152	1301.996	1275.858	1314.581	1301.732	1269.782	1310.159	1311.267	1311.294	1341.017
SEVIR_1G002200v2	994.545	1015.995	1006.822	969.297	970.16	989.999	1021.068	991.502	982.837	996.257	986.164	1022.106	991.018	972.108	996.05	1011.584	999.939	1042.625
SEVIR_1G002300v2	2342.44041169242	2342.44041169242	2417.215	2263.946	2257.716	2349.895	2459.383	2340.437	2318.518	2324.832	2321.213	2342.44041169242	2350.355	2262.681	2326.259	2426.796	2385.461	2342.44041169242
SEVIR_1G002400v2	4358.01439909472	4512.81210385906	4465.57902637311	4258.059	4225.415	4484.871	4959.638	4624.01122580806	4501.35515590188	4361.57181035613	4402.68994602467	4651.046	4388.097	4242.52	4322.327	4726.522	4603.982	5094.863
SEVIR_1G002500v2	3542.835	3618.639	3605.172	3454.762	3455.355	3522.667	3620.199	3518.786	3506.479	3531.403	3524.74	3631.521	3557.5	3484.569	3540.624	3600.869	3565.681	3771.12
SEVIR_1G002600v2	5593.527	5707.134	5641.15	5501.104	5473.675	5699.854	6130.419	5849.796	5739.656	5587.332	5624.626	5831.071	5614.064	5479.431	5557.297	5952.746	5836.114	6260.036
SEVIR_1G002700v2	185.944444444444	185.944444444444	185.944444444444	185.944444444444	185.944444444444	185.944444444444	185.944444444444	185.944444444444	185.944444444444	185.944444444444	185.944444444444	185.944444444444	185.944444444444	185.944444444444	185.944444444444	185.944444444444	185.944444444444	185.944444444444
SEVIR_1G002800v2	723.398128815098	623.882202528651	638.279973711413	577.572172501405	914.226785224382	1327.799	757.76139667221	671.269715696365	882.000190471989	611.034059814564	820.361460111208	580.219865006979	1392.769	477.567353763319	950.622299099716	423.439933157735	454.200939336942	510.074977264847
SEVIR_1G002900v2	1396.487	1468.693	1457.514	1367.494	1362.772	1412.324	1475.274	1417.444	1402.033	1411.392	1396.988	1474.293	1426.373	1373.689	1416.478	1472.046	1450.357	1582.999
SEVIR_1G003000v2	544.068	558.071	565.948	555.419	565.515	557.624	538.103	543.333	543.252	556.663	537.894	550.781	563.118	549.449	570.834	557.224	569.106	558.823
SEVIR_1G003100v2	976.478807246886	1058.4983512735	985.177290844275	959.335281504336	959.540626572018	1204.953	975.165360598844	1028.77492872679	932.912329978903	1062.29158146874	979.899545127471	1011.35251254982	1049.03005149795	1041.36578715284	1006.79320018222	955.965611727849	1095.18214869438	1182.74
SEVIR_1G003200v2	1742.108	1842.116	1822.5	1707.407	1704.336	1790.216	1910.553	1821.435	1780.922	1768.821	1752.068	1860.197	1780.247	1708.544	1766.066	1885.915	1855.224	2012.126
SEVIR_1G003300v2	1578.77282961415	1578.77282961415	1578.77282961415	1562.105	1573.578	1578.77282961415	1566.448	1596.043	1603.243	1610.451	1580.047	1578.77282961415	1583.658	1617.887	1578.77282961415	1578.77282961415	1578.77282961415	1497.652
SEVIR_1G003401v2	860.092853648833	874.735071979744	863.923920307205	798.235175193895	825.486291267238	801.936772137775	831.314724426471	842.759227259928	834.428727580734	872.271792512989	840.197859138931	834.51950514098	861.603445688232	852.860660155924	875.002475737459	836.914817416266	856.523907153986	871.710973256636
