species	scientific_name	release	assembly	assembly_accession	genome	annotation	proteins	genes	mrnas	representatives	genes_without_representative_protein	protein_records	protein_residues	genome_sha256	annotation_sha256	proteins_sha256
setaria_viridis	Setaria viridis	63	Setaria_viridis_v2.0	GCA_005286985.1	data/reference/ensembl_plants_63/setaria_viridis/genome.fa.gz	data/reference/ensembl_plants_63/setaria_viridis/annotation.gff3.gz	data/reference/ensembl_plants_63/setaria_viridis/proteins_all.fa.gz	38334	52459	38334	0	52459	20995449	8a3948d641cbf500226c873a550de69a7d5c956475d39465b2dfab4323463d16	445c79ffee177781372e497a95bfddf9bdcfbf421f0ba710e15c9f31826273df	9666b9ecf4e62f7b132c4e1f15f2364bab0edcefe41352912a500323635f843d
sorghum_bicolor	Sorghum bicolor	63	Sorghum_bicolor_NCBIv3	GCA_000003195.3	data/reference/ensembl_plants_63/sorghum_bicolor/genome.fa.gz	data/reference/ensembl_plants_63/sorghum_bicolor/annotation.gff3.gz	data/reference/ensembl_plants_63/sorghum_bicolor/proteins_all.fa.gz	34118	47110	34118	0	47110	19239594	ad40aa753793907fee06b3fe18a57d97f2f72798f4bcef15417a87fe36df73fb	f178e26b4fa3f227c365f585d27ccbd1bd95e39e8023115e38f17e4a6e7d7339	17f84a5e5709e88259f13d5c416082ef19e4a95eafaa9fcc60a4c4f2b01bdca8
triticum_aestivum	Triticum aestivum	63	IWGSC	GCA_900519105.1	data/reference/ensembl_plants_63/triticum_aestivum/genome.fa.gz	data/reference/ensembl_plants_63/triticum_aestivum/annotation.gff3.gz	data/reference/ensembl_plants_63/triticum_aestivum/proteins_all.fa.gz	107891	133744	107545	346	133346	59091148	6c77f8d02f27fee07520225994dc3ddded96524b885e74bc4989376ff375edbe	ce26e1663102b3cce39b149aadbe382ce9eab3c7e6b6fd5111dc73433defeb1c	5daeb00b25e717b728ffc800b6f6693d916b7bf3ccc5a39cd6c5cdded277e341
glycine_max	Glycine max	63	Glycine_max_v2.1	GCA_000004515.4	data/reference/ensembl_plants_63/glycine_max/genome.fa.gz	data/reference/ensembl_plants_63/glycine_max/annotation.gff3.gz	data/reference/ensembl_plants_63/glycine_max/proteins_all.fa.gz	55897	88412	55897	0	88412	37501059	2bd3a0f7eb1a4be1593bba1f5a1cb8f01e12f5417d45ec5dbec7b1eb37ac8c54	5ac50863eb8f864f35d2c72a33b1c523a148112c28787fbbc72885d59faf4dfb	5e6504b5d4f5bed5d462b21e4bd8f301ce7dd80de02b6f38b219f8dff30935c1
