transcript_id	gene_id
transcript:ENSRNA050013875-T1	ENSRNA050013875
transcript:ENSRNA050013847-T1	ENSRNA050013847
transcript:ENSRNA050013913-T1	ENSRNA050013913
transcript:ENSRNA050013874-T1	ENSRNA050013874
transcript:ENSRNA050013873-T1	ENSRNA050013873
transcript:ENSRNA050013836-T1	ENSRNA050013836
transcript:ENSRNA050013914-T1	ENSRNA050013914
transcript:ENSRNA050013853-T1	ENSRNA050013853
transcript:ENSRNA050013918-T1	ENSRNA050013918
transcript:ENSRNA050013860-T1	ENSRNA050013860
transcript:ENSRNA050013931-T1	ENSRNA050013931
transcript:TraesCS1A02G000100.1	TraesCS1A02G000100
transcript:ENSRNA050013844-T1	ENSRNA050013844
transcript:ENSRNA050013908-T1	ENSRNA050013908
transcript:ENSRNA050013866-T1	ENSRNA050013866
transcript:ENSRNA050013923-T1	ENSRNA050013923
transcript:ENSRNA050013838-T1	ENSRNA050013838
transcript:ENSRNA050013832-T1	ENSRNA050013832
transcript:ENSRNA050013919-T1	ENSRNA050013919
transcript:TraesCS1A02G000200.1	TraesCS1A02G000200
transcript:ENSRNA050013837-T1	ENSRNA050013837
transcript:ENSRNA050013901-T1	ENSRNA050013901
transcript:ENSRNA050013939-T1	ENSRNA050013939
transcript:ENSRNA050013876-T1	ENSRNA050013876
transcript:ENSRNA050013870-T1	ENSRNA050013870
transcript:ENSRNA050013897-T1	ENSRNA050013897
transcript:TraesCS1A02G000300.1	TraesCS1A02G000300
transcript:ENSRNA050013872-T1	ENSRNA050013872
transcript:ENSRNA050013903-T1	ENSRNA050013903
transcript:TraesCS1A02G000400.1	TraesCS1A02G000400
transcript:ENSRNA050013862-T1	ENSRNA050013862
transcript:ENSRNA050013935-T1	ENSRNA050013935
transcript:ENSRNA050013851-T1	ENSRNA050013851
transcript:ENSRNA050013895-T1	ENSRNA050013895
transcript:ENSRNA050013869-T1	ENSRNA050013869
transcript:ENSRNA050013909-T1	ENSRNA050013909
transcript:ENSRNA050013884-T1	ENSRNA050013884
transcript:ENSRNA050013867-T1	ENSRNA050013867
transcript:ENSRNA050013904-T1	ENSRNA050013904
transcript:ENSRNA050013865-T1	ENSRNA050013865
transcript:ENSRNA050013911-T1	ENSRNA050013911
transcript:TraesCS1A02G000500.1	TraesCS1A02G000500
transcript:ENSRNA050013891-T1	ENSRNA050013891
transcript:ENSRNA050013937-T1	ENSRNA050013937
transcript:ENSRNA050013834-T1	ENSRNA050013834
