transcript_id	gene_id
transcript:KRH74114	GLYMA_01G000100
transcript:KRH74115	GLYMA_01G000200
transcript:KRH74116	GLYMA_01G000300
transcript:KRH74118	GLYMA_01G000400
transcript:KRH74117	GLYMA_01G000500
transcript:KRH74119	GLYMA_01G000600
transcript:KRH74120	GLYMA_01G000600
transcript:KRH74121	GLYMA_01G000700
transcript:KRH74122	GLYMA_01G000800
transcript:KRH74123	GLYMA_01G000900
transcript:KRH74126	GLYMA_01G001000
transcript:KRH74124	GLYMA_01G001000
transcript:KRH74125	GLYMA_01G001000
transcript:KRH74127	GLYMA_01G001000
transcript:KRH74130	GLYMA_01G001100
transcript:KRH74131	GLYMA_01G001100
transcript:KRH74128	GLYMA_01G001100
transcript:KRH74129	GLYMA_01G001100
transcript:KRH74132	GLYMA_01G001200
transcript:KRH74133	GLYMA_01G001300
transcript:KRH74134	GLYMA_01G001300
transcript:KRH74135	GLYMA_01G001400
transcript:KRH74136	GLYMA_01G001500
transcript:KRH74137	GLYMA_01G001600
transcript:KRH74138	GLYMA_01G001600
transcript:KRH74140	GLYMA_01G001700
transcript:KRH74139	GLYMA_01G001700
transcript:KRH74141	GLYMA_01G001800
transcript:KRH74143	GLYMA_01G001900
transcript:KRH74142	GLYMA_01G001900
transcript:KRH74144	GLYMA_01G002000
transcript:KRH74145	GLYMA_01G002100
transcript:KRH74146	GLYMA_01G002100
transcript:KRH74147	GLYMA_01G002200
transcript:KRH74148	GLYMA_01G002300
transcript:KRH74149	GLYMA_01G002400
transcript:KRH74150	GLYMA_01G002500
transcript:KRH74151	GLYMA_01G002600
transcript:KRH74152	GLYMA_01G002700
transcript:KRH74153	GLYMA_01G002800
transcript:KRH74154	GLYMA_01G002900
transcript:KRH74155	GLYMA_01G003000
transcript:KRH74156	GLYMA_01G003100
transcript:KRH74157	GLYMA_01G003100
transcript:KRH74158	GLYMA_01G003200
transcript:KRH74160	GLYMA_01G003200
transcript:KRH74159	GLYMA_01G003200
transcript:KRH74161	GLYMA_01G003300
transcript:KRH74162	GLYMA_01G003400
transcript:KRH74163	GLYMA_01G003500
transcript:KRH74164	GLYMA_01G003600
transcript:KRH74165	GLYMA_01G003700
transcript:KRH74167	GLYMA_01G003800
transcript:KRH74168	GLYMA_01G003800
transcript:KRH74166	GLYMA_01G003800
transcript:KRH74169	GLYMA_01G003900
transcript:KRH74170	GLYMA_01G004000
transcript:KRH74171	GLYMA_01G004100
transcript:KRH74172	GLYMA_01G004100
transcript:KRH74173	GLYMA_01G004200
transcript:KRH74174	GLYMA_01G004200
transcript:KRH74175	GLYMA_01G004200
transcript:KRH74176	GLYMA_01G004200
transcript:KRH74177	GLYMA_01G004300
transcript:KRH74178	GLYMA_01G004300
transcript:KRH74179	GLYMA_01G004400
transcript:KRH74180	GLYMA_01G004500
transcript:KRH74181	GLYMA_01G004500
transcript:KRH74182	GLYMA_01G004600
transcript:KRH74183	GLYMA_01G004700
transcript:KRH74184	GLYMA_01G004800
transcript:KRH74185	GLYMA_01G004800
transcript:KRH74186	GLYMA_01G004900
transcript:KRH74187	GLYMA_01G005000
transcript:KRH74189	GLYMA_01G005100
transcript:KRH74188	GLYMA_01G005100
transcript:KRH74191	GLYMA_01G005100
transcript:KRH74190	GLYMA_01G005100
transcript:KRH74192	GLYMA_01G005200
transcript:KRH74193	GLYMA_01G005300
transcript:KRH74194	GLYMA_01G005300
transcript:KRH74195	GLYMA_01G005300
transcript:KRH74197	GLYMA_01G005400
transcript:KRH74196	GLYMA_01G005400
transcript:KRH74201	GLYMA_01G005500
transcript:KRH74202	GLYMA_01G005500
transcript:KRH74199	GLYMA_01G005500
transcript:KRH74200	GLYMA_01G005500
transcript:KRH74198	GLYMA_01G005500
transcript:KRH74203	GLYMA_01G005600
transcript:KRH74204	GLYMA_01G005600
transcript:KRH74205	GLYMA_01G005700
transcript:KRH74206	GLYMA_01G005800
transcript:KRH74207	GLYMA_01G005900
transcript:KRH74208	GLYMA_01G006000
transcript:KRH74210	GLYMA_01G006100
transcript:KRH74209	GLYMA_01G006100
transcript:KRH74211	GLYMA_01G006200
transcript:KRH74212	GLYMA_01G006300
transcript:KRH74215	GLYMA_01G006400
transcript:KRH74213	GLYMA_01G006400
transcript:KRH74214	GLYMA_01G006400
transcript:KRH74218	GLYMA_01G006500
transcript:KRH74217	GLYMA_01G006500
transcript:KRH74219	GLYMA_01G006500
transcript:KRH74222	GLYMA_01G006500
transcript:KRH74223	GLYMA_01G006500
transcript:KRH74216	GLYMA_01G006500
transcript:KRH74221	GLYMA_01G006500
transcript:KRH74220	GLYMA_01G006500
transcript:KRH74224	GLYMA_01G006500
transcript:KRH74225	GLYMA_01G006600
transcript:KRH74226	GLYMA_01G006600
transcript:RCW19544	GLYMA_01G006700
transcript:RCW19545	GLYMA_01G006700
transcript:RCW19546	GLYMA_01G006700
transcript:RCW19547	GLYMA_01G006700
transcript:RCW19548	GLYMA_01G006700
transcript:KRH74239	GLYMA_01G006800
transcript:KRH74237	GLYMA_01G006800
transcript:KRH74238	GLYMA_01G006800
transcript:KRH74240	GLYMA_01G006900
transcript:KRH74241	GLYMA_01G006900
transcript:KRH74243	GLYMA_01G007000
transcript:KRH74242	GLYMA_01G007000
transcript:KRH74244	GLYMA_01G007100
transcript:KRH74246	GLYMA_01G007200
transcript:KRH74247	GLYMA_01G007200
transcript:KRH74245	GLYMA_01G007200
transcript:KRH74248	GLYMA_01G007300
transcript:KRH74249	GLYMA_01G007400
transcript:KRH74250	GLYMA_01G007500
transcript:KRH74251	GLYMA_01G007600
transcript:KRH74252	GLYMA_01G007700
transcript:KRH74253	GLYMA_01G007800
transcript:KRH74254	GLYMA_01G007900
transcript:KRH74255	GLYMA_01G007900
transcript:KRH74256	GLYMA_01G008000
transcript:KRH74257	GLYMA_01G008000
transcript:KRH74258	GLYMA_01G008100
transcript:KRH74259	GLYMA_01G008200
transcript:KRH74260	GLYMA_01G008300
transcript:KRH74261	GLYMA_01G008400
transcript:KRH74262	GLYMA_01G008400
transcript:KRH74263	GLYMA_01G008500
transcript:KRH74264	GLYMA_01G008500
transcript:KRH74265	GLYMA_01G008600
transcript:KRH74266	GLYMA_01G008700
transcript:KRH74268	GLYMA_01G008700
transcript:KRH74267	GLYMA_01G008700
transcript:KRH74269	GLYMA_01G008800
transcript:KRH74270	GLYMA_01G008800
transcript:KRH74271	GLYMA_01G008900
transcript:KRH74272	GLYMA_01G008900
transcript:KRH74273	GLYMA_01G009000
transcript:KRH74274	GLYMA_01G009100
transcript:KRH74275	GLYMA_01G009200
